Date,Open,High,Low,Close,Adj Close,Volume
,AAPL,AAPL,AAPL,AAPL,,AAPL
1985-01-01,0.0999,0.1067,0.0956,0.0995,0.0995,6366416000
1985-02-01,0.0995,0.1055,0.0849,0.0849,0.0849,4733388800
1985-03-01,0.0849,0.0892,0.0712,0.0759,0.0759,4615587200
1985-04-01,0.0759,0.0789,0.0673,0.0729,0.0729,2868028800
1985-05-01,0.0729,0.0763,0.0579,0.0596,0.0596,4639129600
1985-06-01,0.0583,0.0634,0.0506,0.0617,0.0617,5811388800
1985-07-01,0.0622,0.0626,0.0544,0.0544,0.0544,2600595200
1985-08-01,0.0544,0.0553,0.0497,0.0514,0.0514,1818745600
1985-09-01,0.0514,0.0592,0.0506,0.054,0.054,1797196800
1985-10-01,0.054,0.066,0.0514,0.0639,0.0639,3785913600
1985-11-01,0.0639,0.0712,0.0639,0.069,0.069,2884672000
1985-12-01,0.069,0.0784,0.066,0.0754,0.0754,3571209600
1986-01-01,0.0754,0.0849,0.0746,0.0793,0.0793,6291801600
1986-02-01,0.0793,0.0917,0.0784,0.0857,0.0857,3420860800
1986-03-01,0.0857,0.1016,0.0832,0.0969,0.0969,4264332800
1986-04-01,0.0969,0.1123,0.09,0.1037,0.1037,4462684800
1986-05-01,0.1037,0.1286,0.102,0.1269,0.1269,4954051200
1986-06-01,0.1269,0.1342,0.1115,0.123,0.123,4063360000
1986-07-01,0.123,0.1295,0.1029,0.1072,0.1072,5691638400
1986-08-01,0.1067,0.1303,0.105,0.1269,0.1269,3643516800
1986-09-01,0.1273,0.1273,0.1085,0.1149,0.1149,3578198400
1986-10-01,0.1145,0.1209,0.1106,0.1187,0.1187,2984038400
1986-11-01,0.1192,0.1415,0.1162,0.1372,0.1372,5206163200
1986-12-01,0.1372,0.1505,0.1342,0.1389,0.1389,4762576000
1987-01-01,0.1385,0.1963,0.1376,0.1903,0.1903,8268915200
1987-02-01,0.1903,0.2448,0.177,0.2401,0.2401,6616176000
1987-03-01,0.2409,0.2418,0.2135,0.2212,0.2212,5959318400
1987-04-01,0.2161,0.2744,0.2139,0.2718,0.2718,6813161600
1987-05-01,0.2726,0.2821,0.2486,0.2709,0.2709,3838956800
1987-06-01,0.2731,0.2971,0.261,0.2782,0.2782,3497536000
1987-07-01,0.2799,0.3074,0.2507,0.2834,0.2834,3070256000
1987-08-01,0.2816,0.3727,0.2748,0.3709,0.3709,3119300800
1987-09-01,0.3766,0.4041,0.3336,0.3886,0.3886,3075486400
1987-10-01,0.3903,0.411,0.19,0.2657,0.2657,6575699200
1987-11-01,0.2665,0.2751,0.2098,0.227,0.227,4234238400
1987-12-01,0.2309,0.3016,0.2051,0.2895,0.2895,4702264000
1988-01-01,0.2947,0.3188,0.2637,0.2861,0.2861,6221600000
1988-02-01,0.2878,0.3016,0.2602,0.2964,0.2964,3368467200
1988-03-01,0.2987,0.3298,0.2676,0.2763,0.2763,4882102400
1988-04-01,0.2745,0.2927,0.2659,0.2832,0.2832,3297929600
1988-05-01,0.2815,0.2979,0.2581,0.2866,0.2866,2638507200
1988-06-01,0.2872,0.3235,0.2855,0.3201,0.3201,3534731200
1988-07-01,0.3218,0.3287,0.2924,0.3071,0.3071,2186419200
1988-08-01,0.308,0.3166,0.2716,0.276,0.276,2653313600
1988-09-01,0.2756,0.3068,0.2617,0.2999,0.2999,3060321600
1988-10-01,0.2981,0.2999,0.26,0.2678,0.2678,3563649600
1988-11-01,0.2669,0.2756,0.2461,0.2609,0.2609,2939865600
1988-12-01,0.2624,0.292,0.2607,0.2798,0.2798,2946070400
1989-01-01,0.2798,0.3059,0.252,0.2624,0.2624,7345833600
1989-02-01,0.2624,0.2798,0.2451,0.252,0.252,4886268800
1989-03-01,0.2527,0.2544,0.2335,0.2483,0.2483,3859676800
1989-04-01,0.2475,0.2902,0.2361,0.2719,0.2719,3966424000
1989-05-01,0.2684,0.3416,0.2684,0.3329,0.3329,5253382400
1989-06-01,0.3336,0.3511,0.276,0.2882,0.2882,3941280000
1989-07-01,0.2917,0.2934,0.2637,0.2777,0.2777,3688630400
1989-08-01,0.2777,0.3196,0.2742,0.3109,0.3109,3352305600
1989-09-01,0.3116,0.3274,0.3011,0.3116,0.3116,2020849600
1989-10-01,0.3116,0.3528,0.2976,0.3256,0.3256,4125049600
1989-11-01,0.3239,0.3309,0.2976,0.3099,0.3099,2524939200
1989-12-01,0.3124,0.3212,0.2282,0.2475,0.2475,5941185600
1990-01-01,0.2475,0.272,0.2255,0.2387,0.2387,3747497600
1990-02-01,0.2422,0.2475,0.2264,0.2387,0.2387,2483891200
1990-03-01,0.2359,0.3055,0.2342,0.2835,0.2835,4556473600
1990-04-01,0.2817,0.3116,0.2685,0.2773,0.2773,3642475200
1990-05-01,0.2799,0.3011,0.2729,0.2905,0.2905,4115630400
1990-06-01,0.2922,0.3169,0.2648,0.316,0.316,3952054400
1990-07-01,0.3143,0.3372,0.2825,0.2966,0.2966,4163812800
1990-08-01,0.2966,0.309,0.2366,0.2613,0.2613,3128339200
1990-09-01,0.2586,0.2656,0.193,0.2054,0.2054,2206948800
1990-10-01,0.209,0.2267,0.1718,0.2178,0.2178,5056116800
1990-11-01,0.216,0.2727,0.2107,0.2603,0.2603,3254608000
1990-12-01,0.2647,0.3216,0.263,0.3056,0.3056,4094092800
1991-01-01,0.3038,0.398,0.2985,0.3945,0.3945,7037307200
1991-02-01,0.3945,0.4424,0.3891,0.4069,0.4069,5545780800
1991-03-01,0.406,0.5003,0.406,0.4843,0.4843,5210598400
1991-04-01,0.4843,0.5217,0.3882,0.3917,0.3917,7243051200
1991-05-01,0.3419,0.3828,0.3134,0.3347,0.3347,7972843200
1991-06-01,0.3356,0.3535,0.2874,0.2963,0.2963,4091662400
1991-07-01,0.3017,0.3445,0.2981,0.3302,0.3302,3783494400
1991-08-01,0.3285,0.3963,0.3267,0.3784,0.3784,4172649600
1991-09-01,0.3775,0.3829,0.3328,0.3543,0.3543,2393070400
1991-10-01,0.3525,0.4026,0.3328,0.3686,0.3686,3593990400
1991-11-01,0.3668,0.3954,0.3399,0.3632,0.3632,3696033600
1991-12-01,0.3641,0.4161,0.3479,0.4044,0.4044,2607169600
1992-01-01,0.3999,0.495,0.3981,0.4645,0.4645,4703160000
1992-02-01,0.4645,0.5022,0.443,0.4842,0.4842,2534996800
1992-03-01,0.4869,0.4923,0.4151,0.4187,0.4187,2985662400
1992-04-01,0.4115,0.4402,0.3809,0.4321,0.4321,3931390400
1992-05-01,0.4312,0.4546,0.4187,0.4294,0.4294,2703724800
1992-06-01,0.4115,0.4276,0.3073,0.345,0.345,4851683200
1992-07-01,0.3457,0.3565,0.3133,0.3367,0.3367,3632809600
1992-08-01,0.3367,0.3403,0.2989,0.3313,0.3313,2746531200
1992-09-01,0.334,0.3611,0.3159,0.3258,0.3258,3055662400
1992-10-01,0.3231,0.3899,0.2997,0.3791,0.3791,3531427200
1992-11-01,0.3791,0.4297,0.3719,0.4152,0.4152,3126547200
1992-12-01,0.4143,0.4432,0.3944,0.4324,0.4324,3334318400
1993-01-01,0.4306,0.4722,0.4143,0.4306,0.4306,5542264000
1993-02-01,0.4288,0.445,0.3727,0.3835,0.3835,4651281600
1993-03-01,0.3844,0.4188,0.3644,0.3735,0.3735,3661526400
1993-04-01,0.3717,0.3807,0.339,0.3717,0.3717,3914411200
1993-05-01,0.3717,0.4288,0.3699,0.4107,0.4107,3200545600
1993-06-01,0.4106,0.4233,0.2798,0.2871,0.2871,7674396800
1993-07-01,0.2834,0.2889,0.1853,0.2017,0.2017,7142912000
1993-08-01,0.2053,0.2235,0.188,0.1926,0.1926,3683164800
1993-09-01,0.1934,0.1971,0.1679,0.1706,0.1706,3668022400
1993-10-01,0.1661,0.2354,0.1606,0.2245,0.2245,5905323200
1993-11-01,0.2245,0.2555,0.2172,0.2299,0.2299,3452108800
1993-12-01,0.2344,0.2381,0.1941,0.2143,0.2143,3956971200
1994-01-01,0.2161,0.2582,0.2106,0.2399,0.2399,7332035200
1994-02-01,0.2417,0.2802,0.2362,0.2674,0.2674,4284459200
1994-03-01,0.2702,0.283,0.2316,0.2444,0.2444,5257985600
1994-04-01,0.2371,0.2518,0.1985,0.2206,0.2206,4042136000
1994-05-01,0.2206,0.2481,0.2095,0.215,0.215,3361657600
1994-06-01,0.2104,0.2113,0.1818,0.1956,0.1956,4671788800
1994-07-01,0.1947,0.251,0.1873,0.2486,0.2486,4848065600
1994-08-01,0.2482,0.2759,0.2371,0.2671,0.2671,4574897600
1994-09-01,0.262,0.2759,0.2472,0.2495,0.2495,3232644800
1994-10-01,0.249,0.324,0.2407,0.3199,0.3199,7713484800
1994-11-01,0.3176,0.3221,0.2694,0.2759,0.2759,4048945600
1994-12-01,0.2749,0.2962,0.2581,0.2897,0.2897,3787795200
1995-01-01,0.2888,0.357,0.2814,0.2999,0.2999,8162100800
1995-02-01,0.3027,0.3306,0.2823,0.2934,0.2934,5299347200
1995-03-01,0.2961,0.3036,0.2523,0.2626,0.2626,6997144000
1995-04-01,0.2644,0.2952,0.2505,0.2849,0.2849,5674300800
1995-05-01,0.2849,0.3306,0.2793,0.3096,0.3096,6384672000
1995-06-01,0.3128,0.3744,0.31,0.3469,0.3469,5521947200
1995-07-01,0.3473,0.3726,0.3212,0.3361,0.3361,5699579200
1995-08-01,0.3352,0.3455,0.3128,0.3212,0.3212,5292918400
1995-09-01,0.3221,0.3408,0.2603,0.279,0.279,7311483200
1995-10-01,0.2828,0.2963,0.2519,0.272,0.272,6498508800
1995-11-01,0.2743,0.3183,0.2659,0.2856,0.2856,4864294400
1995-12-01,0.2855,0.3015,0.2376,0.2395,0.2395,6560243200
1996-01-01,0.2423,0.2667,0.2018,0.2076,0.2076,10300214400
