Date,Open,High,Low,Close,Adj Close,Volume
,ACGL,ACGL,ACGL,ACGL,,ACGL
1995-09-01,2.1659,2.298,2.1659,2.298,2.298,24405300
1995-10-01,2.2452,2.3772,2.2452,2.3244,2.3244,9017100
1995-11-01,2.298,2.3508,2.0999,2.1791,2.1791,4502700
1995-12-01,2.1857,2.4697,2.0999,2.4697,2.4697,5950800
1996-01-01,2.4301,2.4565,2.1131,2.1527,2.1527,5841000
1996-02-01,2.1395,2.1659,2.0867,2.1395,2.1395,6709500
1996-03-01,2.1395,2.1791,2.0999,2.1659,2.1659,5221800
1996-04-01,2.1131,2.1659,2.0735,2.0999,2.0999,2453400
1996-05-01,2.1263,2.1263,2.0603,2.0867,2.0867,12218400
1996-06-01,2.0735,2.0867,2.0207,2.0735,2.0735,7452900
1996-07-01,2.0735,2.0735,1.7697,1.8358,1.8358,7623000
1996-08-01,1.8754,1.8754,1.7433,1.7829,1.7829,4848300
1996-09-01,1.7565,2.1923,1.7433,2.0075,2.0075,12967200
1996-10-01,2.0075,2.0075,1.7961,1.9018,1.9018,5616000
1996-11-01,1.8886,1.9678,1.8226,1.8622,1.8622,3897000
1996-12-01,1.8622,2.0999,1.6773,2.0471,2.0471,16977600
1997-01-01,2.0339,2.0339,1.7037,1.7565,1.7565,5494500
1997-02-01,1.7565,1.849,1.7367,1.7367,1.7367,2497500
1997-03-01,1.7697,1.8754,1.7301,1.7961,1.7961,10871100
1997-04-01,1.7697,2.0075,1.6905,2.0075,2.0075,9190800
1997-05-01,2.0075,2.0603,1.849,2.0075,2.0075,6581700
1997-06-01,2.0207,2.2188,1.9282,2.2188,2.2188,5868000
1997-07-01,2.2056,2.3376,2.1659,2.2584,2.2584,5186700
1997-08-01,2.2452,2.364,2.1659,2.364,2.364,8025300
1997-09-01,2.364,2.4697,2.298,2.4301,2.4301,1596600
1997-10-01,2.4565,2.4697,2.2716,2.4037,2.4037,900900
1997-11-01,2.3508,2.4565,2.3376,2.4301,2.4301,758700
1997-12-01,2.4301,2.4697,2.2056,2.3508,2.3508,1945800
1998-01-01,2.4697,2.5357,2.0867,2.3508,2.3508,23274900
1998-02-01,2.3508,2.5225,2.298,2.4697,2.4697,2161800
1998-03-01,2.4565,2.5357,2.3508,2.5357,2.5357,11135700
1998-04-01,2.5357,2.6942,2.4829,2.648,2.648,6358500
1998-05-01,2.6546,2.6546,2.4037,2.6282,2.6282,4262400
1998-06-01,2.615,2.6546,2.4301,2.6348,2.6348,4717800
1998-07-01,2.6282,2.6942,2.5489,2.6282,2.6282,7726500
1998-08-01,2.6414,2.6546,2.2188,2.298,2.298,3594600
1998-09-01,2.298,2.6414,2.0075,2.3244,2.3244,3012300
1998-10-01,2.2452,2.3772,1.9876,2.1923,2.1923,2985300
1998-11-01,2.2056,2.5093,2.0339,2.2716,2.2716,2377800
1998-12-01,2.331,2.3772,2.0339,2.298,2.298,5063400
1999-01-01,2.3508,2.3905,1.9942,2.1659,2.1659,2661300
1999-02-01,2.1659,2.2584,1.7697,2.0075,2.0075,2349900
1999-03-01,2.0867,2.3244,1.2679,1.598,1.598,5008500
1999-04-01,1.5716,1.6905,1.4263,1.532,1.532,3721500
1999-05-01,1.6112,1.8358,1.5584,1.6905,1.6905,3214800
1999-06-01,1.6245,1.7433,1.4263,1.4263,1.4263,3864600
1999-07-01,1.4792,1.532,1.3735,1.4792,1.4792,4576500
1999-08-01,1.532,1.6839,1.466,1.5848,1.5848,2340900
1999-09-01,1.5848,1.6905,1.433,1.6509,1.6509,6791400
1999-10-01,1.6575,1.6575,1.3471,1.3801,1.3801,4395600
1999-11-01,1.4131,1.4726,1.1622,1.3669,1.3669,7479000
1999-12-01,1.3735,1.3999,1.1886,1.3339,1.3339,9568800
2000-01-01,1.3405,1.7697,1.2018,1.5452,1.5452,9011700
2000-02-01,1.532,1.6112,1.4131,1.6112,1.6112,3949200
2000-03-01,1.5716,1.7301,1.532,1.7301,1.7301,10217700
2000-04-01,1.7433,1.7565,1.5848,1.6261,1.6261,9351000
2000-05-01,1.6575,1.7037,1.5716,1.5848,1.5848,4462200
2000-06-01,1.6509,1.6773,1.5386,1.5782,1.5782,5641200
2000-07-01,1.5848,1.6773,1.5716,1.6377,1.6377,2771100
2000-08-01,1.6377,1.6773,1.5452,1.6046,1.6046,4146300
2000-09-01,1.6112,1.6773,1.5782,1.6641,1.6641,4176000
2000-10-01,1.6641,1.6773,1.6046,1.6377,1.6377,1660500
2000-11-01,1.6377,1.6707,1.5056,1.5848,1.5848,4850100
2000-12-01,1.5914,1.6377,1.466,1.5848,1.5848,6411600
2001-01-01,1.5716,1.6707,1.5188,1.6311,1.6311,3726000
2001-02-01,1.6046,1.9084,1.5848,1.6905,1.6905,5167800
2001-03-01,1.6509,1.7301,1.5716,1.6773,1.6773,9865800
2001-04-01,1.7037,1.7037,1.565,1.6746,1.6746,5283000
2001-05-01,1.6746,1.8025,1.6028,1.7697,1.7697,4222800
2001-06-01,1.7697,1.7877,1.6186,1.6641,1.6641,3890700
2001-07-01,1.6324,1.906,1.6324,1.7803,1.7803,1144800
2001-08-01,1.7803,1.8817,1.7803,1.8701,1.8701,877500
2001-09-01,1.9018,2.0286,1.6736,1.7697,1.7697,1600200
2001-10-01,1.7803,2.7196,1.7327,2.4829,2.4829,7377300
2001-11-01,2.5146,2.5157,2.4195,2.4988,2.4988,3757500
2001-12-01,2.4956,2.9943,2.4723,2.7206,2.7206,4291200
2002-01-01,2.6826,2.952,2.6731,2.6963,2.6963,2218500
2002-02-01,2.6731,2.9055,2.6731,2.8421,2.8421,2038500
2002-03-01,2.8421,2.9002,2.6414,2.727,2.727,3311100
2002-04-01,2.7238,3.1221,2.6784,3.083,3.083,73292400
2002-05-01,3.1116,3.2859,3.0112,3.138,3.138,13379400
2002-06-01,3.1422,3.2066,2.7978,2.9742,2.9742,11072700
2002-07-01,2.9731,3.0566,2.4142,2.8464,2.8464,13743000
2002-08-01,2.8368,3.0112,2.7365,2.9594,2.9594,8454600
2002-09-01,2.9467,2.99,2.7914,2.9478,2.9478,7883100
2002-10-01,2.9478,3.0133,2.747,2.9594,2.9594,15460200
2002-11-01,2.9584,3.3493,2.8442,3.1961,3.1961,13816800
2002-12-01,3.2056,3.6451,3.1443,3.2933,3.2933,24957900
2003-01-01,3.2447,3.362,3.1327,3.2246,3.2246,21987900
2003-02-01,3.2637,3.3324,2.9277,3.3028,3.3028,15461100
2003-03-01,3.3038,3.625,3.2785,3.5859,3.5859,38225700
2003-04-01,3.5912,3.8902,3.4592,3.6715,3.6715,27557100
2003-05-01,3.6493,3.9293,3.513,3.9092,3.9092,28562400
2003-06-01,3.9092,3.9938,3.5479,3.6641,3.6641,28207800
2003-07-01,3.6652,3.7877,3.5458,3.624,3.624,18704700
