Date,Open,High,Low,Close,Adj Close,Volume
,ACN,ACN,ACN,ACN,,ACN
2001-07-01,10.6072,10.7407,10.1857,10.5089,10.5089,74421800
2001-08-01,10.537,10.9936,9.7643,10.4667,10.4667,27745100
2001-09-01,10.537,10.9936,8.1556,8.9564,8.9564,28650300
2001-10-01,8.8862,12.6795,8.5139,12.3423,12.3423,38638600
2001-11-01,12.3072,15.9811,12.1878,15.8757,15.8757,28426700
2001-12-01,15.9811,19.669,15.8055,18.9104,18.9104,32314900
2002-01-01,18.8963,19.9079,16.248,18.1096,18.1096,46095500
2002-02-01,18.1939,19.8798,17.3509,18.3976,18.3976,29172100
2002-03-01,18.4748,21.4252,17.5616,18.7558,18.7558,33331500
2002-04-01,18.7207,18.7558,14.0985,15.0609,15.0609,47305900
2002-05-01,15.0187,16.2129,13.6981,14.6464,14.6464,115076500
2002-06-01,14.5762,14.7447,12.2931,13.3468,13.3468,57007000
2002-07-01,13.3468,13.3468,9.6238,11.5907,11.5907,94359700
2002-08-01,11.5907,13.4873,10.6985,11.5556,11.5556,31483000
2002-09-01,11.5556,11.668,9.3358,10.0312,10.0312,46113700
2002-10-01,9.975,12.546,7.9379,11.8576,11.8576,68641400
2002-11-01,11.7171,13.8034,11.2043,13.5225,13.5225,49294800
2002-12-01,14.0282,14.3795,11.401,12.6374,12.6374,34103000
2003-01-01,12.6444,13.965,10.6494,11.6258,11.6258,55118900
2003-02-01,11.6469,11.7944,10.1717,10.7758,10.7758,27349400
2003-03-01,10.9585,11.3589,9.4482,10.8882,10.8882,40285100
2003-04-01,10.9585,11.4151,9.4482,11.2535,11.2535,57133300
2003-05-01,11.2605,12.3212,11.2465,12.3072,12.3072,34758000
2003-06-01,12.3072,13.2204,11.4151,12.7076,12.7076,44137500
2003-07-01,12.6303,14.6113,12.3985,13.6419,13.6419,47924200
2003-08-01,13.9931,15.4542,13.1712,14.8642,14.8642,40257200
2003-09-01,14.8712,16.803,14.7518,15.6931,15.6931,97549300
2003-10-01,15.7914,16.8592,15.3067,16.4377,16.4377,75933000
2003-11-01,16.5571,17.8216,16.5079,17.4914,17.4914,35028200
2003-12-01,17.5476,18.6505,16.8943,18.4889,18.4889,41424900
2004-01-01,18.3695,18.9314,15.3489,16.6274,16.6274,96231800
2004-02-01,16.5782,16.8451,15.3559,16.2269,16.2269,55282500
2004-03-01,16.1637,17.5195,15.8827,17.4211,17.4211,50341600
2004-04-01,17.2947,18.2009,16.522,16.6976,16.6976,67941400
2004-05-01,16.6695,17.3368,16.0794,17.2877,17.2877,51543400
2004-06-01,17.2736,19.5707,17.0699,19.3038,19.3038,70477100
2004-07-01,19.3318,19.7393,16.7959,17.3017,17.3017,59640600
2004-08-01,17.2174,18.7418,16.3323,18.3343,18.3343,50761800
2004-09-01,18.3695,19.1422,18.1587,19.0017,19.0017,41167300
2004-10-01,18.9806,19.374,15.8827,17.0067,17.0067,91723000
2004-11-01,16.9645,18.4186,16.803,18.222,18.222,55397000
2004-12-01,18.2641,19.388,18.222,18.9666,18.9666,52102600
2005-01-01,18.9314,19.0228,17.3439,18.2992,18.2992,64763000
2005-02-01,17.948,18.3343,17.1331,17.948,17.948,50801900
2005-03-01,17.9691,18.243,16.529,16.9645,16.9645,52236600
2005-04-01,17.5406,17.7021,14.7799,15.2435,15.2435,98810800
2005-05-01,15.2084,16.3885,14.7518,16.3534,16.3534,61095300
2005-06-01,16.3253,16.9435,15.8476,15.9249,15.9249,46249300
2005-07-01,15.946,17.6319,15.5947,17.5897,17.5897,68416800
2005-08-01,17.4211,18.0534,16.9716,17.1401,17.1401,46807100
2005-09-01,17.2104,18.6224,17.1753,17.8848,17.8848,46113500
2005-10-01,17.7934,18.9244,17.2385,18.4819,18.4819,54874600
2005-11-01,18.5492,20.3551,18.4852,20.22,20.22,43679100
2005-12-01,20.2626,20.9949,19.9214,20.5257,20.5257,44847100
2006-01-01,20.5044,22.9999,20.4902,22.4169,22.4169,71952700
2006-02-01,22.2889,23.4975,22.1325,23.2203,23.2203,48806300
2006-03-01,23.2914,23.4193,20.0565,21.3789,21.3789,78452600
2006-04-01,21.3718,21.8126,20.3337,20.6679,20.6679,47232400
2006-05-01,20.6323,21.3291,18.6061,20.0138,20.0138,58902600
2006-06-01,20.0138,20.7603,18.2577,20.1347,20.1347,57083000
2006-07-01,19.7294,20.8812,19.4521,20.803,20.803,38983300
2006-08-01,20.5115,21.0874,19.4948,21.0874,21.0874,35184400
2006-09-01,21.1869,23.5687,20.1062,22.5449,22.5449,45445900
2006-10-01,22.4311,23.8815,21.2224,23.398,23.398,53513000
2006-11-01,23.5068,25.2824,23.3055,24.2256,24.2256,44338400
2006-12-01,24.2975,27.3167,24.0459,26.5476,26.5476,37760700
2007-01-01,26.2744,27.3024,25.8143,27.137,27.137,57978300
2007-02-01,27.1298,28.2153,25.3758,25.7209,25.7209,50089000
2007-03-01,25.1961,27.9997,24.6426,27.7049,27.7049,64686200
2007-04-01,27.5827,28.4526,27.0076,28.1075,28.1075,46514500
