Date,Open,High,Low,Close,Adj Close,Volume
,ADI,ADI,ADI,ADI,,ADI
1985-01-01,1.8514,2.1131,1.7544,2.084,2.084,8580000
1985-02-01,2.084,2.3457,1.9192,2.1518,2.1518,8726400
1985-03-01,2.1422,2.1615,1.9192,2.0549,2.0549,6685600
1985-04-01,2.0549,2.0646,1.4346,1.4346,1.4346,6649600
1985-05-01,1.4346,1.7447,1.3958,1.706,1.706,9867200
1985-06-01,1.7254,1.7254,1.4443,1.58,1.58,8396000
1985-07-01,1.58,1.8707,1.5218,1.832,1.832,9789600
1985-08-01,1.8514,1.8611,1.6284,1.7254,1.7254,4937600
1985-09-01,1.7254,1.735,1.5024,1.5703,1.5703,6253600
1985-10-01,1.5703,1.6284,1.4927,1.5703,1.5703,9398400
1985-11-01,1.5703,1.9386,1.5509,1.8707,1.8707,5444800
1985-12-01,1.8707,2.1325,1.8611,2.0452,2.0452,11357600
1986-01-01,2.0452,2.0549,1.8998,1.9968,1.9968,6835200
1986-02-01,1.9871,2.4039,1.9386,2.2875,2.2875,8094400
1986-03-01,2.2682,2.3457,2.0355,2.0937,2.0937,8464000
1986-04-01,2.0937,2.4814,2.0161,2.4556,2.4556,9893600
1986-05-01,2.4556,2.559,2.1583,2.3005,2.3005,6924000
1986-06-01,2.3005,2.3005,1.7964,1.8869,1.8869,12531000
1986-07-01,1.8611,1.9257,1.5121,1.8998,1.8998,29706000
1986-08-01,1.9128,2.0161,1.6672,1.874,1.874,8659200
1986-09-01,1.874,2.0161,1.6672,1.7964,1.7964,8496600
1986-10-01,1.7964,1.7964,1.6284,1.7706,1.7706,5891400
1986-11-01,1.7577,1.7835,1.4733,1.6026,1.6026,10411800
1986-12-01,1.6026,1.7189,1.5767,1.6155,1.6155,9205800
1987-01-01,1.6155,2.0937,1.6026,1.9774,1.9774,17466000
1987-02-01,1.9644,2.3909,1.9644,2.1195,2.1195,16826400
1987-03-01,2.1195,2.1971,1.8869,2.0161,2.0161,17123400
1987-04-01,2.0032,2.2488,1.9515,2.1971,2.1971,15632400
1987-05-01,2.1712,2.4685,2.1325,2.2359,2.2359,12336600
1987-06-01,2.2229,2.2229,1.9774,2.0161,2.0161,10003800
1987-07-01,2.0161,2.3263,1.9644,2.3263,2.3263,18245400
1987-08-01,2.3392,2.4556,2.0549,2.1842,2.1842,13474200
1987-09-01,2.1583,2.1842,1.5509,1.9903,1.9903,15521400
1987-10-01,1.9644,2.0678,0.9822,1.3699,1.3699,16564200
1987-11-01,1.357,1.3829,0.9305,0.9951,0.9951,10958400
1987-12-01,1.021,1.2536,0.8659,1.1632,1.1632,15822000
