Date,Open,High,Low,Close,Adj Close,Volume
,ADM,ADM,ADM,ADM,,ADM
1985-01-01,1.2201,1.3636,1.1722,1.3477,1.3477,47600779
1985-02-01,1.3397,1.3796,1.2281,1.252,1.252,34299481
1985-03-01,1.2381,1.3659,1.2381,1.3499,1.3499,44798960
1985-04-01,1.3579,1.3899,1.278,1.302,1.302,25840644
1985-05-01,1.2962,1.4962,1.2642,1.4402,1.4402,39688845
1985-06-01,1.4402,1.5842,1.3602,1.5522,1.5522,48688400
1985-07-01,1.5522,1.5522,1.3442,1.4082,1.4082,52952243
1985-08-01,1.4105,1.4474,1.338,1.4137,1.4137,24131600
1985-09-01,1.3969,1.4137,1.2959,1.3885,1.3885,29310414
1985-10-01,1.3885,1.5147,1.3885,1.5147,1.5147,23163218
1985-11-01,1.5171,1.6773,1.5087,1.652,1.652,35157760
1985-12-01,1.652,1.8206,1.6351,1.7531,1.7531,41704991
1986-01-01,1.7531,1.9301,1.7026,1.8627,1.8627,70221220
1986-02-01,1.8543,1.9133,1.7194,1.888,1.888,52933347
1986-03-01,1.8988,2.0507,1.8482,2.0085,2.0085,54000852
1986-04-01,2.0085,2.0085,1.6541,1.7891,1.7891,100728803
1986-05-01,1.7916,1.9438,1.7325,1.9184,1.9184,50180222
1986-06-01,1.9184,1.9269,1.724,1.8508,1.8508,42741805
1986-07-01,1.8635,2.0156,1.7747,1.8635,1.8635,36782967
1986-08-01,1.8914,2.2392,1.866,2.2258,2.2258,43202559
1986-09-01,2.2258,2.2258,1.7594,1.8926,1.8926,37323414
1986-10-01,1.8926,2.1192,1.8926,2.1192,2.1192,30818287
1986-11-01,2.1088,2.4958,2.042,2.2689,2.2689,114188353
1986-12-01,2.1889,2.349,1.9219,1.962,1.962,62921982
1987-01-01,1.9486,2.0954,1.8685,1.9486,1.9486,97530056
1987-02-01,1.962,2.0821,1.9353,2.0287,2.0287,68596836
1987-03-01,2.0315,2.232,2.0181,2.0983,2.0983,59525119
1987-04-01,2.0582,2.2453,1.9513,2.0983,2.0983,49109064
1987-05-01,2.0849,2.3255,1.978,2.2453,2.2453,43591849
1987-06-01,2.2884,2.7835,2.2081,2.6229,2.6229,94875996
1987-07-01,2.6229,2.7702,2.5159,2.7434,2.7434,49012706
1987-08-01,2.7166,3.1194,2.6765,2.9087,2.9087,63012841
1987-09-01,2.9115,3.0522,2.6583,2.9818,2.9818,45909862
1987-10-01,2.9678,3.0803,1.9691,2.166,2.166,80458533
1987-11-01,2.152,2.2926,1.9832,2.0957,2.0957,54583892
1987-12-01,2.1125,2.4505,2.0703,2.3942,2.3942,49162347
1988-01-01,2.4224,2.535,2.1125,2.2252,2.2252,62496591
1988-02-01,2.2252,2.3519,2.1689,2.3379,2.3379,50480981
1988-03-01,2.3408,2.4254,2.1857,2.2562,2.2562,59275735
1988-04-01,2.2703,2.6229,2.2421,2.5382,2.5382,65587810
1988-05-01,2.5241,2.6088,2.369,2.4395,2.4395,41681323
1988-06-01,2.4422,2.527,2.1458,2.287,2.287,82899343
1988-07-01,2.2587,2.3575,2.174,2.3152,2.3152,43282395
1988-08-01,2.3011,2.3575,2.1049,2.1938,2.1938,34813012
1988-09-01,2.2072,2.4324,2.1471,2.3423,2.3423,59194299
1988-10-01,2.3273,2.6426,2.3123,2.5525,2.5525,72990746
1988-11-01,2.5254,2.5404,2.315,2.4051,2.4051,30772806
1988-12-01,2.4051,2.5855,2.3901,2.5104,2.5104,31052825
1989-01-01,2.5404,2.8862,2.4653,2.826,2.826,55489563
1989-02-01,2.8592,2.9193,2.6635,2.7388,2.7388,38055414
1989-03-01,2.7538,2.8742,2.6786,2.8592,2.8592,32938707
1989-04-01,2.8742,3.2504,2.814,3.2203,3.2203,54494221
1989-05-01,3.2053,3.446,3.1902,3.431,3.431,43139458
1989-06-01,3.4493,3.6752,3.3288,3.4342,3.4342,49137803
1989-07-01,3.4342,4.0367,3.4041,3.9614,3.9614,57067853
1989-08-01,3.9644,4.036,3.5574,3.9094,3.9094,61940363
1989-09-01,3.9094,4.1151,3.7195,4.0043,4.0043,34558290
1989-10-01,3.9885,4.1784,3.4187,3.7986,3.7986,42533781
1989-11-01,3.8302,4.1784,3.7036,4.0677,4.0677,28335651
1989-12-01,4.0869,4.4671,3.9919,4.3958,4.3958,27443469
1990-01-01,4.372,4.4196,3.4691,3.8018,3.8018,43156853
1990-02-01,3.7593,4.021,3.569,3.9972,3.9972,28315446
1990-03-01,3.9972,4.4017,3.8069,4.3303,4.3303,44085939
1990-04-01,4.2114,4.711,4.0924,4.4731,4.4731,46976638
1990-05-01,4.5255,5.0496,4.4779,5.0496,5.0496,48271540
1990-06-01,5.0972,5.1686,4.6684,4.8828,4.8828,36312216
1990-07-01,4.859,5.0496,4.6446,4.7875,4.7875,29804841
1990-08-01,4.7923,4.84,4.1056,4.6063,4.6063,43726804
1990-09-01,4.6313,5.0069,4.5813,4.7065,4.7065,23824854
1990-10-01,4.7065,5.1821,4.1557,4.4561,4.4561,43567476
1990-11-01,4.4561,4.7565,4.406,4.6314,4.6314,22731950
1990-12-01,4.6363,4.9621,4.3607,4.5612,4.5612,33990942
1991-01-01,4.511,4.511,3.8845,4.085,4.085,72569272
1991-02-01,4.1402,4.6671,4.0398,4.4664,4.4664,49900432
1991-03-01,4.4162,4.6169,4.2405,4.4162,4.4162,29304013
1991-04-01,4.4413,4.8678,4.4162,4.5918,4.5918,36258342
1991-05-01,4.5667,4.6922,4.4162,4.5165,4.5165,28314241
1991-06-01,4.4711,4.9233,4.4711,4.7474,4.7474,32594791
1991-07-01,4.7726,5.2498,4.7474,5.0237,5.0237,34926841
1991-08-01,4.9735,5.4596,4.6156,5.4332,5.4332,39898015
1991-09-01,5.4652,5.518,5.2012,5.4124,5.4124,29271725
1991-10-01,5.4652,5.8876,5.1484,5.782,5.782,35375680
1991-11-01,5.8084,6.2573,5.5444,5.782,5.782,27550148
1991-12-01,5.6815,7.0292,5.6551,7.0028,7.0028,34156944
1992-01-01,6.765,6.9235,6.21,6.2893,6.2893,35697470
1992-02-01,6.3157,6.8443,5.9194,6.21,6.21,26069724
1992-03-01,6.2153,6.2682,5.4483,5.5805,5.5805,40761787
1992-04-01,5.5805,5.5805,4.7342,5.1309,5.1309,62801219
1992-05-01,5.1838,5.6334,5.0251,5.4483,5.4483,30862097
1992-06-01,5.4275,5.5864,4.951,5.0039,5.0039,34195549
1992-07-01,5.0039,5.8776,4.9509,5.7717,5.7717,39104466
1992-08-01,5.7717,5.8246,5.4209,5.4487,5.4487,22352986
1992-09-01,5.398,5.7598,5.3424,5.5372,5.5372,22946706
1992-10-01,5.6485,6.0937,5.5372,5.8711,5.8711,31539589
1992-11-01,5.8711,6.0937,5.565,6.0658,6.0658,24184896
1992-12-01,6.0716,6.1552,5.7652,5.9045,5.9045,25853816
1993-01-01,5.9323,6.4615,5.7931,5.8488,5.8488,27775678
1993-02-01,5.8209,5.9602,5.4589,5.9045,5.9045,31960774
1993-03-01,5.8544,6.0216,5.6592,5.7429,5.7429,25837530
1993-04-01,5.6871,5.7429,5.2132,5.5756,5.5756,32323319
1993-05-01,5.5198,5.5477,5.2132,5.3247,5.3247,26836040
1993-06-01,5.33,5.4695,5.1905,5.2742,5.2742,25219480
1993-07-01,5.2463,5.3858,4.9114,5.2463,5.2463,42667267
1993-08-01,5.2184,5.45,5.1347,5.3914,5.3914,31628635
1993-09-01,5.3678,5.6611,5.2212,5.2505,5.2505,25178505
1993-10-01,5.2212,5.4265,5.0745,5.3971,5.3971,25826954
1993-11-01,5.3678,5.4851,5.1038,5.2212,5.2212,27739299
1993-12-01,5.2268,5.6379,5.1387,5.3443,5.3443,37457930
1994-01-01,5.3737,6.4601,5.3149,6.2252,6.2252,44672268
1994-02-01,6.1429,6.3192,6.0253,6.0253,6.0253,23814439
1994-03-01,6.0253,6.1429,5.5257,5.6432,5.6432,31165964
1994-04-01,5.4375,5.702,5.2611,5.4081,5.4081,29612416
1994-05-01,5.3787,5.702,5.2905,5.6726,5.6726,18561419
1994-06-01,5.6494,5.9142,5.4434,5.5023,5.5023,16201409
1994-07-01,5.5611,5.9142,5.5317,5.7965,5.7965,13559717
1994-08-01,5.8259,6.3953,5.6494,6.3644,6.3644,24006043
1994-09-01,6.3399,6.4945,5.876,6.4327,6.4327,28338230
1994-10-01,6.3708,7.2059,6.1544,7.0822,7.0822,37666459
1994-11-01,7.0605,7.2463,6.7508,6.8437,6.8437,31409435
1994-12-01,6.8437,7.8501,6.8127,7.6643,7.6643,28539445
1995-01-01,7.5714,7.8037,7.1534,7.4785,7.4785,36127304
1995-02-01,7.4879,7.6275,6.7903,7.0229,7.0229,32458005
1995-03-01,7.0694,7.4879,6.8368,6.9298,6.9298,38019994
1995-04-01,6.9298,7.3949,6.6973,6.7903,6.7903,34169884
1995-05-01,6.7903,7.1624,6.6973,6.8833,6.8833,43126082
1995-06-01,6.8462,7.2654,6.7065,6.9393,6.9393,31928095
1995-07-01,6.9859,7.0791,5.5887,6.1476,6.1476,126892739
1995-08-01,6.1476,6.6995,5.9147,6.5039,6.5039,64018962
1995-09-01,6.5138,6.5627,6.024,6.024,6.024,42916298
1995-10-01,6.073,6.5138,5.8281,6.2689,6.2689,55706435
1995-11-01,6.3179,6.9545,6.2689,6.7586,6.7586,35804544
1995-12-01,6.829,7.222,6.7307,7.0746,7.0746,24280123
1996-01-01,7.0746,7.5659,6.5833,7.4676,7.4676,47601269
1996-02-01,7.4873,7.7336,7.3396,7.5859,7.5859,27592168
1996-03-01,7.6351,7.6844,7.0933,7.241,7.241,22835093
1996-04-01,7.2903,7.6844,7.044,7.4381,7.4381,24391081
1996-05-01,7.4381,7.9799,7.241,7.6844,7.6844,26425079
1996-06-01,7.6554,7.853,7.3591,7.5566,7.5566,20577036
1996-07-01,7.5566,7.6554,6.47,7.0133,7.0133,23506750
1996-08-01,6.9639,7.6233,6.9145,7.364,7.364,25321413
1996-09-01,7.2804,8.0084,7.2284,8.0084,8.0084,28548633
1996-10-01,7.9564,9.3085,7.9044,9.1005,9.1005,38152395
1996-11-01,9.0484,9.5685,8.8924,9.1525,9.1525,25050726
1996-12-01,9.1206,9.6418,8.5473,9.1727,9.1727,28042207
1997-01-01,9.1727,9.5897,8.0261,8.2346,8.2346,39417189
1997-02-01,8.2867,8.2867,7.7134,7.7134,7.7134,31661482
1997-03-01,7.6811,7.9946,7.2631,7.4721,7.4721,38789131
1997-04-01,7.4721,7.7856,7.1064,7.6811,7.6811,37783930
1997-05-01,7.6811,8.4649,7.4721,8.3604,8.3604,39645261
1997-06-01,8.382,10.0584,8.2249,9.8489,9.8489,57161587
1997-07-01,9.7441,10.006,9.1678,9.4298,9.4298,42108104
1997-08-01,9.3774,9.8227,8.9321,9.5162,9.5162,40409043
1997-09-01,9.5649,10.8604,9.5098,10.5572,10.5572,38163861
1997-10-01,10.5572,10.7777,7.9386,9.813,9.813,33982880
1997-11-01,9.7579,10.2265,9.1239,9.4271,9.4271,24675144
1997-12-01,9.6401,9.8938,9.02,9.7811,9.7811,28394348
1998-01-01,9.8374,10.3448,9.3583,9.4992,9.4992,27920906
1998-02-01,9.5556,10.3166,9.5556,10.1193,10.1193,19539991
1998-03-01,10.1426,10.6794,9.6623,9.9165,9.9165,26251774
1998-04-01,9.9448,10.2838,9.6058,9.7188,9.7188,32957114
1998-05-01,9.7188,9.747,8.3627,8.5604,8.5604,32739904
1998-06-01,8.5524,9.9684,8.4108,8.779,8.779,46078747
1998-07-01,8.7507,9.0055,7.4196,7.7595,7.7595,36345947
1998-08-01,7.7312,8.2126,7.077,7.1365,7.1365,30479247
1998-09-01,7.1582,8.56,7.0687,7.9933,7.9933,29472322
1998-10-01,7.8441,8.3214,7.6354,7.9634,7.9634,28780990
1998-11-01,8.0231,9.2459,7.874,8.7687,8.7687,23210382
1998-12-01,8.735,9.0939,7.5384,8.1965,8.1965,27508065
1999-01-01,8.1666,8.1666,7.2093,7.2393,7.2393,31279259
1999-02-01,7.2991,7.7179,7.2093,7.2393,7.2393,26350557
1999-03-01,7.2631,7.5332,6.9329,7.053,7.053,27307334
1999-04-01,7.023,7.8933,6.4827,7.203,7.203,31247542
1999-05-01,7.2931,8.0434,6.9629,7.203,7.203,27643391
1999-06-01,7.2259,7.5571,7.0753,7.4366,7.4366,21646778
1999-07-01,7.3764,7.4065,6.5936,6.7141,6.7141,27085647
1999-08-01,6.7442,7.1958,6.4807,6.5756,6.5756,32375073
1999-09-01,6.5991,6.8529,5.9963,6.155,6.155,24134058
1999-10-01,6.1867,6.4722,5.806,6.2184,6.2184,27773962
1999-11-01,6.2184,7.2019,5.8377,6.2819,6.2819,30906497
1999-12-01,6.2757,6.7855,5.9572,6.1802,6.1802,34669660
2000-01-01,6.1165,6.8492,5.8935,5.989,5.989,30476630
2000-02-01,5.989,6.212,5.1289,5.1289,5.1289,25707988
2000-03-01,5.0864,5.5662,4.5106,5.2783,5.2783,41544408
2000-04-01,5.4063,5.7902,4.8625,5.0864,5.0864,29958348
2000-05-01,5.1824,6.238,5.0544,6.1101,6.1101,35248802
2000-06-01,6.172,6.4291,5.0147,5.0469,5.0469,34136601
2000-07-01,5.0147,5.5291,4.7897,4.8219,4.8219,30614663
2000-08-01,4.8862,5.2076,4.5904,4.7676,4.7676,44182086
2000-09-01,4.7836,4.9532,4.4443,4.6818,4.6818,54500880
2000-10-01,4.7836,5.971,4.6818,5.971,5.971,42617505
2000-11-01,5.937,6.9887,5.8353,6.9209,6.9209,32003685
2000-12-01,6.9527,8.2819,6.6459,8.1796,8.1796,35695170
2001-01-01,8.1796,8.1796,7.2935,8.1414,8.1414,42096495
2001-02-01,8.1414,8.7487,7.9061,8.2344,8.2344,36589245
2001-03-01,8.2891,8.4861,6.8666,7.1949,7.1949,32716950
2001-04-01,7.1894,7.2988,5.8817,6.5164,6.5164,42603225
2001-05-01,6.5711,7.4137,6.2757,7.3864,7.3864,37738050
2001-06-01,7.3325,7.7993,7.1402,7.1677,7.1677,30970905
2001-07-01,7.305,7.7884,7.1073,7.3545,7.3545,29535870
2001-08-01,7.3325,8.1316,7.1402,7.7452,7.7452,32177050
2001-09-01,7.9021,8.1394,6.7153,7.2884,7.2884,23129300
2001-10-01,7.1495,8.1915,6.8311,8.0641,8.0641,37037000
2001-11-01,7.9484,9.0541,7.9484,8.9093,8.9093,32108900
2001-12-01,8.8522,9.1775,8.2249,8.3352,8.3352,30206300
2002-01-01,8.2597,8.3526,7.6208,8.0971,8.0971,32616600
2002-02-01,8.0971,8.2655,7.522,8.0448,8.0448,21495200
2002-03-01,8.104,8.6579,7.7542,8.1215,8.1215,27067300
2002-04-01,8.1215,8.4888,7.5735,7.7367,7.7367,27512200
2002-05-01,7.7834,8.5296,7.6959,8.483,8.483,30202700
2002-06-01,8.5144,8.5846,7.2972,7.4845,7.4845,33746900
2002-07-01,7.3733,7.4845,5.8518,6.8466,6.8466,40969700
2002-08-01,6.7881,7.3675,6.3902,7.1334,7.1334,32927000
2002-09-01,7.028,7.5809,6.9692,7.3574,7.3574,28091000
2002-10-01,7.375,8.069,7.028,8.0102,8.0102,34669800
2002-11-01,8.0396,8.4983,7.7397,7.8397,7.8397,30106900
2002-12-01,7.874,7.874,7.1593,7.3247,7.3247,28710400
2003-01-01,7.3837,7.6436,6.9584,7.1179,7.1179,26032300
2003-02-01,7.1061,7.2833,6.2082,6.4386,6.4386,26944700
2003-03-01,6.7379,6.7497,6.2333,6.4114,6.4114,35543900
2003-04-01,6.4351,7.0109,6.3401,6.5776,6.5776,31766200
2003-05-01,6.6073,7.1534,6.3936,7.1059,7.1059,39238300
2003-06-01,7.2826,7.8616,7.1811,7.6825,7.6825,32781900
2003-07-01,7.6527,7.9631,7.1334,7.8437,7.8437,35624100
2003-08-01,7.8437,8.3272,7.6288,8.2795,8.2795,25810000
2003-09-01,8.3161,8.478,7.7046,7.8605,7.8605,37037500
2003-10-01,7.8844,8.9577,7.8605,8.6039,8.6039,26814400
2003-11-01,8.6039,8.7838,8.4241,8.568,8.568,34181800
2003-12-01,8.6101,9.1761,8.4596,9.164,9.164,42768200
2004-01-01,9.17,9.8504,8.9713,9.4289,9.4289,71075700
2004-02-01,9.6216,10.7355,9.4831,10.3562,10.3562,75532400
2004-03-01,10.4327,10.596,9.7191,10.2029,10.2029,57214600
2004-04-01,10.1545,10.8561,10.0033,10.6202,10.6202,44971800
2004-05-01,10.6867,10.8258,9.5679,10.0577,10.0577,46354600
