Date,Open,High,Low,Close,Adj Close,Volume
,ADP,ADP,ADP,ADP,,ADP
1985-01-01,0.9611,1.1317,0.9549,1.0945,1.0945,49882475
1985-02-01,1.0914,1.1472,1.0728,1.1162,1.1162,38374702
1985-03-01,1.1255,1.1348,1.0356,1.0759,1.0759,28979247
1985-04-01,1.0798,1.1171,1.0331,1.0424,1.0424,19509142
1985-05-01,1.0455,1.17,1.0424,1.1607,1.1607,43908683
1985-06-01,1.1607,1.3629,1.1451,1.3318,1.3318,38203218
1985-07-01,1.3365,1.3365,1.2616,1.2834,1.2834,40876395
1985-08-01,1.2897,1.3115,1.2147,1.2928,1.2928,24853474
1985-09-01,1.2959,1.3178,1.2241,1.2366,1.2366,27409639
1985-10-01,1.2408,1.3662,1.1907,1.3662,1.3662,33155453
1985-11-01,1.3662,1.4508,1.3474,1.4414,1.4414,26772110
1985-12-01,1.4382,1.504,1.4163,1.479,1.479,34991372
1986-01-01,1.477,1.5744,1.4079,1.565,1.565,48050593
1986-02-01,1.565,1.697,1.5399,1.6939,1.6939,28093569
1986-03-01,1.6939,1.7819,1.6216,1.7567,1.7567,38578468
1986-04-01,1.7641,1.8145,1.5971,1.7137,1.7137,29255644
1986-05-01,1.7137,1.9531,1.6885,1.8586,1.8586,30891827
1986-06-01,1.8523,1.8775,1.6633,1.783,1.783,24508487
1986-07-01,1.7877,1.8635,1.5414,1.6298,1.6298,38247605
1986-08-01,1.6045,1.9204,1.4656,1.8888,1.8888,35699512
1986-09-01,1.8572,1.9014,1.5035,1.6045,1.6045,36233137
1986-10-01,1.6348,1.9199,1.6094,1.8946,1.8946,34866291
1986-11-01,1.8882,1.9136,1.6981,1.8249,1.8249,20498720
1986-12-01,1.8375,1.8882,1.7488,1.7869,1.7869,35106368
1987-01-01,1.8044,2.3762,1.8044,2.2618,2.2618,68748039
1987-02-01,2.254,2.3432,2.114,2.2286,2.2286,40496095
1987-03-01,2.2286,2.5979,2.1776,2.3623,2.3623,48980657
1987-04-01,2.3304,2.5851,2.1967,2.3432,2.3432,43147079
1987-05-01,2.3432,2.4387,2.1522,2.3623,2.3623,33718336
1987-06-01,2.3623,2.5851,2.3177,2.4323,2.4323,28483953
1987-07-01,2.425,2.5143,2.2208,2.3803,2.3803,33145365
1987-08-01,2.3867,2.7823,2.3867,2.6036,2.6036,39358230
1987-09-01,2.6164,2.6802,2.4377,2.559,2.559,38650092
1987-10-01,2.5582,2.6925,1.65,2.1617,2.1617,80253791
