Date,Open,High,Low,Close,Adj Close,Volume
,ADSK,ADSK,ADSK,ADSK,,ADSK
1985-06-01,0.0,0.4536,0.4443,0.4443,0.4443,14728800
1985-07-01,0.4443,0.5647,0.4443,0.5554,0.5554,28507200
1985-08-01,0.5739,0.6295,0.5369,0.611,0.611,15914400
1985-09-01,0.611,0.6295,0.5369,0.5369,0.5369,13944000
1985-10-01,0.5369,0.5647,0.4814,0.5462,0.5462,12316800
1985-11-01,0.5462,0.7961,0.5369,0.7868,0.7868,33772800
1985-12-01,0.7868,0.9349,0.7868,0.9164,0.9164,15098400
1986-01-01,0.9627,0.972,0.7868,0.9072,0.9072,12753600
1986-02-01,0.9164,1.1386,0.8609,1.0738,1.0738,28860000
1986-03-01,1.0738,1.0738,0.9349,0.9349,0.9349,18468000
1986-04-01,0.9349,1.1386,0.8609,1.1016,1.1016,20112000
1986-05-01,1.1016,1.2497,1.0645,1.2126,1.2126,24856800
1986-06-01,1.2126,1.4903,1.1988,1.4903,1.4903,18103200
1986-07-01,1.4903,1.4903,0.8609,0.9997,0.9997,26407200
1986-08-01,0.9997,1.3422,0.9442,1.2682,1.2682,26563200
1986-09-01,1.2682,1.2867,1.083,1.1941,1.1941,27091200
1986-10-01,1.1941,1.4163,1.1664,1.3654,1.3654,22766400
1986-11-01,1.3654,1.4765,1.3237,1.4718,1.4718,21295200
1986-12-01,1.4718,1.4718,1.3654,1.4209,1.4209,18213600
1987-01-01,1.4209,1.8976,1.4163,1.8514,1.8514,46245600
1987-02-01,1.8514,2.6289,1.8097,2.5317,2.5317,40303200
1987-03-01,2.5317,3.4435,2.4207,3.4158,3.4158,31210400
1987-04-01,3.4158,3.7768,2.666,3.0548,3.0548,36804000
1987-05-01,3.0548,3.2214,2.7215,2.8326,2.8326,18588800
1987-06-01,2.8326,2.9992,2.5549,2.8048,2.8048,58417600
1987-07-01,2.8048,2.8326,2.1106,2.6937,2.6937,42956800
1987-08-01,2.6937,3.388,2.6104,3.1658,3.1658,46640800
1987-09-01,3.1658,3.3602,2.777,3.0548,3.0548,20477600
1987-10-01,3.0548,3.749,1.333,2.1106,2.1106,52285600
1987-11-01,2.1106,2.1383,1.694,1.9439,1.9439,35265600
1987-12-01,1.9439,2.4993,1.9162,2.3049,2.3049,31163200
1988-01-01,2.3049,2.6104,1.7773,2.0828,2.0828,26293600
1988-02-01,2.0828,2.5549,1.8606,2.5271,2.5271,28485600
1988-03-01,2.5271,2.9159,2.4716,2.5827,2.5827,41852800
1988-04-01,2.5827,3.2769,2.5271,3.1381,3.1381,43360000
1988-05-01,3.1381,3.3602,2.8326,3.1381,3.1381,29140000
