Date,Open,High,Low,Close,Adj Close,Volume
,AES,AES,AES,AES,,AES
1991-06-01,1.9945,2.2018,1.9945,2.1111,2.1111,25228614
1991-07-01,2.15,2.7198,2.0464,2.5903,2.5903,27886014
1991-08-01,2.6162,2.8234,2.3054,2.7457,2.7457,6517428
1991-09-01,2.7457,2.9012,2.7198,2.7975,2.7975,6643500
1991-10-01,2.7846,2.9789,2.4867,2.7975,2.7975,8648910
1991-11-01,2.7975,2.8753,2.5903,2.6292,2.6292,6592824
1991-12-01,2.6162,3.5487,2.6162,3.5487,3.5487,11295804
1992-01-01,3.4451,3.5746,3.3415,3.4192,3.4192,7473474
1992-02-01,3.3933,3.5228,3.1602,3.3674,3.3674,9047520
1992-03-01,3.3674,3.9114,3.3415,3.8596,3.8596,18224202
1992-04-01,3.8078,3.8855,3.4451,3.6783,3.6783,16034010
1992-05-01,3.6264,3.756,2.5644,3.0048,3.0048,44004072
1992-06-01,3.0307,3.0825,1.7096,1.9945,1.9945,47025474
1992-07-01,1.9945,2.3831,1.8132,2.2147,2.2147,25824366
1992-08-01,2.15,2.3313,1.9168,2.0464,2.0464,8535816
1992-09-01,2.0982,2.3831,2.0204,2.1759,2.1759,8183556
1992-10-01,2.1608,2.3951,2.0827,2.317,2.317,12349494
1992-11-01,2.2649,2.7075,2.1868,2.6945,2.6945,8427666
1992-12-01,2.6554,2.9027,2.369,2.8897,2.8897,6196068
1993-01-01,2.8116,3.0719,2.7335,2.8376,2.8376,8062428
1993-02-01,2.8116,3.15,2.7075,2.9938,2.9938,7767024
1993-03-01,2.9579,3.2197,2.9317,3.2197,3.2197,4886526
1993-04-01,3.2197,3.3767,3.115,3.2982,3.2982,7676796
1993-05-01,3.3244,3.3767,2.9841,3.1673,3.1673,5320980
1993-06-01,3.115,3.3505,2.9579,3.1673,3.1673,17417094
1993-07-01,3.1673,3.3767,3.128,3.3244,3.3244,16428294
1993-08-01,3.3775,3.4038,3.2455,3.2983,3.2983,6896880
1993-09-01,3.3511,3.483,3.2719,3.3907,3.3907,7980234
1993-10-01,3.4038,3.5226,3.2455,3.4566,3.4566,14740536
1993-11-01,3.5094,3.5358,3.2455,3.4038,3.4038,10702524
1993-12-01,3.5097,3.7224,3.3502,3.7224,3.7224,7423416
1994-01-01,3.6692,3.8819,3.6692,3.7889,3.7889,7330716
1994-02-01,3.7889,3.9085,3.4698,3.6692,3.6692,5968644
1994-03-01,3.5895,3.8204,3.2042,3.2863,3.2863,10931584
1994-04-01,3.1631,3.5328,2.8756,2.9166,2.9166,11486000
1994-05-01,2.9166,2.9988,2.6291,2.9372,2.9372,10567200
1994-06-01,2.8756,3.1631,2.7523,3.081,3.081,8287600
1994-07-01,3.122,3.1631,2.7112,2.8756,2.8756,8730400
1994-08-01,2.8756,2.9166,2.588,2.8345,2.8345,8381600
1994-09-01,2.7934,3.3069,2.7523,3.2453,3.2453,10881200
1994-10-01,3.2453,3.5739,2.9166,3.2453,3.2453,12964800
1994-11-01,3.2453,3.3274,2.8756,3.2042,3.2042,7507600
1994-12-01,3.1072,3.2729,2.9001,3.2315,3.2315,8968400
1995-01-01,3.1901,3.2729,2.8586,2.9001,2.9001,8730400
