Date,Open,High,Low,Close,Adj Close,Volume
,AKAM,AKAM,AKAM,AKAM,,AKAM
1999-10-01,110.0,165.0,110.0,145.1875,145.1875,11474900
1999-11-01,144.0,249.5,143.0,237.0,237.0,22351700
1999-12-01,238.125,344.875,201.0,327.625,327.625,9370200
2000-01-01,344.1875,345.5,207.5,249.125,249.125,15349700
2000-02-01,255.25,275.375,216.0,261.25,261.25,11107300
2000-03-01,259.375,305.9375,155.0,160.8125,160.8125,16738700
2000-04-01,157.125,157.875,56.625,98.875,98.875,35834700
2000-05-01,105.5,113.375,58.875,66.75,66.75,29889100
2000-06-01,74.625,120.0,71.5,118.7344,118.7344,54647400
2000-07-01,118.75,132.9375,72.5,78.8594,78.8594,39810800
2000-08-01,79.0625,81.0,60.6875,75.5625,75.5625,47014000
2000-09-01,76.3125,76.75,45.5,52.5156,52.5156,45417700
2000-10-01,53.125,60.0,35.0,51.0,51.0,74132900
2000-11-01,49.8125,58.7344,26.75,28.75,28.75,54035000
2000-12-01,30.3125,42.5,18.0625,21.0625,21.0625,72936900
2001-01-01,22.0,37.4375,17.6875,29.0625,29.0625,93578800
2001-02-01,28.6875,28.8125,16.125,16.9375,16.9375,45618200
2001-03-01,16.5,17.125,7.2188,8.5625,8.5625,66058700
2001-04-01,8.2188,12.65,5.5,9.45,9.45,73920600
2001-05-01,9.58,13.34,8.8,10.33,10.33,74255800
2001-06-01,10.75,10.82,6.05,9.18,9.18,51798100
2001-07-01,9.06,9.33,7.33,7.75,7.75,27810900
2001-08-01,7.81,8.24,4.0,4.21,4.21,40644500
2001-09-01,4.22,4.32,2.52,2.91,2.91,25301000
2001-10-01,2.94,4.82,2.62,3.16,3.16,29492700
2001-11-01,3.19,6.75,3.02,5.76,5.76,45068300
2001-12-01,5.59,6.62,4.72,5.94,5.94,39805500
2002-01-01,6.06,6.34,3.93,4.61,4.61,36521000
2002-02-01,4.61,4.62,3.05,3.11,3.11,17905100
2002-03-01,3.15,4.94,3.07,4.0,4.0,17618700
2002-04-01,4.05,4.44,2.23,2.29,2.29,27481000
2002-05-01,2.35,2.7,1.75,2.0,2.0,25508100
2002-06-01,2.03,2.05,0.76,1.3,1.3,30823600
2002-07-01,1.29,1.55,1.02,1.06,1.06,17024100
2002-08-01,1.05,1.26,0.75,0.95,0.95,21555300
2002-09-01,0.9,1.01,0.77,0.83,0.83,12465300
2002-10-01,0.87,1.05,0.56,0.97,0.97,15521800
2002-11-01,0.96,2.75,0.93,2.06,2.06,38335600
2002-12-01,2.18,2.32,1.4,1.73,1.73,25123600
2003-01-01,1.8,1.96,1.26,1.33,1.33,19601400
2003-02-01,1.33,1.72,1.18,1.53,1.53,13368200
2003-03-01,1.57,1.59,1.28,1.41,1.41,10261200
2003-04-01,1.44,2.75,1.36,2.42,2.42,27913200
