Date,Open,High,Low,Close,Adj Close,Volume
,ALB,ALB,ALB,ALB,,ALB
1994-02-01,4.3889,4.3889,3.7194,3.9425,3.9425,304600
1994-03-01,3.9425,4.7236,3.8309,4.3889,4.3889,17307800
1994-04-01,4.2544,4.5903,4.1051,4.329,4.329,6840200
1994-05-01,4.2917,4.9261,4.2171,4.8142,4.8142,5185000
1994-06-01,4.8142,5.15,4.5156,4.8888,4.8888,7265200
1994-07-01,4.9044,5.2788,4.7546,5.2039,5.2039,6778600
1994-08-01,5.1664,5.2788,4.3802,4.4926,4.4926,10002400
1994-09-01,4.5674,4.5674,4.2679,4.3054,4.3054,8592800
1994-10-01,4.3576,4.8084,4.2073,4.583,4.583,5407400
1994-11-01,4.6581,4.6957,3.9444,4.0571,4.0571,4389600
1994-12-01,4.0946,4.2073,3.8692,4.1697,4.1697,2474400
1995-01-01,4.1481,4.3744,3.8465,3.9596,3.9596,3555000
1995-02-01,3.9596,4.3744,3.771,4.299,4.299,5384400
1995-03-01,4.2613,4.2613,3.6956,3.8465,3.8465,6118000
1995-04-01,3.8608,4.2393,3.8229,4.1257,4.1257,5932000
1995-05-01,4.0879,4.8449,4.05,4.6178,4.6178,6721800
1995-06-01,4.6556,4.8827,4.5421,4.7313,4.7313,3667400
1995-07-01,4.6708,5.0126,4.5949,4.7468,4.7468,2816400
1995-08-01,4.7468,5.1265,4.7468,4.9746,4.9746,9296800
1995-09-01,4.9746,5.848,4.8607,5.6961,5.6961,10204000
1995-10-01,5.7133,5.8657,5.5991,5.6752,5.6752,4876400
1995-11-01,5.6371,6.0942,4.9515,5.5991,5.5991,8630800
1995-12-01,5.6752,6.0561,5.0658,5.9038,5.9038,8670600
1996-01-01,5.8445,5.8445,5.2715,5.6917,5.6917,4595400
1996-02-01,5.6535,6.0355,5.6535,5.8827,5.8827,4600600
1996-03-01,5.9591,6.9523,5.8827,6.8377,6.8377,11718200
1996-04-01,6.8552,7.2382,5.9744,7.1616,7.1616,4097200
1996-05-01,7.085,7.3914,6.6254,6.8935,6.8935,3803200
1996-06-01,6.8935,7.0467,5.5914,5.5914,5.5914,2888800
1996-07-01,5.6817,5.912,4.4148,5.1442,5.1442,5700800
1996-08-01,5.221,5.8352,4.9523,4.9523,4.9523,6638600
1996-09-01,4.9907,5.3362,4.9139,5.2594,5.2594,2814600
1996-10-01,5.2818,5.5902,4.7806,4.9734,4.9734,2594200
1996-11-01,4.9348,5.7059,4.8963,5.5902,5.5902,2222600
1996-12-01,5.5517,5.8986,4.8577,5.5902,5.5902,2644400
1997-01-01,5.6107,6.1138,5.5334,5.8042,5.8042,2175400
1997-02-01,5.8042,6.1525,5.7268,6.0751,6.0751,2243200
1997-03-01,6.0751,6.1912,5.5334,5.5334,5.5334,2888200
1997-04-01,5.592,5.9027,5.4367,5.4755,5.4755,2093800
