Date,Open,High,Low,Close,Adj Close,Volume
,ALGN,ALGN,ALGN,ALGN,,ALGN
2001-01-01,18.125,18.1875,13.4375,13.5,13.5,2025000
2001-02-01,13.125,14.5625,7.125,7.5,7.5,12337000
2001-03-01,7.4844,10.5,6.125,7.25,7.25,7244800
2001-04-01,7.2969,9.4,5.35,8.75,8.75,3155600
2001-05-01,9.0,12.45,7.9,10.0,10.0,7957700
2001-06-01,10.0,10.53,7.6,7.84,7.84,5532100
2001-07-01,8.02,8.1,6.5,7.46,7.46,6629800
2001-08-01,7.5,8.25,6.48,6.6,6.6,4726300
2001-09-01,6.73,7.25,2.18,2.18,2.18,7072000
2001-10-01,2.43,5.79,2.14,4.36,4.36,7439200
2001-11-01,4.35,5.5,2.95,4.0,4.0,4217600
2001-12-01,4.0,5.16,3.6,4.5,4.5,2439200
2002-01-01,4.5,6.25,4.0,4.88,4.88,9522800
2002-02-01,4.89,5.58,4.1,4.25,4.25,3194500
2002-03-01,4.25,5.4,4.03,5.3,5.3,3407000
2002-04-01,5.34,5.52,3.33,3.85,3.85,4833000
2002-05-01,3.83,4.08,3.51,3.85,3.85,2635800
2002-06-01,3.86,4.15,3.09,3.92,3.92,5225100
2002-07-01,3.92,3.92,1.53,2.35,2.35,5747800
2002-08-01,2.35,3.74,2.18,3.0,3.0,1872800
2002-09-01,2.95,3.4,2.52,2.75,2.75,2081300
2002-10-01,2.8,3.08,1.66,1.77,1.77,2765000
2002-11-01,2.02,3.62,1.26,3.59,3.59,7927800
2002-12-01,3.49,3.51,2.38,2.76,2.76,3148300
2003-01-01,2.95,3.35,2.54,3.3,3.3,2232000
2003-02-01,3.3,4.99,3.11,4.71,4.71,4309400
2003-03-01,4.65,6.24,4.1,6.05,6.05,5050500
2003-04-01,6.13,7.66,5.53,7.52,7.52,8055100
2003-05-01,7.66,11.4,6.8,10.13,10.13,10898000
2003-06-01,10.17,12.69,9.25,12.6,12.6,8403500
