Date,Open,High,Low,Close,Adj Close,Volume
,AMAT,AMAT,AMAT,AMAT,,AMAT
1985-01-01,0.1535,0.1997,0.145,0.199,0.199,135372800
1985-02-01,0.199,0.2047,0.1678,0.1678,0.1678,203392000
1985-03-01,0.1678,0.1692,0.1507,0.1564,0.1564,151859200
1985-04-01,0.1564,0.1592,0.1294,0.1308,0.1308,80320000
1985-05-01,0.1351,0.1635,0.1308,0.145,0.145,147161600
1985-06-01,0.145,0.145,0.1152,0.1194,0.1194,199321600
1985-07-01,0.1201,0.1429,0.1201,0.1422,0.1422,139712000
1985-08-01,0.1429,0.145,0.1152,0.1251,0.1251,70233600
1985-09-01,0.1294,0.1308,0.108,0.108,0.108,70412800
1985-10-01,0.1109,0.118,0.1024,0.1137,0.1137,114470400
1985-11-01,0.1137,0.1294,0.1088,0.1294,0.1294,56729600
1985-12-01,0.1294,0.1479,0.118,0.118,0.118,154009600
1986-01-01,0.118,0.1393,0.118,0.1336,0.1336,67033600
1986-02-01,0.1336,0.1678,0.1294,0.1656,0.1656,163097600
1986-03-01,0.1656,0.1692,0.145,0.1542,0.1542,151616000
1986-04-01,0.1542,0.1862,0.1422,0.1805,0.1805,168755200
1986-05-01,0.1805,0.1884,0.1592,0.1649,0.1649,95724800
1986-06-01,0.1649,0.1656,0.1279,0.1308,0.1308,85708800
1986-07-01,0.1308,0.1365,0.0967,0.1052,0.1052,78918400
1986-08-01,0.1052,0.1251,0.091,0.1223,0.1223,141420800
1986-09-01,0.1223,0.1279,0.0995,0.108,0.108,47603200
1986-10-01,0.108,0.1166,0.091,0.1166,0.1166,48883200
1986-11-01,0.1166,0.1251,0.108,0.1109,0.1109,47110400
1986-12-01,0.1109,0.1223,0.1024,0.108,0.108,35673600
1987-01-01,0.108,0.1678,0.108,0.1507,0.1507,301792000
1987-02-01,0.1507,0.2275,0.1479,0.1877,0.1877,288793600
1987-03-01,0.1877,0.2047,0.182,0.1933,0.1933,244038400
1987-04-01,0.1933,0.2644,0.1848,0.2616,0.2616,386809600
1987-05-01,0.2673,0.2843,0.2445,0.263,0.263,221350400
1987-06-01,0.263,0.2673,0.2189,0.2246,0.2246,159660800
1987-07-01,0.2246,0.2858,0.2076,0.2644,0.2644,179577600
1987-08-01,0.2644,0.3583,0.2531,0.3469,0.3469,277081600
1987-09-01,0.3469,0.3469,0.3128,0.3327,0.3327,194233600
1987-10-01,0.3327,0.381,0.1279,0.1763,0.1763,403699200
1987-11-01,0.1763,0.1905,0.1479,0.1649,0.1649,192928000
1987-12-01,0.1678,0.2502,0.1564,0.2218,0.2218,166284800
1988-01-01,0.2246,0.2474,0.1933,0.2104,0.2104,244332800
