Date,Open,High,Low,Close,Adj Close,Volume
,AMCR,AMCR,AMCR,AMCR,,AMCR
2012-05-01,4.7073,4.7073,4.7073,4.7073,4.7073,0
2012-06-01,4.7073,4.7073,4.5239,4.5239,4.5239,1900
2012-07-01,4.5239,4.5239,4.5239,4.5239,4.5239,0
2012-08-01,4.5239,4.7685,4.5239,4.6156,4.6156,2100
2012-09-01,4.6156,4.6156,4.6156,4.6156,4.6156,0
2012-10-01,4.6156,4.8602,4.6156,4.8602,4.8602,10000
2012-11-01,4.8296,5.013,4.8296,5.013,5.013,20100
2012-12-01,5.013,5.1169,5.013,5.1169,5.1169,200
2013-01-01,5.1169,5.5938,5.1169,5.4042,5.4042,133000
2013-02-01,5.4042,6.1379,5.4042,5.8444,5.8444,16900
2013-03-01,5.6671,6.0339,5.4165,5.9667,5.9667,9900
2013-04-01,5.9667,6.3274,5.8444,6.144,6.144,51900
2013-05-01,6.1134,6.2907,5.8505,5.875,5.875,6500
2013-06-01,5.875,5.875,5.3798,5.6121,5.6121,13600
2013-07-01,5.6488,6.1134,5.6488,5.8689,5.8689,40900
2013-08-01,5.8689,6.0828,5.716,5.7466,5.7466,8700
2013-09-01,5.7466,6.3213,5.7466,6.0217,6.0217,7200
2013-10-01,5.9728,6.3885,5.8689,6.2968,6.2968,41400
2013-11-01,6.2968,6.4557,6.2051,6.2051,6.2051,52000
2013-12-01,6.1256,6.3579,5.6549,5.6855,5.6855,11600
2014-01-01,5.8322,5.8689,5.5143,5.6977,5.6977,15800
2014-02-01,5.6977,6.0156,5.6549,5.8627,5.8627,6500
2014-03-01,5.9724,5.9724,5.6983,5.6983,5.6983,600
2014-04-01,5.6983,5.9101,5.6983,5.9101,5.9101,31000
2014-05-01,5.9101,6.1031,5.9101,6.0409,6.0409,2100
2014-06-01,6.0409,6.1343,6.0409,6.1343,6.1343,200
2014-07-01,6.1343,6.1343,5.9225,5.9225,5.9225,4600
2014-08-01,5.9225,5.9225,5.9225,5.9225,5.9225,0
2014-09-01,5.9225,6.4021,5.9225,6.4021,6.4021,200
2014-10-01,6.553,6.553,6.2725,6.2725,6.2725,300
2014-11-01,6.2725,6.6486,6.2725,6.6486,6.6486,2300
2014-12-01,6.6486,7.1394,6.6486,7.1394,7.1394,900
2015-01-01,7.1394,7.1394,6.2661,6.2661,6.2661,5200
2015-02-01,6.2661,6.5275,6.2661,6.5275,6.5275,500
2015-03-01,6.5275,6.8844,6.5275,6.7633,6.7633,400
2015-04-01,6.7633,6.7633,6.7633,6.7633,6.7633,0
2015-05-01,6.7633,6.7633,6.6613,6.7633,6.7633,1800
2015-06-01,6.7633,6.7633,6.7633,6.7633,6.7633,0
2015-07-01,6.7633,6.7633,6.6295,6.6295,6.6295,2800
2015-08-01,6.5657,6.5657,5.992,5.992,5.992,12100
2015-09-01,5.992,5.992,5.992,5.992,5.992,3100
2015-10-01,6.1203,6.1463,6.1203,6.1463,6.1463,600
2015-11-01,6.1463,6.2896,6.1398,6.2896,6.2896,200
2015-12-01,6.2896,6.2896,6.0942,6.2831,6.2831,13600
2016-01-01,6.2831,6.2831,5.6645,5.6645,5.6645,37600
2016-02-01,5.6645,5.6645,5.6645,5.6645,5.6645,5000
2016-03-01,5.793,6.9716,5.793,6.9716,6.9716,35400
2016-04-01,6.9716,7.3245,6.9716,7.3245,7.3245,16600
2016-05-01,7.3245,7.8306,7.3245,7.8306,7.8306,43000
2016-06-01,7.8306,7.9371,7.4444,7.4444,7.4444,1500
2016-07-01,7.3911,7.491,7.3911,7.491,7.491,9300
2016-08-01,7.491,7.7973,7.491,7.7973,7.7973,700
2016-09-01,7.7973,7.7973,7.7973,7.7973,7.7973,0
2016-10-01,7.9466,7.9466,7.9466,7.9466,7.9466,60000
2016-11-01,7.9466,7.9466,7.9466,7.9466,7.9466,0
2016-12-01,7.9466,7.9466,7.2137,7.2137,7.2137,6700
2017-01-01,7.2137,7.2137,7.2137,7.2137,7.2137,0
2017-02-01,7.2137,7.2137,7.2137,7.2137,7.2137,0
2017-03-01,7.3506,7.9868,7.3091,7.9868,7.9868,18300
2017-04-01,7.9868,8.0974,7.7793,8.0213,8.0213,4300
2017-05-01,8.0213,8.0213,7.6064,7.6064,7.6064,17300
2017-06-01,7.9522,8.8511,7.9522,8.5953,8.5953,76200
2017-07-01,8.5953,8.5953,8.4017,8.5054,8.5054,2200
2017-08-01,8.5054,8.8304,8.5054,8.8304,8.8304,42700
2017-09-01,8.8304,8.8304,8.3256,8.3325,8.3325,33200
2017-10-01,8.652,8.652,8.652,8.652,8.652,70000
2017-11-01,8.652,8.652,8.1135,8.1135,8.1135,5100
2017-12-01,8.1135,8.4725,8.1135,8.4725,8.4725,28200
2018-01-01,8.4725,8.4725,8.3217,8.4366,8.4366,9500
2018-02-01,8.4366,8.4366,7.8263,7.9771,7.9771,22800
2018-03-01,8.1278,8.1278,7.8571,7.8644,7.8644,18200
2018-04-01,7.8644,7.9888,7.7181,7.9376,7.9376,220000
2018-05-01,7.4621,7.6303,7.4621,7.623,7.623,180300
2018-06-01,7.623,7.8278,7.3157,7.6815,7.6815,33600
2018-07-01,7.6815,8.1205,7.4255,8.1205,8.1205,18800
2018-08-01,8.1205,8.1205,7.5352,7.5572,7.5572,6900
2018-09-01,7.5572,7.5572,7.1328,7.2792,7.2792,8400
2018-10-01,7.4112,7.4112,6.7374,6.7374,6.7374,43400
2018-11-01,6.7374,7.4486,6.7374,7.3812,7.3812,94600
2018-12-01,7.3812,7.3812,6.5503,6.962,6.962,1570300
2019-01-01,6.962,7.254,6.962,7.254,7.254,268000
2019-02-01,7.254,8.0101,7.254,8.0101,8.0101,51600
2019-03-01,8.0101,8.0849,7.7106,8.0475,8.0475,137700
2019-04-01,8.4232,8.5912,8.2705,8.4003,8.4003,231600
2019-05-01,8.4914,9.024,8.4914,8.6072,8.6072,335800
2019-06-01,8.6072,8.9546,8.0745,8.8696,8.8696,175772600
2019-07-01,8.7847,9.0858,8.1209,8.1826,8.1826,108613900
2019-08-01,8.1903,8.2907,7.1945,7.5805,7.5805,104475200
2019-09-01,7.5959,8.0205,7.3643,7.5265,7.5265,110183700
2019-10-01,7.6197,7.6822,7.1742,7.4399,7.4399,150299400
2019-11-01,7.5024,8.1042,7.479,8.0182,8.0182,141184700
2019-12-01,8.1184,8.8535,7.8259,8.569,8.569,115779100
2020-01-01,8.6006,8.7192,8.15,8.3713,8.3713,177671700
2020-02-01,8.3713,8.7745,7.2172,7.3674,7.3674,161870000
2020-03-01,7.652,7.7706,4.5849,6.4188,6.4188,342274900
2020-04-01,6.3671,7.471,6.2072,7.175,7.175,137790300
2020-05-01,7.103,8.1829,6.7431,8.1669,8.1669,125862800
2020-06-01,8.2134,8.9174,7.3961,8.2619,8.2619,330380900
2020-07-01,8.2457,8.8607,8.1324,8.3347,8.3347,177790300
2020-08-01,8.4157,9.3786,8.3509,8.9497,8.9497,128763400
2020-09-01,8.885,9.2491,8.448,8.9416,8.9416,173141400
2020-10-01,9.173,9.4755,8.3882,8.5272,8.5272,116977600
2020-11-01,8.6662,10.1378,8.658,9.263,9.263,123492700
2020-12-01,9.4711,9.7766,9.2151,9.7188,9.7188,101168000
2021-01-01,9.661,9.8097,8.9674,9.0335,9.0335,127039300
2021-02-01,9.0995,9.5619,8.8023,9.0335,9.0335,121707200
2021-03-01,9.2529,10.0289,8.6188,9.7452,9.7452,175030400
2021-04-01,9.7452,10.0706,9.4782,9.8036,9.8036,104625400
2021-05-01,9.8036,10.6463,9.7285,9.8453,9.8453,133724900
2021-06-01,10.0279,10.3565,9.5054,9.6571,9.6571,134530800
2021-07-01,9.7582,9.8509,9.3959,9.7414,9.7414,128398900
2021-08-01,9.7751,10.8874,9.6402,10.8284,10.8284,131510100
2021-09-01,10.7863,10.8284,9.7498,9.7666,9.7666,113945900
2021-10-01,9.9605,10.4028,9.7733,10.2667,10.2667,100744400
2021-11-01,10.3177,10.6239,9.6117,9.6287,9.6287,126054400
2021-12-01,9.9067,10.4137,9.6662,10.3192,10.3192,144282600
2022-01-01,10.3278,10.7402,9.8896,10.3192,10.3192,142818600
2022-02-01,10.3278,10.5254,9.6232,9.9927,9.9927,189079300
2022-03-01,10.0426,10.1901,9.2527,9.8342,9.8342,189481700
2022-04-01,9.9384,10.6588,9.8342,10.2943,10.2943,165372500
2022-05-01,10.2943,11.6049,9.9992,11.3706,11.3706,326544400
2022-06-01,11.4323,11.9229,10.1533,10.8892,10.8892,207839800
2022-07-01,10.8278,11.4411,10.6088,11.3447,11.3447,192003400
2022-08-01,11.3272,11.7126,10.4774,10.5212,10.5212,202344400
2022-09-01,10.4774,10.9242,9.251,9.3999,9.3999,154568600
2022-10-01,9.62,10.4076,9.2217,10.2483,10.2483,166058600
2022-11-01,10.3191,10.9652,9.4784,10.9298,10.9298,167620500
2022-12-01,11.1235,11.4275,10.4976,10.6496,10.6496,144958700
2023-01-01,10.6496,11.0609,10.3545,10.7837,10.7837,143240800
2023-02-01,10.6943,10.9536,9.8985,9.9611,9.9611,184078300
2023-03-01,9.9981,10.2964,9.5642,10.2874,10.2874,176665600
2023-04-01,10.1879,10.2964,9.6184,9.9167,9.9167,143456000
2023-05-01,9.9439,10.0252,8.6873,8.7144,8.7144,184826700
2023-06-01,8.8658,9.5063,8.7194,9.1311,9.1311,161171400
2023-07-01,9.1037,9.4697,8.6005,9.3873,9.3873,137353000
2023-08-01,9.3233,9.3416,8.4632,8.9116,8.9116,165689000
2023-09-01,8.9482,8.9848,8.1796,8.3809,8.3809,138540100
2023-10-01,8.4169,8.4447,7.8329,8.2408,8.2408,170162700
2023-11-01,8.3242,8.8248,7.9627,8.7877,8.7877,172406700
2023-12-01,8.8877,9.3763,8.6904,9.0568,9.0568,168326500
2024-01-01,9.0568,9.3293,8.7374,8.8595,8.8595,170778300
2024-02-01,8.8971,8.9817,8.2489,8.5119,8.5119,217125600
2024-03-01,8.6204,9.1062,8.5537,9.0586,9.0586,170487000
2024-04-01,9.0967,9.1062,8.3823,8.5156,8.5156,150813500
2024-05-01,9.1062,10.0111,8.8586,9.6873,9.6873,211373800
2024-06-01,9.7801,9.9826,9.3653,9.4329,9.4329,141894600
2024-07-01,9.4425,10.243,9.1049,10.1562,10.1562,256216300
2024-08-01,10.1562,11.0436,9.7319,11.0339,11.0339,225496300
2024-09-01,10.9761,11.0725,10.4263,10.9278,10.9278,167949400
2024-10-01,11.0997,11.1778,10.612,10.8559,10.8559,142649000
2024-11-01,10.2024,10.4462,9.1685,10.378,10.378,315190400
2024-12-01,10.4883,10.508,9.1748,9.2933,9.2933,322434100
2025-01-01,9.2933,9.8068,9.1748,9.5994,9.5994,331893800
2025-02-01,9.4711,10.3006,9.2834,9.9945,9.9945,446786900
2025-03-01,10.18,10.45,9.25,9.7,9.7,575564500
2025-04-01,9.75,9.82,8.37,9.2,9.2,1132131000
2025-05-01,9.19,9.47,8.85,9.06,9.06,643673810
