Date,Open,High,Low,Close,Adj Close,Volume
,AMD,AMD,AMD,AMD,,AMD
1985-01-01,14.6875,18.1875,13.1875,17.5625,17.5625,25653400
1985-02-01,17.3125,18.0625,15.8125,16.625,16.625,14944400
1985-03-01,16.6875,17.0,15.0625,16.6875,16.6875,17758000
1985-04-01,16.8125,17.0,13.5,13.9375,13.9375,14843600
1985-05-01,13.875,15.125,13.0,13.25,13.25,17080800
1985-06-01,13.3125,13.8125,11.0625,13.0,13.0,23443200
1985-07-01,13.0625,15.375,12.375,14.875,14.875,19431600
1985-08-01,15.0,15.4375,13.25,13.25,13.25,12519000
1985-09-01,13.25,14.125,12.5,13.125,13.125,13307200
1985-10-01,13.0,13.0,11.0,11.6875,11.6875,19180200
1985-11-01,11.75,13.9375,11.375,13.9375,13.9375,19094600
1985-12-01,13.875,15.5625,13.5,14.5,14.5,18101000
1986-01-01,14.4375,14.875,13.1875,13.6875,13.6875,14869600
1986-02-01,13.625,16.4375,13.4375,15.5625,15.5625,21612800
1986-03-01,15.4375,16.75,14.0625,14.25,14.25,13787400
1986-04-01,14.25,15.75,13.5,14.1875,14.1875,18287400
1986-05-01,14.125,14.5625,12.1875,13.3125,13.3125,15569000
1986-06-01,13.25,13.3125,10.0,10.0,10.0,17810400
1986-07-01,10.1875,10.3125,7.0625,7.875,7.875,23084800
1986-08-01,7.8125,9.9375,7.1875,9.6875,9.6875,15832800
1986-09-01,9.625,10.1875,7.625,7.875,7.875,17338600
1986-10-01,7.9375,8.0625,6.4375,6.875,6.875,14083400
1986-11-01,7.0,8.25,7.0,7.8125,7.8125,10927000
1986-12-01,7.625,8.4375,6.6875,6.875,6.875,10165000
1987-01-01,6.8125,9.375,6.75,8.75,8.75,26551600
1987-02-01,8.75,12.25,8.6875,10.875,10.875,36902000
1987-03-01,11.0,11.0,9.375,9.9375,9.9375,21468600
1987-04-01,9.6875,12.125,9.6875,11.0625,11.0625,28259400
1987-05-01,11.0625,11.9375,10.0,10.8125,10.8125,20350400
1987-06-01,10.875,11.125,9.0625,9.5,9.5,20074000
1987-07-01,9.4375,9.625,8.375,9.0625,9.0625,19259200
1987-08-01,8.9375,11.6875,8.875,11.0,11.0,34374400
1987-09-01,10.9375,11.5,9.6875,11.0,11.0,19773000
1987-10-01,11.0625,12.4375,4.75,5.75,5.75,48820400
1987-11-01,5.3125,5.625,4.375,4.625,4.625,18541400
1987-12-01,4.6875,5.375,3.75,4.9375,4.9375,25248400
