Date,Open,High,Low,Close,Adj Close,Volume
,AMT,AMT,AMT,AMT,,AMT
1998-02-01,13.0428,13.5119,13.0428,13.0428,13.0428,50000
1998-03-01,12.9489,15.2009,11.6353,15.1071,15.1071,2002800
1998-04-01,15.1071,19.6111,14.9194,17.2652,17.2652,2525300
1998-05-01,17.2652,17.3591,14.0749,16.8899,16.8899,2409600
1998-06-01,16.8899,18.7197,15.0133,18.7197,18.7197,9436400
1998-07-01,18.7666,21.4877,18.0159,18.0159,18.0159,14686700
1998-08-01,18.0159,18.7197,10.7908,11.8229,11.8229,7402100
1998-09-01,12.0106,19.1419,11.6353,19.1419,19.1419,8117300
1998-10-01,18.3912,18.5789,9.9463,16.4208,16.4208,8010600
1998-11-01,16.1392,18.4382,13.2304,17.3591,17.3591,6122100
1998-12-01,17.2652,22.2384,16.9838,22.1915,22.1915,5513500
1999-01-01,22.1445,22.7075,18.1097,19.3296,19.3296,5257300
1999-02-01,19.3296,20.4556,17.9221,20.1271,20.1271,17235700
1999-03-01,20.221,20.221,15.3886,18.3912,18.3912,11233400
1999-04-01,18.5789,19.6111,15.3886,15.9047,15.9047,8203200
1999-05-01,15.9985,20.1741,15.5763,16.8899,16.8899,10181700
1999-06-01,16.7492,19.8926,16.5146,18.0159,18.0159,7521500
1999-07-01,18.5789,19.5172,16.7492,17.406,17.406,10058400
1999-08-01,17.2652,18.3912,14.7318,17.0776,17.0776,9290000
1999-09-01,17.2652,18.7197,14.6379,14.7318,14.7318,16602100
1999-10-01,14.6848,15.1071,12.8551,14.3095,14.3095,21553700
1999-11-01,14.4972,20.4556,13.9342,19.6111,19.6111,25393800
1999-12-01,19.5642,24.9595,19.2827,22.9421,22.9421,20685500
2000-01-01,22.8952,33.4983,21.4408,26.93,26.93,23128100
2000-02-01,27.0239,37.3455,25.7571,36.9701,36.9701,24642700
2000-03-01,36.9701,41.6618,30.871,37.064,37.064,27105200
2000-04-01,36.7825,37.8616,28.7129,34.9527,34.9527,15696400
2000-05-01,35.1873,35.375,27.2584,27.8684,27.8684,19925600
2000-06-01,28.619,33.686,28.1499,31.2933,31.2933,15545900
2000-07-01,31.434,35.7503,31.0587,32.1847,32.1847,17688400
2000-08-01,32.2785,34.5305,25.5225,27.3054,27.3054,24864500
2000-09-01,27.4461,28.9005,20.7371,28.2906,28.2906,26937900
