Date,Open,High,Low,Close,Adj Close,Volume
,AON,AON,AON,AON,,AON
1985-01-01,2.5559,2.7654,2.5307,2.7067,2.7067,8535375
1985-02-01,2.7067,2.9749,2.6983,2.9497,2.9497,6027750
1985-03-01,2.9497,3.067,2.7821,2.9372,2.9372,7181325
1985-04-01,2.9497,3.0377,2.8659,2.9749,2.9749,4465125
1985-05-01,2.9749,3.2682,2.9581,3.2011,3.2011,4619700
1985-06-01,3.2011,3.3184,3.1257,3.2388,3.2388,5420250
1985-07-01,3.2388,3.352,3.1173,3.1676,3.1676,7943400
1985-08-01,3.1676,3.243,2.9162,2.9749,2.9749,6824250
1985-09-01,2.9749,3.0168,2.7486,2.7821,2.7821,4866075
1985-10-01,2.7821,3.0084,2.7821,2.9916,2.9916,8296425
1985-11-01,2.9916,3.419,2.9749,3.4106,3.4106,5759100
1985-12-01,3.4106,3.5196,3.3394,3.4693,3.4693,6011550
1986-01-01,3.4609,3.6536,3.419,3.5698,3.5698,7668675
1986-02-01,3.5698,4.0643,3.5447,4.0182,4.0182,7393275
1986-03-01,3.9972,4.3953,3.905,4.2067,4.2067,5198850
1986-04-01,4.2067,4.3576,3.9469,4.0056,4.0056,4250475
1986-05-01,4.0056,4.1439,3.7416,3.9637,3.9637,7657875
1986-06-01,3.9637,4.0978,3.6536,4.0559,4.0559,6761475
1986-07-01,4.0559,4.2235,3.6411,3.662,3.662,7468875
1986-08-01,3.662,4.0726,3.6201,3.9427,3.9427,6683850
1986-09-01,3.9427,4.0056,3.419,3.6411,3.6411,4390200
1986-10-01,3.6536,3.9218,3.6536,3.7542,3.7542,3453975
1986-11-01,3.7542,3.8548,3.595,3.6872,3.6872,5875200
1986-12-01,3.6704,3.8422,3.5196,3.5405,3.5405,9996075
1987-01-01,3.5405,4.2235,3.5405,3.9302,3.9302,5919075
1987-02-01,3.9302,3.9888,3.8212,3.8631,3.8631,7857000
1987-03-01,3.8631,3.9218,3.6201,3.6285,3.6285,12039975
1987-04-01,3.6201,3.8045,3.2011,3.3687,3.3687,10355175
1987-05-01,3.3687,3.3855,3.1173,3.3017,3.3017,9101026
1987-06-01,3.3017,3.6201,3.2849,3.4525,3.4525,7641345
1987-07-01,3.4525,3.8045,3.4525,3.6872,3.6872,7373709
1987-08-01,3.6872,4.0056,3.5531,3.9553,3.9553,9842857
1987-09-01,3.9553,3.9553,3.6704,3.7877,3.7877,4580896
1987-10-01,3.7877,3.8715,2.8157,3.1006,3.1006,7001108
1987-11-01,3.1006,3.3352,2.7486,3.1341,3.1341,7190105
1987-12-01,3.1844,3.2682,2.7486,3.067,3.067,10419981
1988-01-01,3.0838,3.2849,2.933,3.067,3.067,5609592
1988-02-01,3.109,3.6356,3.092,3.5507,3.5507,5343305
1988-03-01,3.5847,3.6696,3.2789,3.3978,3.3978,5161057
1988-04-01,3.3978,3.4997,3.1769,3.4148,3.4148,3503592
1988-05-01,3.4427,3.4427,3.0985,3.4255,3.4255,4614304
1988-06-01,3.4255,3.6321,3.3739,3.6321,3.6321,4703406
1988-07-01,3.6493,3.8214,3.6149,3.7698,3.7698,3011179
1988-08-01,3.7698,3.8042,3.6149,3.7698,3.7698,4219094
1988-09-01,3.8146,3.9365,3.7101,3.7972,3.7972,2086430
1988-10-01,3.7623,4.0062,3.7449,4.0062,4.0062,3133019
1988-11-01,4.0062,4.0062,3.6927,3.832,3.832,5398656
1988-12-01,3.8755,3.946,3.6641,3.946,3.946,5041919
1989-01-01,3.9108,4.0869,3.8051,4.0165,4.0165,4635230
1989-02-01,4.0165,4.1222,3.8931,3.9988,3.9988,2916004
1989-03-01,4.0629,4.2589,4.0451,4.2589,4.2589,3706769
1989-04-01,4.2589,4.7579,4.2411,4.5618,4.5618,4506643
1989-05-01,4.544,4.8826,4.4193,4.847,4.847,6207980
1989-06-01,4.9194,5.2258,4.9014,5.2258,5.2258,3793166
1989-07-01,5.1897,5.4781,5.0276,5.2438,5.2438,3816793
1989-08-01,5.2798,5.3159,4.9735,5.0276,5.0276,4338231
1989-09-01,5.0766,5.2039,4.9128,4.9856,4.9856,6984231
1989-10-01,4.9856,5.4223,4.8582,5.2039,5.2039,4772254
1989-11-01,5.1857,5.7134,5.1857,5.6588,5.6588,6326443
1989-12-01,5.7332,6.3579,5.6413,6.2109,6.2109,6527931
1990-01-01,6.2477,6.266,5.4024,5.4575,5.4575,4935943
1990-02-01,5.3657,5.6229,5.3657,5.4943,5.4943,4223478
1990-03-01,5.528,5.6022,5.1756,5.5651,5.5651,4149568
1990-04-01,5.528,5.6579,5.0086,5.1756,5.1756,3818141
1990-05-01,5.1756,5.8619,5.157,5.8248,5.8248,3103655
1990-06-01,5.9066,6.2066,5.6066,5.6253,5.6253,3601806
1990-07-01,5.6441,5.9816,5.2503,5.4941,5.4941,2794506
1990-08-01,5.4003,5.4566,4.7253,5.2503,5.2503,6043618
1990-09-01,5.2485,5.3622,4.3959,4.6611,4.6611,4903882
1990-10-01,4.6611,4.8506,4.0548,4.7748,4.7748,4597432
1990-11-01,4.8151,5.4482,4.5849,5.2947,5.2947,4010855
1990-12-01,5.3331,5.4674,5.1796,5.3331,5.3331,3346656
1991-01-01,5.3523,5.3715,4.5657,5.0262,5.0262,6429043
1991-02-01,5.0463,5.8615,4.9881,5.3957,5.3957,6636605
1991-03-01,5.4151,5.8033,5.3375,5.7257,5.7257,3501230
1991-04-01,5.7257,6.1138,5.6868,5.7257,5.7257,5558628
1991-05-01,5.6092,6.3467,5.6092,6.3467,6.3467,3924454
1991-06-01,6.4163,6.5537,5.8277,5.9258,5.9258,3061130
1991-07-01,5.965,6.3967,5.8866,5.9847,5.9847,3761105
1991-08-01,6.0667,6.1658,5.9081,6.0072,6.0072,4236644
1991-09-01,5.9874,6.0072,5.5512,5.8685,5.8685,3509667
1991-10-01,5.8883,5.9874,5.5116,5.9676,5.9676,3598767
1991-11-01,6.0317,6.2922,5.6911,5.9115,5.9115,3946730
1991-12-01,5.8714,6.3924,5.8113,6.3523,6.3523,5241379
1992-01-01,6.3323,6.9335,6.2722,6.713,6.713,5254208
1992-02-01,6.7768,7.323,6.7161,6.9184,6.9184,3479630
1992-03-01,6.9184,7.06,6.5745,6.615,6.615,3373317
1992-04-01,6.615,7.1612,6.4329,7.1612,7.1612,3363194
1992-05-01,7.211,7.2314,6.9046,6.9863,6.9863,3468492
1992-06-01,6.9658,7.5174,6.7411,7.497,7.497,5606891
1992-07-01,7.64,8.1302,7.2518,7.5991,7.5991,8973117
1992-08-01,7.6909,7.7115,7.3816,7.4022,7.4022,6058806
1992-09-01,7.4022,8.0414,7.2167,8.0208,8.0208,7447281
1992-10-01,8.0827,8.4332,7.7734,8.0827,8.0827,3914330
1992-11-01,8.1503,8.5869,7.9424,8.379,8.379,4413155
1992-12-01,8.379,8.9819,8.3166,8.9819,8.9819,5039892
1993-01-01,8.9612,8.9612,8.3374,8.4622,8.4622,4976440
1993-02-01,8.5326,9.3083,8.3858,8.5955,8.5955,5991981
1993-03-01,8.6165,9.476,8.6165,9.476,9.476,4511368
1993-04-01,9.4341,9.5179,8.5955,8.5955,8.5955,3154955
1993-05-01,8.691,9.2407,8.5006,8.8178,8.8178,5418567
1993-06-01,8.8178,9.0504,8.5852,8.987,8.987,4103329
1993-07-01,8.9658,9.5791,8.9447,9.1562,9.1562,3188707
1993-08-01,9.2528,9.5513,9.2315,9.466,9.466,3923779
1993-09-01,9.466,9.9777,9.3381,9.5087,9.5087,3989929
1993-10-01,9.5087,9.5726,8.6346,8.8691,8.8691,4484704
1993-11-01,8.9243,9.0748,8.4727,8.5157,8.5157,7405432
1993-12-01,8.5587,8.6662,7.9566,8.3221,8.3221,7405431
1994-01-01,8.3006,8.4297,7.7415,8.4297,8.4297,6816156
1994-02-01,8.4297,8.6877,7.9136,8.5802,8.5802,4942018
1994-03-01,8.6808,9.1148,8.2468,8.3336,8.3336,6238692
1994-04-01,8.2902,8.3336,7.8778,8.008,8.008,3454655
1994-05-01,8.1361,9.0133,7.9387,8.7173,8.7173,3617552
1994-06-01,8.6844,9.2107,8.487,8.9146,8.9146,3620025
1994-07-01,8.816,8.9475,8.5199,8.7502,8.7502,2803500
1994-08-01,8.8346,9.4988,8.8013,9.1003,9.1003,5199075
1994-09-01,9.1335,9.2995,8.7017,8.8678,8.8678,3726900
1994-10-01,8.8346,9.0338,8.2699,8.2699,8.2699,3953925
1994-11-01,8.3528,8.856,7.8496,8.487,8.487,7830900
1994-12-01,8.4534,8.6883,8.2186,8.5876,8.5876,4162950
1995-01-01,8.5541,9.0237,8.4199,8.8225,8.8225,3059550
1995-02-01,8.8225,9.4263,8.7889,9.3256,9.3256,3141900
1995-03-01,9.4163,10.1784,9.2469,9.8905,9.8905,5629950
1995-04-01,9.8905,10.2969,9.8227,9.9921,9.9921,3351825
1995-05-01,10.0496,10.2889,9.742,9.9813,9.9813,5882625
1995-06-01,9.9471,10.3231,9.8445,10.1864,10.1864,6614325
1995-07-01,10.118,10.6649,9.9471,10.3914,10.3914,4289175
1995-08-01,10.0004,10.759,10.0004,10.759,10.759,5752125
1995-09-01,10.7245,11.5177,10.5521,11.2763,11.2763,6923025
1995-10-01,11.2763,12.1039,11.1728,11.3452,11.3452,8991000
1995-11-01,11.5441,13.2827,11.5441,13.1088,13.1088,9479700
1995-12-01,13.1436,14.152,13.0741,13.8738,13.8738,6788700
1996-01-01,13.6304,15.2299,13.5261,15.1256,15.1256,9254250
1996-02-01,15.1604,15.4038,14.4649,14.4649,14.4649,6564375
1996-03-01,14.6245,15.1143,13.9247,14.4845,14.4845,6977475
1996-04-01,14.4495,15.6741,14.2046,15.0093,15.0093,20654100
1996-05-01,15.1098,15.1803,14.0884,14.1941,14.1941,8729550
1996-06-01,14.1236,14.6519,14.0532,14.2997,14.2997,8015625
1996-07-01,14.335,14.7576,13.384,13.701,13.701,9127350
1996-08-01,13.7688,14.514,13.5558,14.3365,14.3365,5902650
1996-09-01,14.2301,15.4721,13.8752,15.4011,15.4011,5196600
1996-10-01,15.4011,16.4657,15.3302,16.3948,16.3948,9578475
1996-11-01,16.5737,17.7882,16.0022,17.3953,17.3953,7112925
1996-12-01,17.431,18.5026,16.1808,17.7525,17.7525,9993600
1997-01-01,17.7882,18.7169,17.3953,18.4668,18.4668,9041625
1997-02-01,18.4311,18.8598,17.7167,18.1097,18.1097,7167150
1997-03-01,18.176,19.3254,17.5653,17.6012,17.6012,7849350
1997-04-01,17.5653,19.1458,17.3139,19.1099,19.1099,8374500
1997-05-01,19.0067,21.3012,18.9344,21.1386,21.1386,6496800
1997-06-01,21.1386,23.1441,20.8676,22.4395,22.4395,6943050
1997-07-01,22.3311,24.3365,22.3311,24.2823,24.2823,6699300
1997-08-01,24.201,24.2823,21.8432,22.0872,22.0872,6366600
1997-09-01,22.3535,23.8238,21.809,22.9798,22.9798,5866800
1997-10-01,23.0887,25.4575,21.7818,23.4971,23.4971,8481750
1997-11-01,23.9946,24.3777,22.4351,23.1465,23.1465,5224200
1997-12-01,23.2559,25.773,23.2285,25.6636,25.6636,6017100
1998-01-01,25.4447,25.773,23.6937,24.4324,24.4324,6365250
1998-02-01,24.8154,26.2655,23.9673,26.1834,26.1834,7340850
1998-03-01,26.3057,29.4668,26.0308,28.4772,28.4772,8271150
1998-04-01,28.4772,29.989,27.5701,28.3672,28.3672,8661600
1998-05-01,28.2848,29.1644,27.2952,28.1748,28.1748,5608200
1998-06-01,28.2149,31.9143,27.1658,31.0308,31.0308,10764300
1998-07-01,31.3069,33.3775,29.3468,30.0369,30.0369,8179950
1998-08-01,30.313,30.5891,27.5523,27.6075,27.6075,10676700
1998-09-01,27.888,30.9651,26.1138,28.6087,28.6087,8998050
1998-10-01,28.387,28.4424,21.4011,27.4999,27.4999,14764050
1998-11-01,27.7383,28.1282,23.8394,25.6774,25.6774,14667000
1998-12-01,25.7053,25.9559,23.6166,24.6749,24.6749,8577150
1999-01-01,24.647,25.4547,22.2798,22.614,22.614,13174500
1999-02-01,22.614,27.4877,21.862,26.2623,26.2623,16112250
1999-03-01,26.2972,30.4701,25.9332,28.3417,28.3417,14163450
1999-04-01,28.2576,31.3662,28.2576,30.6941,30.6941,13179750
1999-05-01,31.0574,31.3388,28.3146,29.032,29.032,13189900
1999-06-01,29.0742,29.4539,26.8799,27.8504,27.8504,9012000
1999-07-01,26.7533,29.1164,24.8122,25.2764,25.2764,7262200
1999-08-01,25.4175,25.757,22.5321,22.6594,22.6594,8885500
1999-09-01,22.5745,23.5505,19.7315,20.0709,20.0709,14525200
1999-10-01,19.689,25.46,17.6947,24.1021,24.1021,22651000
1999-11-01,24.414,28.5968,21.8531,24.3713,24.3713,19765400
1999-12-01,24.2006,28.042,22.8775,27.3164,27.3164,14263900
2000-01-01,26.8895,29.1944,15.5362,17.6703,17.6703,48931400
2000-02-01,17.841,19.4202,14.1277,14.3838,14.3838,22038900
2000-03-01,14.4522,22.8827,14.4092,22.1945,22.1945,27535400
2000-04-01,22.1945,22.3665,16.8179,18.6244,18.6244,19971500
2000-05-01,18.8256,24.855,18.0448,24.3778,24.3778,17027600
2000-06-01,24.2911,25.6358,21.1679,21.5583,21.5583,15957800
2000-07-01,21.6017,25.4189,20.1269,24.9851,24.9851,17390900
2000-08-01,25.0507,27.6692,24.0905,25.9781,25.9781,17562600
2000-09-01,26.2726,29.3276,24.4397,27.4073,27.4073,19702000
2000-10-01,27.2328,29.5458,25.0943,28.9348,28.9348,18496600
2000-11-01,29.1752,29.57,19.7426,21.8046,21.8046,61425600
2000-12-01,21.9362,24.5247,21.0588,24.0421,24.0421,22164400
2001-01-01,24.0421,25.095,21.6291,24.6738,24.6738,21091700
2001-02-01,24.6809,26.8008,22.6031,24.0561,24.0561,17675300
2001-03-01,24.3691,26.2763,22.6456,25.0755,25.0755,18827000
2001-04-01,25.2521,25.4286,21.0139,23.4791,23.4791,27103100
2001-05-01,23.2743,24.7929,22.7092,24.7223,24.7223,22494800
2001-06-01,24.8339,25.9646,24.5352,24.8908,24.8908,18873900
2001-07-01,24.7841,25.5308,23.6533,25.2108,25.2108,18136900
2001-08-01,25.4458,28.1299,25.2239,26.591,26.591,20945700
2001-09-01,26.7341,30.0625,24.2647,30.0625,30.0625,26900900
2001-10-01,29.7046,32.0667,26.8916,27.2281,27.2281,27654800
2001-11-01,27.5225,29.0268,23.3913,25.788,25.788,30723400
2001-12-01,25.7808,26.1047,24.4349,25.5649,25.5649,20663800
2002-01-01,25.716,26.0759,23.4273,23.9671,23.9671,21772600
2002-02-01,23.8951,25.3634,22.8587,24.9243,24.9243,17171300
2002-03-01,25.187,25.948,24.6506,25.3682,25.3682,14576900
2002-04-01,25.2232,28.7241,25.0058,25.8973,25.8973,27528900
2002-05-01,26.0766,26.4413,24.1072,24.3844,24.3844,15158900
2002-06-01,24.3625,24.7272,20.4236,21.5032,21.5032,20310300
2002-07-01,21.5032,21.7585,14.953,17.3236,17.3236,34115100
2002-08-01,17.4902,18.0793,9.7945,14.5518,14.5518,71873500
2002-09-01,14.5518,16.0541,14.4193,15.0894,15.0894,30693000
2002-10-01,15.0894,16.1646,12.4825,13.4987,13.4987,37044700
2002-11-01,13.3293,14.1321,11.4809,13.4324,13.4324,73939300
2002-12-01,13.6259,14.7397,13.3363,14.0269,14.0269,28521600
2003-01-01,14.1828,15.8461,13.8189,14.0566,14.0566,28286400
2003-02-01,14.1828,15.2966,13.1581,14.4427,14.4427,24453500
2003-03-01,14.6773,15.6133,13.0373,15.486,15.486,25559800
2003-04-01,15.486,17.6277,15.3887,16.5943,16.5943,30377800
2003-05-01,16.7356,19.5927,16.3737,19.3439,19.3439,31216400
2003-06-01,19.4268,20.1958,18.1528,18.1528,18.1528,24244300
2003-07-01,18.1528,18.4318,17.1125,18.1302,18.1302,36307100
2003-08-01,17.9116,17.9794,15.7179,16.7356,16.7356,30660900
2003-09-01,16.9923,17.2958,15.4827,15.8165,15.8165,27121400
2003-10-01,15.8924,16.871,15.6496,16.613,16.613,32022600
2003-11-01,16.6504,17.2233,15.5201,16.7574,16.7574,25572500
2003-12-01,16.8414,18.4071,16.6123,18.2849,18.2849,23034500
2004-01-01,18.3766,19.1786,17.926,18.7661,18.7661,25809400
2004-02-01,18.789,20.3701,18.4071,20.034,20.034,21774100
2004-03-01,20.1574,22.363,20.1344,21.4485,21.4485,26103100
2004-04-01,21.387,22.3169,19.9422,20.0268,20.0268,34589100
2004-05-01,20.1189,21.3556,19.4387,21.3556,21.3556,24051700
2004-06-01,21.2783,22.2444,21.1778,22.0048,22.0048,22303400
2004-07-01,21.9507,21.9971,19.6629,20.4358,20.4358,20876400
2004-08-01,20.5586,20.9161,19.0118,20.17,20.17,24683000
2004-09-01,20.2477,22.8826,20.1233,22.3385,22.3385,18608800
2004-10-01,22.3463,22.5795,14.1073,15.8639,15.8639,95290400
2004-11-01,15.9753,16.5936,15.4352,16.531,16.531,45476700
2004-12-01,16.6328,18.7852,16.5936,18.6757,18.6757,33252600
2005-01-01,18.8635,18.9731,16.711,17.799,17.799,29203600
2005-02-01,17.846,19.9123,16.8754,19.1844,19.1844,32791700
2005-03-01,19.2409,19.8555,17.6414,17.996,17.996,27219800
2005-04-01,18.1457,18.3742,16.3099,16.428,16.428,26829800
2005-05-01,16.5459,20.7121,16.3792,19.7836,19.7836,44225300
2005-06-01,19.7043,20.1963,19.244,19.8709,19.8709,26609000
2005-07-01,19.863,20.601,19.6805,20.1884,20.1884,25637400
2005-08-01,20.4432,24.163,20.0042,23.8837,23.8837,33626100
2005-09-01,23.7639,26.2385,23.7001,25.6079,25.6079,38988200
2005-10-01,25.6957,27.5955,24.4424,27.0208,27.0208,38623400
2005-11-01,27.0213,29.7795,26.8609,29.1942,29.1942,43237900
2005-12-01,29.2503,29.5871,28.1679,28.8254,28.8254,23068700
2006-01-01,28.8815,30.7096,27.4142,27.4382,27.4382,36858600
2006-02-01,27.5615,32.3201,26.9334,31.8934,31.8934,44790600
2006-03-01,31.9256,33.9466,31.5391,33.4232,33.4232,40025500
2006-04-01,33.3749,34.2203,32.0705,33.7453,33.7453,24572500
2006-05-01,33.8668,34.5537,28.2587,28.8082,28.8082,54514000
2006-06-01,28.9294,29.5355,26.6183,28.1375,28.1375,41152500
2006-07-01,28.283,28.5254,26.2951,27.6607,27.6607,24662600
2006-08-01,27.7827,28.5132,25.1692,28.0587,28.0587,38193100
2006-09-01,28.2535,28.432,27.2552,27.4905,27.4905,28740000
2006-10-01,27.385,29.5521,27.0685,28.2373,28.2373,33033000
2006-11-01,28.3348,29.3375,26.9409,29.0848,29.0848,33093800
2006-12-01,29.0848,30.2504,28.4245,28.8076,28.8076,39576700
2007-01-01,28.775,29.5086,27.9599,29.2315,29.2315,40492500
2007-02-01,29.3633,32.0974,29.2159,30.8122,30.8122,33822200
2007-03-01,30.6158,32.1465,29.6252,31.0742,31.0742,33370300
2007-04-01,30.9432,32.9652,30.8368,31.7209,31.7209,30942100
2007-05-01,31.9651,36.3696,31.7432,35.2684,35.2684,52405400
2007-06-01,35.2685,35.515,33.8304,35.0137,35.0137,29326300
2007-07-01,35.0548,35.4081,32.302,32.9019,32.9019,39653800
2007-08-01,33.3878,37.2396,31.8784,35.7302,35.7302,59806300
2007-09-01,35.7385,37.2314,34.6415,36.9592,36.9592,30775700
2007-10-01,37.0582,38.7243,34.8312,37.3799,37.3799,35125900
2007-11-01,38.0331,42.4687,37.156,41.3515,41.3515,47643500
2007-12-01,41.2439,42.2039,39.1586,39.4647,39.4647,40906000
2008-01-01,39.3654,39.5309,34.3837,35.8567,35.8567,50638800
2008-02-01,36.0969,37.3591,33.8051,34.5524,34.5524,52883900
2008-03-01,34.4362,34.8347,31.8453,33.3816,33.3816,48801900
2008-04-01,33.8217,39.2524,33.8134,37.6913,37.6913,56128200
2008-05-01,38.0379,39.804,37.9046,39.3125,39.3125,38359600
