Date,Open,High,Low,Close,Adj Close,Volume
,AOS,AOS,AOS,AOS,,AOS
1985-01-01,0.2554,0.3609,0.2554,0.3526,0.3526,1758600
1985-02-01,0.3526,0.3581,0.3415,0.3554,0.3554,682200
1985-03-01,0.3554,0.3554,0.2943,0.347,0.347,1040400
1985-04-01,0.3526,0.3748,0.3331,0.3609,0.3609,1656000
1985-05-01,0.3609,0.4053,0.3609,0.3803,0.3803,954000
1985-06-01,0.3776,0.3887,0.3665,0.3887,0.3887,464400
1985-07-01,0.3887,0.4164,0.3776,0.3831,0.3831,1711800
1985-08-01,0.3831,0.4025,0.3776,0.4025,0.4025,981000
1985-09-01,0.4053,0.4137,0.3859,0.397,0.397,1189800
1985-10-01,0.3998,0.4442,0.3998,0.4303,0.4303,1825200
1985-11-01,0.4303,0.5108,0.4275,0.5108,0.5108,1310400
1985-12-01,0.5108,0.5608,0.5025,0.5247,0.5247,1402200
1986-01-01,0.5303,0.633,0.5053,0.6246,0.6246,2003400
1986-02-01,0.6239,0.6603,0.5903,0.6575,0.6575,1220400
1986-03-01,0.6575,0.6631,0.6155,0.6323,0.6323,16093800
1986-04-01,0.6323,0.6463,0.5484,0.6015,0.6015,4933800
1986-05-01,0.6058,0.6396,0.5523,0.6114,0.6114,2887200
1986-06-01,0.6114,0.6227,0.5354,0.5748,0.5748,3004200
1986-07-01,0.5748,0.5804,0.5015,0.541,0.541,6499800
1986-08-01,0.5455,0.554,0.5001,0.5285,0.5285,2514600
1986-09-01,0.5228,0.5228,0.4461,0.4944,0.4944,4624200
1986-10-01,0.4972,0.5086,0.466,0.4887,0.4887,1854000
1986-11-01,0.4902,0.4902,0.4386,0.453,0.453,3427200
1986-12-01,0.453,0.5017,0.4501,0.4702,0.4702,3587400
1987-01-01,0.4845,0.5734,0.4845,0.5447,0.5447,2827800
1987-02-01,0.5465,0.5725,0.5321,0.5725,0.5725,1681200
1987-03-01,0.5783,0.6361,0.5783,0.5899,0.5899,3209400
1987-04-01,0.5841,0.5957,0.4742,0.48,0.48,2448000
1987-05-01,0.4842,0.525,0.4783,0.4871,0.4871,2818800
1987-06-01,0.4871,0.5163,0.4813,0.5163,0.5163,6519600
1987-07-01,0.5163,0.5367,0.4988,0.5367,0.5367,2640600
1987-08-01,0.5415,0.5504,0.5298,0.5415,0.5415,1393200
1987-09-01,0.5386,0.5386,0.518,0.5239,0.5239,1488600
1987-10-01,0.5239,0.5298,0.2884,0.3473,0.3473,3481200
1987-11-01,0.3611,0.394,0.2656,0.2686,0.2686,2719800
1987-12-01,0.2686,0.2985,0.2358,0.2895,0.2895,4188600
1988-01-01,0.2895,0.3134,0.2865,0.3044,0.3044,1456200
1988-02-01,0.3123,0.3426,0.3123,0.3426,0.3426,1087200
1988-03-01,0.3426,0.4003,0.3426,0.3699,0.3699,678600
1988-04-01,0.3699,0.379,0.3426,0.3457,0.3457,554400
1988-05-01,0.3536,0.3567,0.3474,0.3505,0.3505,468000
1988-06-01,0.3536,0.3936,0.3536,0.3874,0.3874,408600
1988-07-01,0.3936,0.4059,0.3813,0.4028,0.4028,1054800
1988-08-01,0.4078,0.4202,0.4078,0.4109,0.4109,405000
1988-09-01,0.414,0.4265,0.4109,0.4202,0.4202,1294200
1988-10-01,0.4202,0.4202,0.386,0.3953,0.3953,1760400
1988-11-01,0.4003,0.4098,0.4003,0.4098,0.4098,1690200
1988-12-01,0.4098,0.413,0.3877,0.3877,0.3877,1459800
1989-01-01,0.3909,0.4445,0.372,0.4445,0.4445,1503000
1989-02-01,0.4499,0.4722,0.4435,0.4499,0.4499,631800
1989-03-01,0.4499,0.4658,0.4467,0.4658,0.4658,532800
1989-04-01,0.4658,0.469,0.4562,0.4594,0.4594,1306800
1989-05-01,0.4613,0.4613,0.4355,0.4387,0.4387,2469600
1989-06-01,0.4452,0.4452,0.4355,0.4387,0.4387,514800
1989-07-01,0.4387,0.4548,0.429,0.4355,0.4355,642600
1989-08-01,0.4374,0.4374,0.3982,0.4309,0.4309,4505400
1989-09-01,0.4309,0.4472,0.4211,0.4243,0.4243,1051200
1989-10-01,0.4243,0.4243,0.3852,0.3852,0.3852,3088800
1989-11-01,0.397,0.397,0.3705,0.3705,0.3705,1515600
1989-12-01,0.3705,0.3771,0.3308,0.344,0.344,4059000
1990-01-01,0.344,0.3473,0.3176,0.3176,0.3176,1108800
1990-02-01,0.3228,0.3262,0.3127,0.3228,0.3228,774000
1990-03-01,0.3228,0.4271,0.3195,0.4237,0.4237,909000
1990-04-01,0.4204,0.4473,0.3968,0.4304,0.4304,1080000
1990-05-01,0.4358,0.4596,0.4222,0.4562,0.4562,725400
1990-06-01,0.4562,0.4562,0.4494,0.4528,0.4528,777600
1990-07-01,0.4494,0.5448,0.4494,0.4971,0.4971,1139400
1990-08-01,0.4989,0.4989,0.3785,0.4129,0.4129,2289600
1990-09-01,0.4129,0.4336,0.3854,0.3854,0.3854,167400
1990-10-01,0.3888,0.4301,0.3716,0.406,0.406,1868400
1990-11-01,0.4043,0.4322,0.3974,0.4183,0.4183,316800
1990-12-01,0.4183,0.4496,0.4183,0.4287,0.4287,558000
1991-01-01,0.4287,0.474,0.4148,0.474,0.474,597600
1991-02-01,0.4799,0.5717,0.4799,0.5329,0.5329,1555200
1991-03-01,0.5329,0.5435,0.4694,0.4729,0.4729,981000
1991-04-01,0.4729,0.5364,0.4658,0.5364,0.5364,2386800
1991-05-01,0.5423,0.6029,0.5423,0.5851,0.5851,2475000
1991-06-01,0.5922,0.6208,0.5601,0.5601,0.5601,844200
1991-07-01,0.5601,0.5601,0.5137,0.5244,0.5244,343800
1991-08-01,0.5302,0.5302,0.4977,0.5193,0.5193,887400
1991-09-01,0.5157,0.5157,0.4941,0.4977,0.4977,585000
1991-10-01,0.4941,0.523,0.4761,0.523,0.523,943200
1991-11-01,0.5288,0.5507,0.5106,0.5106,0.5106,849600
1991-12-01,0.5033,0.5252,0.4924,0.5252,0.5252,2413800
1992-01-01,0.5252,0.5945,0.5215,0.5835,0.5835,6231600
1992-02-01,0.5894,0.7146,0.5894,0.6557,0.6557,6636600
1992-03-01,0.6557,0.7662,0.6557,0.7625,0.7625,9828000
1992-04-01,0.7588,0.943,0.7588,0.9062,0.9062,31611600
1992-05-01,0.9119,0.9564,0.8934,0.9416,0.9416,9916200
1992-06-01,0.9416,1.0454,0.9416,1.0009,1.0009,10198800
1992-07-01,1.0009,1.075,0.9156,0.9787,0.9787,11026800
1992-08-01,0.9959,1.0108,0.94,0.9996,0.9996,4483800
1992-09-01,1.0071,1.0295,0.8057,0.8057,0.8057,6136200
1992-10-01,0.8057,0.9362,0.7124,0.9101,0.9101,4818600
1992-11-01,0.9199,1.0288,0.8336,0.9988,0.9988,4059000
1992-12-01,0.9913,1.149,0.9875,1.149,1.149,4919400
1993-01-01,1.1415,1.1415,1.0438,1.1302,1.1302,4975200
1993-02-01,1.1402,1.2761,1.1402,1.2006,1.2006,4629600
1993-03-01,1.2006,1.3668,1.1289,1.3252,1.3252,9365400
1993-04-01,1.3348,1.3424,1.1321,1.2162,1.2162,5711400
1993-05-01,1.2224,1.4684,1.2186,1.4646,1.4646,5342400
1993-06-01,1.4723,1.6529,1.4607,1.4761,1.4761,10168200
1993-07-01,1.4684,1.6721,1.4223,1.6683,1.6683,14389200
1993-08-01,1.6755,1.6948,1.5597,1.6215,1.6215,7988400
1993-09-01,1.6292,1.8531,1.5983,1.8531,1.8531,4515300
1993-10-01,1.8686,1.8917,1.6987,1.7296,1.7296,2754000
1993-11-01,1.7209,1.9767,1.6434,1.9457,1.9457,6601500
1993-12-01,1.9302,2.217,1.8449,2.217,2.217,4662000
1994-01-01,2.186,2.2325,1.9612,2.1783,2.1783,6312600
1994-02-01,2.1776,2.4887,2.1543,2.2865,2.2865,7285500
1994-03-01,2.2709,2.2943,1.8665,2.0065,2.0065,4939200
1994-04-01,1.9909,2.1076,1.711,1.8276,1.8276,4995900
1994-05-01,1.8751,2.1563,1.6954,1.711,1.711,4824900
1994-06-01,1.7032,1.8907,1.5626,1.5938,1.5938,9815400
1994-07-01,1.586,1.8673,1.5704,1.7501,1.7501,2688300
1994-08-01,1.7503,1.7896,1.5541,1.7268,1.7268,5875200
1994-09-01,1.7346,1.7582,1.4913,1.5698,1.5698,4797900
1994-10-01,1.5777,1.7032,1.4835,1.5306,1.5306,2588400
