Date,Open,High,Low,Close,Adj Close,Volume
,APA,APA,APA,APA,,APA
1985-01-01,2.3745,2.4918,2.3159,2.4625,2.4625,1637790
1985-02-01,2.4039,2.7556,2.4039,2.6091,2.6091,1709631
1985-03-01,2.6091,2.785,2.5798,2.7556,2.7556,1500345
1985-04-01,2.7434,2.9499,2.6254,2.8909,2.8909,1501038
1985-05-01,2.8909,2.9204,2.6254,2.7139,2.7139,2107413
1985-06-01,2.7139,2.7139,2.3599,2.4189,2.4189,1035342
1985-07-01,2.4355,2.6435,2.3464,2.5246,2.5246,1626009
1985-08-01,2.5544,2.6435,2.4652,2.5841,2.5841,990990
1985-09-01,2.6435,2.7029,2.5246,2.6138,2.6138,1132593
1985-10-01,2.6907,2.9,2.6608,2.9,2.9,1702239
1985-11-01,2.8701,2.9597,2.8103,2.9298,2.9298,1821204
1985-12-01,2.9298,3.1989,2.601,2.601,2.601,3411177
1986-01-01,2.6169,2.8876,2.4665,2.5267,2.5267,2887962
1986-02-01,2.4966,2.5267,2.1356,2.2259,2.2259,1986138
1986-03-01,2.1958,2.3161,2.0153,2.1056,2.1056,1840377
1986-04-01,2.1524,2.1827,2.0614,2.1524,2.1524,1218063
1986-05-01,2.1221,2.2736,2.0614,2.2433,2.2433,2462691
1986-06-01,2.2433,2.2433,1.9705,2.0614,2.0614,1790712
1986-07-01,2.0788,2.1094,1.8648,1.8954,1.8954,1705935
1986-08-01,1.8954,2.2928,1.8648,2.2011,2.2011,1741971
1986-09-01,2.2011,2.4457,2.1094,2.14,2.14,1384614
1986-10-01,2.188,2.4346,2.0648,2.2189,2.2189,1938783
1986-11-01,2.2189,2.2805,2.0648,2.1264,2.1264,1459689
1986-12-01,2.1572,2.4346,2.0956,2.2189,2.2189,2483712
1987-01-01,2.2358,2.8568,2.2358,2.5773,2.5773,2574726
1987-02-01,2.6084,2.7637,2.4531,2.4531,2.4531,3155922
1987-03-01,2.4531,3.1363,2.4531,2.95,2.95,3538458
1987-04-01,2.9366,3.0616,2.5617,2.593,2.593,2071608
1987-05-01,2.6242,2.9678,2.5305,2.6867,2.6867,1151304
1987-06-01,2.6554,2.7492,2.5305,2.6867,2.6867,1466388
1987-07-01,2.7045,2.9561,2.6102,2.9561,2.9561,2205126
1987-08-01,2.9875,3.1448,2.7674,3.019,3.019,2725107
1987-09-01,2.9875,2.9875,2.6416,2.673,2.673,1592745
1987-10-01,2.7288,2.7923,1.7769,1.8086,1.8086,2982441
1987-11-01,1.8721,1.999,1.7452,1.8404,1.8404,2521596
1987-12-01,1.8404,1.999,1.6817,1.9038,1.9038,5300295
1988-01-01,1.9209,2.2731,1.9209,2.145,2.145,2173479
1988-02-01,2.113,2.241,2.0169,2.145,2.145,1744974
1988-03-01,2.145,2.145,1.9849,2.049,2.049,2292906
1988-04-01,2.067,2.2285,2.0024,2.1316,2.1316,980133
1988-05-01,2.0993,2.1316,1.9702,2.0024,2.0024,784476
1988-06-01,1.9701,2.067,1.8733,1.9379,1.9379,1259874
1988-07-01,1.9238,2.1847,1.8912,2.1847,2.1847,1536843
1988-08-01,2.1521,2.1521,1.9238,1.9238,1.9238,1007160
1988-09-01,1.8912,1.9238,1.5651,1.7282,1.7282,2654190
1988-10-01,1.7148,1.9456,1.6818,1.9126,1.9126,2516745
1988-11-01,1.9126,1.9456,1.7807,1.8467,1.8467,1984290
1988-12-01,1.8797,2.1764,1.8467,2.0775,2.0775,4144833
1989-01-01,2.0964,2.3627,2.0964,2.2628,2.2628,4002537
1989-02-01,2.2628,2.4625,2.1963,2.2961,2.2961,1918917
1989-03-01,2.2961,2.4292,2.1963,2.3627,2.3627,2400321
1989-04-01,2.3812,2.9178,2.3812,2.7836,2.7836,4294521
1989-05-01,2.7836,3.4544,2.7501,3.4544,3.4544,5901588
1989-06-01,3.4209,3.5215,3.0184,3.2196,3.2196,8576568
1989-07-01,3.204,4.0472,3.204,4.0472,4.0472,12736416
1989-08-01,4.0809,4.1484,3.6088,4.1484,4.1484,11430573
1989-09-01,4.1147,4.317,3.9123,4.0135,4.0135,5519745
1989-10-01,4.1001,4.5744,3.6934,4.1001,4.1001,10629696
1989-11-01,4.1001,4.5744,3.9306,4.4728,4.4728,8594355
1989-12-01,4.5067,4.9811,4.405,4.9811,4.9811,12419022
1990-01-01,4.899,4.933,3.8103,4.1505,4.1505,6456219
1990-02-01,4.2866,4.865,4.1165,4.2186,4.2186,6737346
1990-03-01,4.2186,4.4908,3.9464,4.4227,4.4227,7606599
1990-04-01,4.4423,4.4423,3.793,4.1006,4.1006,4927230
1990-05-01,4.1006,4.4081,3.8956,4.1689,4.1689,8372595
1990-06-01,4.2373,4.3398,3.9981,4.0664,4.0664,6269109
1990-07-01,4.051,4.7719,3.9823,4.6346,4.6346,6629238
1990-08-01,4.6689,4.9779,4.3943,4.6003,4.6003,10235379
1990-09-01,4.6346,5.6988,4.4973,5.4242,5.4242,9097935
1990-10-01,5.4775,5.4775,4.3062,4.444,4.444,8647716
1990-11-01,4.4784,4.754,4.2028,4.6507,4.6507,5838987
1990-12-01,4.6851,4.7885,3.6861,4.0306,4.0306,8913366
1991-01-01,4.1205,4.1551,3.3587,3.4626,3.4626,11660880
1991-02-01,3.4972,4.3628,3.4626,4.0858,4.0858,12258246
1991-03-01,4.1205,4.1551,3.5318,3.6011,3.6011,7234689
1991-04-01,3.6538,4.1062,3.3406,3.8974,3.8974,11894421
1991-05-01,3.8974,4.663,3.793,4.4542,4.4542,12386682
1991-06-01,4.4194,4.5586,4.0366,4.1062,4.1062,4915911
1991-07-01,4.0905,4.6848,3.9157,4.6848,4.6848,7381836
1991-08-01,4.7198,5.1743,4.4051,5.1044,5.1044,7276038
1991-09-01,5.1044,5.2442,4.7897,5.1044,5.1044,8301909
1991-10-01,5.159,5.7907,5.0537,5.5801,5.5801,9131892
1991-11-01,5.6152,5.8258,4.6326,4.6676,4.6676,7834596
1991-12-01,4.5975,4.6676,4.1061,4.4571,4.4571,6235614
1992-01-01,4.4424,4.4776,3.7372,3.7725,3.7725,15674736
1992-02-01,3.8077,4.0545,3.4552,3.5257,3.5257,8805027
1992-03-01,3.5257,4.1251,3.3847,4.0545,4.0545,9634548
1992-04-01,4.0056,4.8563,3.9347,4.7146,4.7146,13714701
1992-05-01,4.6791,5.1045,4.3955,4.9981,4.9981,8174859
1992-06-01,5.0336,5.1399,4.2537,4.5019,4.5019,6288975
1992-07-01,4.4506,5.5543,4.415,5.3763,5.3763,10280886
1992-08-01,5.3763,5.768,5.0915,5.768,5.768,13188945
1992-09-01,5.8392,6.302,5.59,6.0884,6.0884,19057731
1992-10-01,6.0726,6.1083,5.3582,5.6439,5.6439,11999064
1992-11-01,5.6439,5.7154,5.3224,5.4653,5.4653,9203964
1992-12-01,5.4296,5.4296,4.8938,5.3582,5.3582,12300519
1993-01-01,5.3434,6.2399,5.0565,6.1323,6.1323,10812417
1993-02-01,6.0606,7.1006,5.9889,7.0647,7.0647,14151984
1993-03-01,7.0647,7.5309,6.5985,7.4951,7.4951,18583719
1993-04-01,7.5171,8.0566,7.0855,7.6969,7.6969,15059352
1993-05-01,7.7329,7.7329,7.0136,7.5171,7.5171,9962799
1993-06-01,7.4452,8.704,7.3732,7.9847,7.9847,15395226
1993-07-01,8.0765,8.2929,7.6078,8.1126,8.1126,10550694
1993-08-01,8.1126,9.663,7.8962,9.1582,9.1582,15080604
1993-09-01,9.1943,9.1943,7.8602,8.5453,8.5453,13460139
1993-10-01,8.7477,9.0369,7.1572,7.6994,7.6994,15631770
1993-11-01,7.6994,7.8079,6.2897,6.3258,6.3258,17580255
1993-12-01,6.2897,6.9403,5.892,6.7596,6.7596,22729014
1994-01-01,6.8166,7.578,6.7803,7.2517,7.2517,17708691
1994-02-01,7.2517,7.7956,7.0341,7.2517,7.2517,15899499
1994-03-01,7.3242,7.6868,6.5265,6.7078,6.7078,15933918
1994-04-01,6.5446,8.4352,6.4719,7.8899,7.8899,16416708
1994-05-01,7.8535,8.1444,7.5263,7.8899,7.8899,11310915
1994-06-01,7.8899,8.508,7.4172,8.0353,8.0353,12817959
1994-07-01,8.0918,8.5292,7.1805,7.4721,7.4721,9200037
1994-08-01,7.545,7.6908,6.7067,7.3628,7.3628,24412542
1994-09-01,7.3263,7.946,7.1806,7.3628,7.3628,10647252
1994-10-01,7.4926,8.4429,7.0906,8.2236,8.2236,15302826
1994-11-01,8.1871,8.2967,7.0906,8.1871,8.1871,18206034
1994-12-01,8.114,8.1505,6.9078,7.3099,7.3099,29410227
1995-01-01,7.4038,7.4771,6.5241,6.8174,6.8174,21184779
1995-02-01,6.8907,7.5871,6.5974,7.3305,7.3305,21352485
1995-03-01,7.3305,8.0269,7.1839,7.9902,7.9902,13858845
1995-04-01,8.0485,8.1955,7.4604,7.9382,7.9382,11511654
1995-05-01,7.975,8.563,7.828,8.5262,8.5262,15950088
1995-06-01,8.563,9.1142,8.0485,8.0485,8.0485,18998826
1995-07-01,7.9949,8.3264,7.5896,8.0685,8.0685,17179008
1995-08-01,8.0317,8.658,7.5896,8.5843,8.5843,19976187
1995-09-01,8.5843,8.9159,7.6264,7.737,7.737,20027700
1995-10-01,7.8313,8.0899,6.8339,7.5358,7.5358,15683283
1995-11-01,7.5727,8.3115,7.3142,7.8683,7.8683,14711697
1995-12-01,7.9421,8.7548,7.6466,8.7179,8.7179,21898800
1996-01-01,8.7394,8.7394,7.5914,7.9617,7.9617,18255006
1996-02-01,7.7395,8.295,7.7025,7.7025,7.7025,22716309
1996-03-01,7.7765,8.4431,7.2211,7.9617,7.9617,26633145
1996-04-01,7.9825,8.8364,7.8711,8.6508,8.6508,29605653
1996-05-01,8.5765,9.0221,7.834,8.5023,8.5023,25610046
1996-06-01,8.5394,9.9503,8.3166,9.7646,9.7646,20105085
1996-07-01,9.7865,10.3074,8.2608,8.4841,8.4841,24095379
1996-08-01,8.4841,9.3399,8.4469,8.7446,8.7446,17523429
1996-09-01,9.005,9.3027,8.7446,8.819,8.819,20846133
1996-10-01,8.8391,10.6666,8.8018,10.592,10.592,24870846
1996-11-01,10.592,11.3006,10.219,10.8531,10.8531,14110866
1996-12-01,10.6666,11.2633,10.1072,10.4801,10.4801,16342557
1997-01-01,10.5376,11.8829,10.3882,11.4718,11.4718,21146895
1997-02-01,11.4718,11.6213,9.6408,9.6782,9.6782,21807093
1997-03-01,9.6408,10.4629,9.3419,10.0145,10.0145,15581412
1997-04-01,10.0726,10.2598,9.0241,10.1849,10.1849,20178312
1997-05-01,10.1849,10.6717,9.6233,10.2598,10.2598,24892791
1997-06-01,10.2598,10.5594,9.7356,9.7356,9.7356,21078519
1997-07-01,9.7938,11.0321,9.6249,10.5818,10.5818,41921649
1997-08-01,10.6193,12.0828,10.5255,11.9139,11.9139,26240907
1997-09-01,11.8952,12.8708,11.7826,12.8708,12.8708,20867847
1997-10-01,12.8925,13.5503,11.6897,12.6294,12.6294,25624137
1997-11-01,12.7046,13.1181,10.4869,11.0507,11.0507,16467066
1997-12-01,10.9004,11.4642,9.8291,10.5433,10.5433,31177608
1998-01-01,10.6036,10.9614,9.3982,9.982,9.982,35138796
1998-02-01,10.208,10.7354,9.8125,10.2457,10.2457,23549757
1998-03-01,10.2457,11.6771,9.7749,11.0744,11.0744,34185921
1998-04-01,11.0952,11.5104,10.2838,10.6801,10.6801,20859762
1998-05-01,10.6801,11.1707,10.2084,10.3216,10.3216,16736412
1998-06-01,10.3216,10.4159,9.1328,9.5102,9.5102,17522274
1998-07-01,9.5691,9.796,7.4321,8.0184,8.0184,18856299
1998-08-01,8.0184,8.2453,6.808,6.9215,6.9215,20200026
1998-09-01,6.8837,9.0017,6.8269,8.1129,8.1129,28470057
1998-10-01,8.0955,8.8918,7.1286,8.5884,8.5884,19740567
1998-11-01,8.6264,8.7212,6.7684,6.9769,6.9769,16075983
1998-12-01,6.9769,7.8111,6.3892,7.6784,7.6784,31544898
1999-01-01,7.7191,7.8522,5.3615,5.8559,5.8559,28568925
1999-02-01,5.8559,6.3882,5.4756,6.065,6.065,46800831
1999-03-01,6.1981,8.6887,5.9889,7.9282,7.9282,41145258
1999-04-01,7.9298,10.2172,7.6438,9.3594,9.3594,44997645
1999-05-01,9.6835,11.0559,9.3404,10.9797,10.9797,60622947
1999-06-01,10.9225,12.1615,10.4841,11.8947,11.8947,47432154
1999-07-01,12.0316,12.9865,11.3059,12.9674,12.9674,32498697
1999-08-01,12.9674,14.4379,12.4326,13.9031,13.9031,39404211
1999-09-01,13.8649,15.2591,11.9552,13.1965,13.1965,49105749
1999-10-01,13.2181,13.2946,11.3243,11.9364,11.9364,35538657
1999-11-01,11.8599,13.4668,10.4061,10.9609,10.9609,46015893
1999-12-01,10.8461,11.5156,9.1819,11.3052,11.3052,47986785
2000-01-01,11.2509,12.8417,9.8901,11.1934,11.1934,40883073
2000-02-01,11.1934,12.5542,9.8517,11.1934,11.1934,38259375
2000-03-01,11.2701,15.7934,10.5034,15.2568,15.2568,66508365
2000-04-01,15.2041,15.6456,13.5148,14.8777,14.8777,47930190
2000-05-01,15.0505,18.8516,14.8586,18.6884,18.6884,77201817
2000-06-01,18.6212,18.8899,16.5095,18.0645,18.0645,48818154
2000-07-01,18.0645,18.3716,14.2443,15.2809,15.2809,78532839
2000-08-01,15.2041,19.6578,15.1849,19.3507,19.3507,59969217
2000-09-01,19.3507,20.7905,17.2006,18.1605,18.1605,59257275
2000-10-01,18.4676,20.8865,16.5479,16.9894,16.9894,85718325
2000-11-01,17.8149,19.4467,15.8184,16.0488,16.0488,77961114
2000-12-01,16.5512,22.8445,16.301,21.5743,21.5743,67864566
2001-01-01,21.4396,22.4404,17.552,17.7367,17.7367,98380590
2001-02-01,17.9215,20.1694,17.4473,18.0754,18.0754,69170178
2001-03-01,18.1678,21.0932,16.6898,17.7398,17.7398,93283113
2001-04-01,17.7367,20.5697,15.7506,19.6952,19.6952,100221660
2001-05-01,19.5104,20.2926,17.2441,18.3372,18.3372,107633064
2001-06-01,18.3372,18.7067,14.796,15.6274,15.6274,109928049
2001-07-01,15.612,16.6097,13.6413,15.9969,15.9969,104793150
2001-08-01,16.2433,16.7483,14.1647,14.4511,14.4511,85465149
2001-09-01,14.6266,15.3965,11.7783,13.241,13.241,64632414
