Date,Open,High,Low,Close,Adj Close,Volume
,APH,APH,APH,APH,,APH
1991-11-01,0.1262,0.1262,0.0955,0.1057,0.1057,424083200
1991-12-01,0.104,0.1228,0.0989,0.1228,0.1228,118080000
1992-01-01,0.1211,0.145,0.116,0.1245,0.1245,348550400
1992-02-01,0.1228,0.1279,0.1057,0.1126,0.1126,115065600
1992-03-01,0.1109,0.1194,0.104,0.1109,0.1109,85139200
1992-04-01,0.1092,0.1143,0.0955,0.1074,0.1074,41971200
1992-05-01,0.1074,0.1092,0.0972,0.104,0.104,25024000
1992-06-01,0.104,0.1126,0.0887,0.0989,0.0989,36064000
1992-07-01,0.1006,0.1006,0.0819,0.0972,0.0972,61267200
1992-08-01,0.0972,0.1023,0.0853,0.087,0.087,53395200
1992-09-01,0.0887,0.0989,0.0887,0.0955,0.0955,78662400
1992-10-01,0.0938,0.0938,0.0699,0.0716,0.0716,59308800
1992-11-01,0.0733,0.0819,0.0699,0.0716,0.0716,90432000
1992-12-01,0.0733,0.1057,0.0716,0.0955,0.0955,183539200
1993-01-01,0.0972,0.116,0.0921,0.1057,0.1057,121465600
1993-02-01,0.1074,0.1194,0.104,0.1143,0.1143,119756800
1993-03-01,0.1126,0.116,0.0989,0.1006,0.1006,79737600
1993-04-01,0.1006,0.1126,0.0887,0.1074,0.1074,75264000
1993-05-01,0.1092,0.1381,0.1074,0.1347,0.1347,85689600
1993-06-01,0.133,0.1518,0.1313,0.1416,0.1416,116896000
1993-07-01,0.1416,0.1603,0.1296,0.1501,0.1501,103577600
1993-08-01,0.1501,0.174,0.1364,0.1723,0.1723,123820800
1993-09-01,0.1706,0.1927,0.1637,0.191,0.191,104115200
1993-10-01,0.191,0.203,0.1706,0.1876,0.1876,148172800
1993-11-01,0.1876,0.1961,0.1688,0.1774,0.1774,93900800
1993-12-01,0.1791,0.2251,0.1757,0.2251,0.2251,98681600
1994-01-01,0.2217,0.2371,0.2081,0.2251,0.2251,84857600
1994-02-01,0.2285,0.2456,0.2081,0.2132,0.2132,450835200
1994-03-01,0.2132,0.2302,0.1944,0.1978,0.1978,218297600
1994-04-01,0.1961,0.2422,0.1927,0.2405,0.2405,141446400
1994-05-01,0.2405,0.2524,0.2251,0.232,0.232,184524800
1994-06-01,0.2337,0.2456,0.2098,0.2183,0.2183,129644800
1994-07-01,0.2217,0.2763,0.2217,0.2712,0.2712,192588800
1994-08-01,0.2712,0.2814,0.2592,0.2797,0.2797,125740800
1994-09-01,0.2797,0.3275,0.2763,0.3019,0.3019,146022400
1994-10-01,0.3036,0.3292,0.2848,0.2968,0.2968,142496000
1994-11-01,0.2985,0.3428,0.2916,0.3258,0.3258,129881600
1994-12-01,0.3275,0.3326,0.2899,0.3275,0.3275,92908800
1995-01-01,0.3275,0.3326,0.2729,0.3104,0.3104,135155200
1995-02-01,0.3104,0.3377,0.3104,0.336,0.336,313312000
1995-03-01,0.3343,0.3752,0.3343,0.3411,0.3411,160377600
1995-04-01,0.3411,0.4059,0.3241,0.382,0.382,242163200
1995-05-01,0.3803,0.3957,0.336,0.3769,0.3769,143865600
1995-06-01,0.3769,0.4144,0.365,0.3974,0.3974,101382400
1995-07-01,0.3974,0.4025,0.3343,0.3701,0.3701,283648000
1995-08-01,0.3701,0.3735,0.2934,0.3343,0.3343,495968000
1995-09-01,0.3343,0.3599,0.2934,0.2951,0.2951,293593600
1995-10-01,0.2968,0.3019,0.2695,0.2951,0.2951,465305600
1995-11-01,0.2899,0.3104,0.2558,0.307,0.307,402438400
1995-12-01,0.307,0.3309,0.2831,0.3309,0.3309,207878400
1996-01-01,0.3309,0.3326,0.2746,0.2882,0.2882,253766400
1996-02-01,0.2916,0.3548,0.2899,0.3326,0.3326,266528000
1996-03-01,0.3326,0.353,0.3172,0.3189,0.3189,177395200
1996-04-01,0.3206,0.3667,0.3019,0.3582,0.3582,173612800
1996-05-01,0.3565,0.3769,0.3326,0.3513,0.3513,171833600
1996-06-01,0.3496,0.353,0.2712,0.3138,0.3138,332531200
