Date,Open,High,Low,Close,Adj Close,Volume
,APO,APO,APO,APO,,APO
2011-03-01,7.3581,7.4761,7.0472,7.0826,7.0826,39669700
2011-04-01,7.0866,7.3541,6.9449,7.1141,7.1141,16296300
2011-05-01,7.1102,7.4407,6.6105,7.0905,7.0905,11753900
2011-06-01,7.1192,7.2109,6.0834,6.8523,6.8523,5412100
2011-07-01,6.8204,6.9519,6.2826,6.8961,6.8961,3330000
2011-08-01,6.9519,7.1471,4.8683,5.1671,5.1671,8658400
2011-09-01,5.2666,5.2666,3.9824,4.1485,4.1485,5707500
2011-10-01,4.1566,5.4246,3.5853,5.3679,5.3679,6413000
2011-11-01,5.1451,5.6879,4.4969,5.0721,5.0721,3945700
2011-12-01,5.1602,5.8568,4.5997,5.1149,5.1149,4422600
2012-01-01,5.152,6.3142,5.152,6.1329,6.1329,7188800
2012-02-01,6.1741,6.3802,5.6878,5.7784,5.7784,5245500
2012-03-01,5.9934,6.2616,5.8232,6.0786,6.0786,4466200
2012-04-01,6.1169,6.2574,5.3294,5.4656,5.4656,3903100
2012-05-01,5.4656,5.6699,4.4355,4.9676,4.9676,8189100
2012-06-01,4.8782,5.6658,4.7824,5.396,5.396,5353200
2012-07-01,5.4134,5.94,5.222,5.9052,5.9052,3310300
2012-08-01,5.9443,6.1706,5.6354,5.7703,5.7703,5201700
2012-09-01,5.8987,6.6692,5.8455,6.4921,6.4921,4433100
2012-10-01,6.5319,6.7932,6.1289,6.7268,6.7268,7453100
2012-11-01,6.7489,6.9836,6.1245,6.9482,6.9482,7665300
2012-12-01,7.2127,8.1228,7.1035,7.8998,7.8998,4724700
2013-01-01,8.0864,10.2843,8.0636,10.1342,10.1342,12012100
2013-02-01,10.348,10.8987,9.5562,10.6984,10.6984,16401700
2013-03-01,11.1132,11.8773,10.3061,10.3348,10.3348,16043900
2013-04-01,10.478,13.162,10.4303,12.8564,12.8564,19935600
2013-05-01,12.9232,13.439,11.1419,11.4857,11.4857,55858500
2013-06-01,11.7781,12.0958,10.1947,11.7781,11.7781,23723600
2013-07-01,11.871,13.2199,11.0499,13.0586,13.0586,16335700
2013-08-01,13.1954,14.427,12.1105,12.4086,12.4086,22954200
2013-09-01,13.234,15.3781,13.0749,14.4958,14.4958,16957000
2013-10-01,14.465,17.8915,14.465,16.5476,16.5476,21456100
2013-11-01,16.5886,17.5427,14.383,15.4858,15.4858,25132000
2013-12-01,15.9766,16.9373,15.4458,16.7781,16.7781,15846900
2014-01-01,16.7303,19.3789,16.4065,17.2239,17.2239,24243900
2014-02-01,17.2239,17.4044,15.8758,17.0859,17.0859,19910000
2014-03-01,17.3619,18.5047,16.5322,17.4718,17.4718,16378700
2014-04-01,17.4168,17.8234,14.7136,14.9059,14.9059,30501900
2014-05-01,14.9884,15.2026,13.2192,13.6423,13.6423,36596700
2014-06-01,14.0884,16.4412,14.0088,15.7535,15.7535,25339600
2014-07-01,15.8672,16.015,14.2873,14.9238,14.9238,21012200
2014-08-01,14.8386,15.0602,13.3837,13.8668,13.8668,27097800
2014-09-01,14.1831,14.2236,12.9838,13.8123,13.8123,33289300
2014-10-01,13.8296,13.9339,11.599,13.1807,13.1807,27112700
2014-11-01,13.1518,14.5886,12.9316,14.1599,14.1599,24152000
2014-12-01,14.6075,14.6075,12.8974,14.0992,14.0992,29686900
2015-01-01,14.171,15.2951,13.1425,14.8706,14.8706,20925600
2015-02-01,14.8885,15.4266,13.6627,13.9438,13.9438,26613900
2015-03-01,14.4985,14.5853,12.9978,13.3947,13.3947,26262600
2015-04-01,13.3637,14.2815,12.8862,14.1761,14.1761,26300800
2015-05-01,14.2443,14.4675,13.159,13.7668,13.7668,19392500
2015-06-01,14.0029,14.5129,13.1781,13.9462,13.9462,20905700
2015-07-01,14.028,14.2358,12.6051,12.9514,12.9514,20521100
2015-08-01,12.964,13.8769,9.6648,11.6984,11.6984,22578000
2015-09-01,11.7637,12.7467,10.5687,11.0377,11.0377,18445200
2015-10-01,11.0377,12.0657,11.0184,11.738,11.738,19367100
2015-11-01,11.8472,12.3227,10.3438,10.4916,10.4916,17557500
2015-12-01,10.9074,10.9599,9.2863,9.9623,9.9623,24222400
2016-01-01,9.8311,10.1986,8.1379,8.9123,8.9123,23012500
2016-02-01,8.8138,10.2379,8.105,10.2051,10.2051,42423400
2016-03-01,10.5589,11.7038,10.4116,11.4628,11.4628,16477100
2016-04-01,11.3758,11.898,10.512,11.3222,11.3222,13962400
2016-05-01,11.3423,11.7373,10.5455,10.9941,10.9941,17462000
2016-06-01,11.1432,11.3675,9.695,10.3001,10.3001,18240000
2016-07-01,10.1981,11.6939,9.6882,11.6599,11.6599,10709100
2016-08-01,11.5715,12.8769,11.4491,12.6593,12.6593,19567500
2016-09-01,12.8743,13.1865,12.0697,12.4581,12.4581,12720000
2016-10-01,12.4581,13.2489,12.0558,12.6801,12.6801,12472400
