Date,Open,High,Low,Close,Adj Close,Volume
,APTV,APTV,APTV,APTV,,APTV
2011-11-01,16.2777,16.7909,14.7227,15.9636,15.9636,34329888
2011-12-01,16.0479,17.534,15.5883,16.4999,16.4999,12300190
2012-01-01,16.9365,21.1036,16.6684,20.552,20.552,17665109
2012-02-01,20.7818,25.263,20.6746,24.5123,24.5123,58107808
2012-03-01,24.6119,24.9949,22.8194,24.2059,24.2059,52015400
2012-04-01,24.2825,25.1558,23.0952,23.5088,23.5088,52844530
2012-05-01,23.5854,23.9455,20.6363,22.2373,22.2373,97043869
2012-06-01,21.7547,22.988,19.043,19.5332,19.5332,84231168
2012-07-01,19.6098,22.2449,19.0736,21.747,21.747,45843174
2012-08-01,21.7623,23.3863,21.0193,23.2024,23.2024,72612902
2012-09-01,23.3327,25.5388,22.8807,23.7463,23.7463,53414192
2012-10-01,23.9378,25.1251,22.9803,24.0834,24.0834,36240596
2012-11-01,24.3285,26.2741,23.1795,26.0367,26.0367,60558709
2012-12-01,26.2282,29.3228,25.6077,29.2999,29.2999,176015103
2013-01-01,29.905,30.6251,28.5262,29.6139,29.6139,67810002
2013-02-01,29.7365,32.2184,28.6947,32.0575,32.0575,64260947
2013-03-01,31.843,34.2023,31.6439,34.0108,34.0108,57695030
2013-04-01,34.1303,35.5377,31.3618,35.5377,35.5377,46739832
2013-05-01,35.3839,38.4909,34.3072,37.5372,37.5372,64317135
2013-06-01,37.6397,40.4959,36.5899,39.1296,39.1296,49191089
2013-07-01,39.4615,43.0742,39.4615,41.4685,41.4685,47068862
2013-08-01,41.9703,43.9465,40.9668,42.4721,42.4721,42007917
2013-09-01,43.1648,45.3714,42.8163,45.232,45.232,38435717
2013-10-01,45.4488,46.6876,42.2976,44.2874,44.2874,61078379
2013-11-01,44.2874,45.6501,41.3453,45.3327,45.3327,45755011
2013-12-01,45.3485,46.9251,44.0282,46.6999,46.6999,36087059
2014-01-01,46.3193,49.2551,45.7058,47.2901,47.2901,50487401
2014-02-01,47.43,52.1597,45.2165,51.7015,51.7015,50241762
2014-03-01,51.3426,53.1281,50.5941,52.9098,52.9098,49114141
2014-04-01,53.1203,54.9604,50.1575,52.1145,52.1145,55718230
2014-05-01,52.0521,55.1865,50.8202,53.8454,53.8454,33527834
2014-06-01,54.1102,55.7771,52.2084,53.7971,53.7971,68465914
2014-07-01,54.0554,55.2841,51.191,52.2789,52.2789,47157621
