Date,Open,High,Low,Close,Adj Close,Volume
,ATO,ATO,ATO,ATO,,ATO
1985-01-01,1.4987,1.6133,1.4701,1.6037,1.6037,722100
1985-02-01,1.6133,1.6992,1.5273,1.6037,1.6037,602400
1985-03-01,1.6037,1.6419,1.5464,1.5846,1.5846,493800
1985-04-01,1.5846,1.8996,1.5846,1.7564,1.7564,704700
1985-05-01,1.7755,2.1765,1.7755,1.9855,1.9855,985200
1985-06-01,1.9855,2.3292,1.9855,2.1765,2.1765,904650
1985-07-01,2.1765,2.2146,1.9855,1.9855,1.9855,708750
1985-08-01,2.0046,2.1001,1.9855,1.9855,1.9855,206250
1985-09-01,1.9855,2.1383,1.9474,2.0046,2.0046,391650
1985-10-01,2.0046,2.3101,1.9665,2.2719,2.2719,287100
1985-11-01,2.3483,2.5965,2.3292,2.501,2.501,204450
1985-12-01,2.501,2.5965,2.3483,2.4437,2.4437,374850
1986-01-01,2.4437,2.711,2.4056,2.6156,2.6156,264450
1986-02-01,2.5965,2.6156,2.1192,2.3865,2.3865,439500
1986-03-01,2.3865,2.5965,2.3101,2.501,2.501,374550
1986-04-01,2.501,2.501,2.1765,2.1956,2.1956,292350
1986-05-01,2.1956,2.4056,2.1574,2.3292,2.3292,342150
1986-06-01,2.3292,2.501,2.2337,2.4819,2.4819,504450
1986-07-01,2.4819,2.501,2.0237,2.1765,2.1765,435600
1986-08-01,2.1765,2.5201,2.1574,2.4437,2.4437,434850
1986-09-01,2.4437,2.4819,2.2146,2.4247,2.4247,336000
1986-10-01,2.4437,2.6156,2.4247,2.4628,2.4628,450150
1986-11-01,2.4437,2.4628,2.3865,2.4437,2.4437,169950
1986-12-01,2.4437,2.4628,2.2719,2.2719,2.2719,258300
1987-01-01,2.2719,2.4056,2.2337,2.3865,2.3865,257100
1987-02-01,2.3865,2.3865,2.2146,2.2528,2.2528,213600
1987-03-01,2.2337,2.2528,2.1001,2.1574,2.1574,326250
1987-04-01,2.1574,2.2528,2.0619,2.2528,2.2528,267450
1987-05-01,2.2337,2.2528,2.1001,2.1001,2.1001,172050
1987-06-01,2.1001,2.1574,2.081,2.1574,2.1574,124950
1987-07-01,2.1574,2.1574,2.0428,2.0428,2.0428,335250
1987-08-01,2.0428,2.2337,2.0237,2.1765,2.1765,380700
1987-09-01,2.1765,2.1956,2.081,2.1192,2.1192,309300
1987-10-01,2.1192,2.1765,1.6419,1.9092,1.9092,695850
1987-11-01,1.9092,2.1383,1.8137,1.9474,1.9474,266850
1987-12-01,1.9474,1.9855,1.8137,1.871,1.871,123600
1988-01-01,1.871,2.1765,1.871,2.1192,2.1192,263100
1988-02-01,2.1192,2.3674,2.081,2.3483,2.3483,434850
1988-03-01,2.3483,2.4437,2.2719,2.3865,2.3865,212550
1988-04-01,2.3674,2.4056,2.3101,2.3865,2.3865,148050
1988-05-01,2.3865,2.5201,2.291,2.291,2.291,409200
1988-06-01,2.291,2.3865,2.2719,2.3483,2.3483,2368500
1988-07-01,2.3483,2.6156,2.3292,2.501,2.501,772950
1988-08-01,2.501,2.6156,2.2528,2.3101,2.3101,901200
1988-09-01,2.3101,2.5583,2.291,2.4628,2.4628,601650
1988-10-01,2.4628,2.6156,2.4437,2.5965,2.5965,259500
1988-11-01,2.5965,2.6347,2.4247,2.4819,2.4819,155250
1988-12-01,2.4819,2.5774,2.4247,2.4819,2.4819,213750
1989-01-01,2.4819,2.5392,2.3101,2.3483,2.3483,385950
1989-02-01,2.3483,2.4247,2.3101,2.3483,2.3483,146250
1989-03-01,2.3483,2.4056,2.291,2.3865,2.3865,193500
1989-04-01,2.3865,2.4056,2.3292,2.3674,2.3674,181200
1989-05-01,2.3674,2.3865,2.291,2.3292,2.3292,206400
1989-06-01,2.3292,2.3865,2.2719,2.291,2.291,288900
1989-07-01,2.291,2.4437,2.2337,2.4437,2.4437,213450
1989-08-01,2.4437,2.4819,2.3483,2.4628,2.4628,539100
1989-09-01,2.5064,2.7006,2.4481,2.5841,2.5841,218400
1989-10-01,2.6035,2.6229,2.4481,2.5258,2.5258,139500
1989-11-01,2.5064,2.6229,2.4869,2.5841,2.5841,148650
1989-12-01,2.6307,2.8482,2.6307,2.8285,2.8285,197250
1990-01-01,2.8482,2.9669,2.6109,2.7889,2.7889,231300
1990-02-01,2.8087,2.9669,2.7493,2.7691,2.7691,112350
1990-03-01,2.7529,2.9338,2.7529,2.8936,2.8936,186600
1990-04-01,2.8936,2.8936,2.6927,2.7127,2.7127,103950
1990-05-01,2.7127,2.8735,2.6926,2.7529,2.7529,95400
1990-06-01,2.8,2.8,2.5956,2.7183,2.7183,143550
1990-07-01,2.7183,2.8204,2.6774,2.8204,2.8204,118500
1990-08-01,2.8204,3.0044,2.6978,2.9431,2.9431,168000
1990-09-01,3.0365,3.0365,2.7661,2.8077,2.8077,123750
1990-10-01,2.7869,2.8285,2.5998,2.7453,2.7453,87000
1990-11-01,2.7453,2.8701,2.6622,2.7869,2.7869,78900
1990-12-01,2.8374,2.9009,2.6892,2.8162,2.8162,640200
1991-01-01,2.7739,2.8374,2.668,2.668,2.668,150300
1991-02-01,2.7103,2.9221,2.668,2.9221,2.9221,249600
1991-03-01,2.9746,2.9961,2.8021,2.9315,2.9315,274650
1991-04-01,2.9315,2.9315,2.8452,2.8668,2.8668,205800
1991-05-01,2.8884,3.0608,2.8668,3.0392,3.0392,111900
1991-06-01,3.0703,3.18,3.0265,3.0703,3.0703,162300
1991-07-01,3.0484,3.158,2.9826,3.158,3.158,123900
1991-08-01,3.1142,3.5089,3.0703,3.4651,3.4651,267900
1991-09-01,3.5019,3.7919,3.4796,3.7473,3.7473,351600
1991-10-01,3.7473,3.9034,3.435,3.5911,3.5911,285750
1991-11-01,3.5688,3.8811,3.5688,3.7027,3.7027,191700
1991-12-01,3.7355,4.1657,3.6449,4.1657,4.1657,170700
1992-01-01,4.1657,4.1657,3.6902,3.7581,3.7581,246450
1992-02-01,3.7581,3.8034,3.6449,3.6902,3.6902,194550
1992-03-01,3.7462,3.8151,3.6313,3.6772,3.6772,132450
1992-04-01,3.7002,4.045,3.6083,3.6313,3.6313,220350
1992-05-01,3.6313,4.022,3.6083,3.6772,3.6772,122100
1992-06-01,3.7534,3.9166,3.5436,3.6369,3.6369,193950
1992-07-01,3.6835,3.87,3.6369,3.8,3.8,113700
