Date,Open,High,Low,Close,Adj Close,Volume
,AVB,AVB,AVB,AVB,,AVB
1994-03-01,6.812,7.101,6.7294,6.812,6.812,4930100
1994-04-01,6.7294,6.9359,6.6056,6.7707,6.7707,642600
1994-05-01,6.7707,7.2249,6.6056,7.101,7.101,916600
1994-06-01,7.101,7.5139,6.6882,6.7707,6.7707,1161100
1994-07-01,6.7707,7.3074,6.6469,6.7707,6.7707,646900
1994-08-01,6.7707,7.2662,6.523,6.7294,6.7294,652600
1994-09-01,6.7294,7.0597,6.6882,7.0184,7.0184,530600
1994-10-01,6.9772,6.9772,6.4405,6.4405,6.4405,695200
1994-11-01,6.4405,6.4405,5.8625,5.945,5.945,304400
1994-12-01,5.945,6.9359,5.8625,6.6469,6.6469,556500
1995-01-01,6.6469,6.8946,6.3166,6.5643,6.5643,278200
1995-02-01,6.5643,6.6469,6.1102,6.234,6.234,516800
1995-03-01,6.234,6.3579,5.945,6.0689,6.0689,551400
1995-04-01,6.0276,6.1102,5.5322,5.945,5.945,1025000
1995-05-01,5.9037,6.3992,5.6973,6.0276,6.0276,2204200
1995-06-01,6.0276,6.6056,6.0276,6.4405,6.4405,807500
1995-07-01,6.4405,6.5643,6.3579,6.5643,6.5643,692600
1995-08-01,6.5643,6.8946,6.3166,6.8946,6.8946,760800
1995-09-01,6.8946,7.1836,6.8533,7.0597,7.0597,631000
1995-10-01,7.101,7.1423,6.7707,6.812,6.812,659600
1995-11-01,6.812,7.2662,6.5643,7.1836,7.1836,759000
1995-12-01,7.2249,8.0919,7.2249,8.0093,8.0093,682000
1996-01-01,8.0093,8.0506,7.6377,7.8854,7.8854,758700
1996-02-01,7.7616,8.0506,7.4726,7.7616,7.7616,692900
1996-03-01,7.7616,8.546,7.7616,7.968,7.968,576600
1996-04-01,8.0093,8.3808,7.5964,8.2983,8.2983,691700
1996-05-01,8.257,8.5047,8.1744,8.4634,8.4634,815400
1996-06-01,8.4634,8.5873,8.257,8.546,8.546,543600
1996-07-01,8.4634,8.5873,8.0919,8.3808,8.3808,2002100
1996-08-01,8.3396,9.2891,8.3396,9.2478,9.2478,1676700
1996-09-01,9.1653,9.702,9.0414,9.413,9.413,1185400
1996-10-01,9.3717,10.1561,9.2891,9.9084,9.9084,1038600
1996-11-01,9.991,10.7341,9.991,10.7341,10.7341,1430100
1996-12-01,10.7341,11.8901,10.5277,11.8901,11.8901,1054400
1997-01-01,11.8901,12.3855,11.2708,11.8901,11.8901,2305200
1997-02-01,11.8901,12.0552,11.6011,11.8488,11.8488,764800
1997-03-01,11.8075,12.2616,11.7662,11.8488,11.8488,1241600
1997-04-01,11.8075,12.0552,10.6102,11.0644,11.0644,1404200
1997-05-01,11.3121,11.9314,11.2708,11.6424,11.6424,787800
1997-06-01,11.6424,12.4268,11.6424,12.2203,12.2203,956000
1997-07-01,12.0552,12.8809,12.0552,12.6745,12.6745,758100
1997-08-01,12.7158,12.8809,12.1378,12.3029,12.3029,608400
1997-09-01,12.1378,13.2938,12.1378,13.1699,13.1699,1245500
1997-10-01,13.1286,13.4176,12.3442,12.9222,12.9222,1649500
1997-11-01,12.8396,13.2112,12.5506,13.1699,13.1699,1219700
1997-12-01,13.1286,13.3763,12.6332,12.8809,12.8809,1259500
1998-01-01,12.9222,12.9635,12.5094,12.5094,12.5094,1238600
1998-02-01,12.5506,12.7571,12.3029,12.4681,12.4681,1350100
1998-03-01,12.5093,12.5093,11.9726,12.2616,12.2616,1514600
1998-04-01,12.2616,12.4681,12.1378,12.2203,12.2203,1544100
1998-05-01,12.2204,12.5094,11.8901,12.1378,12.1378,1559000
1998-06-01,12.1791,12.5506,11.5598,12.5506,12.5506,3269300
1998-07-01,12.6848,12.8732,11.9103,12.015,12.015,3223500
1998-08-01,11.9731,11.994,10.8218,10.9684,10.9684,1966600
1998-09-01,11.0521,11.9522,10.2148,11.4917,11.4917,1597600
1998-10-01,11.6441,11.6654,10.5817,10.9217,10.9217,2259300
1998-11-01,10.9429,11.6229,10.9429,11.5591,11.5591,2418500
