Date,Open,High,Low,Close,Adj Close,Volume
,AVGO,AVGO,AVGO,AVGO,,AVGO
2009-08-01,1.1693,1.3464,1.0984,1.2898,1.2898,468577000
2009-09-01,1.2933,1.3068,1.1246,1.2097,1.2097,221712000
2009-10-01,1.2047,1.272,1.0431,1.063,1.063,171231000
2009-11-01,1.0701,1.1487,1.0155,1.1239,1.1239,50939000
2009-12-01,1.1268,1.2961,1.0899,1.2961,1.2961,75468000
2010-01-01,1.2968,1.3854,1.1934,1.2316,1.2316,269069000
2010-02-01,1.2316,1.3032,1.1693,1.2862,1.2862,151689000
2010-03-01,1.3252,1.4655,1.2841,1.457,1.457,111005000
2010-04-01,1.4662,1.6214,1.3939,1.4535,1.4535,78244000
2010-05-01,1.4634,1.5272,1.3025,1.4634,1.4634,124983000
2010-06-01,1.4641,1.6788,1.4414,1.4924,1.4924,334394000
2010-07-01,1.5109,1.6391,1.4527,1.542,1.542,135383000
2010-08-01,1.5576,1.6249,1.3663,1.4279,1.4279,214439000
2010-09-01,1.4386,1.6299,1.3046,1.5952,1.5952,216500000
2010-10-01,1.603,1.7681,1.5264,1.749,1.749,168157000
2010-11-01,1.7362,1.9311,1.6845,1.8503,1.8503,189041000
2010-12-01,1.8765,2.0508,1.7348,2.0133,2.0133,469333000
2011-01-01,2.0392,2.0918,1.9163,2.04,2.04,401371000
2011-02-01,2.0549,2.4585,2.0321,2.4151,2.4151,447623000
2011-03-01,2.2915,2.3554,2.0087,2.2098,2.2098,573206000
2011-04-01,2.244,2.4092,2.1343,2.3836,2.3836,238919000
2011-05-01,2.4035,2.5774,2.2426,2.4071,2.4071,438316000
2011-06-01,2.4107,2.7569,2.2931,2.707,2.707,649718000
2011-07-01,2.7299,2.8177,2.3149,2.402,2.402,437175000
2011-08-01,2.4285,2.4642,1.8871,2.3649,2.3649,620495000
2011-09-01,2.3577,2.7134,2.1585,2.3406,2.3406,662557000
2011-10-01,2.3491,2.5769,2.2108,2.4193,2.4193,670580000
2011-11-01,2.3419,2.4974,2.0145,2.1435,2.1435,457534000
2011-12-01,2.1363,2.2882,1.9622,2.0676,2.0676,623375000
2012-01-01,2.1208,2.518,2.0158,2.4417,2.4417,519421000
2012-02-01,2.4741,2.7122,2.4424,2.7057,2.7057,450741000
2012-03-01,2.7151,2.8215,2.4892,2.8036,2.8036,368333000
2012-04-01,2.8076,2.8163,2.3377,2.4893,2.4893,438482000
2012-05-01,2.4929,2.5232,2.1442,2.3896,2.3896,515225000
2012-06-01,2.3413,2.5947,2.1788,2.5918,2.5918,518557000
2012-07-01,2.5938,2.7294,2.3306,2.6758,2.6758,363367000
2012-08-01,2.691,2.7468,2.5677,2.6518,2.6518,379310000
2012-09-01,2.6373,2.6707,2.3487,2.5286,2.5286,516838000
2012-10-01,2.5597,2.5889,2.3704,2.406,2.406,345818000
2012-11-01,2.425,2.5809,2.3077,2.5568,2.5568,351536000
2012-12-01,2.578,2.5918,2.2218,2.3055,2.3055,725955000
2013-01-01,2.374,2.6419,2.3491,2.6185,2.6185,668790000
2013-02-01,2.6295,2.6573,2.3908,2.505,2.505,616900000
2013-03-01,2.4831,2.7071,2.4165,2.6295,2.6295,498984000
2013-04-01,2.6361,2.6494,2.2498,2.352,2.352,579586000
2013-05-01,2.3594,2.8164,2.2998,2.7767,2.7767,608269000
2013-06-01,2.773,2.8606,2.6214,2.7509,2.7509,576755000
2013-07-01,2.8019,2.9418,2.6871,2.7153,2.7153,440263000
2013-08-01,2.7412,2.9203,2.6464,2.8507,2.8507,442103000
2013-09-01,2.8737,3.2046,2.8159,3.189,3.189,509396000
2013-10-01,3.2123,3.5153,3.1147,3.3828,3.3828,585916000
2013-11-01,3.4096,3.417,3.1609,3.3307,3.3307,396419000
2013-12-01,3.3873,4.0611,3.3076,3.9375,3.9375,585772000
2014-01-01,3.9537,4.2777,3.8819,4.0877,4.0877,408541000
2014-02-01,4.0996,4.7497,3.962,4.6158,4.6158,374527000
2014-03-01,4.5747,4.9248,4.5223,4.8186,4.8186,418310000
2014-04-01,4.8497,4.9271,4.3027,4.7708,4.7708,498586000
2014-05-01,4.7272,5.4094,4.7017,5.3095,5.3095,1255610000
2014-06-01,5.35,5.447,5.2636,5.4147,5.4147,359524000
2014-07-01,5.4678,5.7666,5.1902,5.234,5.234,423550000
2014-08-01,5.2747,6.3972,5.1834,6.1928,6.1928,358575000
2014-09-01,6.2592,6.8559,6.2162,6.5632,6.5632,459254000
2014-10-01,6.5963,6.6568,5.2054,6.5304,6.5304,684471000
2014-11-01,6.5448,7.1497,6.3222,7.0718,7.0718,289018000
2014-12-01,7.0453,7.9501,6.7931,7.6161,7.6161,515690000
2015-01-01,7.6695,8.2325,7.2325,7.8176,7.8176,382607000
2015-02-01,7.8458,9.8701,7.535,9.6976,9.6976,447338000
2015-03-01,9.6664,10.3556,8.8876,9.649,9.649,567836000
2015-04-01,9.6531,9.7552,8.7309,8.9077,8.9077,431818000
2015-05-01,8.987,11.3739,8.7941,11.2848,11.2848,800258000
2015-06-01,11.2977,11.47,9.9869,10.1309,10.1309,772095000
