Date,Open,High,Low,Close,Adj Close,Volume
,AZO,AZO,AZO,AZO,,AZO
1991-04-01,6.875,8.2812,6.5625,8.0625,8.0625,20460400
1991-05-01,8.125,8.2812,7.3125,7.5312,7.5312,3569600
1991-06-01,7.5,8.6875,7.5,8.4688,8.4688,3650800
1991-07-01,8.6562,10.25,8.625,9.4375,9.4375,5776400
1991-08-01,9.4375,10.375,9.0,10.1875,10.1875,3688800
1991-09-01,10.25,12.0625,9.5938,11.1562,11.1562,3228000
1991-10-01,11.0625,11.9688,10.75,11.9375,11.9375,8447600
1991-11-01,11.875,13.9375,11.6562,12.8125,12.8125,4488000
1991-12-01,12.8125,16.9688,12.6875,16.7812,16.7812,7346000
1992-01-01,16.7188,17.625,14.7812,17.0625,17.0625,8194000
1992-02-01,17.5,21.0,17.0625,19.3125,19.3125,6771000
1992-03-01,19.3125,20.0625,17.5,18.4375,18.4375,7342800
1992-04-01,18.3125,19.1875,16.125,17.9375,17.9375,4255200
1992-05-01,18.0,18.875,16.625,17.5625,17.5625,3027200
1992-06-01,17.3125,17.5625,12.5625,14.0,14.0,8206000
1992-07-01,14.25,16.1875,13.625,15.5,15.5,5487400
1992-08-01,15.5625,16.375,14.3125,14.5,14.5,3070000
1992-09-01,14.375,17.1875,14.125,16.6875,16.6875,5721400
1992-10-01,16.6875,17.125,15.5625,16.5,16.5,3454600
1992-11-01,16.5,19.375,16.0,19.375,19.375,3502600
1992-12-01,19.375,20.125,18.75,19.625,19.625,4319200
1993-01-01,19.375,19.75,17.3125,17.5625,17.5625,3914200
1993-02-01,17.6875,19.125,16.875,18.875,18.875,6361400
1993-03-01,19.375,21.875,19.25,21.8125,21.8125,7281800
1993-04-01,21.8125,21.875,19.3125,19.4375,19.4375,4962600
1993-05-01,19.4375,23.6875,19.4375,23.625,23.625,4948000
1993-06-01,23.625,24.5625,21.75,23.4375,23.4375,3761600
1993-07-01,23.4375,24.375,22.875,23.6875,23.6875,2633600
1993-08-01,23.6875,27.5625,22.625,26.8125,26.8125,5289600
1993-09-01,26.8125,27.6875,25.0,25.0,25.0,3586400
1993-10-01,24.6875,26.75,24.125,26.625,26.625,10853200
1993-11-01,26.3125,27.9375,25.375,27.8125,27.8125,3819400
1993-12-01,27.9375,29.5,26.75,28.625,28.625,5149400
1994-01-01,28.375,28.5,26.6875,28.1875,28.1875,4552000
1994-02-01,28.25,28.375,27.0625,28.25,28.25,3523800
1994-03-01,28.125,30.75,26.6875,27.125,27.125,9479600
1994-04-01,27.0,29.0,25.125,29.0,29.0,7752100
1994-05-01,28.5,30.625,25.625,27.25,27.25,5694600
1994-06-01,26.875,29.0,23.125,24.375,24.375,5496600
1994-07-01,24.125,25.625,22.625,24.0,24.0,8242100
1994-08-01,23.75,25.625,22.125,24.875,24.875,7030800
1994-09-01,24.625,26.0,22.0,22.875,22.875,8688300
1994-10-01,23.0,25.75,21.625,24.0,24.0,8188400
1994-11-01,24.25,27.0,23.625,25.625,25.625,5774600
1994-12-01,25.5,27.0,23.125,24.25,24.25,6095900
1995-01-01,24.125,27.25,23.0,26.375,26.375,4699000
1995-02-01,26.5,27.25,25.125,26.5,26.5,3729600
1995-03-01,26.125,26.125,23.625,24.875,24.875,6115400
1995-04-01,24.625,25.875,22.875,23.125,23.125,5203500
1995-05-01,23.125,25.625,22.0,23.25,23.25,7816500
1995-06-01,23.375,26.125,23.0,25.125,25.125,7794900
1995-07-01,25.125,26.5,25.0,26.0,26.0,5579000
1995-08-01,25.875,27.625,25.0,26.875,26.875,6282200
1995-09-01,26.625,27.75,25.5,25.5,25.5,5117100
