Date,Open,High,Low,Close,Adj Close,Volume
,BAC,BAC,BAC,BAC,,BAC
1985-01-01,0.0,1.6468,1.4345,1.5536,1.5536,8536000
1985-02-01,0.0,1.5743,1.4604,1.4811,1.4811,13904800
1985-03-01,0.0,1.5691,1.4241,1.5225,1.5225,7308800
1985-04-01,0.0,1.6675,1.4707,1.6468,1.6468,13404800
1985-05-01,0.0,1.7815,1.595,1.7193,1.7193,13924800
1985-06-01,0.0,1.8281,1.6986,1.8022,1.8022,8670400
1985-07-01,0.0,1.8384,1.6365,1.709,1.709,7009600
1985-08-01,0.0,1.74,1.5329,1.564,1.564,19220000
1985-09-01,0.0,1.5691,1.4034,1.4552,1.4552,6800800
1985-10-01,0.0,1.6261,1.4397,1.6209,1.6209,10732800
1985-11-01,0.0,1.7556,1.6209,1.7245,1.7245,13826400
1985-12-01,0.0,1.9524,1.6675,1.8747,1.8747,10688000
1986-01-01,0.0,1.8747,1.6572,1.7918,1.7918,16060000
1986-02-01,0.0,2.1284,1.7815,2.1284,2.1284,19519200
1986-03-01,0.0,2.1543,2.0249,2.0508,2.0508,13998400
1986-04-01,0.0,2.2993,1.9886,2.2165,2.2165,13957600
1986-05-01,0.0,2.2993,2.0974,2.2993,2.2993,37605600
1986-06-01,2.289,2.2993,2.144,2.2372,2.2372,6739200
1986-07-01,2.263,2.2839,1.9085,1.9867,1.9867,15153600
1986-08-01,1.9815,2.1379,1.945,2.1275,2.1275,38368000
1986-09-01,2.1329,2.1434,1.7651,1.9017,1.9017,13922400
1986-10-01,1.9017,1.9543,1.8229,1.8597,1.8597,5120000
1986-11-01,1.8492,1.886,1.7231,1.8282,1.8282,14712800
1986-12-01,1.8492,2.0804,1.7651,1.8072,1.8072,14648800
1987-01-01,1.846,2.1006,1.793,2.037,2.037,12422000
1987-02-01,2.0582,2.1537,2.0158,2.1112,2.1112,13261600
1987-03-01,2.09,2.281,2.0688,2.1431,2.1431,12605200
1987-04-01,2.1399,2.2362,1.8189,2.0222,2.0222,10643600
1987-05-01,2.0222,2.1399,1.8831,2.0115,2.0115,11889600
1987-06-01,2.0115,2.2683,1.958,2.2148,2.2148,10421200
1987-07-01,2.2348,2.2456,2.0513,2.1484,2.1484,19757200
1987-08-01,2.1268,2.5155,2.1268,2.3535,2.3535,20234800
1987-09-01,2.3498,2.3933,2.067,2.1214,2.1214,26963600
