Date,Open,High,Low,Close,Adj Close,Volume
,BALL,BALL,BALL,BALL,,BALL
1985-01-01,0.6501,0.7223,0.6284,0.7115,0.7115,10969600
1985-02-01,0.7079,0.7205,0.679,0.688,0.688,9356800
1985-03-01,0.688,0.6988,0.6681,0.6808,0.6808,7692800
1985-04-01,0.6808,0.7566,0.6645,0.7386,0.7386,8147200
1985-05-01,0.7386,0.7458,0.697,0.7458,0.7458,6796800
1985-06-01,0.7458,0.8036,0.7422,0.8,0.8,4953600
1985-07-01,0.7945,0.865,0.7927,0.8487,0.8487,5145600
1985-08-01,0.8487,0.8884,0.8325,0.8614,0.8614,5696000
1985-09-01,0.8665,0.8665,0.7902,0.8138,0.8138,4678400
1985-10-01,0.8138,0.861,0.792,0.8029,0.8029,5694400
1985-11-01,0.8029,0.93,0.7992,0.8719,0.8719,5558400
1985-12-01,0.8772,0.9028,0.7457,0.9028,0.9028,9070400
1986-01-01,0.9028,0.9028,0.7749,0.8114,0.8114,8036800
1986-02-01,0.8114,1.0892,0.7676,1.0892,1.0892,11790400
1986-03-01,1.0954,1.0954,0.9116,1.0293,1.0293,7924800
1986-04-01,1.0293,1.1395,0.941,1.1064,1.1064,8334400
1986-05-01,1.1064,1.1836,1.0145,1.1653,1.1653,6020800
1986-06-01,1.1708,1.3444,1.1117,1.2558,1.2558,8600000
1986-07-01,1.2558,1.2705,1.1597,1.1819,1.1819,6536000
1986-08-01,1.193,1.2484,1.0785,1.2373,1.2373,5321600
1986-09-01,1.2437,1.2771,1.0247,1.1361,1.1361,8403200
1986-10-01,1.1435,1.1472,1.0358,1.0804,1.0804,9838400
1986-11-01,1.0878,1.1435,1.0692,1.1249,1.1249,5110400
1986-12-01,1.131,1.1497,1.0452,1.0527,1.0527,11803200
1987-01-01,1.0639,1.3326,1.0601,1.1796,1.1796,8665600
1987-02-01,1.1908,1.2841,1.1385,1.2169,1.2169,9521600
1987-03-01,1.2228,1.2678,1.1365,1.1815,1.1815,10638400
1987-04-01,1.174,1.3391,1.1515,1.2265,1.2265,13819200
1987-05-01,1.2303,1.2866,1.1965,1.2678,1.2678,10892800
1987-06-01,1.2817,1.4627,1.2666,1.44,1.44,10561600
1987-07-01,1.4325,1.4363,1.2214,1.3232,1.3232,12865600
1987-08-01,1.3232,1.4137,1.2704,1.3684,1.3684,11060800
1987-09-01,1.3793,1.402,1.2429,1.3414,1.3414,8552000
1987-10-01,1.3452,1.3565,0.826,0.9852,0.9852,18979200
1987-11-01,0.989,1.061,0.8791,0.8943,0.8943,6392000
1987-12-01,0.9237,1.0955,0.8779,1.0802,1.0802,11040000
1988-01-01,1.0802,1.0955,0.9275,0.9657,0.9657,8116800
1988-02-01,0.9733,1.0229,0.8779,1.0,1.0,26156800
1988-03-01,1.0114,1.0999,0.9883,1.0037,1.0037,26819200
1988-04-01,1.0076,1.073,0.946,0.9653,0.9653,10889600
1988-05-01,0.9614,0.9614,0.7884,0.8653,0.8653,21521600
1988-06-01,0.8843,0.9774,0.8416,0.8765,0.8765,13096000
1988-07-01,0.8765,0.9153,0.8494,0.9153,0.9153,8929600
1988-08-01,0.9231,0.9774,0.861,0.9386,0.9386,13196800
1988-09-01,0.9397,0.9514,0.9083,0.9279,0.9279,8419200
1988-10-01,0.9358,0.9788,0.8927,0.9475,0.9475,13571200
1988-11-01,0.9397,0.9514,0.9162,0.9318,0.9318,8412800
1988-12-01,0.9363,0.9561,0.8771,0.881,0.881,13420800
1989-01-01,0.881,0.8968,0.8218,0.8455,0.8455,11400000
1989-02-01,0.8494,0.8534,0.8099,0.8218,0.8218,12971200
1989-03-01,0.8341,0.9259,0.8062,0.9139,0.9139,14883200
1989-04-01,0.9139,0.9219,0.878,0.894,0.894,7862400
1989-05-01,0.886,0.9099,0.8301,0.9059,0.9059,12528000
1989-06-01,0.9069,0.9392,0.8747,0.8828,0.8828,12947200
1989-07-01,0.8828,1.0722,0.8586,1.048,1.048,15977600
1989-08-01,1.0521,1.1085,1.0319,1.0924,1.0924,15928000
1989-09-01,1.1015,1.1056,0.9511,0.9552,0.9552,13776000
1989-10-01,0.9511,1.004,0.8861,0.9592,0.9592,9499200
1989-11-01,0.9552,1.004,0.9511,0.9918,0.9918,8316800
1989-12-01,1.001,1.1118,0.9477,1.1036,1.1036,10203200
1990-01-01,1.1036,1.1323,0.9928,1.0215,1.0215,13046400
1990-02-01,1.0174,1.0215,0.9231,0.9928,0.9928,5960000
1990-03-01,1.011,1.0442,0.9613,1.0359,1.0359,5500800
1990-04-01,1.0442,1.0815,1.011,1.0566,1.0566,6977600
1990-05-01,1.0483,1.1022,1.011,1.0193,1.0193,9425600
1990-06-01,1.0328,1.0496,0.9994,1.0412,1.0412,14286400
1990-07-01,1.037,1.1416,1.037,1.129,1.129,9419200
1990-08-01,1.129,1.1416,0.9827,0.9994,0.9994,10908800
1990-09-01,1.0007,1.0344,0.8909,0.912,0.912,5910400
1990-10-01,0.9162,1.026,0.8782,0.8951,0.8951,9432000
1990-11-01,0.8824,1.0133,0.8782,0.9247,0.9247,9054400
1990-12-01,0.9389,1.0115,0.9005,0.9176,0.9176,6777600
1991-01-01,0.9219,0.956,0.8749,0.9219,0.9219,10160000
1991-02-01,0.9133,1.0584,0.909,0.9261,0.9261,11657600
1991-03-01,0.9231,0.9619,0.8972,0.9102,0.9102,12720000
1991-04-01,0.9102,0.9921,0.8886,0.9576,0.9576,24502400
1991-05-01,0.9619,1.0309,0.9231,1.0309,1.0309,18497600
1991-06-01,1.0373,1.1201,1.0024,1.0983,1.0983,19054400
1991-07-01,1.0983,1.1898,1.0983,1.1811,1.1811,23969600
1991-08-01,1.1767,1.2683,1.1724,1.2072,1.2072,22192000
1991-09-01,1.2133,1.2924,1.2089,1.2924,1.2924,28315200
1991-10-01,1.2924,1.3144,1.2397,1.2616,1.2616,16204800
1991-11-01,1.2616,1.2704,1.1034,1.1561,1.1561,19259200
1991-12-01,1.1489,1.3574,1.1489,1.3485,1.3485,21497600
1992-01-01,1.3574,1.4018,1.2421,1.2509,1.2509,25516800
1992-02-01,1.2509,1.3397,1.2332,1.3352,1.3352,24950400
1992-03-01,1.346,1.3773,1.2432,1.2432,1.2432,19614400
1992-04-01,1.2432,1.2968,1.194,1.2476,1.2476,19603200
1992-05-01,1.2432,1.3281,1.185,1.279,1.279,31590400
1992-06-01,1.2944,1.3485,1.2448,1.2673,1.2673,12678400
1992-07-01,1.2673,1.2854,1.1456,1.1952,1.1952,22980800
1992-08-01,1.1952,1.2538,1.1501,1.1952,1.1952,44166400
1992-09-01,1.1974,1.2111,1.1109,1.1291,1.1291,15284800
1992-10-01,1.1382,1.1883,1.0198,1.161,1.161,21536000
1992-11-01,1.1564,1.2611,1.1473,1.2475,1.2475,10811200
1992-12-01,1.2588,1.3185,1.1761,1.3001,1.3001,18176000
1993-01-01,1.3139,1.3461,1.268,1.3323,1.3323,12475200
1993-02-01,1.3277,1.3461,1.2404,1.2956,1.2956,18478400
1993-03-01,1.2885,1.3812,1.2839,1.3163,1.3163,26310400
1993-04-01,1.307,1.3163,1.1077,1.1448,1.1448,39024000
1993-05-01,1.3077,1.4347,1.2971,1.3712,1.3712,35408000
1993-06-01,1.3843,1.395,1.1919,1.2079,1.2079,29944000
1993-07-01,1.2079,1.2827,1.1705,1.2613,1.2613,38508800
1993-08-01,1.2667,1.3789,1.2613,1.3415,1.3415,21475200
1993-09-01,1.3437,1.3815,1.2574,1.3006,1.3006,27508800
1993-10-01,1.2952,1.3114,1.0847,1.1171,1.1171,38020800
1993-11-01,1.1171,1.2466,1.1117,1.2412,1.2412,32555200
1993-12-01,1.255,1.3641,1.2277,1.3205,1.3205,36616000
1994-01-01,1.3095,1.3259,1.0913,1.1513,1.1513,48012800
1994-02-01,1.1404,1.1731,1.0967,1.1022,1.1022,26283200
1994-03-01,1.1139,1.1578,1.07,1.1248,1.1248,26534400
1994-04-01,1.1029,1.1852,1.0864,1.1797,1.1797,25080000
1994-05-01,1.1797,1.3388,1.1797,1.262,1.262,34168000
1994-06-01,1.2686,1.2906,1.1417,1.1472,1.1472,16536000
1994-07-01,1.1528,1.2024,1.0755,1.1638,1.1638,18049600
1994-08-01,1.1638,1.2465,1.1417,1.23,1.23,24425600
1994-09-01,1.2311,1.2589,1.1591,1.2589,1.2589,17132800
1994-10-01,1.2533,1.2811,1.209,1.2533,1.2533,30435200
1994-11-01,1.2533,1.3199,1.2145,1.2478,1.2478,26328000
1994-12-01,1.249,1.433,1.2322,1.4051,1.4051,30888000
1995-01-01,1.4051,1.5054,1.3159,1.3605,1.3605,80326400
1995-02-01,1.3716,1.511,1.3493,1.4608,1.4608,40297600
1995-03-01,1.4842,1.5738,1.4057,1.5402,1.5402,35372800
1995-04-01,1.5402,1.6522,1.5234,1.5346,1.5346,29908800
1995-05-01,1.5346,1.5514,1.3889,1.4898,1.4898,37315200
1995-06-01,1.4965,1.5696,1.4177,1.5696,1.5696,43435200
1995-07-01,1.5696,1.744,1.564,1.6652,1.6652,49294400
1995-08-01,1.654,1.6652,1.4965,1.5302,1.5302,26907200
1995-09-01,1.5426,1.568,1.3335,1.3392,1.3392,50971200
1995-10-01,1.3392,1.3731,1.1697,1.2488,1.2488,53353600
1995-11-01,1.2431,1.3448,1.2036,1.294,1.294,52576000
1995-12-01,1.312,1.3688,1.17,1.2609,1.2609,29056000
1996-01-01,1.2609,1.3177,1.17,1.2893,1.2893,53889600
1996-02-01,1.2893,1.4086,1.2723,1.3631,1.3631,51536000
1996-03-01,1.37,1.4728,1.3529,1.4157,1.4157,30243200
1996-04-01,1.4271,1.4556,1.3301,1.4214,1.4214,34464000
1996-05-01,1.4214,1.4214,1.2444,1.2616,1.2616,67545600
1996-06-01,1.2685,1.3201,1.234,1.3087,1.3087,35054400
1996-07-01,1.3087,1.3087,1.0963,1.1422,1.1422,32699200
1996-08-01,1.1479,1.1652,1.0733,1.0848,1.0848,33880000
1996-09-01,1.08,1.1551,1.0742,1.132,1.132,23027200
1996-10-01,1.132,1.132,1.0685,1.1204,1.1204,31472000
1996-11-01,1.1204,1.1551,1.1031,1.132,1.132,22617600
1996-12-01,1.139,1.2203,1.1215,1.2203,1.2203,44947200
1997-01-01,1.2029,1.29,1.1854,1.1913,1.1913,23577600
1997-02-01,1.1913,1.1913,1.1041,1.1738,1.1738,21974400
1997-03-01,1.175,1.2686,1.1692,1.2393,1.2393,30588800
1997-04-01,1.2218,1.2744,1.1809,1.2569,1.2569,22916800
1997-05-01,1.2452,1.3679,1.2101,1.3621,1.3621,37691200
1997-06-01,1.3634,1.4457,1.3575,1.4133,1.4133,26267200
1997-07-01,1.4104,1.478,1.3722,1.3987,1.3987,20289600
1997-08-01,1.3987,1.6132,1.3751,1.5456,1.5456,51377600
1997-09-01,1.5407,1.706,1.5407,1.644,1.644,25713600
1997-10-01,1.6351,1.7355,1.4728,1.6528,1.6528,30171200
1997-11-01,1.6705,1.8417,1.6233,1.8181,1.8181,63032000
1997-12-01,1.8371,1.846,1.6089,1.6771,1.6771,44827200
1998-01-01,1.6682,1.6919,1.4134,1.5408,1.5408,48337600
1998-02-01,1.5526,1.5645,1.4934,1.5467,1.5467,27067200
1998-03-01,1.5479,1.6074,1.4883,1.5598,1.5598,34083200
1998-04-01,1.5598,1.9497,1.5419,1.8396,1.8396,57001600
1998-05-01,1.8396,1.9051,1.7562,1.8783,1.8783,39755200
1998-06-01,1.8826,1.9483,1.8228,1.9214,1.9214,42684800
1998-07-01,1.9214,2.1994,1.9065,2.0709,2.0709,51296000
1998-08-01,2.0738,2.292,1.787,1.79,1.79,53563200
1998-09-01,1.7846,1.7846,1.3737,1.6916,1.6916,84776000
1998-10-01,1.6916,2.0575,1.3887,2.0246,2.0246,61822400
1998-11-01,2.0246,2.2075,1.9526,2.0515,2.0515,61075200
1998-12-01,2.0586,2.2212,1.9774,2.2031,2.2031,39982400
1999-01-01,2.2392,2.2392,2.0857,2.167,2.167,76761600
1999-02-01,2.173,2.2121,1.9232,2.0165,2.0165,44184000
1999-03-01,1.9939,2.2688,1.8972,2.2688,2.2688,58864000
1999-04-01,2.2597,2.7884,2.1147,2.6555,2.6555,68401600
1999-05-01,2.6585,2.8579,2.3322,2.3624,2.3624,53838400
1999-06-01,2.3572,2.4845,2.0482,2.0482,2.0482,94697600
1999-07-01,2.1694,2.3693,2.133,2.3481,2.3481,64320000
1999-08-01,2.3511,2.542,2.1421,2.1784,2.1784,63494400
1999-09-01,2.1857,2.3042,2.0702,2.1431,2.1431,33427200
1999-10-01,2.1522,2.1522,1.8513,1.9607,1.9607,57028800
1999-11-01,1.9607,1.985,1.7662,1.8087,1.8087,44228800
1999-12-01,1.8037,1.9502,1.7274,1.9228,1.9228,36953600
2000-01-01,1.9167,2.112,1.7244,1.7763,1.7763,64499200
2000-02-01,1.7641,1.7854,1.3093,1.3093,1.3093,35308800
2000-03-01,1.3378,1.7029,1.2764,1.6968,1.6968,62417600
2000-04-01,1.6876,1.8471,1.5341,1.5464,1.5464,50534400
2000-05-01,1.5157,1.6876,1.436,1.4574,1.4574,45131200
2000-06-01,1.4616,1.7854,1.4586,1.5873,1.5873,57305600
2000-07-01,1.6004,1.7947,1.5665,1.7114,1.7114,41049600
2000-08-01,1.7022,1.7392,1.6004,1.7083,1.7083,39872000
2000-09-01,1.7282,1.7808,1.5423,1.5702,1.5702,57739200
2000-10-01,1.564,1.7467,1.4154,1.7405,1.7405,50147200
2000-11-01,1.7405,1.9419,1.7003,1.9295,1.9295,28132800
2000-12-01,1.9308,2.3848,1.8749,2.2915,2.2915,53142400
2001-01-01,2.2791,2.4283,1.9625,1.9879,1.9879,87211200
2001-02-01,2.0004,2.1257,1.8944,2.0596,2.0596,39424000
2001-03-01,2.0673,2.295,2.0289,2.2905,2.2905,65419200
2001-04-01,2.292,2.4049,2.2056,2.297,2.297,42689600
2001-05-01,2.307,2.4638,2.1023,2.3719,2.3719,52881600
2001-06-01,2.3795,2.5624,2.1661,2.3825,2.3825,56008000
2001-07-01,2.3825,2.4973,2.3069,2.4762,2.4762,45232000
2001-08-01,2.4847,2.6676,2.3655,2.6375,2.6375,65268800
2001-09-01,2.6752,3.0745,2.6325,3.0092,3.0092,114620800
2001-10-01,2.8736,3.2956,2.7756,3.0916,3.0916,106206400
2001-11-01,3.1022,3.5568,3.1022,3.4423,3.4423,92472000
2001-12-01,3.4287,3.6311,3.2369,3.5596,3.5596,72648000
2002-01-01,3.5571,3.9694,3.2827,3.9624,3.9624,110321600
2002-02-01,3.9624,4.418,3.9196,4.2584,4.2584,91511200
2002-03-01,4.2629,4.8435,4.2054,4.7599,4.7599,57034400
2002-04-01,4.7598,5.2306,4.4766,4.7931,4.7931,84376800
2002-05-01,4.8133,4.9322,4.1913,4.1913,4.1913,74876000
2002-06-01,4.2001,4.4809,3.9243,4.19,4.19,103466400
2002-07-01,4.19,4.4819,3.3152,4.3456,4.3456,113889600
2002-08-01,4.3435,5.1567,4.1233,5.0314,5.0314,95255200
2002-09-01,5.0421,5.5147,4.8346,5.0998,5.0998,115435200
2002-10-01,5.116,5.373,4.5421,4.9014,4.9014,110463200
2002-11-01,4.8893,5.0279,4.612,5.0077,5.0077,59220800
2002-12-01,5.075,5.2373,4.8672,5.1906,5.1906,57874400
2003-01-01,5.2119,5.4948,4.9229,5.3234,5.3234,73350400
2003-02-01,5.2829,5.5131,5.1632,5.4025,5.4025,56893600
2003-03-01,5.418,5.7745,5.033,5.6577,5.6577,93591200
2003-04-01,5.6577,6.0152,5.5592,5.7044,5.7044,75367200
2003-05-01,5.7044,5.8273,4.6978,5.03,5.03,120536000
2003-06-01,5.0626,5.1339,4.6067,4.6312,4.6312,103342400
2003-07-01,4.6312,5.1603,4.3045,5.0575,5.0575,163279200
2003-08-01,5.0423,5.4086,4.8642,5.373,5.373,60395200
2003-09-01,5.3895,5.6253,5.169,5.512,5.512,82352000
2003-10-01,5.512,5.8938,5.4303,5.7366,5.7366,56624800
2003-11-01,5.7519,5.7743,5.5426,5.711,5.711,31156800
2003-12-01,5.7009,6.1154,5.6988,6.0969,6.0969,46056800
2004-01-01,6.0795,6.5299,5.7838,6.404,6.404,53853600
2004-02-01,6.406,6.6875,6.405,6.6087,6.6087,50406400
2004-03-01,6.658,7.0643,6.4077,6.9535,6.9535,56248000
2004-04-01,6.9535,7.3146,6.6427,6.7709,6.7709,47353600
2004-05-01,6.7863,7.0458,6.1964,7.0079,7.0079,78440800
2004-06-01,7.0238,7.4505,6.9024,7.4083,7.4083,48591200
2004-07-01,7.4134,7.5872,7.0166,7.4217,7.4217,52225600
2004-08-01,7.4217,7.7301,7.3116,7.6787,7.6787,62647600
2004-09-01,7.7139,7.8974,7.2252,7.718,7.718,65846800
2004-10-01,7.718,8.3676,7.384,8.217,8.217,53994000
2004-11-01,8.2356,9.2521,8.2356,9.2233,9.2233,43799600
2004-12-01,9.3002,9.3415,8.7236,9.0894,9.0894,39114400
2005-01-01,9.0935,9.1142,8.1945,8.829,8.829,47940400
2005-02-01,8.8372,9.325,8.8372,9.1762,9.1762,36434400
2005-03-01,9.1742,9.6216,8.4637,8.5921,8.5921,52189200
2005-04-01,8.6791,8.8448,7.9313,8.182,8.182,61954400
2005-05-01,8.1861,8.3477,7.544,7.778,7.778,75077600
2005-06-01,7.7986,8.0271,7.4352,7.4684,7.4684,46226800
2005-07-01,7.4767,8.2618,7.3209,7.8817,7.8817,61769200
2005-08-01,7.8692,8.1434,7.6823,7.7903,7.7903,46869200
2005-09-01,7.7985,8.0026,7.4612,7.6507,7.6507,43547600
2005-10-01,7.609,8.3275,7.3009,8.1984,8.1984,57441600
2005-11-01,8.2046,8.7023,7.9256,8.5836,8.5836,40502400
2005-12-01,8.6944,8.7571,8.2456,8.2915,8.2915,35734400
2006-01-01,8.4022,9.0556,8.2289,8.4544,8.4544,55891600
2006-02-01,8.4147,9.1704,8.0431,8.8927,8.8927,58910400
2006-03-01,8.9068,9.4152,8.8126,9.1704,9.1704,43483200
2006-04-01,9.2123,9.2771,8.1431,8.3649,8.3649,67454800
2006-05-01,8.3021,8.3482,7.2079,7.8293,7.8293,99554800
2006-06-01,7.8504,7.8672,7.1665,7.7707,7.7707,77454800
2006-07-01,7.7917,8.2973,7.349,8.035,8.035,58678000
2006-08-01,7.9931,8.4798,7.8609,8.463,8.463,38832000
2006-09-01,8.5452,8.7828,8.1392,8.5073,8.5073,35895200
2006-10-01,8.5073,9.0541,8.3433,8.7471,8.7471,38824800
2006-11-01,8.7513,9.0142,8.6293,8.9931,8.9931,32735200
2006-12-01,8.9602,9.2933,8.9391,9.1921,9.1921,31524800
2007-01-01,9.2174,10.0248,9.1731,9.7655,9.7655,45938400
2007-02-01,9.7697,10.1007,9.5463,9.7655,9.7655,35930800
