Date,Open,High,Low,Close,Adj Close,Volume
,BAX,BAX,BAX,BAX,,BAX
1985-01-01,1.2214,1.4563,1.2097,1.4211,1.4211,51230489
1985-02-01,1.3859,1.4211,1.3154,1.3624,1.3624,37901214
1985-03-01,1.3506,1.5855,1.3389,1.4798,1.4798,35458250
1985-04-01,1.489,1.5363,1.4063,1.4181,1.4181,35706760
1985-05-01,1.4181,1.4654,1.3709,1.4418,1.4418,28047060
1985-06-01,1.4299,1.5836,1.3945,1.4536,1.4536,47249015
1985-07-01,1.4743,1.5694,1.3316,1.3911,1.3911,53562777
1985-08-01,1.403,1.4148,1.2841,1.403,1.403,19998982
1985-09-01,1.4148,1.4148,1.2008,1.2127,1.2127,18008851
1985-10-01,1.2206,1.3163,1.1847,1.2326,1.2326,29673943
1985-11-01,1.2326,1.4839,1.2086,1.448,1.448,141910827
1985-12-01,1.448,1.5317,1.3403,1.5078,1.5078,107993523
1986-01-01,1.5048,1.589,1.4807,1.5409,1.5409,62987202
1986-02-01,1.5288,1.7696,1.4566,1.7215,1.7215,64660302
1986-03-01,1.7215,1.902,1.6252,1.7455,1.7455,62578959
1986-04-01,1.7554,1.9127,1.7432,1.8159,1.8159,53774397
1986-05-01,1.8159,2.058,1.7554,1.9612,1.9612,61979773
1986-06-01,1.9369,2.0096,1.8038,1.828,1.828,47280637
1986-07-01,1.813,1.8374,1.6183,1.7765,1.7765,55371284
1986-08-01,1.7643,1.9104,1.7035,1.7157,1.7157,52481971
1986-09-01,1.7157,1.7887,1.4967,1.5453,1.5453,52422779
1986-10-01,1.5664,1.8723,1.5419,1.8478,1.8478,49413063
1986-11-01,1.8356,1.8478,1.701,1.8111,1.8111,28271653
1986-12-01,1.8234,2.0192,1.7866,1.8845,1.8845,79243899
1987-01-01,1.9186,2.2998,1.8694,2.2506,2.2506,82692670
1987-02-01,2.2506,2.5704,2.2506,2.4474,2.4474,64528143
1987-03-01,2.4351,2.5581,2.1891,2.3982,2.3982,66876239
1987-04-01,2.3719,2.5572,2.1866,2.5078,2.5078,72658112
1987-05-01,2.4831,2.5201,2.0754,2.2607,2.2607,59438701
1987-06-01,2.2731,2.4831,2.1742,2.409,2.409,58394787
1987-07-01,2.3955,2.7306,2.3707,2.681,2.681,85161985
1987-08-01,2.6438,2.7555,2.5569,2.7058,2.7058,66291242
1987-09-01,2.7058,2.8796,2.5321,2.8299,2.8299,76543908
1987-10-01,2.8418,2.9166,1.5455,2.3806,2.3806,113157557
1987-11-01,2.2934,2.3682,2.0441,2.1313,2.1313,53259130
1987-12-01,2.1313,2.3432,2.0815,2.2685,2.2685,49786436
1988-01-01,2.2796,2.5176,2.1543,2.4549,2.4549,71384335
1988-02-01,2.4675,2.5176,2.2295,2.4925,2.4925,45079296
1988-03-01,2.4925,2.6178,2.2295,2.3046,2.3046,63189902
1988-04-01,2.2911,2.417,2.1275,2.1904,2.1904,41571739
1988-05-01,2.203,2.2282,1.8883,2.0897,2.0897,61570720
1988-06-01,2.1149,2.2659,2.0267,2.0519,2.0519,81345108
1988-07-01,2.0764,2.1144,1.9498,2.0384,2.0384,80379435
1988-08-01,2.0257,2.1523,1.9878,2.0764,2.0764,53784532
1988-09-01,2.0637,2.2156,1.7599,1.7978,1.7978,123821305
1988-10-01,1.796,1.9361,1.7323,1.8469,1.8469,98350990
1988-11-01,1.8469,1.8469,1.6559,1.7578,1.7578,63978416
1988-12-01,1.745,1.8597,1.7196,1.796,1.796,69347583
1989-01-01,1.8217,2.0527,1.7961,2.0142,2.0142,82543884
1989-02-01,2.0142,2.1297,1.8987,1.9244,1.9244,64493683
1989-03-01,1.9372,2.1425,1.8987,2.0014,2.0014,65804759
1989-04-01,2.0158,2.0546,1.9254,2.0417,2.0417,64763274
1989-05-01,2.0158,2.2613,1.99,2.2355,2.2355,77214446
1989-06-01,2.2484,2.2613,2.1192,2.1451,2.1451,52203864
1989-07-01,2.1724,2.4325,2.1594,2.4065,2.4065,66324892
1989-08-01,2.3935,2.5366,2.3675,2.4455,2.4455,73400407
1989-09-01,2.4325,2.4585,2.3025,2.3935,2.3935,49347792
1989-10-01,2.4084,2.5,2.199,2.3822,2.3822,53423723
1989-11-01,2.3822,2.5917,2.3299,2.5917,2.5917,45856858
1989-12-01,2.5786,2.7095,2.5,2.6178,2.6178,43856189
1990-01-01,2.6195,2.7643,2.4089,2.501,2.501,55021420
1990-02-01,2.501,2.6327,2.422,2.6195,2.6195,57573842
1990-03-01,2.6195,2.6721,2.4879,2.5537,2.5537,57272626
1990-04-01,2.5438,2.716,2.1728,2.1993,2.1993,86329951
1990-05-01,2.1993,2.5173,2.1728,2.4908,2.4908,68965287
1990-06-01,2.4775,2.716,2.4378,2.5438,2.5438,84256719
1990-07-01,2.5612,2.9347,2.5346,2.7346,2.7346,92842361
