Date,Open,High,Low,Close,Adj Close,Volume
,BA,BA,BA,BA,,BA
1985-01-01,3.9998,4.4599,3.8405,4.4157,4.4157,89606250
1985-02-01,4.4157,4.7077,4.336,4.6369,4.6369,51862275
1985-03-01,4.6628,4.7606,4.2712,4.4492,4.4492,41314050
1985-04-01,4.4492,4.5204,4.0488,4.2979,4.2979,44407575
1985-05-01,4.2979,4.734,4.0399,4.734,4.734,64794600
1985-06-01,4.7561,5.0064,4.6265,4.8008,4.8008,40899150
1985-07-01,4.8008,5.4177,4.7874,5.1763,5.1763,40279950
1985-08-01,5.2299,5.4177,4.9081,5.1629,5.1629,40499100
1985-09-01,5.1912,5.2721,4.8002,4.8946,4.8946,33656850
1985-10-01,4.8946,5.1373,4.4766,4.9485,4.9485,45713700
1985-11-01,4.9485,5.3935,4.8676,5.2991,5.2991,45245700
1985-12-01,5.3306,5.7239,5.1678,5.6697,5.6697,49051350
1986-01-01,5.6697,5.8053,4.9915,5.2356,5.2356,77333850
1986-02-01,5.2356,5.8596,4.9644,5.7917,5.7917,66937050
1986-03-01,5.8281,6.3058,5.7052,6.2239,6.2239,45196650
1986-04-01,6.183,6.4832,5.7871,6.142,6.142,41036850
1986-05-01,6.142,6.4286,5.8417,6.3604,6.3604,37761750
1986-06-01,6.3665,7.08,6.2293,6.9154,6.9154,41702400
1986-07-01,6.9154,7.1212,6.3665,6.49,6.49,41862600
1986-08-01,6.49,6.833,6.3391,6.6821,6.6821,38576250
1986-09-01,6.6744,6.6882,5.6815,5.8884,5.8884,41111100
1986-10-01,5.8884,6.2469,5.7367,5.8332,5.8332,50408550
1986-11-01,5.8332,5.8746,5.3919,5.6263,5.6263,60388650
1986-12-01,5.6591,6.0336,5.5066,5.673,5.673,55456650
1987-01-01,5.7008,5.9366,5.4511,5.5759,5.5759,110005200
1987-02-01,5.5759,6.0753,5.4788,6.0198,6.0198,67590450
1987-03-01,6.0622,6.0622,5.6432,5.7968,5.7968,63295200
1987-04-01,5.7968,5.8667,4.8889,4.9727,4.9727,69298200
1987-05-01,4.9727,5.2521,4.7771,5.0565,5.0565,60776550
1987-06-01,5.0959,5.476,5.0115,5.2789,5.2789,43246800
1987-07-01,5.2789,6.0813,5.1945,5.9687,5.9687,81377100
1987-08-01,5.9546,6.0391,5.6872,5.9405,5.9405,77552550
1987-09-01,5.9804,6.0229,5.5694,5.7678,5.7678,33855750
1987-10-01,5.7678,5.8245,3.8547,4.379,4.379,73098000
