Date,Open,High,Low,Close,Adj Close,Volume
,BDX,BDX,BDX,BDX,,BDX
1973-02-01,0.0,1.1912,1.1295,1.1604,1.1604,2197600
1973-03-01,0.0,1.2415,1.1209,1.1559,1.1559,4036040
1973-04-01,0.0,1.2182,1.1014,1.1365,1.1365,3932720
1973-05-01,0.0,1.2376,1.1014,1.1403,1.1403,4918360
1973-06-01,0.0,1.1598,1.0314,1.0625,1.0625,3671960
1973-07-01,0.0,1.2727,1.008,1.2182,1.2182,4741240
1973-08-01,0.0,1.2221,1.0664,1.1754,1.1754,3647360
1973-09-01,0.0,1.3194,1.1676,1.2766,1.2766,4214800
1973-10-01,0.0,1.3778,1.2649,1.3466,1.3466,4305000
1973-11-01,0.0,1.3739,1.1909,1.1987,1.1987,4772400
1973-12-01,0.0,1.2065,1.0314,1.1676,1.1676,2909360
1974-01-01,0.0,1.2065,1.0119,1.1481,1.1481,3663760
1974-02-01,0.0,1.1442,1.0236,1.082,1.082,2366520
1974-03-01,0.0,1.2299,1.0781,1.1403,1.1403,5885960
1974-04-01,0.0,1.1909,1.0314,1.0898,1.0898,2310760
1974-05-01,0.0,1.1909,1.0898,1.1598,1.1598,3050400
1974-06-01,0.0,1.2454,1.0975,1.1131,1.1131,4316480
1974-07-01,0.0,1.1209,0.8835,0.8835,0.8835,2835560
1974-08-01,0.0,0.899,0.6344,0.8329,0.8329,5516960
1974-09-01,0.0,0.8368,0.6772,0.685,0.685,2924120
1974-10-01,0.0,0.9185,0.6577,0.8835,0.8835,3324280
1974-11-01,0.0,0.9496,0.8446,0.9068,0.9068,2681400
1974-12-01,0.0,0.9029,0.755,0.8562,0.8562,2581360
1975-01-01,0.0,1.0469,0.8718,1.0197,1.0197,5508760
1975-02-01,0.0,1.1481,1.0041,1.117,1.117,5551400
1975-03-01,0.0,1.1754,1.0664,1.1676,1.1676,4265640
1975-04-01,0.0,1.1676,1.043,1.0781,1.0781,5877760
1975-05-01,0.0,1.1442,1.0664,1.1053,1.1053,5115160
1975-06-01,0.0,1.1365,1.0197,1.1365,1.1365,8472240
1975-07-01,0.0,1.1793,1.0547,1.0936,1.0936,8813360
1975-08-01,0.0,1.1014,1.0002,1.043,1.043,4652680
1975-09-01,0.0,1.0586,0.9496,1.0275,1.0275,2853600
1975-10-01,0.0,1.152,0.9925,1.1365,1.1365,4098360
1975-11-01,0.0,1.2454,1.1248,1.226,1.226,4898680
1975-12-01,0.0,1.226,1.117,1.2143,1.2143,4590360
1976-01-01,0.0,1.3349,1.2221,1.2454,1.2454,7663720
1976-02-01,0.0,1.2844,1.1832,1.261,1.261,7393120
1976-03-01,0.0,1.2571,1.1053,1.1987,1.1987,7030680
1976-04-01,0.0,1.261,1.117,1.226,1.226,5498920
1976-05-01,0.0,1.2688,1.1053,1.1053,1.1053,3922880
1976-06-01,0.0,1.2376,1.0586,1.1715,1.1715,6164760
1976-07-01,0.0,1.1948,1.1403,1.1871,1.1871,3781840
1976-08-01,0.0,1.2376,1.1637,1.1676,1.1676,2366520
1976-09-01,0.0,1.2104,1.1365,1.1598,1.1598,4513280
1976-10-01,0.0,1.1559,1.0742,1.1131,1.1131,3132400
1976-11-01,0.0,1.1131,1.0275,1.1053,1.1053,2991360
1976-12-01,0.0,1.0975,1.0041,1.0508,1.0508,6046680
1977-01-01,0.0,1.0859,0.9185,0.9224,0.9224,4705160
1977-02-01,0.0,1.0353,0.9185,0.9574,0.9574,5469400
1977-03-01,0.0,1.0197,0.9457,0.9691,0.9691,7466920
1977-04-01,0.0,0.9769,0.8485,0.8523,0.8523,6387800
1977-05-01,0.0,0.864,0.794,0.8095,0.8095,6705960
1977-06-01,0.0,0.9496,0.8095,0.899,0.899,5748200
1977-07-01,0.0,0.9185,0.8329,0.8718,0.8718,5006920
1977-08-01,0.0,0.9146,0.8407,0.8952,0.8952,7017560
1977-09-01,0.0,0.9496,0.8913,0.9419,0.9419,3444000
1977-10-01,0.0,1.0781,0.9263,0.9691,0.9691,12844480
1977-11-01,0.0,0.9963,0.9029,0.9652,0.9652,5781000
1977-12-01,0.0,1.0041,0.9535,0.9808,0.9808,5590760
1978-01-01,0.0,1.2376,0.9691,1.2221,1.2221,21282280
1978-02-01,0.0,1.261,1.1092,1.152,1.152,20329440
1978-03-01,0.0,1.1715,1.0936,1.1287,1.1287,10056480
1978-04-01,0.0,1.2026,1.1053,1.1676,1.1676,10951920
1978-05-01,0.0,1.2766,1.1754,1.1987,1.1987,15963760
1978-06-01,0.0,1.2065,1.1053,1.1481,1.1481,8129480
1978-07-01,0.0,1.1987,1.1209,1.1754,1.1754,4575600
1978-08-01,0.0,1.2299,1.1559,1.1987,1.1987,10455000
1978-09-01,0.0,1.2338,1.1676,1.1754,1.1754,8203280
1978-10-01,0.0,1.2026,0.9574,0.9574,0.9574,10456640
1978-11-01,0.0,1.0664,0.973,1.0236,1.0236,5548120
1978-12-01,0.0,1.0664,0.9457,0.973,0.973,7529240
1979-01-01,0.0,1.0898,0.9691,1.043,1.043,5561240
1979-02-01,0.0,1.0859,0.9652,0.9769,0.9769,5344760
1979-03-01,0.0,1.0392,0.9652,1.0392,1.0392,7612880
1979-04-01,0.0,1.1365,1.0314,1.0547,1.0547,8342680
1979-05-01,0.0,1.082,0.9886,1.0119,1.0119,5238160
1979-06-01,0.0,1.1209,0.9963,1.117,1.117,7220920
1979-07-01,0.0,1.117,1.043,1.0469,1.0469,9005240
1979-08-01,0.0,1.1365,1.0469,1.0898,1.0898,10071240
1979-09-01,0.0,1.0898,1.008,1.008,1.008,7283240
1979-10-01,0.0,1.0119,0.8913,0.9029,0.9029,13526720
1979-11-01,0.0,1.0353,0.8523,1.0002,1.0002,7775240
1979-12-01,0.0,1.0664,0.9808,1.0586,1.0586,9677640
1980-01-01,0.0,1.0936,1.0041,1.043,1.043,15949000
1980-02-01,0.0,1.0703,0.9419,0.9886,0.9886,15174920
1980-03-01,0.0,1.008,0.8173,0.9185,0.9185,8857640
1980-04-01,0.0,1.1014,0.9146,1.0975,1.0975,6463240
1980-05-01,0.0,1.0898,1.0314,1.0547,1.0547,4106560
1980-06-01,0.0,1.152,1.0236,1.0314,1.0314,8304960
1980-07-01,0.0,1.226,1.0275,1.1948,1.1948,7138920
1980-08-01,0.0,1.2415,1.1754,1.2065,1.2065,12393480
1980-09-01,0.0,1.3622,1.1559,1.3077,1.3077,15548840
1980-10-01,0.0,1.3544,1.2454,1.2766,1.2766,7995000
1980-11-01,0.0,1.5179,1.2766,1.4945,1.4945,18946920
1980-12-01,0.0,1.6385,1.4673,1.6268,1.6268,9948240
1981-01-01,0.0,1.6969,1.4517,1.4751,1.4751,7391480
1981-02-01,0.0,1.5257,1.4167,1.5101,1.5101,4754360
1981-03-01,0.0,1.584,1.4867,1.5179,1.5179,8624760
1981-04-01,0.0,1.6152,1.4751,1.4945,1.4945,8911760
1981-05-01,0.0,1.5101,1.4167,1.4906,1.4906,4911800
1981-06-01,0.0,1.5451,1.4167,1.4167,1.4167,7662080
1981-07-01,0.0,1.4634,1.37,1.4634,1.4634,9882640
1981-08-01,0.0,1.4712,1.2766,1.2844,1.2844,5890880
1981-09-01,0.0,1.2882,1.1559,1.1987,1.1987,5808880
1981-10-01,0.0,1.3933,1.1909,1.3933,1.3933,10766600
1981-11-01,0.0,1.4867,1.37,1.4867,1.4867,6615760
1981-12-01,0.0,1.5101,1.3816,1.4867,1.4867,5402160
1982-01-01,0.0,1.5179,1.3739,1.5101,1.5101,5594040
1982-02-01,0.0,1.5685,1.3817,1.3855,1.3855,13108520
1982-03-01,0.0,1.3972,1.2766,1.2921,1.2921,14182720
1982-04-01,0.0,1.4284,1.296,1.3778,1.3778,8091760
1982-05-01,0.0,1.3855,1.2921,1.2921,1.2921,9717000
1982-06-01,0.0,1.2999,1.2299,1.2921,1.2921,9490680
1982-07-01,0.0,1.2844,1.1832,1.2143,1.2143,9505440
1982-08-01,0.0,1.3311,1.1209,1.3077,1.3077,15028960
1982-09-01,0.0,1.3855,1.2376,1.2766,1.2766,13302040
1982-10-01,0.0,1.4556,1.2649,1.4284,1.4284,13672680
1982-11-01,0.0,1.4828,1.3544,1.3661,1.3661,14195840
1982-12-01,0.0,1.44,1.3155,1.3233,1.3233,22222000
1983-01-01,0.0,1.4478,1.3155,1.3817,1.3817,10820720
1983-02-01,0.0,1.3816,1.2493,1.3194,1.3194,12660800
1983-03-01,0.0,1.5101,1.3233,1.4828,1.4828,20826360
1983-04-01,0.0,1.5529,1.4284,1.5412,1.5412,11189720
1983-05-01,1.5373,1.5529,1.4789,1.4945,1.4945,8736280
1983-06-01,1.4867,1.6658,1.44,1.4634,1.4634,25898880
1983-07-01,1.4879,1.4879,1.2452,1.2608,1.2608,28606520
1983-08-01,1.253,1.3313,1.2373,1.2726,1.2726,17857960
1983-09-01,1.2804,1.3078,1.2295,1.2765,1.2765,31704480
1983-10-01,1.2855,1.3723,1.2382,1.254,1.254,19004320
1983-11-01,1.2461,1.2619,1.1594,1.1909,1.1909,21380680
1983-12-01,1.1909,1.1988,1.0726,1.1594,1.1594,24562280
1984-01-01,1.1921,1.2716,1.1286,1.1524,1.1524,24839440
1984-02-01,1.1604,1.1921,1.0809,1.1087,1.1087,10935520
1984-03-01,1.0968,1.1365,1.069,1.1127,1.1127,12183560
1984-04-01,1.1139,1.1459,1.1018,1.1179,1.1179,15278240
1984-05-01,1.1139,1.1379,1.0337,1.0457,1.0457,9689120
1984-06-01,1.0417,1.0898,1.0417,1.0658,1.0658,9944960
1984-07-01,1.0668,1.091,0.9941,1.0506,1.0506,6687920
1984-08-01,1.0587,1.2567,1.0466,1.2284,1.2284,13672680
1984-09-01,1.2382,1.2627,1.173,1.2178,1.2178,9684200
1984-10-01,1.2219,1.2301,1.1568,1.1975,1.1975,10559960
1984-11-01,1.1934,1.34,1.1893,1.3156,1.3156,15953920
1984-12-01,1.3156,1.3441,1.2708,1.2912,1.2912,15935880
1985-01-01,1.2969,1.4734,1.2969,1.4693,1.4693,18979720
1985-02-01,1.4611,1.5555,1.4611,1.5432,1.5432,15786640
1985-03-01,1.535,1.6335,1.4283,1.6335,1.6335,18955120
1985-04-01,1.6355,1.652,1.5446,1.5777,1.5777,15024040
1985-05-01,1.5777,1.7511,1.5529,1.7511,1.7511,14574680
1985-06-01,1.747,1.8048,1.6561,1.8048,1.8048,13277440
1985-07-01,1.8151,1.9397,1.7611,1.8774,1.8774,48009360
1985-08-01,1.8691,1.9065,1.8525,1.8733,1.8733,15648880
1985-09-01,1.8566,1.894,1.7777,1.8359,1.8359,20075240
1985-10-01,1.8415,1.9042,1.7538,1.8248,1.8248,26697560
1985-11-01,1.829,2.0712,1.8248,2.042,2.042,31806160
1985-12-01,2.042,2.2048,2.0169,2.0712,2.0712,28852520
1986-01-01,2.0909,2.4184,2.0783,2.3261,2.3261,25787360
1986-02-01,2.3345,2.3849,2.2547,2.3093,2.3093,26210480
1986-03-01,2.2925,2.9727,2.2337,2.8971,2.8971,33119800
1986-04-01,2.893,3.4834,2.6316,3.1208,3.1208,40015180
1986-05-01,3.1376,3.7449,2.9942,3.669,3.669,26873040
1986-06-01,3.6774,3.7618,3.4497,3.7196,3.7196,19885820
1986-07-01,3.7312,4.0105,3.4351,3.7566,3.7566,31960320
1986-08-01,3.7397,4.1458,3.6213,3.9512,3.9512,23314240
1986-09-01,3.9258,3.9597,3.1136,3.3336,3.3336,36585940
1986-10-01,3.3432,3.6742,3.2753,3.5978,3.5978,16012960
1986-11-01,3.5808,3.6402,3.1905,3.2584,3.2584,33173920
1986-12-01,3.2584,3.445,3.0971,3.3941,3.3941,38772880
1987-01-01,3.4243,4.1228,3.4072,3.7905,3.7905,44274260
1987-02-01,3.7735,4.4635,3.6798,4.4038,4.4038,39000840
1987-03-01,4.4038,4.5487,4.1313,4.2676,4.2676,25648780
1987-04-01,4.229,4.4596,3.7762,3.9385,3.9385,34653200
1987-05-01,3.9556,4.0325,3.4344,3.7249,3.7249,35264920
1987-06-01,3.7591,4.4426,3.6993,4.3571,4.3571,36619560
1987-07-01,4.3546,4.3804,4.0375,4.2518,4.2518,22440120
1987-08-01,4.2689,4.7318,4.2175,4.5775,4.5775,22215440
1987-09-01,4.5861,4.5947,4.2346,4.3289,4.3289,19408580
1987-10-01,4.3671,4.3929,2.9057,3.4903,3.4903,38630200
1987-11-01,3.4731,3.7138,3.1722,3.2066,3.2066,25356040
1987-12-01,3.2238,3.5075,2.9745,3.5075,3.5075,22094080
1988-01-01,3.5246,4.0429,3.5073,4.017,4.017,21977640
1988-02-01,4.0601,4.207,3.8183,4.1811,4.1811,16442640
1988-03-01,4.1724,4.2934,3.7319,3.8528,3.8528,27743060
1988-04-01,3.8578,3.9532,3.537,3.6584,3.6584,28496640
1988-05-01,3.6584,3.9185,3.2249,3.5197,3.5197,20272040
1988-06-01,3.5197,3.7971,3.485,3.5631,3.5631,24458960
1988-07-01,3.5951,3.6212,3.3949,3.5168,3.5168,19457780
1988-08-01,3.5168,3.8476,3.4471,3.7779,3.7779,15381560
