Date,Open,High,Low,Close,Adj Close,Volume
,BG,BG,BG,BG,,BG
2001-08-01,9.9736,11.3761,9.45,11.3761,11.3761,19708300
2001-09-01,11.3761,11.5943,9.3814,10.5969,10.5969,2225100
2001-10-01,10.5346,11.5319,9.5435,10.9834,10.9834,2599100
2001-11-01,10.9834,12.4358,10.9709,12.0618,12.0618,2000000
2001-12-01,12.1553,15.5214,12.0618,14.5116,14.5116,4282500
2002-01-01,14.5864,14.9604,11.532,12.0618,12.0618,2077200
2002-02-01,12.0618,12.654,11.7065,12.2488,12.2488,709200
2002-03-01,12.31,13.7196,11.8715,13.563,13.563,11851800
2002-04-01,13.5316,15.2231,13.2623,13.8574,13.8574,7973200
2002-05-01,13.9075,14.1268,12.5293,13.6569,13.6569,2942800
2002-06-01,13.7827,14.5945,12.2093,13.2792,13.2792,3176200
2002-07-01,13.2792,13.5624,10.6863,12.8701,12.8701,3851800
2002-08-01,12.8701,13.6883,12.052,13.468,13.468,3629200
2002-09-01,13.3699,15.3295,12.7314,15.2979,15.2979,5757400
2002-10-01,15.4875,16.5116,13.9388,16.0438,16.0438,11835300
2002-11-01,16.0312,16.638,14.5393,15.5191,15.5191,9841000
2002-12-01,15.613,15.613,13.7407,15.2702,15.2702,9828100
2003-01-01,15.2321,17.4281,15.0925,16.5015,16.5015,9806100
2003-02-01,16.4888,16.8188,15.7462,16.438,16.438,4964100
2003-03-01,16.439,16.6939,15.5151,16.0312,16.0312,5429600
2003-04-01,16.0694,18.924,15.6744,17.8472,17.8472,9849500
2003-05-01,17.6815,18.4461,17.0953,18.4142,18.4142,7723500
2003-06-01,18.5452,19.562,18.1679,18.2894,18.2894,7298400
2003-07-01,18.2574,19.6835,18.0336,19.1527,19.1527,6542000
2003-08-01,19.0312,19.4021,18.1167,19.3509,19.3509,5761600
2003-09-01,19.5473,19.9838,17.3326,17.6535,17.6535,14847000
2003-10-01,17.7177,18.135,17.2748,17.3968,17.3968,9973000
2003-11-01,17.3647,18.3148,16.7612,18.2827,18.2827,8417500
2003-12-01,18.3568,21.5216,18.1248,21.2186,21.2186,11871500
2004-01-01,21.2573,23.0427,21.1671,22.0436,22.0436,7518400
2004-02-01,22.1726,25.2277,21.4378,25.1697,25.1697,13244900
2004-03-01,25.2452,26.0857,24.2755,26.0016,26.0016,10681300
2004-04-01,25.9564,26.7839,22.7498,23.9523,23.9523,14222200
2004-05-01,24.0816,24.1139,21.9352,24.0104,24.0104,16743700
2004-06-01,23.9301,25.6162,23.0611,25.253,25.253,12232400
2004-07-01,25.1882,26.3295,23.9949,26.0247,26.0247,12188200
2004-08-01,26.0701,26.8808,25.2465,25.8691,25.8691,13530700
2004-09-01,25.9145,26.2333,23.9561,26.0121,26.0121,12422700
2004-10-01,25.8494,31.8807,25.1662,31.0544,31.0544,19176600
2004-11-01,31.1,34.4442,30.8267,34.301,34.301,15213800
2004-12-01,34.4185,37.4781,34.1119,37.191,37.191,12437100
2005-01-01,37.191,37.9021,34.849,36.8844,36.8844,13584200
2005-02-01,37.1388,37.5759,32.2266,35.6906,35.6906,21838600
2005-03-01,35.611,36.4349,33.1785,35.2317,35.2317,13298000
2005-04-01,35.3756,37.9192,31.6092,37.1411,37.1411,17074500
2005-05-01,37.2719,40.5675,35.9968,40.5675,40.5675,19401600
2005-06-01,40.6614,42.7325,39.4882,41.5528,41.5528,12820400
2005-07-01,41.5069,44.5611,38.1774,40.2354,40.2354,14911700
2005-08-01,40.242,40.5303,37.0895,38.4855,38.4855,17862800
2005-09-01,38.5712,38.6237,33.5773,34.5761,34.5761,19787300
2005-10-01,34.5761,36.5999,30.6532,34.1292,34.1292,22532600
2005-11-01,34.0175,36.1399,32.0331,35.1543,35.1543,16234800
2005-12-01,35.3229,38.1106,34.4662,37.3066,37.3066,15789100
2006-01-01,38.1369,39.5011,36.6014,38.8553,38.8553,18045600
2006-02-01,38.8816,40.4632,36.4367,37.3593,37.3593,26289300
2006-03-01,37.5249,37.5976,32.9458,36.8112,36.8112,26997700
2006-04-01,36.8112,39.2098,35.0073,35.2518,35.2518,21836800
2006-05-01,35.1395,41.093,35.1395,37.3993,37.3993,32703200
2006-06-01,37.5148,37.9918,31.301,33.2883,33.2883,25776200
2006-07-01,33.295,36.9517,32.9571,36.1568,36.1568,18641200
2006-08-01,36.1568,37.3558,34.5801,37.3227,37.3227,12955200
2006-09-01,37.2086,39.3813,35.9594,38.5042,38.5042,13407400
