Date,Open,High,Low,Close,Adj Close,Volume
,BKR,BKR,BKR,BKR,,BKR
1987-04-01,0.0,6.4024,5.3494,6.0654,6.0654,6144800
1987-05-01,6.1504,7.9319,6.0656,7.4229,7.4229,9595100
1987-06-01,7.4229,7.9319,7.1684,7.7198,7.7198,8423500
1987-07-01,7.8047,9.2469,7.8047,8.9075,8.9075,14133800
1987-08-01,9.2031,9.3309,7.6693,8.6066,8.6066,11089600
1987-09-01,8.6066,8.8197,8.0953,8.3936,8.3936,7091300
1987-10-01,8.4788,8.9475,3.9625,5.7519,5.7519,13200600
1987-11-01,5.6241,6.0076,3.792,3.9625,3.9625,7509500
1987-12-01,4.0477,5.0702,3.9625,4.6442,4.6442,10612100
1988-01-01,4.6868,5.5815,4.6016,5.3685,5.3685,5633900
1988-02-01,5.3259,5.7946,4.9424,5.7093,5.7093,6790200
1988-03-01,5.6655,6.3522,5.408,6.1376,6.1376,8535800
1988-04-01,6.1376,6.8243,5.7513,6.0089,6.0089,9503600
1988-05-01,5.9659,6.1805,5.5367,5.7513,5.7513,4774200
1988-06-01,6.054,6.054,5.286,5.5571,5.5571,9525000
1988-07-01,5.5119,5.7378,5.3312,5.6022,5.6022,4619000
1988-08-01,5.5119,5.5119,4.8794,5.0149,5.0149,6772700
1988-09-01,5.0524,5.0524,4.6883,4.7793,4.7793,4898300
1988-10-01,4.7338,5.0524,4.4152,4.7338,4.7338,8064300
1988-11-01,4.7297,4.9134,4.4542,4.7297,4.7297,4916100
1988-12-01,4.7297,5.2348,4.6838,5.143,5.143,6405400
1989-01-01,5.143,5.7399,5.0052,5.4644,5.4644,11085500
1989-02-01,5.5529,5.8768,5.3215,5.6455,5.6455,5961500
1989-03-01,5.6455,6.4784,5.5992,6.247,6.247,12757400
1989-04-01,6.247,6.8023,6.1545,6.5247,6.5247,8392800
1989-05-01,6.4784,6.6635,6.247,6.2933,6.2933,8138900
1989-06-01,6.3346,7.4525,6.288,7.173,7.173,10120900
1989-07-01,7.173,7.4991,6.847,7.4525,7.4525,7536800
1989-08-01,7.4961,8.4332,7.2619,8.3863,8.3863,11318300
1989-09-01,8.4332,8.6206,7.8241,7.871,7.871,7140500
1989-10-01,7.9178,8.6674,7.4493,8.0115,8.0115,11232500
1989-11-01,8.0561,9.2339,7.8206,9.2339,9.2339,8983500
1989-12-01,9.234,10.4118,9.0926,9.6109,9.6109,9266400
1990-01-01,9.658,9.8464,8.1975,8.9042,8.9042,8666600
1990-02-01,9.0439,10.6064,8.9492,9.7068,9.7068,14901700
1990-03-01,9.7068,10.8905,9.6594,10.4644,10.4644,10073200
1990-04-01,10.3697,10.9852,9.5647,9.7541,9.7541,10760300
1990-05-01,9.8456,11.2726,9.8456,11.1299,11.1299,11653700
1990-06-01,11.1774,11.3201,10.1786,10.3688,10.3688,9558900
1990-07-01,10.2737,12.0336,9.7505,11.986,11.986,13690600
1990-08-01,12.0316,13.2729,10.8857,11.6496,11.6496,14062700
1990-09-01,11.6974,12.6045,10.9334,11.0767,11.0767,6788800
1990-10-01,11.0767,11.4109,9.8353,10.1218,10.1218,10791400
1990-11-01,10.2104,10.8335,9.4913,10.5459,10.5459,10897900
1990-12-01,10.498,10.6418,9.2516,9.8269,9.8269,9768300
1991-01-01,9.7789,9.8269,7.9574,9.5393,9.5393,16810800
1991-02-01,9.4877,11.9439,9.2469,11.5105,11.5105,15909700
1991-03-01,11.366,11.366,10.0175,10.3546,10.3546,11188200
1991-04-01,10.3064,11.5586,9.9693,10.9807,10.9807,10064700
1991-05-01,10.9768,11.7022,10.2998,11.0252,11.0252,8968900
1991-06-01,11.0252,11.2186,8.559,9.0909,9.0909,10320300
1991-07-01,9.1877,10.6383,8.6074,10.1064,10.1064,11948900
1991-08-01,10.1515,10.5401,9.1315,10.4915,10.4915,8363400
1991-09-01,10.5401,10.5401,9.083,9.5201,9.5201,8948400
