Date,Open,High,Low,Close,Adj Close,Volume
,BK,BK,BK,BK,,BK
1985-01-01,1.0772,1.1755,1.0545,1.1377,1.1377,14974021
1985-02-01,1.1377,1.2397,1.1225,1.1981,1.1981,10278157
1985-03-01,1.1981,1.2095,1.1301,1.1679,1.1679,5222285
1985-04-01,1.1679,1.3077,1.1377,1.2548,1.2548,6130214
1985-05-01,1.2548,1.3266,1.1944,1.3115,1.3115,8358147
1985-06-01,1.3115,1.4098,1.3115,1.3455,1.3455,6097382
1985-07-01,1.3455,1.5005,1.2851,1.3077,1.3077,11268725
1985-08-01,1.3077,1.4211,1.2473,1.2662,1.2662,14518927
1985-09-01,1.2662,1.304,1.1755,1.1868,1.1868,6695124
1985-10-01,1.1868,1.3191,1.183,1.3115,1.3115,10146833
1985-11-01,1.3115,1.3871,1.3115,1.3569,1.3569,13589489
1985-12-01,1.3569,1.5837,1.3455,1.5534,1.5534,19064227
1986-01-01,1.5534,1.6479,1.4892,1.5572,1.5572,16869125
1986-02-01,1.5572,1.818,1.5345,1.7991,1.7991,11300420
1986-03-01,1.7915,1.9956,1.7613,1.9805,1.9805,19939324
1986-04-01,1.9805,2.0939,1.8558,1.9654,1.9654,9390604
1986-05-01,1.9654,2.0334,1.9314,1.9994,1.9994,8067203
1986-06-01,1.9994,2.0032,1.852,1.9238,1.9238,18799322
1986-07-01,1.9238,2.0259,1.8067,1.9389,1.9389,14447604
1986-08-01,1.9314,2.1204,1.8633,2.041,2.041,4668697
1986-09-01,2.041,2.0523,1.7159,1.7235,1.7235,18655547
1986-10-01,1.7235,1.8067,1.7122,1.784,1.784,12314764
1986-11-01,1.784,1.8539,1.6838,1.7348,1.7348,4629833
1986-12-01,1.7348,1.9333,1.7348,1.7632,1.7632,13914774
1987-01-01,1.7745,1.9163,1.7745,1.7972,1.7972,13586468
1987-02-01,1.7972,1.8709,1.7462,1.8142,1.8142,8298147
1987-03-01,1.8256,1.973,1.7972,1.9616,1.9616,18720076
1987-04-01,1.9559,1.9673,1.7405,1.8369,1.8369,12483824
1987-05-01,1.8369,1.9049,1.7689,1.8199,1.8199,6544177
1987-06-01,1.8142,2.075,1.7915,1.973,1.973,16840070
1987-07-01,1.973,1.9956,1.8482,1.9049,1.9049,11660422
1987-08-01,1.9049,2.0807,1.8709,1.973,1.973,11427213
1987-09-01,1.973,2.007,1.8199,1.8596,1.8596,21517824
1987-10-01,1.8652,1.9673,1.1679,1.5307,1.5307,22787261
1987-11-01,1.5836,1.5951,1.1476,1.2049,1.2049,10773629
1987-12-01,1.1935,1.3025,1.1246,1.182,1.182,19954794
1988-01-01,1.1877,1.4287,1.1877,1.3541,1.3541,7821917
1988-02-01,1.3931,1.4514,1.3057,1.329,1.329,9089091
1988-03-01,1.3232,1.5097,1.3232,1.4631,1.4631,13144960
1988-04-01,1.4573,1.5913,1.399,1.4165,1.4165,25095193
1988-05-01,1.4372,1.5437,1.4018,1.4964,1.4964,28850681
1988-06-01,1.4905,1.6679,1.4905,1.6383,1.6383,26315578
1988-07-01,1.6442,1.7093,1.591,1.6206,1.6206,17702713
1988-08-01,1.6476,1.7375,1.6416,1.6596,1.6596,22181222
1988-09-01,1.6536,1.7075,1.6416,1.6896,1.6896,13749489
1988-10-01,1.6716,1.7614,1.5817,1.6896,1.6896,68515746
1988-11-01,1.7062,1.7427,1.6516,1.7062,1.7062,31344276
1988-12-01,1.7062,1.8095,1.6759,1.7973,1.7973,26748029
1989-01-01,1.7852,1.9066,1.7852,1.8945,1.8945,35362404
1989-02-01,1.9187,2.1647,1.8757,2.0847,2.0847,39059023
1989-03-01,2.0847,2.22,2.0724,2.1647,2.1647,36243917
1989-04-01,2.1647,2.2569,2.1647,2.2139,2.2139,24114812
1989-05-01,2.2376,2.4862,2.1381,2.4675,2.4675,39979782
1989-06-01,2.4737,2.654,2.4054,2.424,2.424,36542789
1989-07-01,2.4364,2.6789,2.4178,2.6789,2.6789,16143462
1989-08-01,2.7228,2.7604,2.5408,2.6475,2.6475,19274039
1989-09-01,2.6412,2.6977,2.3777,2.4467,2.4467,33415227
1989-10-01,2.4467,2.5785,2.1268,2.2271,2.2271,37034866
1989-11-01,2.2719,2.2719,1.961,2.0435,2.0435,27586526
1989-12-01,2.0625,2.1958,1.8721,2.0435,2.0435,43206964
1990-01-01,2.0371,2.1196,1.7515,1.8023,1.8023,27647657
