Date,Open,High,Low,Close,Adj Close,Volume
,BLDR,BLDR,BLDR,BLDR,,BLDR
2005-06-01,15.2,16.25,15.2,16.2,16.2,1231500
2005-07-01,16.3,21.0,15.6,20.0,20.0,8661800
2005-08-01,20.0,20.75,17.59,20.3,20.3,4203900
2005-09-01,20.75,23.3,19.77,22.33,22.33,4234300
2005-10-01,22.9,23.6,18.23,19.55,19.55,4801000
2005-11-01,19.6,20.33,17.2,19.9,19.9,4487900
2005-12-01,20.23,22.37,18.26,21.37,21.37,3221200
2006-01-01,21.01,25.5,21.01,25.04,25.04,2929900
2006-02-01,25.0,26.21,22.63,23.71,23.71,2590100
2006-03-01,23.7,24.95,22.16,22.71,22.71,2173300
2006-04-01,22.6,24.94,21.06,21.55,21.55,3556300
2006-05-01,21.63,24.25,19.48,20.76,20.76,4746400
2006-06-01,20.84,21.98,17.49,20.36,20.36,6267100
2006-07-01,20.4,20.52,17.37,17.37,17.37,4392500
2006-08-01,17.22,17.31,15.04,15.2,15.2,5984900
2006-09-01,15.26,16.56,14.92,15.23,15.23,4264700
2006-10-01,15.18,18.23,14.1,15.82,15.82,5851000
2006-11-01,15.85,17.44,15.33,16.6,16.6,3310400
2006-12-01,16.63,18.68,16.63,17.83,17.83,3649900
2007-01-01,17.99,18.16,16.6,18.14,18.14,2748900
2007-02-01,18.16,19.88,17.15,18.02,18.02,4370100
2007-03-01,17.98,18.09,16.0,16.07,16.07,5279600
2007-04-01,16.07,17.53,15.97,16.13,16.13,4826600
2007-05-01,16.1,17.05,15.78,16.67,16.67,4723200
2007-06-01,16.69,17.34,15.81,16.06,16.06,4248300
2007-07-01,16.17,16.56,14.31,14.66,14.66,4443500
2007-08-01,14.65,15.08,12.45,13.1,13.1,7202000
2007-09-01,13.03,13.17,10.61,10.78,10.78,4841900
2007-10-01,10.76,11.44,6.81,7.25,7.25,7124500
2007-11-01,7.17,7.28,6.2,6.92,6.92,9568700
2007-12-01,6.92,8.84,6.69,7.22,7.22,5367600
2008-01-01,7.24,8.13,5.72,8.0,8.0,6329400
2008-02-01,8.07,8.18,6.35,6.63,6.63,4943700
2008-03-01,6.72,7.6,6.33,7.26,7.26,3084300
