Date,Open,High,Low,Close,Adj Close,Volume
,BMY,BMY,BMY,BMY,,BMY
1985-01-01,1.486,1.5573,1.3969,1.5501,1.5501,70867020
1985-02-01,1.5501,1.5929,1.5216,1.5822,1.5822,39686608
1985-03-01,1.5893,1.6535,1.5573,1.6392,1.6392,46754649
1985-04-01,1.6563,1.6743,1.606,1.6348,1.6348,38608204
1985-05-01,1.642,1.7641,1.6384,1.7533,1.7533,52856921
1985-06-01,1.7605,1.7893,1.7138,1.7641,1.7641,41362631
1985-07-01,1.7704,1.9261,1.7306,1.7414,1.7414,57424375
1985-08-01,1.7414,1.7632,1.6871,1.7233,1.7233,47439683
1985-09-01,1.7233,1.727,1.5532,1.564,1.564,41033982
1985-10-01,1.5811,1.7199,1.5665,1.6578,1.6578,63232458
1985-11-01,1.6542,1.9354,1.6505,1.9061,1.9061,59229001
1985-12-01,1.8988,2.0011,1.8514,1.9354,1.9354,54918747
1986-01-01,1.9494,2.0082,1.7728,1.817,1.817,70857776
1986-02-01,1.8317,2.0965,1.817,2.0744,2.0744,84823232
1986-03-01,2.0671,2.2399,2.0156,2.2252,2.2252,90918776
1986-04-01,2.2252,2.4091,2.0597,2.2546,2.2546,61181559
1986-05-01,2.2546,2.3981,2.1848,2.3576,2.3576,46951335
1986-06-01,2.365,2.6041,2.2877,2.5305,2.5305,61379085
1986-07-01,2.5501,2.5723,2.2614,2.3688,2.3688,81494719
1986-08-01,2.3725,2.4761,2.2985,2.3096,2.3096,54154700
1986-09-01,2.3096,2.317,1.9913,2.1245,2.1245,111193272
1986-10-01,2.1222,2.3647,2.1185,2.346,2.346,69780210
1986-11-01,2.346,2.3796,2.2192,2.3311,2.3311,52756056
1986-12-01,2.3274,2.5362,2.2863,2.4654,2.4654,86607682
1987-01-01,2.4937,2.9939,2.4937,2.787,2.787,94218708
1987-02-01,2.7946,3.1143,2.7419,3.0165,3.0165,60600752
1987-03-01,3.0165,3.3587,2.9036,3.0466,3.0466,104053786
1987-04-01,3.0523,3.2682,2.8478,3.0031,3.0031,78707511
1987-05-01,2.9955,3.0713,2.81,2.9425,2.9425,56558627
1987-06-01,2.9577,3.2417,2.916,3.0145,3.0145,54535043
1987-07-01,3.0426,3.157,2.8367,3.1112,3.1112,64323469
1987-08-01,3.0655,3.3018,2.9587,3.1341,3.1341,66154152
1987-09-01,3.1493,3.218,2.8519,3.0807,3.0807,62779410
1987-10-01,3.0865,3.2861,1.7352,2.6719,2.6719,124911192
1987-11-01,2.549,2.7333,2.2266,2.3417,2.3417,64470146
1987-12-01,2.3648,2.7563,2.3033,2.5567,2.5567,60001452
1988-01-01,2.549,2.7563,2.4415,2.7026,2.7026,54706093
1988-02-01,2.7146,2.8155,2.544,2.7844,2.7844,42659152
1988-03-01,2.7922,2.8465,2.5285,2.5517,2.5517,59139903
1988-04-01,2.5537,2.7339,2.4519,2.5459,2.5459,54269014
1988-05-01,2.5459,2.6321,2.3892,2.6242,2.6242,49823014
1988-06-01,2.6242,2.7261,2.444,2.538,2.538,65812474
1988-07-01,2.5728,2.7391,2.4857,2.7311,2.7311,48914400
1988-08-01,2.7391,2.7707,2.5807,2.6836,2.6836,36286230
1988-09-01,2.6599,2.842,2.6045,2.8103,2.8103,41752637
1988-10-01,2.7786,2.8895,2.747,2.8103,2.8103,40680537
1988-11-01,2.8372,2.8691,2.6453,2.8372,2.8372,38918781
1988-12-01,2.8372,2.973,2.8132,2.8931,2.8931,42072879
1989-01-01,2.925,2.9896,2.8442,2.9735,2.9735,49401908
1989-02-01,2.9815,3.0623,2.8846,2.9169,2.9169,45939751
1989-03-01,2.9331,3.0704,2.8765,3.0381,3.0381,39638697
1989-04-01,3.0139,3.1593,3.0058,3.1351,3.1351,37717656
1989-05-01,3.1606,3.3484,3.1361,3.2668,3.2668,46073399
1989-06-01,3.2668,3.2913,3.0789,3.1279,3.1279,55881578
1989-07-01,3.1934,3.441,3.1522,3.1852,3.1852,95797648
1989-08-01,3.1934,3.3007,3.0862,3.2595,3.2595,133971717
1989-09-01,3.2595,3.5235,3.2347,3.4823,3.4823,107492405
1989-10-01,3.526,3.6677,3.301,3.5177,3.5177,146832713
1989-11-01,3.526,3.7928,3.5094,3.7094,3.7094,107435670
1989-12-01,3.7261,3.8678,3.6511,3.7344,3.7344,77208842
1990-01-01,3.7696,3.9211,3.3994,3.492,3.492,104118508
1990-02-01,3.5172,3.7107,3.3994,3.5004,3.5004,70648062
1990-03-01,3.4835,3.6518,3.4331,3.5845,3.5845,74003046
1990-04-01,3.5256,3.778,3.4835,3.778,3.778,86496731
1990-05-01,3.833,4.241,3.782,4.1645,4.1645,124504374
1990-06-01,4.1815,4.394,4.0965,4.309,4.309,85222066
1990-07-01,4.3361,4.5161,4.1818,4.4561,4.4561,85218701
1990-08-01,4.4646,4.4818,3.7962,4.1733,4.1733,122298816
1990-09-01,4.1304,4.2761,3.8048,3.959,3.959,71667628
1990-10-01,4.0447,4.3447,3.9162,4.0362,4.0362,101175381
1990-11-01,4.0736,4.5579,3.9957,4.5492,4.5492,70812385
1990-12-01,4.5752,4.7049,4.506,4.6357,4.6357,74369103
1991-01-01,4.6688,4.8521,4.2674,4.8172,4.8172,102409704
1991-02-01,4.8172,5.4455,4.7561,5.2186,5.2186,95373601
1991-03-01,5.2011,5.6113,5.1401,5.4629,5.4629,86767384
1991-04-01,5.4106,5.6113,5.1313,5.2535,5.2535,101472928
1991-05-01,5.3029,5.9712,5.2853,5.681,5.681,81155984
1991-06-01,5.5931,5.7162,5.4436,5.47,5.47,68968675
1991-07-01,5.5561,5.9814,5.5561,5.9637,5.9637,68717777
1991-08-01,5.9637,6.2295,5.7953,6.1675,6.1675,68161766
1991-09-01,6.1587,6.2118,5.7244,5.8662,5.8662,75624438
1991-10-01,5.9095,6.1952,5.6596,6.1863,6.1863,102184019
1991-11-01,6.2488,6.2488,5.3293,5.606,5.606,127850538
1991-12-01,5.5614,6.3827,5.5078,6.3023,6.3023,106501837
1992-01-01,6.3352,6.4882,5.6873,5.7503,5.7503,138670717
1992-02-01,5.7503,5.9843,5.5883,5.8133,5.8133,99413202
1992-03-01,5.8223,5.8493,5.4443,5.4893,5.4893,98108696
1992-04-01,5.5193,5.7553,5.2197,5.4013,5.4013,136026820
1992-05-01,5.4285,5.5828,5.1653,5.256,5.256,87095611
1992-06-01,5.256,5.3559,4.5026,4.784,4.784,228929676
1992-07-01,4.8711,5.1096,4.7794,5.1005,5.1005,120366010
1992-08-01,5.1097,5.2289,4.7978,4.8895,4.8895,97532930
1992-09-01,4.8711,5.1005,4.5409,4.6785,4.6785,100558849
1992-10-01,4.7297,5.0635,4.4515,5.0543,5.0543,103504497
1992-11-01,5.045,5.1563,4.7853,4.9801,4.9801,83051807
1992-12-01,4.9894,5.3696,4.9523,5.0079,5.0079,106959931
1993-01-01,4.9801,4.9894,4.3495,4.4329,4.4329,153941941
1993-02-01,4.4901,4.5276,3.9652,4.2557,4.2557,222862288
1993-03-01,4.2745,4.5557,4.1339,4.4338,4.4338,201951087
