Date,Open,High,Low,Close,Adj Close,Volume
,BXP,BXP,BXP,BXP,,BXP
1997-06-01,7.1152,7.4897,7.0982,7.4216,7.4216,13867000
1997-07-01,7.3876,7.6259,7.1493,7.5919,7.5919,6933900
1997-08-01,7.6089,8.1706,7.4046,8.1195,8.1195,4628900
1997-09-01,8.1025,9.0558,8.0344,8.9366,8.9366,4700700
1997-10-01,8.9196,9.3962,7.7621,8.7153,8.7153,4515300
1997-11-01,8.7494,9.3792,8.6643,8.8855,8.8855,2104200
1997-12-01,8.9673,9.7261,8.9673,9.1225,9.1225,1813700
1998-01-01,9.2525,10.0381,9.0604,9.9333,9.9333,10619000
1998-02-01,9.9159,10.073,9.462,9.4969,9.4969,6192300
1998-03-01,9.4969,9.8984,9.1477,9.8286,9.8286,6943200
1998-04-01,9.8286,10.0555,8.9732,9.235,9.235,4260900
1998-05-01,9.2525,9.846,9.2001,9.4969,9.4969,5075900
1998-06-01,9.5782,9.7903,9.0127,9.6135,9.6135,5014000
1998-07-01,9.8256,9.8786,8.9774,9.1364,9.1364,4908500
1998-08-01,9.0834,9.2955,7.9877,8.0231,8.0231,3092700
1998-09-01,8.1483,9.1332,6.7156,8.1662,8.1662,5411500
1998-10-01,8.1304,8.7034,7.4499,8.1662,8.1662,3766600
1998-11-01,8.2736,9.0974,8.202,9.0437,9.0437,2576000
1998-12-01,9.1525,9.4613,8.6804,8.862,8.862,4336900
1999-01-01,8.9141,10.277,8.8404,9.5771,9.5771,4185000
1999-02-01,9.6139,10.1665,9.4298,9.5218,9.5218,2552000
1999-03-01,9.5034,9.7981,9.0062,9.3193,9.3193,5544000
1999-04-01,9.4675,10.98,9.2621,10.8493,10.8493,3565400
1999-05-01,10.868,11.2041,10.6439,10.7373,10.7373,5558400
1999-06-01,10.7373,10.7559,10.4011,10.7186,10.7186,3631600
1999-07-01,10.811,10.811,9.9416,10.3574,10.3574,2142200
1999-08-01,10.3574,10.433,9.866,10.0739,10.0739,1419300
1999-09-01,10.0739,10.2251,9.1477,9.2801,9.2801,3656300
1999-10-01,9.3795,9.4371,8.8041,9.1493,9.1493,3512700
1999-11-01,9.1877,9.4754,8.4396,8.689,8.689,5185300
1999-12-01,8.7465,9.648,8.3629,9.5521,9.5521,4001300
2000-01-01,9.697,10.1059,9.3465,9.3465,9.3465,2430800
2000-02-01,9.3854,9.6386,9.0349,9.4439,9.4439,4872100
2000-03-01,9.5023,9.9112,9.2102,9.9112,9.9112,2718500
2000-04-01,10.0156,11.1219,9.9563,11.0231,11.0231,3560200
2000-05-01,11.0626,11.6157,10.9243,11.0428,11.0428,4634200
2000-06-01,11.0626,12.4257,10.9046,12.2084,12.2084,4370900
2000-07-01,12.3802,13.482,12.0196,13.2917,13.2917,4822800
2000-08-01,13.2416,13.8426,12.9211,12.9611,12.9611,4242400
2000-09-01,13.0212,13.9427,12.8009,13.7624,13.7624,2845700
2000-10-01,13.9563,13.9765,12.5363,13.1449,13.1449,11022800
2000-11-01,13.1449,13.8548,12.9826,13.7737,13.7737,6310400
2000-12-01,13.8345,14.5648,13.4086,14.1185,14.1185,4183600
2001-01-01,14.3305,14.4126,13.0576,13.3368,13.3368,8376200
2001-02-01,13.304,13.961,12.8112,13.2514,13.2514,5899800
2001-03-01,13.258,13.5504,12.2364,12.6306,12.6306,6611900
2001-04-01,12.8692,13.2021,11.9868,13.1555,13.1555,5766800
2001-05-01,13.1189,13.5184,12.8425,13.2787,13.2787,5194600
2001-06-01,13.302,13.7915,13.2021,13.6183,13.6183,6154000
2001-07-01,13.8304,13.952,12.9286,13.0198,13.0198,4088000
2001-08-01,13.0536,13.8979,12.9692,13.3069,13.3069,7028900
2001-09-01,13.3069,13.3576,12.2261,12.878,12.878,7659400
2001-10-01,13.0818,13.1401,11.6649,12.128,12.128,10352800
2001-11-01,12.128,12.8314,12.0937,12.7627,12.7627,4858800
2001-12-01,12.7284,13.2259,12.6598,13.0372,13.0372,4280200
2002-01-01,13.2898,13.6034,12.7151,12.7638,12.7638,7456100
2002-02-01,12.837,13.2446,12.4364,13.1226,13.1226,5892400
2002-03-01,13.1505,13.9169,13.1331,13.7427,13.7427,7032100
2002-04-01,13.9653,14.6901,13.3289,13.7814,13.7814,6217300
2002-05-01,13.8415,14.6194,13.7708,14.4956,14.4956,5953400
2002-06-01,14.531,14.6087,13.983,14.1244,14.1244,5110400
2002-07-01,14.3377,14.3556,11.8255,13.3866,13.3866,9739700
2002-08-01,13.4225,13.7276,12.956,13.5948,13.5948,6684900
2002-09-01,13.6379,13.8783,13.279,13.3507,13.3507,8394100
2002-10-01,13.5243,13.6228,12.1456,13.021,13.021,10272400
2002-11-01,12.9845,13.6739,12.9371,13.5207,13.5207,6017000
2002-12-01,13.5681,13.6739,13.01,13.4441,13.4441,7086000
2003-01-01,13.6732,13.8141,12.909,13.317,13.317,7530200
2003-02-01,13.28,13.8586,13.0722,13.7993,13.7993,6734700
2003-03-01,13.8178,14.6302,13.28,14.0589,14.0589,7299600
2003-04-01,14.3215,15.3579,14.3215,14.7737,14.7737,6785900
2003-05-01,14.7737,16.221,14.6268,15.7989,15.7989,8501600
2003-06-01,15.829,16.8956,15.8139,16.5074,16.5074,7185000
2003-07-01,16.7303,17.3995,16.2791,16.5544,16.5544,8035300
2003-08-01,16.5582,16.5773,15.7781,16.4244,16.4244,5045400
2003-09-01,16.4703,17.1051,16.3479,16.6232,16.6232,6019600
2003-10-01,16.8962,17.7614,16.838,17.1678,17.1678,7387700
2003-11-01,17.2454,18.1532,17.2143,17.9437,17.9437,4678000
2003-12-01,18.0407,18.805,17.9631,18.6964,18.6964,4681400
2004-01-01,18.9432,19.8081,18.3536,19.6665,19.6665,6833300
2004-02-01,19.7255,20.9205,19.301,20.1383,20.1383,8062700
2004-03-01,20.1658,21.577,20.1658,21.349,21.349,11620600
2004-04-01,21.6434,22.0889,18.2351,18.6924,18.6924,14798700
2004-05-01,18.6805,19.6668,17.0976,19.631,19.631,10532300
2004-06-01,19.635,20.0924,19.0066,19.9174,19.9174,8254000
2004-07-01,20.1776,21.4588,20.089,21.3138,21.3138,7814700
2004-08-01,21.3098,22.3533,20.927,22.3533,22.3533,7078800
2004-09-01,22.3332,22.6797,21.2735,22.317,22.317,5544300
2004-10-01,22.6178,24.4078,22.4873,24.3507,24.3507,6527200
2004-11-01,24.3507,25.419,23.6249,24.5383,24.5383,9648900
2004-12-01,24.5546,26.4629,24.4812,26.3691,26.3691,6674900
2005-01-01,26.5941,26.796,23.3399,23.8012,23.8012,9595600
2005-02-01,23.9042,25.5561,23.7271,24.6333,24.6333,7745200
2005-03-01,24.6374,25.9309,24.1678,24.8105,24.8105,8911800
2005-04-01,25.6129,27.7578,24.5051,27.6828,27.6828,11553700
2005-05-01,27.6828,28.674,27.0331,27.8202,27.8202,11083600
2005-06-01,27.8119,29.2237,27.6828,29.1529,29.1529,9323000
2005-07-01,29.4808,32.2484,29.342,32.0297,32.0297,8023300
2005-08-01,32.1349,32.2442,29.0139,29.9266,29.9266,12592700
2005-09-01,30.179,31.4703,28.69,29.8215,29.8215,10500300
2005-10-01,31.2497,31.5886,28.3448,30.4663,30.4663,10135200
2005-11-01,30.4663,33.2743,29.1239,33.1027,33.1027,14640800
2005-12-01,33.1203,33.6133,32.3281,32.6273,32.6273,10543000
2006-01-01,33.0378,35.9561,32.416,34.7612,34.7612,12829200
2006-02-01,34.7613,38.2791,34.1838,37.6084,37.6084,11020200
2006-03-01,37.7106,43.1651,37.4308,41.4195,41.4195,26732400
2006-04-01,41.6855,41.6855,38.2084,39.5017,39.5017,17483800
2006-05-01,39.6046,40.6115,36.6466,37.8817,37.8817,15820100
2006-06-01,37.9085,40.6876,37.9085,40.4549,40.4549,15417200
2006-07-01,40.7721,44.5562,40.6323,44.2901,44.2901,12575400
2006-08-01,43.3429,46.3196,42.707,45.837,45.837,14086600
2006-09-01,45.9047,47.7809,44.7952,46.6083,46.6083,17444400
2006-10-01,47.1025,48.5826,46.4442,48.5008,48.5008,15365200
2006-11-01,48.6007,53.6674,46.2536,53.1407,53.1407,17593200
2006-12-01,53.0272,53.6719,48.8141,50.7936,50.7936,16822700
2007-01-01,53.7425,60.729,52.3365,60.5035,60.5035,16699200
2007-02-01,59.2655,63.8288,56.1417,57.5956,57.5956,41036700
2007-03-01,56.6215,57.826,54.2991,56.3336,56.3336,24263000
2007-04-01,56.6713,57.8973,55.4018,56.7437,56.7437,16537700
2007-05-01,56.8161,56.9561,51.3618,55.8363,55.8363,25649800
2007-06-01,55.8363,56.9561,47.2735,49.296,49.296,28620300
2007-07-01,49.7936,52.6074,44.8026,45.9203,45.9203,25653600
2007-08-01,45.4538,51.4459,44.3457,48.6321,48.6321,32610800
2007-09-01,48.3551,51.7229,45.8231,50.4934,50.4934,18375900
2007-10-01,51.0025,55.5769,47.9448,53.0035,53.0035,22052700
2007-11-01,52.6611,52.7393,42.9449,48.1503,48.1503,27035800
2007-12-01,48.1063,51.4233,44.2316,44.9165,44.9165,24309300
2008-01-01,47.9348,49.6675,41.8153,48.008,48.008,43497300
2008-02-01,47.5893,50.5312,43.8621,45.108,45.108,29003400
2008-03-01,44.5531,51.6777,43.1607,48.1965,48.1965,35647700
2008-04-01,48.6934,54.7833,48.6934,52.9853,52.9853,23759800
2008-05-01,53.5284,56.17,50.465,51.5353,51.5353,20450800
2008-06-01,51.1979,53.2543,46.9481,47.5703,47.5703,25798700
2008-07-01,47.5253,54.8434,46.0543,51.0835,51.0835,43280400
2008-08-01,51.4393,55.8312,49.7345,54.4186,54.4186,33678900
2008-09-01,55.486,56.1871,43.5476,49.7399,49.7399,54618900
2008-10-01,49.2222,49.4416,30.8334,37.9225,37.9225,82706200
2008-11-01,37.6764,39.0835,20.0741,28.5703,28.5703,76532400
2008-12-01,27.2915,34.188,22.7813,29.4263,29.4263,82455800
2009-01-01,29.9653,30.7673,21.4038,23.4629,23.4629,79482600
2009-02-01,22.8614,25.9555,19.2038,20.0979,20.0979,87443200
2009-03-01,19.2093,23.192,15.8768,18.9817,18.9817,125626400
2009-04-01,19.1385,28.3159,18.6473,27.2729,27.2729,119661500
2009-05-01,26.8535,29.0996,24.4584,26.6659,26.6659,78668500
2009-06-01,27.2398,29.3534,24.2929,26.3237,26.3237,83072800
2009-07-01,26.7837,30.3367,23.7718,29.5056,29.5056,58209900
2009-08-01,29.7956,35.1279,29.5725,33.7892,33.7892,49150500
2009-09-01,33.7,40.2872,31.151,36.5613,36.5613,49309500
2009-10-01,36.6679,37.7976,32.1434,34.1555,34.1555,44315200
2009-11-01,34.2511,38.0561,33.2057,37.6458,37.6458,37066800
2009-12-01,37.91,40.3156,37.4379,37.6964,37.6964,35843800
2010-01-01,38.2607,39.4098,35.8606,36.721,36.721,30788400
2010-02-01,37.1965,38.9173,34.8133,38.4532,38.4532,30190300
2010-03-01,38.6286,44.278,38.4022,42.7044,42.7044,27979400
2010-04-01,43.2201,47.5335,42.6617,44.9352,44.9352,28439800
2010-05-01,45.5107,46.9979,40.4223,43.693,43.693,42567500
2010-06-01,43.391,46.6104,40.4052,40.6502,40.6502,39920900
2010-07-01,41.043,47.352,39.2707,46.9735,46.9735,30852100
2010-08-01,48.0403,49.3709,45.4306,46.6867,46.6867,28140000
2010-09-01,47.4897,51.1948,47.1398,47.6732,47.6732,26438600
2010-10-01,48.4052,52.7611,47.7186,49.7264,49.7264,23355100
2010-11-01,49.9572,52.2188,46.7436,48.3475,48.3475,21378300
2010-12-01,49.0975,50.3841,46.7956,49.6745,49.6745,18525500
2011-01-01,50.403,55.0916,48.6854,54.7609,54.7609,26318400
2011-02-01,55.08,56.0491,53.4204,55.6603,55.6603,20604300
2011-03-01,55.7647,55.7938,52.1206,55.0394,55.0394,24953200
2011-04-01,55.733,61.0129,54.4262,60.9837,60.9837,18805200
2011-05-01,61.3687,63.2123,59.7177,63.2123,63.2123,20408400
2011-06-01,62.8214,63.1248,58.3409,61.9347,61.9347,28142700
2011-07-01,62.1404,66.1503,61.7125,62.9377,62.9377,19073300
2011-08-01,63.7643,63.8874,52.1862,61.138,61.138,42957300
2011-09-01,61.1556,61.3901,52.1862,52.2331,52.2331,32778500
2011-10-01,52.0729,58.9865,48.0474,58.3441,58.3441,35064200
2011-11-01,57.018,59.3166,52.1024,56.2164,56.2164,22396500
2011-12-01,55.9571,60.3068,54.1358,58.7036,58.7036,17187100
2012-01-01,60.2913,62.0395,57.3224,61.6603,61.6603,20605400
2012-02-01,61.7729,63.924,59.841,60.1788,60.1788,18261600
2012-03-01,60.1669,63.0292,60.0069,62.2173,62.2173,20982100
2012-04-01,62.5476,64.5196,58.9314,64.4898,64.4898,18886200
2012-05-01,64.5493,65.6336,59.8549,61.3204,61.3204,21813800
2012-06-01,60.2898,64.5613,59.1757,64.5613,64.5613,18869300
2012-07-01,65.4193,67.1321,64.3951,66.4194,66.4194,14286800
2012-08-01,66.6051,68.1743,65.7846,67.1561,67.1561,15471100
2012-09-01,67.1381,70.0728,66.0121,66.2457,66.2457,15561600
2012-10-01,66.6123,67.148,63.4463,63.982,63.982,14636500
2012-11-01,64.0722,65.0052,59.7265,61.773,61.773,18926300
2012-12-01,61.9776,64.3251,61.3697,63.687,63.687,15976600
2013-01-01,64.6567,66.407,63.6696,63.7604,63.7604,16381600
2013-02-01,63.9603,65.3108,62.3796,62.9125,62.9125,18661800
2013-03-01,62.7248,64.1359,60.4719,61.2047,61.2047,21737700
2013-04-01,61.4796,67.5996,60.9554,66.7035,66.7035,27284100
2013-05-01,66.3683,70.6169,64.948,64.9663,64.9663,25808900
2013-06-01,65.1491,68.9954,60.7055,64.2897,64.2897,25257000
2013-07-01,65.1901,68.5947,63.2762,65.6072,65.6072,18057300
2013-08-01,65.5888,65.9201,60.2458,62.8774,62.8774,19596000
2013-09-01,63.2455,69.2756,61.8285,65.5766,65.5766,18206400
2013-10-01,66.0787,67.7884,63.4988,63.8814,63.8814,21306100
2013-11-01,64.1654,64.8011,60.925,61.4064,61.4064,15039900
2013-12-01,61.6286,64.9431,60.5115,61.9496,61.9496,19229300
2014-01-01,63.6313,68.971,63.2059,68.6281,68.6281,18354700
2014-02-01,68.5265,71.7202,67.1869,71.3837,71.3837,14227400
2014-03-01,71.0979,73.1424,69.8027,72.717,72.717,16497900
2014-04-01,73.1721,75.982,72.6868,74.807,74.807,17603700
2014-05-01,74.9283,77.304,74.3791,77.0677,77.0677,14545200
2014-06-01,76.9335,78.166,72.559,75.4711,75.4711,17390000
2014-07-01,75.9971,78.341,75.111,76.7035,76.7035,13471500
2014-08-01,76.7484,79.6509,75.6183,77.9685,77.9685,10433000
2014-09-01,77.8722,79.195,72.4012,74.334,74.334,15984100
2014-10-01,74.5549,81.9691,74.3095,81.8593,81.8593,22203900
2014-11-01,82.0659,84.7009,81.4007,83.7257,83.7257,17529300
2014-12-01,83.6224,88.5759,82.8926,83.1122,83.1122,18900300
2015-01-01,86.8376,98.0699,86.804,93.1889,93.1889,16770800
2015-02-01,93.6253,96.6331,91.0203,92.2557,92.2557,16139200
2015-03-01,92.4773,97.9558,89.7246,94.3169,94.3169,18065400
2015-04-01,94.7555,96.516,88.6781,89.2447,89.2447,13226800
2015-05-01,89.6427,91.3897,86.5939,87.7069,87.7069,14742200
2015-06-01,87.7406,88.9412,81.2383,81.643,81.643,18631900
2015-07-01,80.0958,86.2189,79.9466,83.5947,83.5947,16795400
2015-08-01,83.6218,84.6593,64.3574,76.8816,76.8816,20380400
2015-09-01,75.9459,82.5573,73.9998,80.2857,80.2857,18168100
2015-10-01,81.1249,86.5118,79.536,85.8163,85.8163,18908600
2015-11-01,85.7754,88.578,82.8023,85.2299,85.2299,13318900
2015-12-01,85.8299,89.1098,82.5909,86.9687,86.9687,16565100
2016-01-01,86.6985,88.3801,78.7816,80.4217,80.4217,16924000
2016-02-01,79.875,82.1033,74.2418,78.9892,78.9892,19390300
2016-03-01,79.5843,88.4216,79.093,87.9441,87.9441,16819800
2016-04-01,88.1536,91.5345,87.3119,89.6423,89.6423,12065600
2016-05-01,90.1293,92.9328,85.8788,87.3954,87.3954,16821700
2016-06-01,87.0962,91.8198,86.8945,91.7571,91.7571,18360500
2016-07-01,92.3639,99.734,90.5459,99.3844,99.3844,12329300
2016-08-01,99.3844,100.706,96.5454,97.9859,97.9859,13684700
2016-09-01,98.0908,100.4472,92.8814,95.3008,95.3008,15203400
2016-10-01,95.1402,95.1753,83.1897,84.644,84.644,17304900
2016-11-01,84.5035,89.5338,79.8736,87.0327,87.0327,24010900
2016-12-01,86.5338,91.796,85.1358,88.3675,88.3675,16583900
2017-01-01,90.2613,93.7318,89.0526,92.5231,92.5231,15616100
2017-02-01,92.7705,99.0471,91.2437,98.2695,98.2695,15114600
2017-03-01,98.213,98.4957,91.4134,93.5904,93.5904,18205900
2017-04-01,94.192,97.6398,89.2584,89.9978,89.9978,13522000
2017-05-01,90.1755,90.5309,84.9789,86.2443,86.2443,15461500
2017-06-01,85.9599,91.0214,85.4623,87.4528,87.4528,13747900
2017-07-01,88.4009,89.4665,83.5159,86.4769,86.4769,12090000
2017-08-01,86.6986,89.4022,84.553,86.2552,86.2552,14788900
2017-09-01,86.4912,88.7728,85.354,87.8859,87.8859,11726300
2017-10-01,88.4618,92.8227,86.2958,87.2025,87.2025,13438400
2017-11-01,87.2457,91.1388,86.1663,90.2249,90.2249,11539400
2017-12-01,90.6207,94.9887,88.7209,93.5711,93.5711,18215500
2018-01-01,94.4153,94.4153,86.4285,89.5783,89.5783,18875200
2018-02-01,89.4914,89.7014,80.7877,86.0737,86.0737,18589800
2018-03-01,85.3496,92.3516,84.7775,89.2235,89.2235,14832300
2018-04-01,89.9783,90.1897,84.8686,88.4986,88.4986,15017900
2018-05-01,88.71,91.3341,84.5551,88.761,88.761,17030100
2018-06-01,89.0161,91.9828,85.9984,91.4216,91.4216,15326500
2018-07-01,91.8967,94.0022,89.3289,92.0948,92.0948,11688700
2018-08-01,89.7618,97.4431,89.7618,95.7044,95.7044,16597700
2018-09-01,95.4402,96.4013,88.4926,90.3047,90.3047,13883900
2018-10-01,90.9283,91.4459,84.2586,89.2942,89.2942,18859300
2018-11-01,89.2498,97.0656,87.0611,97.0139,97.0139,15940600
2018-12-01,97.2579,98.1452,79.7407,83.2234,83.2234,16060300
2019-01-01,83.2972,98.4875,80.4933,98.3384,98.3384,14876100
2019-02-01,98.495,101.5823,96.4592,98.9499,98.9499,12342200
2019-03-01,99.099,101.0379,97.354,99.8373,99.8373,17253600
2019-04-01,100.7396,104.713,97.7276,103.3685,103.3685,14207000
2019-05-01,103.4511,105.419,96.8713,98.2684,98.2684,14843500
2019-06-01,98.5839,104.5928,95.3165,96.8939,96.8939,14763300
2019-07-01,98.1906,103.3892,96.1778,100.6045,100.6045,12199300
2019-08-01,100.1732,100.6197,94.7703,97.1766,97.1766,13367200
2019-09-01,96.6848,101.4672,95.4816,98.115,98.115,19533500
2019-10-01,98.9907,106.7496,94.9512,104.5698,104.5698,16121900
2019-11-01,104.9966,106.4295,103.0759,105.5911,105.5911,9933100
2019-12-01,105.5149,106.9325,101.826,105.0728,105.0728,11877900
2020-01-01,106.1638,110.8003,102.6404,110.0404,110.0404,12874400
2020-02-01,110.5394,113.4794,94.4958,98.9788,98.9788,15857800
2020-03-01,99.5085,106.2253,59.2691,70.7989,70.7989,35171700
2020-04-01,67.9081,83.1203,61.9892,75.3862,75.3862,30389000
2020-05-01,73.3692,73.602,55.5195,66.6979,66.6979,42522700
2020-06-01,66.566,83.7021,66.4109,70.1111,70.1111,40558000
2020-07-01,71.1038,74.242,65.4237,69.8956,69.8956,30028000
2020-08-01,69.0483,73.0574,65.2432,68.1539,68.1539,25371700
2020-09-01,67.4321,71.143,61.5166,62.9994,62.9994,29250600
2020-10-01,63.9928,68.5501,55.3308,57.4903,57.4903,23887600
2020-11-01,58.1652,84.1037,57.4189,77.9347,77.9347,35759800
2020-12-01,79.3797,84.1434,72.6231,75.0526,75.0526,25226200
2021-01-01,76.4673,76.9968,70.9709,73.2336,73.2336,24064300
2021-02-01,73.4984,85.807,71.3159,79.5404,79.5404,22011400
2021-03-01,80.8723,88.5511,79.6688,81.2495,81.2495,25910400
2021-04-01,82.2967,89.2877,82.2967,88.5829,88.5829,22632900
2021-05-01,88.8098,95.5578,83.6009,95.2337,95.2337,23508800
2021-06-01,95.5902,100.6451,91.9934,92.8278,92.8278,24704100
2021-07-01,93.6219,98.2376,89.4555,95.893,95.893,18634900
2021-08-01,96.6364,98.2213,90.395,92.3066,92.3066,13905100
