Date,Open,High,Low,Close,Adj Close,Volume
,CAH,CAH,CAH,CAH,,CAH
1985-01-01,0.0,0.7574,0.5818,0.7245,0.7245,2221337
1985-02-01,0.0,0.8233,0.7245,0.7904,0.7904,1651048
1985-03-01,0.0,0.7904,0.7025,0.7464,0.7464,666003
1985-04-01,0.0,0.8123,0.7355,0.7904,0.7904,1794615
1985-05-01,0.0,0.8013,0.6916,0.7355,0.7355,800596
1985-06-01,0.0,0.7794,0.7135,0.7464,0.7464,688933
1985-07-01,0.0,0.8123,0.7464,0.7794,0.7794,2707876
1985-08-01,0.0,0.8013,0.7464,0.7574,0.7574,696907
1985-09-01,0.0,0.7519,0.6916,0.708,0.708,828513
1985-10-01,0.0,0.7464,0.6861,0.7464,0.7464,2278164
1985-11-01,0.0,0.8013,0.7245,0.8013,0.8013,1845463
1985-12-01,0.0,0.8562,0.7904,0.8507,0.8507,3232302
1986-01-01,0.0,0.9001,0.8452,0.8672,0.8672,1541375
1986-02-01,0.0,1.0538,0.8562,0.966,0.966,3008976
1986-03-01,0.0,1.1087,0.955,1.0977,1.0977,1758723
1986-04-01,0.0,1.0977,0.9989,1.0319,1.0319,2494517
1986-05-01,0.0,1.0977,1.0099,1.0428,1.0428,1310068
1986-06-01,0.0,1.0977,1.0209,1.0538,1.0538,1435692
1986-07-01,0.0,1.0648,0.8562,0.8562,0.8562,1017945
1986-08-01,0.0,0.9001,0.8233,0.8672,0.8672,3908276
1986-09-01,0.0,0.8562,0.7904,0.7904,0.7904,1902293
1986-10-01,0.0,0.8123,0.6477,0.7135,0.7135,3507479
1986-11-01,0.0,0.8123,0.7135,0.7904,0.7904,1077765
1986-12-01,0.0,0.7904,0.7464,0.7574,0.7574,1667995
1987-01-01,0.0,0.9891,0.7473,0.8792,0.8792,3346958
1987-02-01,0.0,0.8792,0.8023,0.8023,0.8023,1767696
1987-03-01,0.0,1.055,0.7913,0.9561,0.9561,5664010
1987-04-01,0.0,0.979,0.88,0.924,0.924,1896309
1987-05-01,0.0,0.99,0.836,0.968,0.968,2823528
1987-06-01,0.0,1.001,0.935,1.001,1.001,4516453
1987-07-01,0.0,1.0679,0.8918,0.9358,0.9358,2325024
1987-08-01,0.0,0.9358,0.8532,0.8808,0.8808,1851445
1987-09-01,0.0,0.9204,0.8235,0.8356,0.8356,934647
1987-10-01,0.0,0.8608,0.5092,0.5577,0.5577,3366265
1987-11-01,0.0,0.5577,0.485,0.5092,0.5092,2127255
1987-12-01,0.0,0.5456,0.491,0.5153,0.5153,1891599
1988-01-01,0.0,0.6195,0.5102,0.6195,0.6195,836581
1988-02-01,0.0,0.7046,0.6074,0.6924,0.6924,1354122
1988-03-01,0.0,0.7653,0.6681,0.7531,0.7531,3412491
1988-04-01,0.0,0.7906,0.742,0.7663,0.7663,768606
1988-05-01,0.0,0.7541,0.6568,0.7116,0.7116,706971
1988-06-01,0.0,0.8514,0.6872,0.8393,0.8393,3495878
1988-07-01,0.0,0.9255,0.8281,0.9134,0.9134,3273817
1988-08-01,0.0,0.9255,0.8281,0.8768,0.8768,1531769
1988-09-01,0.0,0.9913,0.8525,0.9511,0.9511,984237
1988-10-01,0.9521,0.9857,0.9387,0.979,0.979,1229373
1988-11-01,0.979,0.979,0.8985,0.9186,0.9186,636108
1988-12-01,0.9186,0.9387,0.8583,0.8717,0.8717,1030792
1989-01-01,0.8728,1.007,0.8593,0.9936,0.9936,2695222
1989-02-01,1.0003,1.0205,0.9601,1.0071,1.0071,2563385
1989-03-01,1.0071,1.0742,0.9936,1.0339,1.0339,4353882
1989-04-01,1.035,1.2232,1.0216,1.1694,1.1694,8051880
1989-05-01,1.1694,1.1963,1.0753,1.1425,1.1425,13250336
1989-06-01,1.156,1.3173,1.156,1.2501,1.2501,6404752
1989-07-01,1.2511,1.3991,1.2242,1.3722,1.3722,4347291
1989-08-01,1.3722,1.3857,1.3049,1.3587,1.3587,3289306
1989-09-01,1.3587,1.4395,1.3184,1.4058,1.4058,7335845
1989-10-01,1.4053,1.5147,1.3295,1.4137,1.4137,5187084
1989-11-01,1.4137,1.5315,1.3464,1.5231,1.5231,5753319
1989-12-01,1.5315,1.6493,1.5315,1.6493,1.6493,6569387
1990-01-01,1.6507,1.6844,1.3307,1.3643,1.3643,3385545
1990-02-01,1.3643,1.4822,1.3643,1.4317,1.4317,2526637
1990-03-01,1.4317,1.4991,1.3812,1.4486,1.4486,4071092
1990-04-01,1.4836,1.5848,1.4668,1.5005,1.5005,4057912
1990-05-01,1.5005,1.7871,1.4668,1.7871,1.7871,9316844
1990-06-01,1.7703,1.8546,1.7197,1.8208,1.8208,3055958
1990-07-01,1.8222,2.0078,1.8222,1.9572,1.9572,4858152
1990-08-01,1.974,1.974,1.5522,1.7547,1.7547,4269506
1990-09-01,1.7547,1.8391,1.6029,1.6872,1.6872,4732250
1990-10-01,1.7307,2.1106,1.6885,2.0684,2.0684,7474572
1990-11-01,2.0895,2.2795,1.9418,2.2795,2.2795,4849455
1990-12-01,2.3006,2.4483,2.1951,2.2584,2.2584,6671428
1991-01-01,2.2812,2.598,2.1122,2.5769,2.5769,11877892
1991-02-01,2.598,3.1261,2.5769,2.8515,2.8515,10163494
1991-03-01,2.8726,3.0627,2.767,2.9993,2.9993,14465566
1991-04-01,3.0011,3.3604,2.8954,2.9377,2.9377,10653400
1991-05-01,2.9377,3.3181,2.8954,3.2547,3.2547,12530214
1991-06-01,3.2759,3.5083,3.1068,3.1596,3.1596,10393419
1991-07-01,3.1295,3.785,3.1295,3.5736,3.5736,11356878
1991-08-01,3.5524,3.9119,3.415,3.785,3.785,7330076
1991-09-01,3.785,4.0599,3.6053,3.9965,3.9965,5756483
1991-10-01,4.0458,4.0987,3.0145,3.2128,3.2128,14274987
1991-11-01,3.226,3.5169,2.6707,2.803,2.803,14833547
1991-12-01,2.7501,3.2525,2.3799,3.226,3.226,22423923
1992-01-01,3.1759,3.2818,2.7525,3.2024,3.2024,21077719
1992-02-01,3.2818,3.5994,3.2024,3.2818,3.2818,10723642
1992-03-01,3.2818,3.4803,3.0965,3.2553,3.2553,5048156
1992-04-01,3.125,3.2045,2.5159,2.6748,2.6748,10333828
1992-05-01,2.7278,3.178,2.6748,3.0986,3.0986,10208532
1992-06-01,3.0456,3.2575,2.8602,3.178,3.178,8534532
1992-07-01,3.2332,3.4717,3.0477,3.1272,3.1272,5117764
1992-08-01,3.1272,3.2597,2.8224,2.9947,2.9947,10349861
