Date,Open,High,Low,Close,Adj Close,Volume
,CAT,CAT,CAT,CAT,,CAT
1985-01-01,1.5639,1.7404,1.463,1.6837,1.6837,53280000
1985-02-01,1.6909,1.7542,1.5769,1.6656,1.6656,30292800
1985-03-01,1.6656,1.6782,1.4692,1.6149,1.6149,31442400
1985-04-01,1.6276,1.6909,1.5199,1.6022,1.6022,34289600
1985-05-01,1.6085,1.7992,1.564,1.761,1.761,41708000
1985-06-01,1.7674,1.831,1.6657,1.6848,1.6848,35645600
1985-07-01,1.6848,1.9454,1.6848,1.8755,1.8755,56462400
1985-08-01,1.9074,1.933,1.8118,1.8373,1.8373,27832800
1985-09-01,1.8373,1.8883,1.6842,1.8054,1.8054,23442400
1985-10-01,1.8054,1.9202,1.7543,1.8118,1.8118,33305600
1985-11-01,1.8179,2.0548,1.8051,2.042,2.042,58203200
1985-12-01,2.042,2.2084,2.0164,2.1508,2.1508,57267200
1986-01-01,2.1508,2.4068,2.01,2.3428,2.3428,54699200
1986-02-01,2.35,2.6261,2.305,2.6068,2.6068,71880000
1986-03-01,2.6068,2.7545,2.5683,2.7031,2.7031,62248000
1986-04-01,2.7031,2.8444,2.4399,2.7224,2.7224,62166400
1986-05-01,2.7292,2.8387,2.5555,2.7936,2.7936,53789600
1986-06-01,2.7807,2.7807,2.5168,2.5619,2.5619,41998400
1986-07-01,2.5619,2.7228,2.1113,2.298,2.298,83871200
1986-08-01,2.3041,2.601,2.2848,2.5752,2.5752,44971200
1986-09-01,2.5817,2.6527,1.9169,1.9556,1.9556,89584000
1986-10-01,1.9556,2.0589,1.8911,2.0589,2.0589,68347200
1986-11-01,2.0658,2.0981,1.9233,2.0528,2.0528,54120000
1986-12-01,2.0528,2.1629,1.9751,2.0787,2.0787,43416000
1987-01-01,2.0787,2.3572,2.0658,2.2536,2.2536,63160800
1987-02-01,2.2603,2.5526,2.2473,2.3837,2.3837,54317600
1987-03-01,2.3837,2.5656,2.3187,2.5071,2.5071,63999200
1987-04-01,2.5071,2.7214,2.3317,2.5006,2.5006,62464000
1987-05-01,2.5072,2.9826,2.5007,2.7025,2.7025,84152000
1987-06-01,2.7221,2.9174,2.7025,2.7872,2.7872,45974400
1987-07-01,2.7872,3.4319,2.6635,3.3798,3.3798,96547200
1987-08-01,3.3869,3.5043,3.2107,3.2302,3.2302,77768000
1987-09-01,3.2302,3.9024,3.1454,3.8371,3.8371,97336000
1987-10-01,3.8371,3.8567,2.1665,2.5972,2.5972,132986400
1987-11-01,2.6037,3.2055,2.5906,2.97,2.97,95615200
1987-12-01,2.97,3.4018,2.7738,3.2448,3.2448,76766400
1988-01-01,3.2448,3.4606,2.9242,3.0485,3.0485,85647200
1988-02-01,3.0646,3.4124,3.0055,3.4124,3.4124,56643200
1988-03-01,3.4124,3.5502,3.1958,3.2746,3.2746,58980000
1988-04-01,3.2746,3.5961,3.1892,3.2942,3.2942,51712000
1988-05-01,3.291,3.3568,3.0738,3.2647,3.2647,48728000
1988-06-01,3.2844,3.607,3.2844,3.5675,3.5675,61189600
1988-07-01,3.5675,3.5675,3.1923,3.2779,3.2779,48480000
1988-08-01,3.2942,3.347,2.8585,2.9377,2.9377,65600000
1988-09-01,2.9311,3.0697,2.8453,3.0367,3.0367,51588800
1988-10-01,3.0367,3.3866,3.0103,3.2612,3.2612,61856000
