Date,Open,High,Low,Close,Adj Close,Volume
,CBRE,CBRE,CBRE,CBRE,,CBRE
2004-06-01,6.3333,6.4,6.0333,6.3667,6.3667,51499800
2004-07-01,6.35,6.4067,6.1633,6.3133,6.3133,7501500
2004-08-01,6.2967,6.6667,6.2567,6.4967,6.4967,7416600
2004-09-01,6.5333,7.88,6.5333,7.7,7.7,18677700
2004-10-01,7.7,8.8633,7.6467,8.6333,8.6333,9982200
2004-11-01,8.6667,9.0333,8.37,9.03,9.03,7897200
2004-12-01,9.03,11.3633,8.9833,11.1833,11.1833,47371500
2005-01-01,11.1833,11.7167,10.4,11.6633,11.6633,19778100
2005-02-01,11.6633,12.95,11.55,12.0267,12.0267,20926200
2005-03-01,12.0033,12.6,10.94,11.6633,11.6633,22542000
2005-04-01,11.6667,11.8333,10.5833,11.5833,11.5833,19189500
2005-05-01,11.6333,13.1,11.0367,12.82,12.82,40564500
2005-06-01,12.82,14.7333,12.4933,14.62,14.62,43664700
2005-07-01,14.65,15.4667,13.6667,15.3467,15.3467,29122200
2005-08-01,15.6,16.66,13.7433,16.2533,16.2533,31309800
2005-09-01,16.55,16.6667,14.0333,16.4,16.4,23370000
2005-10-01,16.4433,16.9133,15.0167,16.2833,16.2833,21795300
2005-11-01,16.2833,19.1,16.1833,18.5,18.5,44712000
2005-12-01,18.5,19.9233,17.3567,19.6167,19.6167,28249800
2006-01-01,19.62,21.6133,19.46,21.04,21.04,31962300
2006-02-01,21.0533,23.9067,20.6667,22.8933,22.8933,37845000
2006-03-01,23.2267,27.82,22.95,26.9,26.9,36926400
2006-04-01,26.95,29.83,25.9733,29.2967,29.2967,33494700
2006-05-01,29.4,29.7,22.8367,25.79,25.79,68932500
2006-06-01,25.79,27.09,21.88,24.9,24.9,43686100
2006-07-01,24.9,25.96,21.5,23.53,23.53,34891200
2006-08-01,23.5,24.49,20.02,23.0,23.0,47658900
2006-09-01,23.1,25.7,22.78,24.6,24.6,28874400
2006-10-01,24.6,31.06,22.73,30.03,30.03,56812900
2006-11-01,30.0,34.14,27.39,32.93,32.93,82485700
2006-12-01,33.13,34.26,31.74,33.2,33.2,26410000
2007-01-01,33.4,37.84,32.5,37.61,37.61,36111300
2007-02-01,37.95,39.15,32.0,33.31,33.31,41594600
2007-03-01,32.07,36.74,31.22,34.18,34.18,49392000
2007-04-01,34.18,37.35,33.0,33.85,33.85,31665900
2007-05-01,34.25,38.98,33.37,37.22,37.22,52510600
2007-06-01,37.6,39.93,35.75,36.5,36.5,53338500
2007-07-01,36.85,42.74,33.12,34.92,34.92,67374600
2007-08-01,35.0,35.0,24.92,29.52,29.52,141892200
2007-09-01,29.52,30.3,23.69,27.84,27.84,90676100
2007-10-01,27.72,29.36,23.02,24.38,24.38,76483400
2007-11-01,23.77,24.75,17.49,23.75,23.75,153115500
2007-12-01,23.63,24.45,20.5,21.55,21.55,79591000
2008-01-01,21.5,22.0,15.23,19.37,19.37,111916200
2008-02-01,19.61,22.18,16.78,20.06,20.06,77556200
2008-03-01,19.71,23.17,17.5,21.64,21.64,76243200
2008-04-01,21.83,24.04,19.5,23.12,23.12,58269200
2008-05-01,22.83,24.5,20.96,22.46,22.46,43924800
2008-06-01,22.26,22.44,19.0,19.2,19.2,51080800
2008-07-01,18.96,21.0,12.6,14.05,14.05,95306100
2008-08-01,13.84,17.45,12.63,13.07,13.07,70717900
2008-09-01,13.34,17.95,11.49,13.37,13.37,97464000
2008-10-01,13.07,13.24,3.54,7.01,7.01,114027700
2008-11-01,6.88,7.92,3.25,4.56,4.56,148249300
2008-12-01,4.52,4.9,3.0,4.32,4.32,151574700
2009-01-01,4.43,5.4,3.45,3.6,3.6,104151300
2009-02-01,3.55,4.89,2.84,2.89,2.89,118060700
2009-03-01,2.8,5.11,2.34,4.03,4.03,211085100
2009-04-01,3.92,7.7,3.75,7.5,7.5,208066100
2009-05-01,7.59,9.87,6.49,7.3,7.3,156718500
2009-06-01,7.57,9.87,7.5,9.36,9.36,150067300
2009-07-01,9.38,11.1,7.61,10.9,10.9,131756300
2009-08-01,11.16,12.61,10.57,11.84,11.84,106264600
2009-09-01,11.74,13.14,10.37,11.74,11.74,96849800
2009-10-01,11.64,13.77,10.31,10.35,10.35,99159000
2009-11-01,10.4,11.84,9.98,11.43,11.43,96632500
2009-12-01,11.26,14.14,11.26,13.57,13.57,59600400
2010-01-01,13.81,14.38,12.17,12.3,12.3,65501500
2010-02-01,12.49,13.88,12.05,13.2,13.2,95709800
2010-03-01,13.26,16.22,13.26,15.85,15.85,88533800
2010-04-01,16.02,17.86,15.93,17.32,17.32,95828900
2010-05-01,17.53,17.98,13.69,15.83,15.83,111991700
2010-06-01,15.62,16.15,13.52,13.61,13.61,110147500
2010-07-01,13.63,17.15,12.81,17.0,17.0,105425000
2010-08-01,17.3,17.6,15.7,16.42,16.42,72941600
2010-09-01,16.77,19.0,16.73,18.28,18.28,68474700
2010-10-01,18.42,20.38,17.14,18.35,18.35,90255100
2010-11-01,18.49,20.4,18.19,19.19,19.19,82062300
2010-12-01,19.57,21.53,18.86,20.48,20.48,60230300
2011-01-01,20.68,22.66,20.29,22.19,22.19,73989900
2011-02-01,22.38,25.68,22.29,25.04,25.04,73870500
2011-03-01,25.17,27.97,24.3,26.7,26.7,86379100
2011-04-01,26.99,29.88,26.29,26.71,26.71,75485600
2011-05-01,26.94,27.96,25.58,26.43,26.43,68076300
2011-06-01,26.4,26.61,22.45,25.11,25.11,80570200
2011-07-01,25.06,26.29,20.51,21.8,21.8,89277800
2011-08-01,22.11,22.28,13.42,15.16,15.16,166005500
2011-09-01,15.24,15.51,12.3,13.46,13.46,145077100
2011-10-01,13.34,19.61,12.51,17.78,17.78,120828200
2011-11-01,17.28,17.98,14.32,16.81,16.81,105905300
2011-12-01,16.79,17.71,14.18,15.22,15.22,105491600
2012-01-01,15.68,19.7,15.56,19.3,19.3,86129800
2012-02-01,19.46,19.66,17.76,18.33,18.33,71545400
2012-03-01,18.43,21.16,17.69,19.96,19.96,83551000
2012-04-01,19.97,20.46,17.61,18.81,18.81,62137900
2012-05-01,18.79,19.66,15.73,16.45,16.45,69914000
2012-06-01,15.38,17.02,15.09,16.36,16.36,62300000
2012-07-01,16.49,16.58,14.97,15.58,15.58,57288400
2012-08-01,16.04,18.45,15.77,17.31,17.31,55749500
2012-09-01,17.31,20.89,16.73,18.41,18.41,85093200
2012-10-01,18.52,19.74,16.86,18.02,18.02,64903800
2012-11-01,17.94,19.05,17.16,18.93,18.93,59205600
2012-12-01,18.93,20.55,18.33,19.9,19.9,44701700
2013-01-01,20.34,22.29,19.78,21.58,21.58,55863200
2013-02-01,21.76,24.86,21.59,24.17,24.17,69131400
2013-03-01,23.87,25.45,23.85,25.25,25.25,50994000
2013-04-01,25.28,25.69,23.17,24.22,24.22,51180400
2013-05-01,24.1,25.37,22.97,23.18,23.18,55510700
2013-06-01,23.24,23.56,20.59,23.36,23.36,65351600
2013-07-01,23.55,24.5,22.91,23.17,23.17,50257100
2013-08-01,23.36,23.59,21.24,21.87,21.87,56344000
2013-09-01,22.19,24.5,21.71,23.13,23.13,43453900
2013-10-01,23.09,24.6,21.86,23.23,23.23,74600900
2013-11-01,23.15,24.48,22.0,24.24,24.24,70724600
2013-12-01,24.25,26.58,24.05,26.3,26.3,44714600
2014-01-01,26.27,27.43,25.47,26.54,26.54,49830600
2014-02-01,26.48,28.06,25.5,27.95,27.95,50921900
2014-03-01,27.79,28.44,26.16,27.43,27.43,43379500
2014-04-01,27.56,28.06,25.84,26.64,26.64,34246000
2014-05-01,29.0,29.87,28.15,29.84,29.84,50160800
2014-06-01,29.89,32.06,29.78,32.04,32.04,44450000
2014-07-01,32.04,33.77,30.6,30.84,30.84,45148100
2014-08-01,30.66,32.05,30.2,31.78,31.78,38605400
2014-09-01,31.84,32.05,29.51,29.74,29.74,38990500
2014-10-01,29.65,32.08,27.49,32.0,32.0,42238500
2014-11-01,32.0,33.99,31.65,33.74,33.74,24583900
2014-12-01,33.66,35.37,31.95,34.25,34.25,43076100
2015-01-01,34.51,34.87,32.29,32.34,32.34,42722700
2015-02-01,32.49,35.13,31.75,34.26,34.26,31876000
2015-03-01,34.26,38.99,33.97,38.71,38.71,39159700
2015-04-01,38.81,39.77,37.93,38.34,38.34,29439200
2015-05-01,38.64,39.0,36.52,38.24,38.24,33850900
2015-06-01,38.36,38.71,36.28,37.0,37.0,34660000
2015-07-01,37.37,38.76,36.81,37.97,37.97,32313300
2015-08-01,37.94,38.63,31.28,32.02,32.02,46926200
2015-09-01,31.31,34.04,30.85,32.0,32.0,55501500
2015-10-01,31.96,38.49,31.14,37.28,37.28,56519800
2015-11-01,37.35,37.72,34.4,37.47,37.47,39832400
2015-12-01,37.5,37.79,33.5,34.58,34.58,36819300
2016-01-01,33.84,34.46,26.99,27.97,27.97,61015700
2016-02-01,27.76,28.61,22.74,25.41,25.41,88665500
2016-03-01,25.7,29.69,25.2,28.82,28.82,72609000
2016-04-01,28.54,31.31,27.92,29.63,29.63,55033700
2016-05-01,29.86,30.16,27.34,29.85,29.85,46416200
2016-06-01,29.67,31.23,24.49,26.48,26.48,67879400
2016-07-01,26.44,29.37,24.11,28.45,28.45,73992100
2016-08-01,28.5,30.21,28.07,29.89,29.89,45019100
2016-09-01,30.0,30.39,27.46,27.98,27.98,55482400
2016-10-01,27.77,28.55,25.57,25.76,25.76,55983500
2016-11-01,25.84,29.79,25.4,29.04,29.04,58899800
