Date,Open,High,Low,Close,Adj Close,Volume
,CCL,CCL,CCL,CCL,,CCL
1987-07-01,0.0,1.9351,1.7508,1.7816,1.7816,32164400
1987-08-01,0.0,2.1502,1.7201,2.0734,2.0734,17587600
1987-09-01,0.0,2.1041,1.8583,1.9659,1.9659,8541200
1987-10-01,0.0,1.9812,0.9983,1.2594,1.2594,18350800
1987-11-01,0.0,1.3208,1.029,1.1058,1.1058,8058800
1987-12-01,0.0,1.4744,1.0136,1.4744,1.4744,8730000
1988-01-01,0.0,1.7201,1.459,1.6433,1.6433,7973200
1988-02-01,0.0,1.628,1.413,1.5819,1.5819,3200800
1988-03-01,0.0,1.7495,1.4863,1.6721,1.6721,9622800
1988-04-01,0.0,1.734,1.4863,1.5637,1.5637,3768000
1988-05-01,0.0,1.5792,1.3934,1.5172,1.5172,4130800
1988-06-01,0.0,1.6705,1.53,1.6393,1.6393,9306800
1988-07-01,0.0,1.7017,1.53,1.5768,1.5768,3568000
1988-08-01,0.0,1.8266,1.4207,1.8266,1.8266,6792400
1988-09-01,0.0,1.8727,1.7311,1.8569,1.8569,6783200
1988-10-01,0.0,1.8569,1.6996,1.7153,1.7153,5084400
1988-11-01,0.0,1.8412,1.6681,1.7783,1.7783,3388800
1988-12-01,0.0,1.9654,1.7594,1.9654,1.9654,3152800
1989-01-01,0.0,2.399,1.916,2.3185,2.3185,12285200
1989-02-01,2.3024,2.3346,2.0609,2.1253,2.1253,6574000
1989-03-01,2.1221,2.1383,1.9277,2.0735,2.0735,16445200
1989-04-01,2.0897,2.3489,2.0573,2.2679,2.2679,11026800
1989-05-01,2.2679,2.3489,2.1869,2.3327,2.3327,7986800
1989-06-01,2.3623,2.8021,2.3623,2.5089,2.5089,13248000
1989-07-01,2.4926,3.0465,2.46,2.9976,2.9976,8602400
1989-08-01,3.0302,3.4375,2.737,3.1931,3.1931,7995200
1989-09-01,3.2054,3.2545,2.8947,3.2382,3.2382,6242000
1989-10-01,3.2382,3.2545,2.584,2.6494,2.6494,10282400
1989-11-01,2.6658,2.8457,2.1915,2.5676,2.5676,18672000
1989-12-01,2.5822,2.796,2.4999,2.6151,2.6151,6715600
1990-01-01,2.6151,2.6644,2.3684,2.4342,2.4342,5412800
1990-02-01,2.467,2.4835,2.2861,2.319,2.319,4936400
1990-03-01,2.3176,2.897,2.1521,2.8142,2.8142,8916000
1990-04-01,2.7811,2.8474,2.4832,2.6156,2.6156,5700400
1990-05-01,2.6321,3.1288,2.6321,3.0626,3.0626,9277600
1990-06-01,3.0953,3.3117,2.9955,3.2285,3.2285,10623200
1990-07-01,3.2285,3.2618,2.7459,2.7792,2.7792,7227200
1990-08-01,2.7459,2.7625,1.9138,2.3465,2.3465,8811200
1990-09-01,2.3649,2.4152,1.6773,1.6773,1.6773,9243600
1990-10-01,1.7276,1.9959,1.4424,1.694,1.694,16403200
1990-11-01,1.694,2.0295,1.6605,1.7779,1.7779,6431600
1990-12-01,1.7937,2.166,1.7937,1.9121,1.9121,10408000
1991-01-01,1.8952,2.2675,1.6414,2.2675,2.2675,14066800
1991-02-01,2.3013,2.6398,2.2167,2.369,2.369,17005600
1991-03-01,2.4023,2.8282,2.4023,2.726,2.726,25394400
1991-04-01,2.726,3.4246,2.709,3.3053,3.3053,19086800
1991-05-01,3.2883,3.4416,3.0327,3.2371,3.2371,10658400
1991-06-01,3.2884,3.2884,2.8773,2.8773,2.8773,8523600
1991-07-01,2.8088,3.1514,2.7232,3.1342,3.1342,19261600
1991-08-01,3.1342,3.1342,2.7061,3.0657,3.0657,15316400
1991-09-01,3.0656,3.5306,2.8245,3.4962,3.4962,17738400
1991-10-01,3.4962,4.0301,3.3412,3.6512,3.6512,25118400
