Date,Open,High,Low,Close,Adj Close,Volume
,CEG,CEG,CEG,CEG,,CEG
2022-01-01,36.8283,48.4099,36.8283,46.52,46.52,1103300
2022-02-01,46.0354,54.8258,40.8795,44.5623,44.5623,97310100
2022-03-01,44.3585,57.4464,44.096,54.6946,54.6946,72203600
2022-04-01,54.8016,66.7809,54.1598,57.5728,57.5728,51063800
2022-05-01,57.6603,64.7973,51.6123,60.3634,60.3634,56064500
2022-06-01,60.8046,65.2494,51.9734,55.8139,55.8139,58936000
2022-07-01,55.2875,64.918,51.3105,64.4306,64.4306,51654600
2022-08-01,64.3819,81.128,62.5103,79.5294,79.5294,49790900
2022-09-01,79.6719,88.0599,79.0567,81.2343,81.2343,55838600
2022-10-01,83.031,93.1768,77.4357,92.3174,92.3174,38354200
2022-11-01,93.001,95.5887,84.0563,93.8603,93.8603,45313300
2022-12-01,94.8645,95.6273,83.2461,84.3121,84.3121,32462100
2023-01-01,84.1067,84.938,78.6789,83.4808,83.4808,39458000
2023-02-01,83.5737,85.9844,72.7621,73.2413,73.2413,44303800
2023-03-01,72.757,78.7048,69.842,77.0461,77.0461,52787800
2023-04-01,76.5553,77.0951,72.7963,75.9664,75.9664,28810100
2023-05-01,76.0842,83.4698,73.5226,82.4638,82.4638,55232400
2023-06-01,83.5997,93.8976,83.516,90.1744,90.1744,54447400
2023-07-01,89.6425,96.7639,88.4999,95.1978,95.1978,32551800
2023-08-01,94.7939,108.5934,93.0111,102.5949,102.5949,39098600
2023-09-01,104.3211,111.5208,103.8481,107.7284,107.7284,37929400
2023-10-01,106.958,117.1748,101.1361,111.5208,111.5208,35237700
2023-11-01,112.1825,125.6633,111.4319,119.5402,119.5402,34864500
2023-12-01,119.4014,120.3121,108.3442,115.7091,115.7091,37434700
2024-01-01,115.224,122.9254,108.3343,120.7674,120.7674,32195400
2024-02-01,120.7674,169.5753,120.7674,166.7481,166.7481,47377200
2024-03-01,165.3524,196.8212,161.0265,182.9825,182.9825,56356300
2024-04-01,184.5124,196.0277,176.2008,184.4232,184.4232,56000300
2024-05-01,184.7306,234.3724,182.1023,215.4778,215.4778,64154000
2024-06-01,214.0688,226.2573,194.9069,198.9399,198.9399,79616900
2024-07-01,206.8073,220.8932,164.6492,188.5395,188.5395,71501000
2024-08-01,187.0415,197.7876,154.5666,195.3936,195.3936,70748200
2024-09-01,194.5633,270.5475,170.2205,258.7742,258.7742,81553700
2024-10-01,257.8586,287.3695,247.8568,261.7001,261.7001,63140800
2024-11-01,261.4712,265.8502,220.1203,255.3308,255.3308,74973800
2024-12-01,256.1699,258.921,218.9306,222.9874,222.9874,48129200
2025-01-01,225.6488,350.863,224.4108,299.0111,299.0111,123630800
2025-02-01,284.4782,328.8225,240.8296,249.7358,249.7358,71987400
2025-03-01,248.5745,248.9154,194.9184,200.9788,200.9788,94214100
2025-04-01,200.6758,227.0498,161.1299,223.1352,223.1352,80507500
2025-05-01,232.2,314.5,230.31,304.25,304.25,66435815
