Date,Open,High,Low,Close,Adj Close,Volume
,CF,CF,CF,CF,,CF
2005-08-01,2.2637,2.5074,2.2288,2.3389,2.3389,181575500
2005-09-01,2.3472,2.3472,2.0171,2.0631,2.0631,118029000
2005-10-01,2.0686,2.0686,1.5588,1.9251,1.9251,78682500
2005-11-01,1.9711,2.2219,1.8402,2.1522,2.1522,57884500
2005-12-01,2.1512,2.2307,2.0382,2.1275,2.1275,58102000
2006-01-01,2.1275,2.4065,2.1066,2.373,2.373,58586500
2006-02-01,2.3605,2.6772,2.2782,2.4581,2.4581,47937000
2006-03-01,2.4623,2.5084,2.2531,2.3702,2.3702,43815000
2006-04-01,2.3757,2.5615,2.2486,2.4162,2.4162,34802500
2006-05-01,2.3743,2.6187,2.2486,2.3855,2.3855,56440000
2006-06-01,2.3882,2.3882,1.8485,1.9939,1.9939,61856500
2006-07-01,1.9645,2.2889,1.8051,2.2666,2.2666,35320500
2006-08-01,2.2666,2.2694,2.0289,2.2176,2.2176,29789000
2006-09-01,2.2402,2.425,2.2122,2.39,2.39,38672500
2006-10-01,2.4194,2.922,2.4082,2.775,2.775,75293500
2006-11-01,2.8674,3.2273,2.7526,3.1853,3.1853,65716000
2006-12-01,3.1883,3.7279,3.0622,3.5933,3.5933,54700000
2007-01-01,3.6283,4.5099,3.6017,4.2744,4.2744,77046000
2007-02-01,4.4005,5.6703,4.3459,5.418,5.418,106689000
2007-03-01,5.3496,6.1307,4.9107,5.4057,5.4057,159311000
2007-04-01,5.3791,6.5514,5.323,5.5656,5.5656,146499000
2007-05-01,5.5656,6.4855,5.3552,6.2723,6.2723,125276500
2007-06-01,6.3274,8.697,6.2853,8.4023,8.4023,159629000
2007-07-01,8.5791,9.5472,7.092,8.0642,8.0642,159556500
2007-08-01,8.1765,8.9691,6.1955,8.885,8.885,197711500
2007-09-01,8.9108,10.8196,8.4407,10.654,10.654,135679000
2007-10-01,10.654,13.4876,9.5859,12.3368,12.3368,252532500
2007-11-01,12.0687,14.0336,10.901,12.7691,12.7691,239663500
2007-12-01,12.8453,16.689,12.6136,15.4508,15.4508,199563500
2008-01-01,15.653,16.9838,11.0525,15.0114,15.0114,348347000
2008-02-01,15.0661,18.4901,14.2491,17.1382,17.1382,297074000
2008-03-01,16.9312,17.5887,13.9091,14.5582,14.5582,287468500
2008-04-01,14.6341,22.3389,13.6773,18.7843,18.7843,361307000
2008-05-01,18.6087,19.9505,17.0408,19.2339,19.2339,228123500
2008-06-01,19.2294,24.3219,19.1915,21.4832,21.4832,317609000
2008-07-01,21.2934,23.64,18.6305,22.982,22.982,334813000
2008-08-01,23.2182,23.6203,16.8716,21.427,21.427,348555500
2008-09-01,20.6743,20.6743,11.4157,12.8692,12.8692,519349500
2008-10-01,12.9212,13.1745,5.3061,9.0321,9.0321,750821000
2008-11-01,9.0124,9.5442,5.5073,7.4055,7.4055,470356500
2008-12-01,7.1728,8.0481,5.8507,6.929,6.929,221934500
2009-01-01,6.96,8.1242,5.9621,6.6245,6.6245,329817000
2009-02-01,6.4864,9.3843,6.4202,9.0672,9.0672,541829500
2009-03-01,8.8558,10.6125,8.1342,10.0448,10.0448,409355500
2009-04-01,9.8146,10.645,9.1566,10.1748,10.1748,195334000
2009-05-01,10.1733,11.9484,10.1197,10.9642,10.9642,220909000
2009-06-01,11.2331,11.9119,9.8021,10.4837,10.4837,183598000
2009-07-01,10.5898,11.4057,9.607,11.1624,11.1624,108458000
2009-08-01,11.3123,11.9614,11.1002,11.5471,11.5471,74147000
2009-09-01,11.4536,13.0152,11.2045,12.2083,12.2083,100176000
2009-10-01,12.2352,13.4683,11.6221,11.7864,11.7864,93254000
2009-11-01,11.6419,12.3951,10.8944,12.0851,12.0851,220444000
2009-12-01,12.3625,13.2513,11.9656,12.8686,12.8686,150267000
2010-01-01,13.0968,14.5852,12.8331,13.1634,13.1634,135180500
