Date,Open,High,Low,Close,Adj Close,Volume
,CHRW,CHRW,CHRW,CHRW,,CHRW
1997-10-01,3.5286,3.5286,2.9974,3.3389,3.3389,27978000
1997-11-01,3.4148,4.0219,3.1776,3.1871,3.1871,9692000
1997-12-01,3.1871,3.5286,2.9974,3.3958,3.3958,13907200
1998-01-01,3.3669,3.7093,3.1957,3.481,3.481,6079200
1998-02-01,3.5191,3.8425,3.3289,3.462,3.462,10144800
1998-03-01,3.4097,3.9946,3.2528,3.9566,3.9566,12271600
1998-04-01,3.7577,4.1201,3.4144,3.4907,3.4907,14199600
1998-05-01,3.4334,3.5288,3.2808,3.5288,3.5288,4375600
1998-06-01,3.5288,3.834,3.2808,3.7959,3.7959,15024400
1998-07-01,3.8057,3.9491,3.3945,3.7674,3.7674,6582800
1998-08-01,3.7674,3.8248,3.0503,3.0598,3.0598,6854400
1998-09-01,3.1363,3.5188,2.3905,3.079,3.079,11876800
1998-10-01,3.089,3.4343,2.2064,3.4056,3.4056,16717200
1998-11-01,3.4439,3.7029,3.3768,3.4631,3.4631,9818000
1998-12-01,3.4152,4.0291,3.4152,3.9811,3.9811,12026000
1999-01-01,3.9738,4.2528,3.6948,4.2143,4.2143,10425600
1999-02-01,4.2143,4.58,3.8295,4.0412,4.0412,9092400
1999-03-01,3.9642,4.3394,3.8872,3.9161,3.9161,6974000
1999-04-01,4.0129,4.6302,3.9357,4.6206,4.6206,11558400
1999-05-01,4.6206,5.4212,4.6013,4.9872,4.9872,19910000
1999-06-01,4.9679,5.8071,4.7846,5.6721,5.6721,11638800
1999-07-01,5.6648,5.8194,5.2201,5.4714,5.4714,6784000
1999-08-01,5.5197,5.5681,4.7561,4.8721,4.8721,5703200
1999-09-01,4.8527,5.4521,4.7174,5.2104,5.2104,8248800
1999-10-01,5.2117,5.4248,4.8242,5.2407,5.2407,8571200
1999-11-01,5.2407,5.4635,4.2526,5.4054,5.4054,17717600
1999-12-01,5.4345,6.5194,5.0954,6.161,6.161,13361200
2000-01-01,6.2139,6.544,5.7479,6.3207,6.3207,10593600
2000-02-01,6.3304,7.981,6.1168,7.9227,7.9227,26558000
2000-03-01,7.8305,8.0587,5.7867,5.7867,5.7867,24886800
2000-04-01,5.9127,7.7994,5.339,7.7799,7.7799,17577200
2000-05-01,7.741,8.2467,6.2045,6.9922,6.9922,17164800
2000-06-01,7.0603,7.741,6.1072,7.7021,7.7021,20306800
2000-07-01,7.4041,9.9956,7.1314,9.9396,9.9396,19987200
2000-08-01,9.8982,9.8982,8.7486,9.2259,9.2259,13181200
2000-09-01,9.2649,9.4111,8.505,8.7851,8.7851,11024000
2000-10-01,8.7216,9.063,6.9656,8.5362,8.5362,19321600
2000-11-01,8.6045,9.6679,8.2143,8.8387,8.8387,13355200
2000-12-01,8.7996,10.263,8.4289,9.8142,9.8142,17209600
2001-01-01,9.9673,10.0846,8.2084,9.3615,9.3615,17756600
2001-02-01,9.1856,9.596,8.5993,9.3419,9.3419,7688000
2001-03-01,9.381,9.7132,7.1726,8.5602,8.5602,15740800
2001-04-01,8.6526,8.8092,7.1476,8.4756,8.4756,15749200
2001-05-01,8.4443,9.7974,8.4443,9.3495,9.3495,11913400
2001-06-01,9.3965,9.4372,8.0183,8.7356,8.7356,9975000
2001-07-01,8.8322,9.7201,8.4964,9.6479,9.6479,8306800
2001-08-01,9.6762,9.9146,9.1271,9.7546,9.7546,11072800
2001-09-01,9.8676,9.8989,7.9035,9.0863,9.0863,13114000
2001-10-01,9.0223,9.4277,8.1015,8.4126,8.4126,14551400
2001-11-01,8.4535,9.412,8.3907,8.7332,8.7332,9205000
2001-12-01,8.6546,9.5188,8.2995,9.0883,9.0883,19606600
2002-01-01,9.1807,10.0436,8.8972,9.7728,9.7728,14254800
2002-02-01,9.7381,9.8421,8.787,9.1649,9.1649,11371800
2002-03-01,9.1681,10.6546,9.1208,10.5822,10.5822,13633000
2002-04-01,10.4893,11.092,9.8266,9.9308,9.9308,16082000
2002-05-01,9.9371,10.9469,9.8929,10.6913,10.6913,11136000
2002-06-01,10.7134,11.1709,10.1832,10.5808,10.5808,13429200
2002-07-01,10.6316,10.6316,8.2511,9.484,9.484,18738200
2002-08-01,9.4556,9.718,8.2701,8.7222,8.7222,11467800
2002-09-01,8.6969,9.1932,8.1658,8.542,8.542,14004000
2002-10-01,8.5763,9.6408,8.1866,9.3684,9.3684,19000400
2002-11-01,9.3906,9.9513,9.1561,9.682,9.682,12306400
2002-12-01,9.6979,10.4107,9.5521,9.8848,9.8848,39147800
