Date,Open,High,Low,Close,Adj Close,Volume
,CINF,CINF,CINF,CINF,,CINF
1985-01-01,0.0,1.1684,1.0924,1.1612,1.1612,4062952
1985-02-01,0.0,1.2986,1.163,1.2697,1.2697,3340942
1985-03-01,0.0,1.3999,1.2733,1.3312,1.3312,3966683
1985-04-01,0.0,1.4144,1.3059,1.3167,1.3167,4334253
1985-05-01,0.0,1.5772,1.2588,1.4542,1.4542,4104523
1985-06-01,0.0,1.4686,1.3674,1.4035,1.4035,3359538
1985-07-01,0.0,1.5518,1.3891,1.4831,1.4831,4048731
1985-08-01,0.0,1.6061,1.4035,1.5772,1.5772,2767709
1985-09-01,0.0,1.5952,1.418,1.4433,1.4433,2454835
1985-10-01,0.0,1.6712,1.4397,1.664,1.664,5004846
1985-11-01,0.0,1.8231,1.664,1.6965,1.6965,4218291
1985-12-01,0.0,1.7508,1.6929,1.7291,1.7291,4308001
1986-01-01,0.0,1.9461,1.7146,1.9172,1.9172,2628775
1986-02-01,0.0,1.9678,1.8448,1.928,1.928,2975559
1986-03-01,0.0,2.0402,1.881,2.0185,2.0185,2461398
1986-04-01,0.0,2.1198,1.91,2.0691,2.0691,2511724
1986-05-01,0.0,2.1559,1.9968,2.1559,2.1559,4076079
1986-06-01,0.0,2.2428,2.0764,2.127,2.127,3663657
1986-07-01,0.0,2.2862,2.1198,2.2825,2.2825,2757860
1986-08-01,0.0,2.3115,2.1342,2.1415,2.1415,2181347
1986-09-01,0.0,2.1849,1.9244,1.9461,1.9461,2760049
1986-10-01,0.0,2.0908,1.9244,2.0691,2.0691,4534445
1986-11-01,0.0,2.0691,1.8014,1.91,1.91,6471841
1986-12-01,0.0,1.9751,1.7725,1.8014,1.8014,6288058
1987-01-01,0.0,2.1965,1.811,2.1238,2.1238,5752019
1987-02-01,0.0,2.182,2.022,2.1383,2.1383,3633028
1987-03-01,0.0,2.1456,1.9565,2.0074,2.0074,8016506
1987-04-01,0.0,2.0257,1.8136,1.8868,1.8868,5546355
1987-05-01,0.0,1.8868,1.7478,1.7771,1.7771,3880261
1987-06-01,0.0,1.9526,1.7625,1.938,1.938,2455931
1987-07-01,0.0,1.986,1.6697,1.6918,1.6918,6791277
1987-08-01,0.0,1.7727,1.6844,1.7396,1.7396,7531884
1987-09-01,0.0,1.7433,1.4711,1.6035,1.6035,6313217
1987-10-01,0.0,1.7103,1.2956,1.4215,1.4215,7934462
1987-11-01,0.0,1.4807,1.2142,1.2327,1.2327,4286119
1987-12-01,0.0,1.2882,1.0809,1.1624,1.1624,9173911
1988-01-01,0.0,1.3302,1.1733,1.2704,1.2704,3669126
1988-02-01,0.0,1.3825,1.2555,1.375,1.375,7222294
1988-03-01,0.0,1.5245,1.375,1.3974,1.3974,4423957
1988-04-01,0.0,1.4703,1.3421,1.4665,1.4665,2064295
1988-05-01,0.0,1.508,1.4401,1.4703,1.4703,2448273
1988-06-01,0.0,1.5457,1.4703,1.5382,1.5382,1575296
1988-07-01,0.0,1.6734,1.5441,1.6658,1.6658,4618680
1988-08-01,0.0,1.7267,1.6278,1.7115,1.7115,4351755
1988-09-01,0.0,1.7952,1.7039,1.7609,1.7609,6189600
1988-10-01,0.0,1.8703,1.74,1.8167,1.8167,6353695
1988-11-01,0.0,1.8397,1.648,1.6864,1.6864,4857164
1988-12-01,0.0,1.6864,1.6097,1.6174,1.6174,4113273
1989-01-01,0.0,1.9091,1.6308,1.855,1.855,7502348
1989-02-01,0.0,1.94,1.855,1.8782,1.8782,4364880
1989-03-01,0.0,1.9245,1.8627,1.9091,1.9091,3024786
1989-04-01,0.0,2.1599,1.926,2.1599,2.1599,4163597
1989-05-01,0.0,2.1755,2.0664,2.1599,2.1599,3033539
1989-06-01,0.0,2.2691,2.1599,2.2535,2.2535,4456777
1989-07-01,0.0,2.4197,2.2705,2.3255,2.3255,4870292
1989-08-01,0.0,2.4197,2.3097,2.4119,2.4119,4560701
1989-09-01,0.0,2.5611,2.4119,2.5297,2.5297,3854005
1989-10-01,0.0,2.6182,2.4205,2.4521,2.4521,5715919
1989-11-01,0.0,2.5154,2.4284,2.5154,2.5154,2611270
1989-12-01,0.0,2.5312,2.4363,2.5154,2.5154,3184502
1990-01-01,0.0,2.5883,2.3653,2.3892,2.3892,6053950
1990-02-01,0.0,2.445,2.3096,2.445,2.445,3533475
1990-03-01,0.0,2.5246,2.3494,2.437,2.437,3385791
1990-04-01,2.457,2.4891,2.2562,2.2884,2.2884,4280649
1990-05-01,2.2803,2.6095,2.2803,2.6015,2.6015,6114118
1990-06-01,2.5935,2.7621,2.5854,2.6176,2.6176,5086894
1990-07-01,2.6525,2.9032,2.5635,2.798,2.798,4276272
1990-08-01,2.7819,2.8061,2.6201,2.6929,2.6929,10580739
1990-09-01,2.6848,2.8951,2.1592,2.333,2.333,19517262
1990-10-01,2.3376,2.4761,2.1014,2.2643,2.2643,21640627
1990-11-01,2.248,2.6878,2.2317,2.5982,2.5982,5084705
1990-12-01,2.6227,2.8344,2.5982,2.7367,2.7367,4087019
1991-01-01,2.7562,2.8793,2.5512,2.8383,2.8383,3509410
1991-02-01,2.8383,3.1828,2.8383,3.15,3.15,3685539
1991-03-01,3.1172,3.273,2.9941,3.2156,3.2156,2471245
1991-04-01,3.2389,3.5033,3.2058,3.495,3.495,3782898
1991-05-01,3.495,3.8338,3.4537,3.7016,3.7016,2395761
1991-06-01,3.6851,3.7512,3.5694,3.7512,3.7512,2477810
1991-07-01,3.7746,3.8577,3.6582,3.7746,3.7746,3550978
1991-08-01,3.7912,4.0822,3.7413,3.8744,3.8744,2248078
1991-09-01,3.9076,3.9076,3.758,3.8245,3.8245,1146463
1991-10-01,3.8637,3.9557,3.6463,3.6881,3.6881,4239080
1991-11-01,3.663,3.7968,3.5961,3.6964,3.6964,2556574
1991-12-01,3.6797,3.7466,3.5626,3.5961,3.5961,2786307
1992-01-01,3.6183,4.1063,3.6014,4.0558,4.0558,4290493
1992-02-01,4.0895,4.14,3.7697,3.9801,3.9801,3440490
1992-03-01,3.9801,4.0811,3.8034,4.0474,4.0474,2458120
1992-04-01,4.117,4.5406,4.0662,4.2272,4.2272,2903355
1992-05-01,4.2272,4.5745,4.1848,4.5237,4.5237,2657583
1992-06-01,4.5491,4.6253,4.2949,4.4474,4.4474,2540895
1992-07-01,4.5245,5.0102,4.4734,4.8313,4.8313,3602760
1992-08-01,4.8313,5.1891,4.6523,4.9846,4.9846,3166639
1992-09-01,5.0358,5.3936,4.8568,5.3936,5.3936,2594133
1992-10-01,5.448,6.0905,5.3709,5.705,5.705,6539303
1992-11-01,5.705,6.3475,5.6793,6.3089,6.3089,4411923
1992-12-01,6.3218,6.4503,6.0134,6.2961,6.2961,2264122
1993-01-01,6.2721,6.3237,6.0398,6.0656,6.0656,2279438
1993-02-01,6.0398,6.6076,6.0398,6.3495,6.3495,2769527
1993-03-01,6.2721,6.8916,6.1947,6.3495,6.3495,4104155
1993-04-01,6.3254,6.5846,5.9106,6.118,6.118,4786786
1993-05-01,6.118,6.1698,5.1847,5.8847,5.8847,3898859
1993-06-01,5.8847,6.3772,5.781,6.118,6.118,4687964
1993-07-01,6.1478,6.2259,5.9394,6.0696,6.0696,2136859
1993-08-01,6.0957,6.3562,6.0436,6.0696,6.0696,2310797
1993-09-01,6.0436,6.4083,5.9133,5.9133,5.9133,2769166
1993-10-01,5.9669,6.2286,5.8622,6.0716,6.0716,2585746
1993-11-01,6.0585,6.1501,5.3388,5.4435,5.4435,5423468
1993-12-01,5.522,5.8099,5.3388,5.6005,5.6005,6133442
1994-01-01,5.7098,6.1308,5.394,6.1308,6.1308,4549761
1994-02-01,6.1308,6.1308,5.7098,5.7361,5.7361,2685661
1994-03-01,5.7229,6.0255,5.4993,5.4993,5.4993,2686756
1994-04-01,5.531,5.7163,5.4781,5.5575,5.5575,2609087
1994-05-01,5.4781,5.6104,5.3987,5.4648,5.4648,2629140
1994-06-01,5.531,5.7427,5.2928,5.6369,5.6369,4019560
1994-07-01,5.6703,5.7635,5.5106,5.6703,5.6703,1649321
1994-08-01,5.6703,6.0164,5.6171,5.9099,5.9099,1791535
1994-09-01,5.9099,5.9099,5.5106,5.5638,5.5638,3082400
1994-10-01,5.6508,5.7579,5.1955,5.3562,5.3562,3541499
1994-11-01,5.3294,5.4633,4.9813,5.1152,5.1152,2817664
1994-12-01,5.1152,5.5972,4.9277,5.5169,5.5169,3851814
1995-01-01,5.5551,5.7708,5.4742,5.5686,5.5686,2204321
1995-02-01,5.5551,6.0675,5.5012,6.0675,6.0675,2403056
1995-03-01,6.0675,6.1214,5.8612,5.8895,5.8895,1994697
1995-04-01,5.9288,6.3543,5.9005,6.2976,6.2976,3388139
1995-05-01,6.3543,6.4678,6.1274,6.2692,6.2692,2495610
1995-06-01,6.2125,6.6097,6.2125,6.3543,6.3543,4212599
1995-07-01,6.393,6.4215,5.9649,6.1647,6.1647,5211051
1995-08-01,6.2217,6.2503,5.8507,5.9363,5.9363,5345797
1995-09-01,5.9934,6.2217,5.9078,6.2075,6.2075,5314540
1995-10-01,6.2476,7.1524,6.2188,7.0662,7.0662,5630227
1995-11-01,7.1236,7.3822,7.0375,7.1236,7.1236,4019853
1995-12-01,7.1236,7.6694,7.0375,7.4971,7.4971,2954722
1996-01-01,7.4789,7.7388,6.9591,7.2479,7.2479,3302008
1996-02-01,7.2479,7.681,7.1613,7.5366,7.5366,4283442
1996-03-01,7.5366,7.8832,7.3345,7.6861,7.6861,2696541
1996-04-01,7.7152,7.7456,7.1685,7.1685,7.1685,2050652
1996-05-01,7.2292,7.29,6.9559,7.2292,7.2292,5091897
1996-06-01,7.3204,7.4419,6.9559,6.9711,6.9711,2148556
1996-07-01,7.0909,7.2132,6.7241,6.8158,6.8158,2738283
1996-08-01,6.8464,7.152,6.5713,6.6324,6.6324,3749717
1996-09-01,6.6324,7.152,6.5102,6.9992,6.9992,3526127
1996-10-01,7.1372,7.1372,6.645,7.0757,7.0757,6785340
1996-11-01,7.0142,7.5064,7.0142,7.4141,7.4141,5928366
1996-12-01,7.4141,8.0602,7.2295,7.9832,7.9832,7176947
1997-01-01,8.0161,8.2637,7.6756,7.7375,7.7375,5104136
1997-02-01,7.753,8.7279,7.7221,8.5577,8.5577,6798568
1997-03-01,8.5422,9.1303,8.5268,8.697,8.697,5151436
1997-04-01,8.7771,8.9327,8.2791,8.6837,8.6837,5552304
1997-05-01,8.637,10.0843,8.637,9.7419,9.7419,4944382
1997-06-01,9.7419,10.4267,9.633,9.8353,9.8353,3140141
1997-07-01,9.9649,10.4811,9.8867,10.3403,10.3403,5243050
1997-08-01,10.356,10.4185,9.6676,10.1682,10.1682,2542809
1997-09-01,10.1995,10.4498,10.0196,10.2621,10.2621,3634284
1997-10-01,10.2675,11.5411,10.2675,11.3995,11.3995,3743431
1997-11-01,11.7455,12.9876,11.5725,12.7675,12.7675,1981525
1997-12-01,12.7989,17.799,12.7046,17.7047,17.7047,34793580
1998-01-01,17.6748,17.7695,15.5917,16.0967,16.0967,10807259
1998-02-01,16.4124,17.2961,15.9863,17.0436,17.0436,4238562
1998-03-01,17.1698,17.1856,15.5917,15.8126,15.8126,4984738
1998-04-01,15.8687,17.2307,15.7103,16.1379,16.1379,4054997
1998-05-01,15.9637,17.009,15.5361,15.9637,15.9637,3542887
1998-06-01,16.2013,16.2488,13.6832,14.5859,14.5859,5772804
1998-07-01,14.7401,14.9786,13.2613,13.6429,13.6429,4393026
1998-08-01,13.5952,14.0961,12.3072,12.832,12.832,4447485
1998-09-01,13.1659,15.2648,11.6394,11.7348,11.7348,5135007
1998-10-01,11.783,14.9443,11.7111,14.2976,14.2976,6705847
1998-11-01,14.2258,15.3275,13.7229,14.9682,14.9682,4446164
1998-12-01,14.5132,15.088,12.8607,14.0342,14.0342,5902343
1999-01-01,14.1689,14.626,12.485,12.6775,12.6775,6542345
1999-02-01,12.6534,13.9524,11.8836,13.4954,13.4954,6482700
1999-03-01,13.5675,15.2514,13.327,14.0246,14.0246,7629413
1999-04-01,14.3067,15.7567,13.7751,15.6117,15.6117,5781843
1999-05-01,15.6117,16.1917,15.0801,15.9259,15.9259,4819913
1999-06-01,15.8534,15.9501,13.9926,14.5242,14.5242,4103838
1999-07-01,14.7348,15.5359,13.7881,14.6134,14.6134,5473694
1999-08-01,14.6134,16.5069,14.1522,15.3902,15.3902,6324163
1999-09-01,15.3902,15.6815,14.395,14.577,14.577,5133794
1999-10-01,14.6032,14.6519,11.9702,13.9693,13.9693,8536769
1999-11-01,13.884,14.4813,12.3847,13.0673,13.0673,6861853
1999-12-01,12.8479,13.1404,11.7508,12.1652,12.1652,7548708
2000-01-01,12.1074,12.426,10.7349,11.2741,11.2741,7782659
2000-02-01,11.2741,12.3525,10.882,11.7153,11.7153,8851203
2000-03-01,11.7153,14.8953,10.2692,14.7544,14.7544,10391726
2000-04-01,14.7794,16.7392,14.7177,15.9011,15.9011,11010779
2000-05-01,15.8271,17.0844,14.7917,15.8333,15.8333,10933165
2000-06-01,15.8517,16.0736,12.2278,12.4004,12.4004,8659478
2000-07-01,12.4724,15.2,12.4724,14.9768,14.9768,6465614
2000-08-01,14.9768,15.8943,14.7289,15.4232,15.4232,6991947
2000-09-01,15.4108,16.1175,13.4395,14.0842,14.0842,6628345
2000-10-01,14.1165,15.2004,12.9827,14.6522,14.6522,8001945
2000-11-01,14.565,15.4496,13.7053,14.5775,14.5775,5344371
2000-12-01,14.4902,16.0975,14.403,15.7736,15.7736,8246260
2001-01-01,15.8513,16.5274,14.1985,14.2486,14.2486,12053968
2001-02-01,14.2361,15.2002,13.9231,14.7495,14.7495,5756486
2001-03-01,14.7682,15.3755,13.9481,15.2002,15.2002,7398106
2001-04-01,15.2644,15.7702,14.4845,15.4679,15.4679,6766927
2001-05-01,15.4155,17.0477,15.0487,16.9349,16.9349,7786851
2001-06-01,16.9389,17.2976,13.7027,15.9193,15.9193,8016721
2001-07-01,16.0742,16.5117,15.4301,15.9607,15.9607,7201422
2001-08-01,15.8554,17.095,15.1789,16.2038,16.2038,6701106
2001-09-01,16.2159,16.9856,13.919,16.86,16.86,6876624
2001-10-01,16.9918,17.4846,15.0898,15.1509,15.1509,11878450
2001-11-01,15.1183,16.837,15.102,15.717,15.717,7563263
2001-12-01,15.6967,15.9899,14.7966,15.5378,15.5378,8348353
2002-01-01,15.5799,15.9608,14.9696,15.7683,15.7683,8117159
2002-02-01,15.629,16.7307,15.2358,16.4686,16.4686,5846671
2002-03-01,16.5096,17.9594,16.3662,17.8816,17.8816,8085847
2002-04-01,18.0455,19.4495,17.642,19.293,19.293,9104890
2002-05-01,19.3383,19.4742,18.1279,18.6837,18.6837,10476176
2002-06-01,18.6837,19.2683,17.5762,19.1571,19.1571,8608873
2002-07-01,19.3252,19.379,14.1578,16.5863,16.5863,16306196
2002-08-01,16.4953,17.0538,15.3286,16.4374,16.4374,8801151
2002-09-01,16.3381,16.396,14.3853,14.7204,14.7204,11687827
2002-10-01,14.8697,16.7513,13.5001,15.8147,15.8147,15882396
2002-11-01,15.4442,16.3725,15.1403,16.027,16.027,9585471
2002-12-01,16.1269,16.2976,15.4192,15.6315,15.6315,7288079
2003-01-01,15.8281,16.519,14.71,14.9864,14.9864,8619126
2003-02-01,14.9864,15.133,14.3332,14.8398,14.8398,8558711
2003-03-01,14.9487,15.5098,13.8475,14.6849,14.6849,9236417
2003-04-01,14.9366,16.1002,14.7975,15.5395,15.5395,8476244
2003-05-01,15.5522,16.037,14.924,15.6365,15.6365,11824315
2003-06-01,15.725,16.5935,15.5395,15.6154,15.6154,9701340
2003-07-01,15.7244,16.917,15.5334,16.6793,16.6793,10529651
2003-08-01,16.6666,17.1249,16.1276,17.1249,17.1249,7209249
2003-09-01,17.091,17.7064,16.9382,16.9764,16.9764,7328761
2003-10-01,17.0584,17.7331,17.0371,17.511,17.511,7113223
2003-11-01,17.4342,17.6989,16.9346,17.3786,17.3786,5554177
2003-12-01,17.3658,17.8953,17.3018,17.827,17.827,6410050
2004-01-01,17.9047,18.9013,17.531,18.6092,18.6092,7547057
2004-02-01,18.6865,19.3996,18.4932,19.3309,19.3309,10033965
2004-03-01,19.3137,19.7046,18.0593,18.665,18.665,8832131
2004-04-01,18.7758,19.4718,18.3046,18.5343,18.5343,8704664
2004-05-01,18.6342,19.4785,18.0668,19.4059,19.4059,10021515
2004-06-01,19.4241,19.9143,19.0564,19.7554,19.7554,6860385
2004-07-01,19.9478,20.0072,18.1613,18.2207,18.2207,8505420
2004-08-01,18.2253,18.5177,17.9695,18.4355,18.4355,7521885
2004-09-01,18.3487,18.8832,18.2893,18.833,18.833,8802780
2004-10-01,18.9416,19.3188,17.6629,19.2038,19.2038,9911370
2004-11-01,19.2452,20.7539,18.7761,20.6068,20.6068,7641165
