Date,Open,High,Low,Close,Adj Close,Volume
,CI,CI,CI,CI,,CI
1985-01-01,2.1754,2.3598,2.1386,2.2615,2.2615,42825600
1985-02-01,2.2492,2.4397,2.2369,2.4397,2.4397,72147600
1985-03-01,2.4274,2.5012,2.3414,2.4458,2.4458,52878600
1985-04-01,2.4723,2.7526,2.3851,2.5595,2.5595,28920600
1985-05-01,2.5533,2.8522,2.5221,2.7526,2.7526,45860400
1985-06-01,2.7775,2.9768,2.7214,2.9581,2.9581,25702200
1985-07-01,2.9927,3.0431,2.6714,2.7596,2.7596,43011000
1985-08-01,2.7659,2.8604,2.6903,2.8037,2.8037,25279200
1985-09-01,2.8037,2.81,2.6399,2.7218,2.7218,27451800
1985-10-01,2.7545,3.0096,2.6971,2.9713,2.9713,26811000
1985-11-01,3.0096,3.22,2.9713,3.1945,3.1945,34942500
1985-12-01,3.1945,3.2774,3.1116,3.2774,3.2774,29510100
1986-01-01,3.3124,3.6861,3.2221,3.3897,3.3897,66080700
1986-02-01,3.4026,3.7119,3.4026,3.5186,3.5186,53751600
1986-03-01,3.5121,3.9826,3.467,3.7441,3.7441,47965500
1986-04-01,3.8123,3.8253,3.2528,3.2528,3.2528,41950800
1986-05-01,3.2528,3.5,3.1617,3.448,3.448,60821100
1986-06-01,3.461,3.461,3.0706,3.2983,3.2983,61949700
1986-07-01,3.3392,3.3787,3.188,3.2209,3.2209,45727200
1986-08-01,3.2209,3.3195,3.0631,3.2998,3.2998,78220800
1986-09-01,3.2866,3.2998,2.8199,2.8462,2.8462,57966300
1986-10-01,2.8768,3.0429,2.8569,2.9034,2.9034,44210700
1986-11-01,2.8967,2.9499,2.7174,2.91,2.91,52686900
1986-12-01,2.8968,3.0761,2.8635,2.9233,2.9233,41093100
1987-01-01,2.9569,3.2929,2.9569,3.1854,3.1854,52068600
1987-02-01,3.1921,3.6088,3.0107,3.5416,3.5416,60492600
1987-03-01,3.5483,3.5819,3.3265,3.3332,3.3332,59838300
1987-04-01,3.3014,3.5052,3.1655,3.2538,3.2538,41833800
1987-05-01,3.247,3.3285,3.1112,3.2199,3.2199,38844900
1987-06-01,3.247,3.4916,3.2199,3.444,3.444,58032000
1987-07-01,3.4776,3.6151,3.4089,3.4364,3.4364,44416800
1987-08-01,3.3952,3.8213,3.3196,3.6151,3.6151,44805600
1987-09-01,3.6288,3.6426,3.4227,3.5807,3.5807,41357700
1987-10-01,3.6413,3.7664,2.6546,2.9464,2.9464,60786900
1987-11-01,2.9464,3.0576,2.6059,2.6615,2.6615,36747900
1987-12-01,2.6476,2.6963,2.2932,2.4391,2.4391,133870500
1988-01-01,2.5136,2.9161,2.4783,2.9091,2.9091,31823100
1988-02-01,2.9232,2.9302,2.6125,2.7043,2.7043,41755500
1988-03-01,2.7113,2.8173,2.6196,2.6407,2.6407,105082200
1988-04-01,2.6884,2.7027,2.4948,2.5522,2.5522,36204300
1988-05-01,2.5522,2.6669,2.4518,2.6669,2.6669,31308300
1988-06-01,2.6669,2.7386,2.5594,2.6884,2.6884,76551300
1988-07-01,2.7464,2.7831,2.6289,2.7023,2.7023,16755300
1988-08-01,2.7023,2.952,2.7023,2.9006,2.9006,29157300
1988-09-01,2.8859,3.2531,2.8639,3.1429,3.1429,35758800
1988-10-01,3.1897,3.2344,2.981,3.0257,3.0257,20627100
1988-11-01,3.0183,3.0257,2.7425,2.8692,2.8692,17154000
1988-12-01,2.8469,2.9363,2.7276,2.8096,2.8096,27097200
1989-01-01,2.8526,3.1628,2.7769,3.1552,3.1552,27765900
1989-02-01,3.1401,3.3368,3.0871,3.2158,3.2158,19825200
1989-03-01,3.2309,3.2914,3.1477,3.2233,3.2233,36151200
1989-04-01,3.2988,3.4446,3.2681,3.3065,3.3065,19606500
1989-05-01,3.3065,3.4062,3.176,3.3755,3.3755,23476500
1989-06-01,3.3678,3.5596,3.3678,3.4292,3.4292,26942400
1989-07-01,3.4826,3.7236,3.436,3.6769,3.6769,22308300
1989-08-01,3.6769,3.9723,3.6303,3.8713,3.8713,37000800
1989-09-01,3.8557,3.9257,3.7469,3.8868,3.8868,22414500
1989-10-01,3.9253,4.1376,3.8073,4.0196,4.0196,30786300
1989-11-01,4.0118,4.2006,3.9803,4.0511,4.0511,21186000
1989-12-01,4.059,4.0904,3.6499,3.7443,3.7443,23723100
1990-01-01,3.7727,3.8603,3.0962,3.1439,3.1439,41852700
1990-02-01,3.1519,3.2554,2.8813,3.2395,3.2395,42697800
1990-03-01,3.2156,3.335,3.136,3.2235,3.2235,24925500
1990-04-01,3.2551,3.3439,2.932,2.9724,2.9724,28591200
1990-05-01,2.9643,3.3762,2.9401,3.3601,3.3601,27956700
1990-06-01,3.3924,3.5862,3.2308,3.2389,3.2389,26221500
1990-07-01,3.2759,3.3087,3.0548,3.0794,3.0794,21636000
1990-08-01,3.0875,3.1121,2.7108,2.7681,2.7681,44241300
1990-09-01,2.76,2.8173,2.3914,2.4733,2.4733,44678700
1990-10-01,2.5517,2.6684,2.2181,2.2598,2.2598,50097600
1990-11-01,2.2432,2.6768,2.2432,2.6518,2.6518,39564000
1990-12-01,2.6601,2.7935,2.6017,2.7268,2.7268,25363800
1991-01-01,2.7786,3.0591,2.4472,3.0081,3.0081,26274600
1991-02-01,3.0081,3.4244,3.0081,3.314,3.314,28419300
1991-03-01,3.297,3.6199,3.093,3.6199,3.6199,40167000
1991-04-01,3.6229,3.9162,3.3814,3.3986,3.3986,35381700
1991-05-01,3.4159,3.5884,3.2088,3.5884,3.5884,27324900
1991-06-01,3.5711,3.5711,3.1312,3.2175,3.2175,19535400
1991-07-01,3.3107,3.3194,2.9341,3.153,3.153,32449500
1991-08-01,3.153,3.2844,2.8903,2.9778,2.9778,32451300
1991-09-01,2.9779,3.2143,2.9253,3.1705,3.1705,27108900
1991-10-01,3.2281,3.7096,3.1478,3.7096,3.7096,26067600
1991-11-01,3.7096,4.1912,3.6115,3.7185,3.7185,36279900
1991-12-01,3.7007,4.4052,3.6829,4.3606,4.3606,33762600
1992-01-01,4.3606,4.4058,3.8177,3.9082,3.9082,33459300
1992-02-01,3.9263,4.053,3.7906,3.9715,3.9715,29172600
1992-03-01,3.9715,4.1253,3.6549,3.682,3.682,22971600
1992-04-01,3.7326,3.916,3.4666,3.7968,3.7968,23529600
1992-05-01,3.7968,3.9619,3.6409,3.7784,3.7784,21457800
1992-06-01,3.7876,4.237,3.7326,4.0903,4.0903,35146800
1992-07-01,4.1678,4.2608,3.898,4.0748,4.0748,31214700
1992-08-01,4.0655,4.1492,3.7492,3.7957,3.7957,18386100
1992-09-01,3.7957,3.9073,3.5073,3.7213,3.7213,37450800
1992-10-01,3.7669,3.984,3.7574,3.8802,3.8802,31448700
1992-11-01,3.8802,4.3239,3.8046,4.2861,4.2861,21539700
1992-12-01,4.2956,4.5221,4.1917,4.4277,4.4277,35294400
1993-01-01,4.4953,4.7631,4.3805,4.744,4.744,35502300
1993-02-01,4.744,5.2031,4.3901,4.7153,4.7153,51692400
1993-03-01,4.7153,4.9257,4.5718,4.744,4.744,33012000
1993-04-01,4.814,4.9206,4.6203,4.7172,4.7172,27936900
1993-05-01,4.7753,4.8431,4.5428,4.5719,4.5719,23036400
1993-06-01,4.5816,4.7366,4.4072,4.7172,4.7172,19749600
1993-07-01,4.8076,4.8076,4.4348,4.6212,4.6212,20979900
1993-08-01,4.6212,5.1412,4.5427,5.0824,5.0824,42642900
1993-09-01,5.0824,5.1707,4.8959,5.102,5.102,28971900
1993-10-01,5.1635,5.3721,5.0444,5.3324,5.3324,22461300
1993-11-01,5.3423,5.4317,5.0146,5.0245,5.0245,35878500
1993-12-01,5.0742,5.1437,4.8954,4.9848,4.9848,27564300
1994-01-01,5.0652,5.6682,5.0451,5.5576,5.5576,41389200
1994-02-01,5.5576,5.6179,5.2662,5.2662,5.2662,30436200
1994-03-01,5.2561,5.2561,4.6632,4.7737,4.7737,29702700
1994-04-01,4.7999,5.1762,4.7389,4.7592,4.7592,32038200
1994-05-01,4.7592,5.6846,4.6372,5.6033,5.6033,44542800
1994-06-01,5.6033,6.0202,5.5728,5.9389,5.9389,59669100
1994-07-01,6.0229,6.0846,5.6221,5.6221,5.6221,53244900
1994-08-01,5.7557,5.7659,5.2623,5.509,5.509,39917700
1994-09-01,5.509,5.5604,4.882,5.067,5.067,39151800
1994-10-01,5.1664,5.6238,4.9066,5.4783,5.4783,31966200
1994-11-01,5.5615,5.7694,5.0625,5.2704,5.2704,39537900
1994-12-01,5.2704,5.5615,5.0833,5.2912,5.2912,40149900
1995-01-01,5.3436,5.7644,5.2384,5.6908,5.6908,41349600
1995-02-01,5.6907,6.3955,5.6802,6.3745,6.3745,51142500
1995-03-01,6.3745,6.4271,6.1431,6.2903,6.2903,38445300
1995-04-01,6.333,6.3437,5.8017,6.1737,6.1737,47489400
1995-05-01,6.1843,6.4393,6.0249,6.3543,6.3543,39246300
1995-06-01,6.3437,6.7156,6.2374,6.5987,6.5987,45187200
1995-07-01,6.6876,7.0526,6.6554,6.9238,6.9238,35704800
1995-08-01,6.9345,8.3085,6.913,8.3085,8.3085,77618700
1995-09-01,8.2978,9.1029,8.2656,8.9418,8.9418,78888600
1995-10-01,9.0652,9.3465,8.2431,8.5784,8.5784,77405400
1995-11-01,8.9787,9.9522,8.7839,9.5195,9.5195,60116400
1995-12-01,9.5087,9.8116,8.9137,8.9354,8.9354,58594500
1996-01-01,8.997,10.4022,8.997,10.3368,10.3368,63076500
1996-02-01,10.3259,10.8487,9.8467,10.3259,10.3259,61869600
1996-03-01,10.3477,10.9359,9.7595,9.9556,9.9556,41234400
1996-04-01,10.1345,10.1894,8.8403,9.9481,9.9481,73350000
1996-05-01,9.8713,10.1839,9.1035,10.0797,10.0797,75177000
1996-06-01,10.0687,10.3429,9.63,10.3429,10.3429,33777000
1996-07-01,10.429,10.5395,9.3242,9.4126,9.4126,43986600
1996-08-01,9.4789,10.6941,9.4457,10.2633,10.2633,40142700
1996-09-01,10.1086,10.8157,10.0313,10.5947,10.5947,27113400
1996-10-01,10.6669,11.6791,10.6336,11.6124,11.6124,25850700
1996-11-01,11.6235,12.7581,11.6124,12.5801,12.5801,27137700
1996-12-01,12.5912,12.5912,11.6346,12.1574,12.1574,40073400
1997-01-01,12.24,14.1867,12.005,13.5714,13.5714,50563800
1997-02-01,13.5937,14.4664,13.4259,13.6832,13.6832,29583900
1997-03-01,13.6161,14.321,13.0679,13.0679,13.0679,46076400
1997-04-01,13.0468,13.7666,12.5069,13.5304,13.5304,36340200
1997-05-01,13.8116,15.7236,13.8116,15.6337,15.6337,42912900
1997-06-01,15.6562,16.8484,15.5887,15.9711,15.9711,31399200
1997-07-01,15.8875,18.1475,15.848,18.0345,18.0345,38437200
1997-08-01,18.0345,18.0514,16.1474,16.5768,16.5768,35343900
1997-09-01,16.6333,17.9667,16.6333,16.8367,16.8367,33585300
1997-10-01,16.9093,16.9093,13.7544,14.0948,14.0948,129118500
1997-11-01,14.3445,15.4794,13.8906,15.1843,15.1843,39092400
1997-12-01,15.207,16.1489,14.1573,15.6496,15.6496,66760200
1998-01-01,15.7806,16.1626,15.3359,15.4671,15.4671,34389900
1998-02-01,15.5526,17.5024,15.3245,17.4226,17.4226,41940900
1998-03-01,17.6734,18.9732,17.2173,18.6996,18.6996,48252600
1998-04-01,18.7827,19.6874,18.4849,18.9602,18.9602,33661800
1998-05-01,19.1033,19.7218,18.6051,18.8285,18.8285,27421200
1998-06-01,18.7597,19.6702,18.3646,18.9659,18.9659,30121500
1998-07-01,19.2505,20.5614,17.56,18.2328,18.2328,29509200
1998-08-01,18.2845,18.7502,16.0421,16.0593,16.0593,39785700
1998-09-01,16.0938,19.354,15.7833,18.25,18.25,38762100
1998-10-01,18.162,20.3109,17.1915,20.2242,20.2242,42195000
1998-11-01,20.1723,22.8411,20.1029,21.576,21.576,32262900
1998-12-01,21.524,22.6678,19.8603,21.4374,21.4374,34315800
1999-01-01,21.9868,24.0568,21.4302,22.9261,22.9261,44775900
1999-02-01,22.9609,22.9609,20.4735,21.8477,21.8477,41562000
1999-03-01,21.9173,24.0742,20.9779,23.3262,23.3262,49401000
1999-04-01,23.5754,25.4265,22.7022,24.3612,24.3612,37870800
1999-05-01,24.4485,27.557,24.4136,26.0552,26.0552,38912700
1999-06-01,25.9853,27.2776,24.3263,24.8677,24.8677,42519000
1999-07-01,25.0503,26.2766,24.2445,24.7175,24.7175,34133400
