Date,Open,High,Low,Close,Adj Close,Volume
,CLX,CLX,CLX,CLX,,CLX
1985-01-01,1.1585,1.2442,1.1082,1.2341,1.2341,21640800
1985-02-01,1.2471,1.3641,1.2012,1.3438,1.3438,17477600
1985-03-01,1.3539,1.4099,1.2827,1.3998,1.3998,14984000
1985-04-01,1.415,1.4761,1.3692,1.3998,1.3998,9615200
1985-05-01,1.4133,1.5264,1.3825,1.5161,1.5161,7731200
1985-06-01,1.5161,1.6035,1.4545,1.547,1.547,6972000
1985-07-01,1.5521,1.6755,1.4802,1.4956,1.4956,11608000
1985-08-01,1.5041,1.67,1.4989,1.6389,1.6389,14150400
1985-09-01,1.6285,1.7323,1.6026,1.67,1.67,15259200
1985-10-01,1.6804,1.9034,1.67,1.8619,1.8619,17284000
1985-11-01,1.882,2.0284,1.8454,2.0179,2.0179,11951200
1985-12-01,2.0127,2.112,1.9395,1.9918,1.9918,13409600
1986-01-01,1.9918,2.0022,1.8402,1.8506,1.8506,12875200
1986-02-01,1.8647,2.1175,1.8647,2.107,2.107,17804000
1986-03-01,2.107,2.4546,2.0807,2.4125,2.4125,12192800
1986-04-01,2.4072,2.423,2.1281,2.1702,2.1702,13460800
1986-05-01,2.1756,2.3348,2.0907,2.3242,2.3242,11888000
1986-06-01,2.3189,2.3879,2.1332,2.372,2.372,11324000
1986-07-01,2.372,2.563,2.165,2.3614,2.3614,16972000
1986-08-01,2.3821,2.5584,2.286,2.5317,2.5317,12302400
1986-09-01,2.5317,2.5317,1.9228,1.9281,1.9281,13556000
1986-10-01,1.9335,2.2005,1.9335,2.0777,2.0777,12632800
1986-11-01,2.104,2.2116,2.0448,2.1578,2.1578,11619200
1986-12-01,2.1578,2.2977,2.1524,2.1793,2.1793,16291200
1987-01-01,2.1901,2.6798,2.1901,2.5668,2.5668,18164800
1987-02-01,2.5668,2.6806,2.4531,2.6589,2.6589,11398400
1987-03-01,2.6589,2.8214,2.5506,2.7239,2.7239,11469600
1987-04-01,2.7185,2.8051,2.5181,2.5506,2.5506,9481600
1987-05-01,2.5398,2.5885,2.1553,2.334,2.334,18008800
1987-06-01,2.3448,2.9242,2.3448,2.8484,2.8484,11598000
1987-07-01,2.8159,3.0001,2.5777,3.0001,3.0001,12295600
1987-08-01,2.9989,3.1406,2.8135,2.9225,2.9225,16576800
1987-09-01,2.9225,2.9334,2.5954,2.8244,2.8244,10257200
1987-10-01,2.8244,2.9443,2.0501,2.3227,2.3227,14357600
1987-11-01,2.3525,2.5393,2.0667,2.2865,2.2865,8704000
1987-12-01,2.3085,2.5284,2.2206,2.4404,2.4404,9686000
1988-01-01,2.4404,2.6383,2.2975,2.6383,2.6383,15020800
1988-02-01,2.6481,2.6813,2.4265,2.6813,2.6813,10006800
1988-03-01,2.7035,2.9916,2.6924,2.7811,2.7811,10239200
1988-04-01,2.77,2.8254,2.4487,2.4597,2.4597,11145600
1988-05-01,2.4705,2.5711,2.4258,2.5711,2.5711,13252400
1988-06-01,2.56,2.7612,2.4929,2.5823,2.5823,16456800
1988-07-01,2.5935,2.627,2.4593,2.6159,2.6159,7028800
1988-08-01,2.6629,2.866,2.5614,2.7871,2.7871,13719600
1988-09-01,2.7983,2.9563,2.7645,2.9337,2.9337,7304400
1988-10-01,2.9337,3.0014,2.8209,2.9225,2.9225,9170000
1988-11-01,2.9344,2.9458,2.7979,2.8661,2.8661,8902400
1988-12-01,2.8548,2.8889,2.7979,2.8206,2.8206,7126800
1989-01-01,2.8206,3.1619,2.741,3.1505,3.1505,7712800
