Date,Open,High,Low,Close,Adj Close,Volume
,CMCSA,CMCSA,CMCSA,CMCSA,,CMCSA
1985-01-01,0.0,0.3424,0.285,0.337,0.337,26936551
1985-02-01,0.0,0.3872,0.3316,0.3406,0.3406,32249143
1985-03-01,0.0,0.3747,0.3406,0.3639,0.3639,45813097
1985-04-01,0.0,0.3908,0.3603,0.3854,0.3854,66361783
1985-05-01,0.0,0.4177,0.38,0.4177,0.4177,27200814
1985-06-01,0.0,0.4491,0.4159,0.441,0.441,45188887
1985-07-01,0.0,0.4491,0.3872,0.4275,0.4275,106488681
1985-08-01,0.0,0.4275,0.3657,0.4195,0.4195,90888079
1985-09-01,0.0,0.441,0.4007,0.4033,0.4033,31836043
1985-10-01,0.0,0.4329,0.4007,0.4168,0.4168,56725317
1985-11-01,0.0,0.4437,0.4168,0.4437,0.4437,68923918
1985-12-01,0.0,0.5378,0.4356,0.4813,0.4813,104177144
1986-01-01,0.0,0.519,0.4652,0.4975,0.4975,72040395
1986-02-01,0.0,0.5781,0.484,0.5378,0.5378,62460118
1986-03-01,0.0,0.5754,0.5297,0.5539,0.5539,59729405
1986-04-01,0.0,0.5701,0.5378,0.5566,0.5566,49189280
1986-05-01,0.0,0.5674,0.527,0.5674,0.5674,49240918
1986-06-01,0.0,0.64,0.5647,0.5996,0.5996,58635906
1986-07-01,0.0,0.6507,0.527,0.5405,0.5405,64507392
1986-08-01,0.0,0.5969,0.5297,0.5727,0.5727,51506892
1986-09-01,0.0,0.6077,0.5055,0.5459,0.5459,70470008
1986-10-01,0.0,0.5781,0.5378,0.5727,0.5727,43156805
1986-11-01,0.0,0.5889,0.5378,0.5701,0.5701,36340655
1986-12-01,0.0,0.5996,0.5526,0.5526,0.5526,42219229
1987-01-01,0.0,0.6615,0.5526,0.6252,0.6252,41087250
1987-02-01,0.0,0.7422,0.6252,0.7099,0.7099,70172325
1987-03-01,0.0,0.7634,0.6987,0.7068,0.7068,37737900
1987-04-01,0.0,0.7593,0.6381,0.6543,0.6543,56665575
1987-05-01,0.0,0.7795,0.6341,0.7674,0.7674,59597775
1987-06-01,0.0,0.8169,0.7239,0.7603,0.7603,84746250
1987-07-01,0.0,0.8776,0.7482,0.8574,0.8574,55622700
1987-08-01,0.0,0.8533,0.7765,0.8291,0.8291,42036975
1987-09-01,0.0,0.8543,0.7328,0.7976,0.7976,44209800
1987-10-01,0.0,0.8462,0.5183,0.6073,0.6073,134895375
1987-11-01,0.0,0.7248,0.5871,0.6681,0.6681,74989800
1987-12-01,0.0,0.8271,0.5514,0.7987,0.7987,74866275
1988-01-01,0.0,0.8068,0.6893,0.7947,0.7947,80303400
1988-02-01,0.0,0.9041,0.7176,0.8433,0.8433,91355850
1988-03-01,0.0,0.8933,0.7959,0.8121,0.8121,89539425
1988-04-01,0.0,0.9015,0.7248,0.7614,0.7614,58361175
1988-05-01,0.0,0.7675,0.6517,0.7066,0.7066,49713750
1988-06-01,0.0,0.824,0.702,0.8118,0.8118,60504300
1988-07-01,0.0,0.8729,0.7508,0.8057,0.8057,59094900
1988-08-01,0.7996,0.8301,0.6714,0.6897,0.6897,68839200
1988-09-01,0.6912,0.783,0.679,0.7769,0.7769,39209400
1988-10-01,0.7646,0.8197,0.7402,0.7646,0.7646,32899500
1988-11-01,0.7524,0.7769,0.679,0.7218,0.7218,31079700
1988-12-01,0.7356,0.8214,0.7049,0.8214,0.8214,47231100
1989-01-01,0.8092,0.9747,0.803,0.9563,0.9563,69990750
1989-02-01,0.9563,0.9931,0.895,0.9134,0.9134,47996550
1989-03-01,0.9072,1.036,0.9011,1.036,1.036,63487800
1989-04-01,1.036,1.134,1.0053,1.1157,1.1157,70065000
1989-05-01,1.1095,1.2076,1.085,1.2015,1.2015,109035450
1989-06-01,1.203,1.3073,1.1355,1.1662,1.1662,59679450
1989-07-01,1.1539,1.2889,1.1232,1.2705,1.2705,40934700
1989-08-01,1.2705,1.4178,1.2091,1.3994,1.3994,48155850
1989-09-01,1.3871,1.424,1.2582,1.338,1.338,40236750
1989-10-01,1.3258,1.4669,1.2889,1.3166,1.3166,66128400
1989-11-01,1.3073,1.335,1.1508,1.2521,1.2521,33540300
1989-12-01,1.2521,1.2705,1.114,1.2337,1.2337,44154000
1990-01-01,1.2337,1.2981,0.9943,1.0864,1.0864,59172300
1990-02-01,1.0864,1.1324,0.9207,1.0035,1.0035,53667900
1990-03-01,0.9943,1.1232,0.9483,0.9851,0.9851,28361700
1990-04-01,0.9596,1.0057,0.8396,0.8673,0.8673,35643600
1990-05-01,0.895,1.1072,0.8304,1.0519,1.0519,71458200
1990-06-01,1.0519,1.1626,0.9504,0.9965,0.9965,41731200
1990-07-01,0.9986,1.0726,0.9061,0.9339,0.9339,25027200
1990-08-01,0.9246,0.9801,0.6935,0.7952,0.7952,46836000
1990-09-01,0.7788,0.8623,0.6212,0.6954,0.6954,21339000
1990-10-01,0.7047,0.7788,0.5656,0.7325,0.7325,44154900
1990-11-01,0.7139,0.8252,0.6861,0.8252,0.8252,46647900
1990-12-01,0.8182,0.9856,0.8182,0.9763,0.9763,35867700
1991-01-01,0.967,1.1344,0.8089,1.1158,1.1158,39694500
1991-02-01,1.1251,1.1902,1.0135,1.0507,1.0507,36614700
1991-03-01,1.0693,1.2087,1.0414,1.1809,1.1809,27141300
1991-04-01,1.1834,1.3138,1.1554,1.2486,1.2486,33372000
1991-05-01,1.2206,1.2952,1.1927,1.2206,1.2206,23809500
1991-06-01,1.2419,1.2419,1.0085,1.0738,1.0738,32310900
1991-07-01,1.1019,1.1392,1.0178,1.0552,1.0552,38003400
1991-08-01,1.0552,1.0552,0.9338,1.0272,1.0272,31310100
1991-09-01,1.0298,1.3669,1.0205,1.1983,1.1983,62618400
1991-10-01,1.1983,1.3294,1.1515,1.2358,1.2358,44131500
1991-11-01,1.2358,1.3575,1.1422,1.1609,1.1609,41366700
1991-12-01,1.1354,1.3043,1.0791,1.2573,1.2573,43793100
