Date,Open,High,Low,Close,Adj Close,Volume
,CME,CME,CME,CME,,CME
2002-12-01,3.8784,4.5249,3.8685,4.3419,4.3419,46956500
2003-01-01,4.3419,4.9724,4.1778,4.2265,4.2265,16865000
2003-02-01,4.2215,4.5746,4.1121,4.2812,4.2812,10171000
2003-03-01,4.2822,4.864,4.1668,4.7884,4.7884,9105500
2003-04-01,4.8053,5.6624,4.6048,5.6414,5.6414,15779000
2003-05-01,5.6414,6.1663,5.4828,6.1343,6.1343,12905000
2003-06-01,6.1413,6.9884,6.0645,6.9475,6.9475,29255000
2003-07-01,7.02,7.93,7.0,7.365,7.365,23661500
2003-08-01,7.355,7.86,6.555,7.039,7.039,38103000
2003-09-01,7.025,7.415,6.559,6.881,6.881,20816500
2003-10-01,6.8947,7.52,6.3977,6.8086,6.8086,24130500
2003-11-01,6.8086,6.9789,6.5631,6.8607,6.8607,23959000
2003-12-01,6.8767,7.3146,6.7585,7.2504,7.2504,18090500
2004-01-01,7.2861,8.8238,7.2861,8.7856,8.7856,27022500
2004-02-01,8.8157,9.5534,8.2519,9.3715,9.3715,22472500
2004-03-01,9.3966,10.0237,9.1464,9.7222,9.7222,22588000
2004-04-01,9.7594,12.2876,9.7251,11.8201,11.8201,35038000
2004-05-01,11.8322,13.251,11.2407,13.0192,13.0192,28780500
2004-06-01,12.7955,14.6013,11.7385,14.5479,14.5479,75057000
2004-07-01,14.5531,14.9833,11.7742,12.6729,12.6729,74627500
2004-08-01,12.476,14.1118,11.9004,13.4433,13.4433,57317500
2004-09-01,13.4302,16.4141,13.2424,16.2879,16.2879,65217500
2004-10-01,16.3881,18.1028,16.2677,17.777,17.777,69164000
2004-11-01,17.8175,21.4229,17.5717,19.7982,19.7982,82605500
2004-12-01,19.9287,23.2468,19.868,23.1355,23.1355,57758000
2005-01-01,23.1939,23.3205,18.5855,21.7253,21.7253,104555000
2005-02-01,19.7503,22.0494,18.8489,20.9272,20.9272,91337500
2005-03-01,20.9657,22.332,19.1223,19.652,19.652,92616000
2005-04-01,19.6052,20.2833,16.6295,19.8498,19.8498,88362500
2005-05-01,19.8996,21.9585,19.1625,21.9483,21.9483,66488000
2005-06-01,21.5432,31.2489,21.4214,30.0001,30.0001,144307000
2005-07-01,30.5041,32.04,28.9377,30.6211,30.6211,100588500
2005-08-01,30.6058,31.5223,26.8658,28.2359,28.2359,95806000
2005-09-01,28.3885,34.5829,28.3783,34.3082,34.3082,88416000
2005-10-01,34.5447,37.4888,29.0487,37.1984,37.1984,119132000
2005-11-01,36.9998,40.4329,36.0778,36.0778,36.0778,85354500
2005-12-01,36.4853,39.0423,35.0439,37.4368,37.4368,65780500
2006-01-01,37.6133,43.3968,36.1597,43.1724,43.1724,60752000
2006-02-01,42.8154,44.7524,39.7818,43.4121,43.4121,49044500
2006-03-01,43.4131,46.666,42.0412,45.646,45.646,59594500
2006-04-01,45.714,51.4857,44.6557,46.7866,46.7866,68336000
2006-05-01,46.8888,49.8717,42.6902,45.0807,45.0807,83333000
2006-06-01,44.7435,50.5091,43.862,50.173,50.173,78886000
2006-07-01,50.3472,52.0546,45.3856,47.181,47.181,50382000
2006-08-01,47.5698,50.5355,43.5586,45.0122,45.0122,110155000
2006-09-01,45.0378,49.3989,44.6542,48.9253,48.9253,52712000
2006-10-01,48.8666,54.8095,47.6066,51.3253,51.3253,91744000
2006-11-01,51.3253,57.1617,50.3009,54.87,54.87,81717500
2006-12-01,54.87,56.379,51.5353,52.2217,52.2217,50675000
2007-01-01,52.9195,61.1595,52.9195,57.7749,57.7749,73323000
2007-02-01,58.1544,60.2734,52.3082,55.2979,55.2979,60040000
2007-03-01,54.462,58.9739,53.181,54.6118,54.6118,109318500
2007-04-01,55.1717,58.0377,52.994,53.0813,53.0813,48595000
2007-05-01,53.1584,55.9226,51.0526,54.5451,54.5451,72611500
2007-06-01,54.7455,57.5498,54.0418,54.8903,54.8903,58353500
2007-07-01,55.4347,61.7303,53.768,56.8443,56.8443,118271000
2007-08-01,57.1036,62.7561,52.0488,57.0809,57.0809,110551000
2007-09-01,57.2764,60.9906,54.9985,60.4298,60.4298,58993500
2007-10-01,60.9012,71.4085,60.9012,68.6521,68.6521,77139000
2007-11-01,68.1998,69.2962,63.3114,67.8639,67.8639,63952000
2007-12-01,67.802,73.6219,67.462,70.6872,70.6872,50751000
2008-01-01,70.7735,70.8189,54.4407,63.6971,63.6971,113628500
2008-02-01,63.9653,64.4306,49.0232,52.9571,52.9571,136458000
2008-03-01,52.7869,53.541,41.1658,48.397,48.397,121200000
2008-04-01,49.1012,54.4893,47.2999,47.2999,47.2999,85649000
2008-05-01,48.0072,51.65,44.2031,44.4927,44.4927,74530000
2008-06-01,43.9488,46.6289,38.814,39.6215,39.6215,130232000
2008-07-01,39.4032,40.7513,29.2421,37.3438,37.3438,161978500
2008-08-01,37.5896,37.8488,32.353,34.7774,34.7774,134344000
2008-09-01,35.5935,43.7844,32.2285,38.5239,38.5239,155531000
2008-10-01,38.2861,46.3716,23.5357,29.7358,29.7358,176873000
2008-11-01,29.8633,33.9429,16.3871,22.3374,22.3374,150751000
2008-12-01,20.7629,25.1408,16.4429,21.9327,21.9327,162763000
2009-01-01,21.6804,23.2855,16.4389,18.4373,18.4373,152682000
2009-02-01,17.8638,20.7771,17.1217,19.3374,19.3374,137985000
2009-03-01,18.8179,28.0339,18.238,26.1214,26.1214,193750500
2009-04-01,25.6907,28.7207,22.9702,23.6156,23.6156,152402000
2009-05-01,23.4748,34.4264,23.3884,34.3155,34.3155,168535500
2009-06-01,34.8628,36.94,31.1415,33.1931,33.1931,116520500
2009-07-01,33.5023,33.5023,27.2994,29.8506,29.8506,140877500
2009-08-01,30.0305,31.3141,28.2737,31.1578,31.1578,89828000
2009-09-01,30.9619,33.7228,28.0007,32.9938,32.9938,112664000
2009-10-01,32.5659,35.4795,30.2769,32.5347,32.5347,110728000
2009-11-01,32.6648,35.4688,31.7864,35.2892,35.2892,56541500
2009-12-01,35.6838,36.9493,33.9991,36.1203,36.1203,58084500
2010-01-01,36.521,38.0909,30.6007,30.947,30.947,73835500
2010-02-01,31.0841,32.5515,28.6736,32.5515,32.5515,95722000
2010-03-01,32.5871,35.0666,32.0994,34.1074,34.1074,73085500
2010-04-01,34.491,37.6338,33.3268,35.6595,35.6595,74703500
2010-05-01,35.8057,36.2985,32.4961,34.2928,34.2928,81449500
2010-06-01,34.165,35.2187,30.4081,30.4915,30.4915,78877500
2010-07-01,30.5818,31.4972,28.7576,30.31,30.31,71909500
2010-08-01,30.6547,31.2048,25.4939,26.979,26.979,78811000
2010-09-01,27.466,29.8947,27.1975,28.3151,28.3151,56521500
2010-10-01,28.5017,31.9044,27.9142,31.6303,31.6303,70552000
2010-11-01,31.7679,32.7049,30.5514,31.4567,31.4567,48439500
2010-12-01,31.9863,35.8182,31.9099,35.1357,35.1357,51756500
2011-01-01,35.4019,35.449,33.0147,33.8192,33.8192,47761500
2011-02-01,33.9497,34.7848,31.8398,34.1173,34.1173,80453500
2011-03-01,34.1371,34.2061,30.6429,33.0509,33.0509,63632500
2011-04-01,33.412,34.4647,32.4728,32.5675,32.5675,36485000
2011-05-01,32.802,33.1554,31.1393,31.4652,31.4652,50333500
2011-06-01,31.3089,32.2768,28.7499,32.1072,32.1072,50261000
2011-07-01,32.1034,33.2046,30.6324,32.0082,32.0082,37911500
2011-08-01,32.587,32.6025,26.1763,29.5654,29.5654,79481500
2011-09-01,29.6141,30.2727,27.2577,27.2721,27.2721,57243000
2011-10-01,27.1968,31.2468,26.5202,30.6681,30.6681,71367000
2011-11-01,28.9675,31.1533,26.1796,27.7433,27.7433,92663000
2011-12-01,27.5207,28.9085,26.3877,27.1189,27.1189,50241000
2012-01-01,27.6986,27.9337,25.154,26.8131,26.8131,69682500
2012-02-01,27.0795,33.248,26.9575,32.4083,32.4083,102685000
2012-03-01,32.1374,34.101,29.9443,32.3904,32.3904,78562000
2012-04-01,33.0174,33.5948,30.2306,30.3356,30.3356,46804500
2012-05-01,30.3344,30.8811,28.4161,29.3941,29.3941,58953000
2012-06-01,28.876,32.4594,28.8132,30.5969,30.5969,47729500
2012-07-01,30.9547,31.4415,28.8672,29.9835,29.9835,46383500
2012-08-01,30.0813,31.6233,28.5047,31.5888,31.5888,43055500
2012-09-01,31.5888,34.5233,31.1285,32.964,32.964,49205600
2012-10-01,33.5766,33.6462,31.4186,32.4454,32.4454,34331600
2012-11-01,32.5904,33.3446,30.9951,32.0625,32.0625,27748400
2012-12-01,32.2308,32.3816,28.8836,29.3941,29.3941,51885300
2013-01-01,30.7637,34.9855,30.5838,34.6856,34.6856,40884900
2013-02-01,34.8775,36.0409,33.8161,35.7831,35.7831,43459200
2013-03-01,35.873,38.1578,35.4472,36.8265,36.8265,38592300
2013-04-01,37.4478,37.4478,35.2549,36.7651,36.7651,30668300
2013-05-01,36.753,42.5282,35.412,41.0361,41.0361,41967800
2013-06-01,41.0602,47.9952,40.2206,45.8809,45.8809,58477300
2013-07-01,46.2174,47.5004,44.4297,45.0317,45.0317,42003100
2013-08-01,45.506,45.8283,42.7516,43.238,43.238,39407100
2013-09-01,43.7427,45.9073,42.7333,44.9223,44.9223,37901600
2013-10-01,45.1505,47.7323,43.7923,45.4014,45.4014,31145300
2013-11-01,45.3952,51.605,44.1533,50.1367,50.1367,31527600
2013-12-01,50.1795,51.8252,47.4692,48.0015,48.0015,42086300
2014-01-01,49.5174,50.7941,45.8017,47.4849,47.4849,50138800
