Date,Open,High,Low,Close,Adj Close,Volume
,CMG,CMG,CMG,CMG,,CMG
2006-01-01,0.9,0.986,0.7902,0.9504,0.9504,810820000
2006-02-01,0.978,0.9848,0.82,0.912,0.912,215335000
2006-03-01,0.9128,1.135,0.8178,1.1078,1.1078,528980000
2006-04-01,1.1112,1.16,0.966,1.0438,1.0438,220605000
2006-05-01,1.04,1.3554,1.028,1.1554,1.1554,633030000
2006-06-01,1.16,1.2778,1.1012,1.219,1.219,303295000
2006-07-01,1.225,1.225,0.974,1.05,1.05,450705000
2006-08-01,1.0002,1.13,0.9474,0.9868,0.9868,487700000
2006-09-01,0.992,1.076,0.9164,0.9934,0.9934,600475000
2006-10-01,0.9934,1.205,0.966,1.198,1.198,2026080000
2006-11-01,1.1928,1.2472,1.11,1.159,1.159,806400000
2006-12-01,1.154,1.187,1.0432,1.14,1.14,639515000
2007-01-01,1.138,1.2188,1.0922,1.1884,1.1884,561140000
2007-02-01,1.192,1.305,1.1786,1.1998,1.1998,675645000
2007-03-01,1.173,1.2992,1.172,1.242,1.242,391310000
2007-04-01,1.245,1.36,1.2388,1.3046,1.3046,278845000
2007-05-01,1.313,1.7508,1.2782,1.7324,1.7324,853485000
2007-06-01,1.74,1.774,1.5808,1.7056,1.7056,442690000
2007-07-01,1.723,1.84,1.5502,1.7668,1.7668,547255000
2007-08-01,1.882,2.2844,1.84,2.0798,2.0798,783960000
2007-09-01,2.0898,2.3994,1.985,2.3626,2.3626,386605000
2007-10-01,2.3522,2.826,2.2702,2.78,2.78,860710000
2007-11-01,2.7578,2.775,2.3262,2.663,2.663,656820000
2007-12-01,2.68,3.1098,2.6304,2.9414,2.9414,545060000
2008-01-01,2.942,3.0,2.16,2.4076,2.4076,1091615000
2008-02-01,2.46,2.48,1.911,1.986,1.986,1037655000
2008-03-01,1.98,2.3596,1.8018,2.2686,2.2686,724850000
2008-04-01,2.2798,2.4258,1.9502,1.9626,1.9626,741795000
2008-05-01,1.9632,2.0798,1.6736,1.846,1.846,659610000
2008-06-01,1.8268,1.9128,1.6366,1.6524,1.6524,741300000
2008-07-01,1.6606,1.7854,1.303,1.37,1.37,1147855000
2008-08-01,1.3874,1.5596,1.32,1.3864,1.3864,633590000
2008-09-01,1.4058,1.4948,1.06,1.1098,1.1098,933400000
2008-10-01,1.105,1.185,0.8,1.015,1.015,657715000
2008-11-01,0.9994,1.0644,0.7372,0.9916,0.9916,354520000
2008-12-01,0.9618,1.3584,0.9048,1.2396,1.2396,546200000
2009-01-01,1.2378,1.297,0.9292,0.9552,0.9552,505895000
2009-02-01,0.949,1.1476,0.9376,1.0926,1.0926,805805000
2009-03-01,1.0786,1.415,0.9578,1.3276,1.3276,575640000
2009-04-01,1.3412,1.8478,1.3216,1.6218,1.6218,962745000
2009-05-01,1.6082,1.72,1.426,1.5838,1.5838,616460000
2009-06-01,1.6108,1.791,1.5442,1.6,1.6,633535000
2009-07-01,1.6242,1.9442,1.535,1.8766,1.8766,678375000
2009-08-01,1.8972,1.943,1.663,1.6776,1.6776,424005000
2009-09-01,1.6702,1.9732,1.603,1.941,1.941,466715000
2009-10-01,1.935,1.9422,1.5804,1.6298,1.6298,856955000
2009-11-01,1.6328,1.818,1.6212,1.669,1.669,481285000
2009-12-01,1.6796,1.84,1.637,1.7632,1.7632,304360000
2010-01-01,1.792,2.058,1.72,1.9292,1.9292,527235000
2010-02-01,1.9378,2.1298,1.8762,2.0942,2.0942,529560000
2010-03-01,2.1106,2.3422,2.1066,2.2534,2.2534,415645000
2010-04-01,2.2654,2.9078,2.26,2.6982,2.6982,685445000
2010-05-01,2.7054,2.9774,2.48,2.8456,2.8456,699080000
2010-06-01,2.827,3.1084,2.7072,2.7362,2.7362,801415000
2010-07-01,2.723,3.0,2.546,2.958,2.958,933410000
2010-08-01,3.0012,3.0886,2.8202,3.0166,3.0166,548335000
2010-09-01,3.0576,3.5538,3.0326,3.44,3.44,734280000
2010-10-01,3.476,4.3076,3.4248,4.2042,4.2042,963885000
2010-11-01,4.2378,5.2554,4.18,5.1698,5.1698,1023490000
2010-12-01,5.2308,5.24,4.2516,4.2532,4.2532,1176815000
2011-01-01,4.3052,4.7424,4.2612,4.3784,4.3784,785060000
2011-02-01,4.3988,5.5,4.344,4.9,4.9,1381315000
2011-03-01,4.86,5.4784,4.6896,5.4474,5.4474,1079640000
2011-04-01,5.4652,5.787,5.2024,5.3358,5.3358,1454855000
2011-05-01,5.376,5.9198,4.9916,5.7814,5.7814,860070000
2011-06-01,5.77,6.1786,5.3486,6.1638,6.1638,816825000
2011-07-01,6.1448,6.7464,6.1176,6.4916,6.4916,881960000
2011-08-01,6.5794,6.6118,5.4306,6.2674,6.2674,1218175000
2011-09-01,6.2806,6.9356,5.954,6.059,6.059,1070225000
2011-10-01,6.0162,6.9588,5.7078,6.7224,6.7224,1022355000
2011-11-01,6.5328,6.8548,6.0,6.4312,6.4312,582700000
2011-12-01,6.37,6.84,6.3186,6.7548,6.7548,500770000
2012-01-01,6.874,7.407,6.7258,7.3458,7.3458,478365000
2012-02-01,7.36,7.847,7.172,7.8044,7.8044,531780000
2012-03-01,7.837,8.5314,7.7288,8.36,8.36,436815000
2012-04-01,8.34,8.848,8.0206,8.283,8.283,760810000
2012-05-01,8.3082,8.4882,7.6898,8.2614,8.2614,637565000
2012-06-01,8.0974,8.3938,7.4038,7.599,7.599,656760000
2012-07-01,7.7206,8.0918,5.7406,5.8466,5.8466,1330020000
2012-08-01,5.8574,6.1456,5.5452,5.7728,5.7728,694515000
2012-09-01,5.7946,7.036,5.6736,6.3508,6.3508,807985000
2012-10-01,6.3916,6.4584,4.6764,5.0906,5.0906,1688410000
2012-11-01,5.0312,5.6914,5.0312,5.2756,5.2756,770045000
2012-12-01,5.301,5.964,5.2002,5.9492,5.9492,533190000
2013-01-01,6.0852,6.2998,5.3204,6.1402,6.1402,695720000
2013-02-01,6.17,6.5398,6.07,6.3358,6.3358,603910000
2013-03-01,6.335,6.6978,6.29,6.5174,6.5174,337480000
2013-04-01,6.5484,7.4598,6.3374,7.2638,7.2638,762780000
2013-05-01,7.219,7.583,7.17,7.22,7.22,437570000
2013-06-01,7.2202,7.4532,7.0132,7.287,7.287,370475000
2013-07-01,7.329,8.298,7.246,8.2454,8.2454,567865000
2013-08-01,8.298,8.3646,7.9402,8.1634,8.1634,252905000
2013-09-01,8.205,8.5956,8.0674,8.576,8.576,274115000
2013-10-01,8.5838,10.6286,8.404,10.5394,10.5394,657925000
2013-11-01,10.5356,11.0056,10.4624,10.4772,10.4772,315265000
2013-12-01,10.43,10.74,10.1288,10.6556,10.6556,308875000
2014-01-01,10.6,11.378,9.6174,11.0392,11.0392,633975000
2014-02-01,11.0042,11.4632,10.62,11.3042,11.3042,437885000
2014-03-01,11.22,12.458,11.034,11.361,11.361,569750000
2014-04-01,11.3602,11.7738,9.4482,9.97,9.97,854365000
2014-05-01,9.9702,10.9854,9.811,10.9418,10.9418,490650000
2014-06-01,10.96,12.0442,10.9054,11.8502,11.8502,395810000
2014-07-01,11.927,13.6534,11.5184,13.45,13.45,569135000
2014-08-01,13.4962,13.9586,13.2848,13.573,13.573,332700000
2014-09-01,13.577,13.858,12.8528,13.3318,13.3318,337255000
2014-10-01,13.33,13.636,12.151,12.76,12.76,695845000
2014-11-01,12.7656,13.5048,12.7064,13.2724,13.2724,295540000
2014-12-01,13.2932,13.9312,12.6486,13.6902,13.6902,349745000
2015-01-01,13.72,14.5594,13.0754,14.1968,14.1968,392675000
2015-02-01,14.271,14.5326,12.9456,13.2994,13.2994,563650000
2015-03-01,13.2994,13.8486,13.0108,13.0108,13.0108,372110000
2015-04-01,13.0,13.9806,12.3944,12.4268,12.4268,817195000
2015-05-01,12.5792,12.8392,12.2452,12.3104,12.3104,478345000
2015-06-01,12.3002,12.4636,11.9608,12.0998,12.0998,448340000
2015-07-01,12.1262,14.928,11.9466,14.8446,14.8446,848565000
2015-08-01,14.8694,15.1722,13.7,14.2002,14.2002,482805000
2015-09-01,13.959,14.8378,13.922,14.405,14.405,381105000
2015-10-01,14.352,15.14,12.801,12.8046,12.8046,731735000
2015-11-01,12.2,12.6596,10.6406,11.591,11.591,1308975000
2015-12-01,11.6656,11.783,9.5594,9.597,9.597,2036645000
2016-01-01,9.374,9.5674,7.9828,9.0594,9.0594,1916140000
2016-02-01,9.5224,10.617,8.7174,10.1832,10.1832,1567330000
2016-03-01,10.285,10.85,9.0556,9.4194,9.4194,1579635000
2016-04-01,9.1866,9.4634,8.3,8.4194,8.4194,1174750000
2016-05-01,8.44,9.34,8.4066,8.8392,8.8392,967770000
2016-06-01,8.8422,8.9416,7.6954,8.0552,8.0552,1266190000
2016-07-01,8.0,8.8826,7.722,8.4798,8.4798,1236675000
2016-08-01,8.472,8.5324,7.7402,8.2746,8.2746,1088210000
2016-09-01,8.3162,8.824,7.9022,8.47,8.47,1166135000
2016-10-01,8.4606,8.8,7.203,7.2152,7.2152,1446885000
2016-11-01,7.2056,8.386,7.0592,7.9266,7.9266,1270050000
2016-12-01,7.9398,8.2166,7.249,7.5464,7.5464,1263150000
2017-01-01,7.5822,8.5122,7.4574,8.4288,8.4288,908400000
2017-02-01,8.4062,8.6938,7.9016,8.3748,8.3748,947140000
2017-03-01,8.4502,9.0616,7.8838,8.9104,8.9104,895265000
2017-04-01,8.984,9.9496,8.905,9.4894,9.4894,1010925000
2017-05-01,9.4602,9.98,9.3198,9.547,9.547,796080000
2017-06-01,9.5962,9.7504,8.2196,8.322,8.322,1053430000
2017-07-01,8.3162,8.3946,6.7304,6.8754,6.8754,2111155000
2017-08-01,6.8816,7.1096,5.92,6.3342,6.3342,1387415000
2017-09-01,6.3388,6.529,5.9022,6.1566,6.1566,1238440000
2017-10-01,6.1582,6.6398,5.298,5.438,5.438,1959960000
2017-11-01,5.438,6.1636,5.26,6.0878,6.0878,1187115000
2017-12-01,6.048,6.6666,5.728,5.7806,5.7806,1113940000
2018-01-01,5.818,6.9176,5.78,6.4952,6.4952,1069195000
2018-02-01,6.2812,6.6028,4.9504,6.3682,6.3682,1952280000
