Date,Open,High,Low,Close,Adj Close,Volume
,CMS,CMS,CMS,CMS,,CMS
1985-01-01,1.5574,2.273,1.4732,2.1467,2.1467,6049400
1985-02-01,2.1467,2.3151,1.9784,2.0205,2.0205,1806800
1985-03-01,2.0205,2.3572,2.0205,2.3151,2.3151,3125400
1985-04-01,2.1467,2.3572,2.0625,2.2309,2.2309,4126600
1985-05-01,2.2309,2.3572,2.1888,2.3572,2.3572,3330700
1985-06-01,2.3572,2.8202,2.273,2.736,2.736,3205800
1985-07-01,2.736,2.9886,2.4835,2.6098,2.6098,3120000
1985-08-01,2.6518,2.6939,2.3993,2.5256,2.5256,2842300
1985-09-01,2.5256,2.5256,2.273,2.3151,2.3151,1872100
1985-10-01,2.3151,2.5256,2.1888,2.4414,2.4414,3149200
1985-11-01,2.4414,2.7781,2.4414,2.736,2.736,4161600
1985-12-01,2.736,2.8202,2.4414,2.5256,2.5256,5169000
1986-01-01,2.5677,3.8725,2.5256,3.5358,3.5358,6935900
1986-02-01,3.5779,4.2514,3.4516,4.083,4.083,4672200
1986-03-01,4.0409,4.7144,3.9567,4.6723,4.6723,7315900
1986-04-01,4.6723,4.7144,3.9146,4.2514,4.2514,7250200
1986-05-01,4.083,4.2935,3.9567,4.1251,4.1251,4701400
1986-06-01,4.1672,4.6723,3.8725,3.9988,3.9988,7097100
1986-07-01,3.9988,4.2093,3.8304,3.9988,3.9988,5486000
1986-08-01,3.9567,4.2514,3.8304,4.2093,4.2093,5167700
1986-09-01,4.2093,4.7986,3.2411,4.3776,4.3776,7218100
1986-10-01,4.3776,5.3879,4.2093,5.0932,5.0932,8233700
1986-11-01,5.1353,5.6404,5.0932,5.3879,5.3879,7008400
1986-12-01,5.3879,5.8509,5.0932,5.2616,5.2616,9345700
1987-01-01,5.2616,5.9351,5.2195,5.8509,5.8509,5616000
1987-02-01,5.8509,6.1035,5.5562,6.0193,6.0193,4020900
1987-03-01,6.0193,6.7348,5.8509,6.2297,6.2297,5900900
1987-04-01,6.1455,6.5244,5.7667,6.356,6.356,6235500
1987-05-01,6.3139,6.6086,5.893,6.3139,6.3139,5931600
1987-06-01,6.3981,6.6086,6.0614,6.2297,6.2297,4913500
1987-07-01,6.2718,6.3981,5.1353,5.6404,5.6404,9403500
1987-08-01,5.6825,6.0614,5.4721,5.8509,5.8509,3753400
1987-09-01,5.8509,5.8509,5.2616,5.3458,5.3458,3267000
1987-10-01,5.3458,5.7246,3.62,4.7565,4.7565,5454800
1987-11-01,4.7565,5.0511,4.3776,4.4197,4.4197,2544900
1987-12-01,4.4618,4.8407,4.1672,4.546,4.546,2975500
1988-01-01,4.6302,5.0932,4.546,5.009,5.009,2460500
1988-02-01,5.009,5.8088,4.9249,5.6404,5.6404,3181700
1988-03-01,5.6825,6.1455,5.5142,5.6404,5.6404,2440700
1988-04-01,5.5562,6.1035,5.43,6.1035,6.1035,3307300
1988-05-01,6.1455,6.3981,5.9351,6.2297,6.2297,3523400
1988-06-01,6.2297,7.4925,6.1035,7.3241,7.3241,4642300
1988-07-01,7.3241,7.4083,6.8611,6.9032,6.9032,3043900
1988-08-01,6.9032,7.24,6.7769,7.1558,7.1558,3302900
1988-09-01,7.1558,7.7451,7.1137,7.703,7.703,2889400
1988-10-01,7.7451,8.9237,7.6609,8.4606,8.4606,4762800
1988-11-01,8.4186,8.5448,7.9134,8.0818,8.0818,2665100
1988-12-01,8.0818,8.5448,7.9134,8.2081,8.2081,2883900
1989-01-01,8.1239,8.5027,7.9555,8.0818,8.0818,6678300
1989-02-01,8.166,8.5448,7.5767,7.9976,7.9976,8677100
1989-03-01,8.0397,8.5448,7.9555,8.4186,8.4186,3247700
1989-04-01,8.5027,9.5972,8.3344,9.513,9.513,2589800
1989-05-01,9.513,10.0181,9.0499,9.7655,9.7655,4104200
1989-06-01,9.7234,10.7757,9.2604,10.439,10.439,4881400
1989-07-01,10.439,11.9122,10.2706,11.786,11.786,4284800
1989-08-01,11.7439,11.8281,10.902,11.4492,11.4492,4119300
1989-09-01,11.4071,11.8281,11.1125,11.8281,11.8281,2981400
1989-10-01,11.7439,13.0067,10.6495,11.4913,11.4913,6939900
1989-11-01,11.4492,11.6597,11.1967,11.5755,11.5755,2915500
1989-12-01,11.6095,13.3826,11.4829,12.8338,12.8338,2753600
1990-01-01,12.7494,13.0027,10.9763,11.3984,11.3984,4375500
