Date,Open,High,Low,Close,Adj Close,Volume
,CNC,CNC,CNC,CNC,,CNC
2001-12-01,1.1892,1.925,1.1892,1.8292,1.8292,90494400
2002-01-01,1.8892,1.8892,1.5083,1.5417,1.5417,15483600
2002-02-01,1.6,1.6808,1.5458,1.5625,1.5625,18450000
2002-03-01,1.575,1.9633,1.5417,1.9083,1.9083,11751600
2002-04-01,1.9117,2.515,1.8842,2.1492,2.1492,8383200
2002-05-01,2.1233,2.3225,1.8992,2.18,2.18,65100000
2002-06-01,2.2083,2.5908,1.9767,2.5817,2.5817,33824400
2002-07-01,2.54,2.5558,1.8083,1.9792,1.9792,25807200
2002-08-01,1.9967,2.4108,1.865,2.2167,2.2167,23760000
2002-09-01,2.2167,2.2917,1.8333,2.2242,2.2242,24090000
2002-10-01,2.2592,2.7308,2.1208,2.5358,2.5358,30667200
2002-11-01,2.5333,2.8525,2.2333,2.3292,2.3292,32349600
2002-12-01,2.3667,2.9567,2.35,2.7992,2.7992,33012000
2003-01-01,2.8542,2.9042,2.1267,2.35,2.35,57898800
2003-02-01,2.375,2.375,1.8625,2.125,2.125,47937600
2003-03-01,2.1542,2.4908,2.0642,2.4342,2.4342,22222800
2003-04-01,2.4625,2.7225,2.3458,2.6692,2.6692,40027200
2003-05-01,2.675,2.9558,2.5042,2.7533,2.7533,34075200
2003-06-01,2.7667,3.3042,2.7617,3.2108,3.2108,26923200
2003-07-01,3.1475,3.825,3.1017,3.6562,3.6562,42108400
2003-08-01,3.6688,3.6688,3.07,3.5,3.5,47717600
2003-09-01,3.5062,3.9488,3.435,3.7987,3.7987,28865600
2003-10-01,3.7938,4.4625,3.755,3.8263,3.8263,27554400
2003-11-01,3.845,3.9688,3.44,3.8375,3.8375,19220000
2003-12-01,3.6125,3.9975,3.3725,3.5013,3.5013,20176000
2004-01-01,3.5138,4.0437,3.2625,3.9762,3.9762,23842400
2004-02-01,3.9688,4.0575,3.595,3.7825,3.7825,18568800
2004-03-01,3.7625,4.1188,3.6437,3.8238,3.8238,18965600
2004-04-01,3.9062,4.4062,3.9025,4.1875,4.1875,23996000
2004-05-01,4.1887,4.6188,3.6688,4.5062,4.5062,19897600
2004-06-01,4.4938,4.8875,4.4688,4.8187,4.8187,22923200
2004-07-01,4.8288,4.9587,4.4125,4.875,4.875,26183200
2004-08-01,4.8625,4.9425,4.4437,4.9425,4.9425,15976800
2004-09-01,4.9688,5.525,4.7263,5.3225,5.3225,22560000
2004-10-01,5.4375,6.0188,5.1062,5.9288,5.9288,39521600
2004-11-01,5.9563,6.8275,5.8938,6.6875,6.6875,31316000
2004-12-01,6.6813,7.525,6.5,7.0875,7.0875,35632000
2005-01-01,7.15,8.45,6.625,8.3875,8.3875,41576000
2005-02-01,8.375,8.845,7.6275,8.34,8.34,37071200
2005-03-01,8.365,8.75,6.94,7.4975,7.4975,44361600
2005-04-01,7.55,7.92,6.215,6.9625,6.9625,61559600
2005-05-01,7.0875,8.1825,7.025,8.0375,8.0375,27500800
2005-06-01,8.075,8.595,7.7775,8.395,8.395,26433600
2005-07-01,8.4375,9.4775,6.505,7.325,7.325,77943600
2005-08-01,7.325,7.725,7.1275,7.62,7.62,37590000
2005-09-01,7.6125,7.7825,5.65,6.2575,6.2575,58252800
2005-10-01,6.1,6.345,4.19,5.0375,5.0375,112848000
2005-11-01,5.0375,6.1525,4.9975,6.0025,6.0025,59109200
2005-12-01,6.3125,6.94,5.9275,6.5725,6.5725,38836000
2006-01-01,6.59,6.705,5.675,6.5725,6.5725,61936000
2006-02-01,6.6125,7.0475,6.2375,6.8375,6.8375,45680800
2006-03-01,6.85,7.565,6.7775,7.2925,7.2925,49989600
2006-04-01,7.25,7.3975,6.025,6.4225,6.4225,51272000
2006-05-01,6.425,6.7775,5.99,6.5125,6.5125,58168000
2006-06-01,6.5475,7.1225,5.72,5.8825,5.8825,65435600
2006-07-01,5.85,5.9675,3.3125,4.0625,4.0625,185287600
2006-08-01,4.06,4.5725,3.735,3.8625,3.8625,101869600
2006-09-01,3.8875,4.1675,3.695,4.11,4.11,49451600
2006-10-01,4.1,6.275,4.0275,5.8975,5.8975,69228800
2006-11-01,5.9375,6.5975,5.6925,6.515,6.515,50064400
2006-12-01,6.4975,6.7375,6.0,6.1425,6.1425,40972800
2007-01-01,6.225,6.665,6.0525,6.23,6.23,31119600
2007-02-01,6.2725,6.595,5.345,6.0225,6.0225,40948400
2007-03-01,5.9375,6.25,5.17,5.2475,5.2475,55144800
2007-04-01,5.2475,6.07,5.0225,5.2025,5.2025,54216400
2007-05-01,5.2025,5.7825,5.1925,5.7475,5.7475,52304000
2007-06-01,5.7625,5.905,4.8375,5.355,5.355,78075600
2007-07-01,5.3875,5.9475,5.0775,5.4025,5.4025,61988800
2007-08-01,5.375,5.5425,4.4125,5.0525,5.0525,90884400
2007-09-01,5.0225,5.465,4.905,5.3775,5.3775,28592400
2007-10-01,5.3575,6.4025,5.315,5.8325,5.8325,72954800
2007-11-01,5.7425,6.3675,5.4,6.25,6.25,52802800
2007-12-01,6.2775,6.9325,6.0875,6.86,6.86,39965200
2008-01-01,6.85,7.1225,5.8275,5.985,5.985,52387600
2008-02-01,6.01,6.375,4.4425,4.48,4.48,94184000
2008-03-01,4.4475,4.645,3.395,3.485,3.485,82384400
2008-04-01,3.575,4.725,3.275,4.5925,4.5925,54876400
2008-05-01,4.6125,5.2925,4.455,5.2775,5.2775,31303200
2008-06-01,5.2775,5.425,4.1975,4.1975,4.1975,37544000
2008-07-01,4.15,5.9125,4.1,5.5775,5.5775,53219200
2008-08-01,5.6375,6.055,5.2675,5.645,5.645,35378000
2008-09-01,5.7225,6.1675,4.8225,5.1275,5.1275,42153200
2008-10-01,5.1275,5.4025,4.09,4.71,4.71,40316000
2008-11-01,4.6925,5.265,3.8075,4.625,4.625,37761600
2008-12-01,4.5425,5.0825,3.84,4.9275,4.9275,40964400
2009-01-01,4.905,5.3825,4.3725,4.4325,4.4325,31763600
2009-02-01,4.4075,5.625,4.2425,4.245,4.245,36976400
2009-03-01,4.185,4.715,3.75,4.505,4.505,37348000
2009-04-01,4.46,5.25,4.3225,4.5925,4.5925,36272000
2009-05-01,4.6325,5.015,4.395,4.545,4.545,28281200
2009-06-01,4.5975,5.2225,4.33,4.995,4.995,37270800
2009-07-01,5.0625,5.12,4.375,4.8275,4.8275,39492800
2009-08-01,4.8675,4.8675,4.2925,4.3275,4.3275,24709600
2009-09-01,4.2975,5.0,4.2225,4.735,4.735,33500800
2009-10-01,4.7025,4.7925,4.3125,4.4575,4.4575,42850800
2009-11-01,4.465,4.9,4.34,4.705,4.705,30600000
2009-12-01,4.74,5.505,4.4875,5.2925,5.2925,34852400
2010-01-01,5.35,5.555,4.78,4.8125,4.8125,64353200
2010-02-01,4.8375,4.8675,4.4,4.4675,4.4675,33535600
2010-03-01,4.4825,6.2575,4.4275,6.01,6.01,78390400
2010-04-01,6.0325,6.4875,5.725,5.725,5.725,53480800
2010-05-01,5.725,5.9475,5.1275,5.705,5.705,42194400
2010-06-01,5.6825,6.065,5.215,5.375,5.375,46589200
2010-07-01,5.3425,5.695,5.0,5.3275,5.3275,36194000
2010-08-01,5.4025,5.83,5.0025,5.055,5.055,37962000
2010-09-01,5.125,5.9125,5.0775,5.8975,5.8975,34696800
2010-10-01,5.9475,6.22,5.56,5.58,5.58,30876400
2010-11-01,5.6075,5.9,5.2975,5.8125,5.8125,35246000
2010-12-01,5.8925,6.6075,5.8325,6.335,6.335,25095600
2011-01-01,6.39,7.3575,6.27,6.93,6.93,38763200
2011-02-01,6.94,7.675,6.9075,7.6175,7.6175,35603200
2011-03-01,7.6175,8.2475,7.2075,8.245,8.245,28202800
2011-04-01,8.2825,9.1,7.835,9.0575,9.0575,25424800
2011-05-01,9.12,9.8125,8.4075,8.7,8.7,49319600
2011-06-01,8.6925,8.9975,8.0375,8.8825,8.8825,43372800
2011-07-01,8.9,9.8375,7.6725,8.2025,8.2025,55731200
2011-08-01,8.3175,8.57,6.41,7.9725,7.9725,69734400
2011-09-01,8.0025,8.225,7.11,7.1675,7.1675,48739600
2011-10-01,7.125,9.0075,6.32,8.7875,8.7875,64523600
2011-11-01,8.45,9.68,8.38,9.6775,9.6775,43376400
2011-12-01,9.5875,10.2025,8.765,9.8975,9.8975,37912800
2012-01-01,10.17,11.3625,9.7425,11.3,11.3,39432000
2012-02-01,11.385,12.59,11.04,12.2,12.2,46468000
2012-03-01,12.24,12.3975,10.98,12.2425,12.2425,62830400
2012-04-01,12.1925,12.745,9.8225,9.8975,9.8975,91266000
2012-05-01,9.9275,10.305,8.5925,9.035,9.035,76193600
2012-06-01,8.8675,9.335,6.065,7.54,7.54,197578800
2012-07-01,7.5925,10.0475,7.215,9.51,9.51,121313600
2012-08-01,9.5775,10.5625,9.07,10.1525,10.1525,64291600
2012-09-01,10.2225,10.615,9.02,9.3525,9.3525,51907600
2012-10-01,9.385,9.9175,8.6825,9.495,9.495,66337200
2012-11-01,9.49,11.075,9.415,10.9775,10.9775,56922400
2012-12-01,11.03,11.61,9.785,10.25,10.25,60958400
2013-01-01,10.455,11.27,10.1425,10.79,10.79,51355200
2013-02-01,10.8525,11.82,10.41,11.255,11.255,50197200
2013-03-01,11.2225,12.1375,10.9675,11.01,11.01,39459600
2013-04-01,10.995,12.0675,10.535,11.55,11.55,51241600
2013-05-01,11.545,13.15,11.485,12.375,12.375,34150800
2013-06-01,12.3075,13.185,11.95,13.115,13.115,35104000
2013-07-01,13.15,14.99,13.005,13.8675,13.8675,37181600
2013-08-01,13.96,14.725,13.77,14.2875,14.2875,31058000
2013-09-01,14.4225,16.26,14.3625,15.99,15.99,37738800
2013-10-01,15.9925,16.96,14.035,14.04,14.04,50873600
2013-11-01,13.99,15.02,13.7575,14.9325,14.9325,42004400
2013-12-01,14.8925,15.5325,13.53,14.7375,14.7375,51947600
2014-01-01,14.74,15.7725,14.5375,15.15,15.15,44776800
2014-02-01,15.185,16.0175,14.22,15.92,15.92,44521200
2014-03-01,15.86,16.5875,15.3275,15.5625,15.5625,36774400
2014-04-01,15.7275,17.065,13.7775,16.6,16.6,74842400
2014-05-01,16.6475,18.655,16.2975,18.63,18.63,47976400
2014-06-01,18.6775,19.42,17.7975,18.9025,18.9025,72860400
2014-07-01,18.95,20.495,17.92,18.0225,18.0225,92686000
2014-08-01,18.0275,19.63,17.745,19.5325,19.5325,44246400
2014-09-01,19.5175,20.9925,18.955,20.6775,20.6775,97980000
2014-10-01,20.685,23.725,18.765,23.1675,23.1675,75481600
2014-11-01,23.3025,25.04,22.7,24.6925,24.6925,50027200
2014-12-01,24.53,27.12,24.0775,25.9625,25.9625,53651200
2015-01-01,26.58,28.2,25.8625,27.29,27.29,44071200
2015-02-01,27.4125,31.135,26.66,30.73,30.73,46334800
2015-03-01,30.705,35.83,30.505,35.345,35.345,48209400
2015-04-01,35.28,37.13,30.925,30.995,30.995,58140600
2015-05-01,31.075,37.75,31.065,37.67,37.67,56032600
2015-06-01,37.78,41.09,35.91,40.2,40.2,61397200
2015-07-01,40.655,41.5,33.545,35.065,35.065,113176400
2015-08-01,35.23,36.725,28.785,30.86,30.86,66458600
2015-09-01,30.175,32.445,25.465,27.115,27.115,68666000
2015-10-01,27.035,31.0,25.875,29.74,29.74,92344600
2015-11-01,29.75,31.05,26.96,28.875,28.875,60150000
2015-12-01,29.16,33.765,27.945,32.905,32.905,83272600
2016-01-01,32.305,34.21,28.93,31.03,31.03,77714600
2016-02-01,30.76,32.145,23.68,28.48,28.48,96938800
2016-03-01,28.77,32.385,26.7,30.785,30.785,181275400
2016-04-01,30.585,33.48,28.9,30.98,30.98,108323800
2016-05-01,31.025,31.735,27.8,31.175,31.175,77767400
2016-06-01,31.175,35.765,30.875,35.685,35.685,87080400
2016-07-01,35.5,37.785,31.72,35.275,35.275,90919600
2016-08-01,35.21,36.375,33.6,34.145,34.145,58048400
2016-09-01,34.06,34.8,31.685,33.48,33.48,52890000
2016-10-01,33.29,33.4,29.825,31.24,31.24,64540600
2016-11-01,31.345,33.705,25.0,28.815,28.815,109969200
2016-12-01,28.715,29.895,27.2,28.255,28.255,79976000
2017-01-01,28.615,32.445,28.0,31.635,31.635,57186800
2017-02-01,31.655,35.945,31.56,35.25,35.25,71711400
2017-03-01,35.83,36.615,32.515,35.63,35.63,100826200
2017-04-01,35.655,37.715,34.6,37.2,37.2,61770400
2017-05-01,37.2,38.8,36.07,36.315,36.315,75390600
2017-06-01,36.345,42.9,36.335,39.94,39.94,74552800
2017-07-01,40.0,43.97,39.53,39.71,39.71,63876400
2017-08-01,39.715,44.48,39.69,44.425,44.425,50072600
2017-09-01,44.45,49.36,43.5,48.385,48.385,77529600
2017-10-01,48.565,49.19,41.78,46.835,46.835,94221200
2017-11-01,47.045,51.22,45.035,51.045,51.045,50620000
2017-12-01,51.195,52.325,47.345,50.44,50.44,63102200
2018-01-01,50.35,56.21,49.535,53.62,53.62,46452800
2018-02-01,53.495,53.655,48.805,50.71,50.71,64260400
2018-03-01,50.69,53.53,49.255,53.435,53.435,60272000
2018-04-01,53.735,56.94,52.14,54.29,54.29,61266800
2018-05-01,54.38,59.47,53.525,58.58,58.58,99796400
2018-06-01,58.985,63.15,58.25,61.605,61.605,67755400
2018-07-01,61.405,68.145,60.505,65.165,65.165,55558400
2018-08-01,65.63,73.965,65.375,73.24,73.24,54516400
2018-09-01,73.2,74.12,70.57,72.39,72.39,42446400
2018-10-01,72.605,73.5,61.475,65.16,65.16,81696800
2018-11-01,65.655,72.18,64.14,71.125,71.125,61872200
2018-12-01,71.87,74.49,54.25,57.65,57.65,80351000
2019-01-01,57.03,65.685,54.86,65.285,65.285,68229000
2019-02-01,65.04,69.245,59.93,60.89,60.89,62722300
2019-03-01,61.53,62.32,49.56,53.1,53.1,114115200
2019-04-01,53.67,58.25,45.44,51.56,51.56,207470400
