Date,Open,High,Low,Close,Adj Close,Volume
,CNP,CNP,CNP,CNP,,CNP
1985-01-01,0.8576,0.8957,0.829,0.8671,0.8671,12657179
1985-02-01,0.8719,0.8814,0.8528,0.8576,0.8576,14162750
1985-03-01,0.8861,0.9204,0.8714,0.9204,0.9204,6666431
1985-04-01,0.9253,1.0085,0.9155,0.9938,0.9938,13147331
1985-05-01,0.9938,1.0966,0.9742,1.0966,1.0966,18865954
1985-06-01,1.1407,1.1507,1.0804,1.1407,1.1407,23192884
1985-07-01,1.1407,1.1859,1.0854,1.1055,1.1055,21807830
1985-08-01,1.1055,1.1256,1.0753,1.1155,1.1155,15494425
1985-09-01,1.1428,1.1428,1.0296,1.0605,1.0605,9041280
1985-10-01,1.0605,1.1686,1.045,1.1686,1.1686,8315302
1985-11-01,1.1634,1.2098,1.112,1.148,1.148,10966074
1985-12-01,1.1704,1.2284,1.1441,1.181,1.181,13394542
1986-01-01,1.1862,1.2601,1.1493,1.2495,1.2495,11386001
1986-02-01,1.2442,1.3128,1.2284,1.297,1.297,14562039
1986-03-01,1.3263,1.4287,1.2939,1.4179,1.4179,16120996
1986-04-01,1.4125,1.4395,1.2939,1.3155,1.3155,13733333
1986-05-01,1.2939,1.3802,1.2616,1.3424,1.3424,14793356
1986-06-01,1.3786,1.3951,1.2848,1.3896,1.3896,10687545
1986-07-01,1.3731,1.5385,1.3455,1.5164,1.5164,16198577
1986-08-01,1.5164,1.6322,1.4668,1.5992,1.5992,31262872
1986-09-01,1.6383,1.6383,1.4018,1.43,1.43,15599289
1986-10-01,1.4412,1.5595,1.4075,1.5595,1.5595,11158244
1986-11-01,1.5595,1.6158,1.5144,1.6158,1.6158,24784816
1986-12-01,1.6426,1.6771,1.5737,1.5967,1.5967,15260735
1987-01-01,1.5909,1.8092,1.5909,1.792,1.792,16307712
1987-02-01,1.792,1.8092,1.6656,1.7173,1.7173,27686834
