Date,Open,High,Low,Close,Adj Close,Volume
,COIN,COIN,COIN,COIN,,COIN
2021-04-01,381.0,429.54,282.07,297.64,297.64,227757100
2021-05-01,304.0,306.98,208.0,236.54,236.54,164798200
2021-06-01,238.51,261.15,210.77,253.3,253.3,93093900
2021-07-01,251.09,256.99,213.22,236.58,236.58,72977600
2021-08-01,237.28,294.0,226.91,259.0,259.0,103581300
2021-09-01,260.31,280.61,225.04,227.48,227.48,69765100
2021-10-01,232.89,328.48,224.51,319.42,319.42,130159000
2021-11-01,324.77,368.9,299.15,315.0,315.0,116521400
2021-12-01,318.6,323.0,231.77,252.37,252.37,90576100
2022-01-01,256.27,261.63,162.2,190.15,190.15,111894600
2022-02-01,197.97,217.49,155.92,190.77,190.77,94047500
2022-03-01,196.28,206.79,150.12,189.86,189.86,98756200
2022-04-01,189.86,193.07,112.14,112.71,112.71,86740500
2022-05-01,113.07,132.81,40.83,78.1,78.1,412007500
2022-06-01,77.5,77.8,44.15,47.02,47.02,289787500
2022-07-01,47.99,79.0,45.95,62.96,62.96,293279100
2022-08-01,61.19,116.3,59.42,66.8,66.8,347654800
2022-09-01,65.55,84.58,59.43,64.49,64.49,224746900
2022-10-01,64.95,78.29,61.06,66.25,66.25,233540400
2022-11-01,69.0,69.71,40.61,45.73,45.73,425867200
2022-12-01,45.82,49.85,31.83,35.39,35.39,233864100
2023-01-01,36.49,62.29,31.55,58.48,58.48,348999400
2023-02-01,59.08,87.63,53.66,64.83,64.83,431408600
2023-03-01,65.3,85.38,50.77,67.57,67.57,484798800
2023-04-01,66.01,72.61,52.17,53.79,53.79,276594100
2023-05-01,53.17,63.75,47.65,62.2,62.2,266362500
2023-06-01,61.8,74.97,46.43,71.55,71.55,391962400
2023-07-01,73.2,114.43,73.01,98.61,98.61,360047000
2023-08-01,95.88,95.95,72.1,79.6,79.6,205685900
2023-09-01,80.0,86.36,69.63,75.08,75.08,129086400
2023-10-01,78.55,89.4,70.41,77.12,77.12,186719000
2023-11-01,77.42,131.42,75.87,124.72,124.72,233877400
2023-12-01,126.39,187.39,125.88,173.92,173.92,277036400
2024-01-01,173.02,175.57,118.02,128.2,128.2,316240300
2024-02-01,128.75,212.22,114.51,203.56,203.56,295409500
2024-03-01,202.7,283.48,196.01,265.12,265.12,304094600
2024-04-01,261.87,268.81,202.59,203.93,203.93,193911400
2024-05-01,199.0,248.86,194.93,225.92,225.92,201681600
2024-06-01,232.5,263.8,207.71,222.23,222.23,161790900
2024-07-01,226.0,272.55,209.45,224.36,224.36,173301900
2024-08-01,226.6,227.1,161.13,183.36,183.36,160969200
2024-09-01,182.0,192.45,146.12,178.17,178.17,151929400
2024-10-01,178.72,223.9,160.0,179.25,179.25,240629100
2024-11-01,180.0,341.75,176.38,296.2,296.2,386050400
2024-12-01,302.03,349.75,246.37,248.3,248.3,214933900
2025-01-01,256.48,310.61,240.77,291.33,291.33,165201200
2025-02-01,272.98,302.4,201.1,215.62,215.62,186726200
2025-03-01,232.23,233.4,163.52,172.23,172.23,198947800
2025-04-01,172.82,211.62,142.58,202.89,202.89,177848500
2025-05-01,208.46,277.01,193.34,248.5462,248.5462,307975569
