Date,Open,High,Low,Close,Adj Close,Volume
,COP,COP,COP,COP,,COP
1985-01-01,1.3404,1.4881,1.295,1.454,1.454,200186127
1985-02-01,1.4798,1.5795,1.4376,1.5105,1.5105,337220539
1985-03-01,1.5143,1.5795,1.1271,1.1654,1.1654,433067334
1985-04-01,1.1616,1.2498,1.1386,1.1884,1.1884,133700365
1985-05-01,1.2072,1.2346,1.1838,1.215,1.215,84154803
1985-06-01,1.215,1.2229,1.1643,1.1916,1.1916,63006896
1985-07-01,1.1877,1.301,1.0314,1.1603,1.1603,112350963
1985-08-01,1.1713,1.2311,1.1115,1.1832,1.1832,40201148
1985-09-01,1.1832,1.1952,1.0757,1.1593,1.1593,33588407
1985-10-01,1.1593,1.2669,1.1474,1.2191,1.2191,45670003
1985-11-01,1.243,1.3161,1.2308,1.2796,1.2796,47117170
1985-12-01,1.2918,1.2918,1.0724,1.1821,1.1821,62288559
1986-01-01,1.1821,1.243,0.9871,1.0602,1.0602,81493179
1986-02-01,1.0594,1.1092,0.9223,1.0718,1.0718,73415696
1986-03-01,1.0594,1.0718,0.86,0.9846,0.9846,63526626
1986-04-01,0.9846,1.1092,0.9472,0.9721,0.9721,49808180
1986-05-01,0.9597,1.0843,0.9347,1.0594,1.0594,54225766
1986-06-01,1.0759,1.0886,0.9367,0.9747,0.9747,27756712
1986-07-01,0.9747,1.0,0.8481,0.8607,0.8607,26751881
1986-08-01,0.8627,1.0816,0.8498,1.0558,1.0558,35021146
1986-09-01,1.0687,1.1588,1.0043,1.0429,1.0429,40759182
1986-10-01,1.0429,1.1331,0.9528,1.0816,1.0816,53800223
1986-11-01,1.1111,1.2026,1.0588,1.1503,1.1503,43150317
1986-12-01,1.1372,1.268,1.0457,1.2287,1.2287,46570156
1987-01-01,1.2287,1.451,1.2287,1.3072,1.3072,61067544
1987-02-01,1.3227,1.4947,1.2963,1.3889,1.3889,64265692
1987-03-01,1.3756,1.7196,1.3624,1.6799,1.6799,112623292
1987-04-01,1.6799,1.7989,1.4153,1.4815,1.4815,55662441
1987-05-01,1.5608,1.8121,1.5344,1.6534,1.6534,51994672
1987-06-01,1.6836,1.8039,1.6168,1.7772,1.7772,40763384
1987-07-01,1.7638,2.0043,1.7103,1.9108,1.9108,63575427
1987-08-01,1.9955,2.0089,1.8067,1.928,1.928,49625842
1987-09-01,1.9146,1.9146,1.6854,1.7528,1.7528,37698249
1987-10-01,1.7663,1.8606,1.1191,1.2674,1.2674,45615433
1987-11-01,1.2958,1.364,1.1049,1.1458,1.1458,44024229
1987-12-01,1.1731,1.5277,1.0912,1.5277,1.5277,67495580
1988-01-01,1.5277,1.5959,1.3231,1.555,1.555,39291025
1988-02-01,1.573,1.6833,1.4902,1.6558,1.6558,32969244
1988-03-01,1.6282,2.0145,1.5592,1.8903,1.8903,72275486
1988-04-01,1.8627,2.0697,1.7661,1.9731,1.9731,60349468
1988-05-01,1.9479,2.0453,1.781,1.9201,1.9201,39871885
1988-06-01,1.934,2.0036,1.7114,1.7531,1.7531,35665498
1988-07-01,1.7392,1.9619,1.7392,1.9619,1.9619,41340830
1988-08-01,1.9832,2.0394,1.8285,1.941,1.941,29709705
1988-09-01,1.9269,2.2223,1.8706,2.1379,2.1379,70619219
1988-10-01,2.0816,2.5176,2.0254,2.2645,2.2645,96627313
1988-11-01,2.2837,2.3121,2.0993,2.2695,2.2695,39278957
1988-12-01,2.2411,2.3404,2.1844,2.2128,2.2128,32402287
1989-01-01,2.1986,2.4823,2.1702,2.383,2.383,61049967
1989-02-01,2.4221,2.5368,2.3218,2.4508,2.4508,40611737
1989-03-01,2.4508,2.7374,2.4221,2.6227,2.6227,47610142
1989-04-01,2.6228,2.7947,2.5511,2.6944,2.6944,39688498
1989-05-01,2.6657,2.7517,2.5798,2.6944,2.6944,33527015
1989-06-01,2.7054,2.7922,2.445,2.5173,2.5173,43208821
1989-07-01,2.5463,2.7488,2.5029,2.6475,2.6475,36319822
1989-08-01,2.7005,3.537,2.5684,3.2729,3.2729,75233050
1989-09-01,3.3022,3.3462,2.9647,3.0087,3.0087,46674051
1989-10-01,3.0234,3.2582,2.5097,2.7592,2.7592,65698690
1989-11-01,2.7887,2.8332,2.6107,2.7887,2.7887,28666831
1989-12-01,2.7887,3.1447,2.7442,2.9964,2.9964,42900816
1990-01-01,3.0112,3.0557,2.67,2.9519,2.9519,35026132
1990-02-01,2.9989,3.2389,2.9839,3.0589,3.0589,42738674
1990-03-01,3.0589,3.1789,2.9689,3.1189,3.1189,36626518
1990-04-01,3.1039,3.2239,2.849,2.9839,2.9839,23233918
1990-05-01,3.0142,3.3778,3.0142,3.2566,3.2566,34688738
1990-06-01,3.2717,3.2869,2.9839,3.1203,3.1203,23282978
1990-07-01,3.1203,3.5292,3.1051,3.4989,3.4989,31053767
1990-08-01,3.5306,3.8057,3.2861,3.4695,3.4695,52882230
1990-09-01,3.4389,3.607,3.1179,3.1485,3.1485,25201869
1990-10-01,3.1485,3.3319,2.9192,3.1027,3.1027,33235275
1990-11-01,3.183,3.3838,3.1366,3.3838,3.3838,17009204
1990-12-01,3.3375,3.3529,3.0439,3.2293,3.2293,23537991
1991-01-01,3.2293,3.3066,3.013,3.152,3.152,19282278
1991-02-01,3.183,3.5383,3.1211,3.3838,3.3838,30747068
1991-03-01,3.4207,3.6706,3.3894,3.5144,3.5144,21380618
1991-04-01,3.4988,3.6862,3.3426,3.4207,3.4207,24577980
1991-05-01,3.4864,3.5022,3.1078,3.4707,3.4707,31400079
1991-06-01,3.4707,3.5338,3.1394,3.2183,3.2183,22815457
1991-07-01,3.2498,3.4076,3.0132,3.3918,3.3918,34379419
1991-08-01,3.3918,3.4076,3.0763,3.3918,3.3918,27810756
1991-09-01,3.4117,3.5074,3.1726,3.348,3.348,23790906
1991-10-01,3.348,3.5393,3.2204,3.3639,3.3639,28526993
1991-11-01,3.3639,3.4117,2.8219,2.9016,2.9016,24158731
1991-12-01,2.9003,3.1259,2.8198,3.0937,3.0937,30179063
1992-01-01,3.0937,3.2387,2.8842,3.0453,3.0453,30577060
1992-02-01,2.997,3.1098,2.8359,2.9648,2.9648,30479987
1992-03-01,3.0003,3.1308,2.9351,3.0329,3.0329,25321763
1992-04-01,3.0003,3.2449,2.9351,3.2449,3.2449,26558259
1992-05-01,3.2286,3.5221,3.1471,3.3428,3.3428,28741341
1992-06-01,3.3647,3.5297,3.1998,3.1998,3.1998,29874729
1992-07-01,3.1998,3.6781,3.1833,3.6616,3.6616,31234533
1992-08-01,3.5791,3.81,3.5132,3.6616,3.6616,35042134
1992-09-01,3.6989,3.7822,3.5656,3.6656,3.6656,23645820
1992-10-01,3.6989,3.7156,3.0824,3.3324,3.3324,30414922
1992-11-01,3.2657,3.3157,3.1324,3.1991,3.1991,24190999
1992-12-01,3.2185,3.4544,3.1174,3.387,3.387,26029871
1993-01-01,3.4544,3.7071,3.3027,3.6903,3.6903,27738344
1993-02-01,3.6397,3.8588,3.5386,3.7914,3.7914,29962619
1993-03-01,3.8306,4.0348,3.7114,3.8306,3.8306,31715434
1993-04-01,3.8476,4.3072,3.7965,3.9668,3.9668,29630734
1993-05-01,3.9497,4.2391,3.8646,4.2051,4.2051,29894929
1993-06-01,4.2287,4.435,3.8505,3.8505,3.8505,29177905
1993-07-01,3.8849,4.2631,3.8677,4.2287,4.2287,32684322
1993-08-01,4.2115,4.5897,4.0224,4.5038,4.5038,26164722
1993-09-01,4.5452,4.7186,4.2676,4.6839,4.6839,36127249
1993-10-01,4.6839,5.187,4.3023,4.4758,4.4758,51373407
1993-11-01,4.4064,4.5798,3.8512,3.9553,3.9553,35641883
1993-12-01,3.99,4.13,3.7625,4.06,4.06,43509482
1994-01-01,4.06,4.3575,3.9025,4.13,4.13,38998758
1994-02-01,4.1527,4.4001,3.8346,3.8346,3.8346,25464486
1994-03-01,3.8523,4.1527,3.6049,3.764,3.764,40914500
1994-04-01,3.7286,4.6652,3.6756,4.4178,4.4178,44867712
1994-05-01,4.3648,4.8419,4.3471,4.5945,4.5945,38508414
1994-06-01,4.636,4.85,4.3864,4.4577,4.4577,31620722
1994-07-01,4.4934,4.8322,4.3686,4.6717,4.6717,31174190
1994-08-01,4.6004,4.7965,4.3151,4.7252,4.7252,29756667
1994-09-01,4.7659,5.0537,4.694,4.9278,4.9278,24683709
1994-10-01,4.9098,5.3594,4.748,5.3055,5.3055,31175762
1994-11-01,5.2194,5.2737,4.6394,4.7844,4.7844,23622999
1994-12-01,4.7663,4.9838,4.5669,4.7482,4.7482,20237522
1995-01-01,4.7482,4.8025,4.3314,4.6213,4.6213,26624897
1995-02-01,4.6432,4.8808,4.5335,4.8808,4.8808,22177138
1995-03-01,4.8808,5.3607,4.8626,5.3561,5.3561,30550303
1995-04-01,5.3561,5.3561,4.9997,5.1185,5.1185,22622621
