Date,Open,High,Low,Close,Adj Close,Volume
,COST,COST,COST,COST,,COST
1986-07-01,7.1601,7.4532,6.2389,6.7414,6.7414,14780000
1986-08-01,6.6995,6.7833,5.4433,6.1133,6.1133,26423200
1986-09-01,6.1552,6.3227,4.7315,5.7365,5.7365,24114800
1986-10-01,5.8202,6.1552,5.4015,6.0296,6.0296,11801200
1986-11-01,5.9458,6.197,5.4852,6.0296,6.0296,9452000
1986-12-01,6.0296,6.1552,5.3177,5.4852,5.4852,12063200
1987-01-01,5.4852,6.7414,5.4433,6.5111,6.5111,20516400
1987-02-01,6.532,7.5788,6.3227,7.4113,7.4113,15010000
1987-03-01,7.4113,8.6675,7.1601,8.0394,8.0394,20943600
1987-04-01,7.8719,8.2906,6.3645,7.1182,7.1182,14492800
1987-05-01,7.1182,7.5369,6.867,7.2438,7.2438,13502400
1987-06-01,7.2438,8.2069,6.9507,7.516,7.516,14135600
1987-07-01,7.516,8.2488,7.4532,7.9975,7.9975,17192000
1987-08-01,7.9557,8.7931,7.83,8.3744,8.3744,13851200
1987-09-01,8.3325,8.3744,7.0764,7.7463,7.7463,14910000
1987-10-01,7.7463,7.9138,4.4803,5.1921,5.1921,36328800
1987-11-01,5.1921,5.4015,4.3128,4.5222,4.5222,18430800
1987-12-01,4.5222,5.569,3.936,5.4852,5.4852,22402800
1988-01-01,5.4433,6.0296,5.1921,5.9667,5.9667,13741200
1988-02-01,5.9877,6.7833,5.8621,6.6995,6.6995,19825200
1988-03-01,6.6995,6.6995,6.0296,6.2808,6.2808,17984400
1988-04-01,6.197,6.532,5.9877,6.3645,6.3645,12283600
1988-05-01,6.4064,6.5739,5.9458,6.0714,6.0714,11776800
1988-06-01,6.1552,6.7414,6.0714,6.4064,6.4064,14892000
1988-07-01,6.3645,6.4064,5.6108,5.9039,5.9039,17592000
1988-08-01,5.9039,6.2389,5.6527,6.1761,6.1761,11145600
1988-09-01,6.1552,6.5739,5.9667,6.4901,6.4901,13489200
1988-10-01,6.4483,7.0764,6.3645,6.6995,6.6995,19822800
1988-11-01,6.6576,6.7414,6.1133,6.5739,6.5739,10398800
1988-12-01,6.5739,6.8251,6.2808,6.2808,6.2808,13875600
1989-01-01,6.2808,6.6158,5.9039,6.2808,6.2808,29280400
1989-02-01,6.2389,6.3227,5.9667,6.197,6.197,29131200
1989-03-01,6.1552,6.3436,5.8202,6.0714,6.0714,22534800
1989-04-01,6.0296,7.0345,5.9458,6.8251,6.8251,22698000
1989-05-01,6.7833,7.9975,6.7833,7.4532,7.4532,36148800
1989-06-01,7.4532,7.9975,6.5739,6.6995,6.6995,34459200
1989-07-01,6.6995,7.3695,6.5739,7.3276,7.3276,12197600
1989-08-01,7.3695,7.4532,6.9507,7.4532,7.4532,20632800
1989-09-01,7.4113,7.4951,6.9926,7.202,7.202,15056400
1989-10-01,7.1182,8.1232,6.9089,7.3904,7.3904,33341600
1989-11-01,7.3695,8.2906,7.0345,7.83,7.83,20432800
1989-12-01,7.8719,8.0813,6.9926,7.7463,7.7463,13648400
1990-01-01,7.7882,8.0813,6.3227,6.5948,6.5948,30140000
1990-02-01,6.6158,6.6995,6.1552,6.4064,6.4064,29525200
1990-03-01,6.4901,6.9926,6.3645,6.4901,6.4901,32876000
1990-04-01,6.3227,6.4901,5.569,5.7365,5.7365,35638400
1990-05-01,5.7783,6.6158,5.4433,6.4273,6.4273,41484000
1990-06-01,6.4483,7.0345,6.0296,6.9507,6.9507,29798800
1990-07-01,6.9089,7.3695,6.4064,6.6995,6.6995,21058400
1990-08-01,6.6576,6.7414,5.0665,5.569,5.569,22927200
1990-09-01,5.5271,5.6527,4.6478,4.899,4.899,19492000
1990-10-01,4.9409,5.4852,4.4384,5.234,5.234,24150800
1990-11-01,5.234,6.5739,5.1921,6.4064,6.4064,15894000
1990-12-01,6.4901,6.7414,6.1133,6.5739,6.5739,23303200
1991-01-01,6.532,7.4741,6.3227,7.4532,7.4532,52237600
1991-02-01,7.4113,7.83,6.6158,6.9298,6.9298,46168800
1991-03-01,6.867,7.9138,6.8251,7.83,7.83,23923200
1991-04-01,7.83,9.798,7.7044,8.5419,8.5419,51606000
1991-05-01,8.5419,9.798,8.2488,9.2956,9.2956,31624800
1991-06-01,9.2956,9.3374,8.6256,9.0443,9.0443,22034800
1991-07-01,9.0025,9.4212,8.3744,9.1281,9.1281,19150000
1991-08-01,9.1281,10.9286,8.7094,10.6355,10.6355,40574800
1991-09-01,10.7401,10.8448,9.6305,10.0911,10.0911,28378000
1991-10-01,10.0911,10.3842,9.1281,9.9655,9.9655,35168800
1991-11-01,10.0493,10.3424,9.0025,9.3374,9.3374,28170800
1991-12-01,9.2118,9.3793,7.3276,8.4163,8.4163,66151200
1992-01-01,8.2488,8.5,7.4951,7.6626,7.6626,58341600
1992-02-01,7.5788,9.2118,7.5788,9.0443,9.0443,36164000
1992-03-01,9.0443,9.0443,7.6626,7.8719,7.8719,25782800
1992-04-01,7.7463,7.7882,4.9409,5.1084,5.1084,111227600
1992-05-01,5.1502,5.8202,5.0246,5.6527,5.6527,29545600
1992-06-01,5.6946,5.8411,5.3596,5.5271,5.5271,32771200
1992-07-01,5.5271,5.8621,5.3177,5.6946,5.6946,27486000
1992-08-01,5.7783,5.7783,5.1084,5.1502,5.1502,14805200
1992-09-01,5.0665,5.4015,4.9828,5.3596,5.3596,25708000
1992-10-01,5.2759,6.197,5.1921,5.9039,5.9039,20669600
1992-11-01,5.8621,7.5369,5.8202,6.532,6.532,69726000
1992-12-01,6.5739,6.9507,5.6108,6.0714,6.0714,39689200
1993-01-01,6.2389,6.6995,5.9458,6.2808,6.2808,32733200
1993-02-01,6.3227,6.4483,5.4852,5.6108,5.6108,23601600
1993-03-01,5.6527,5.9039,5.2759,5.569,5.569,17438800
1993-04-01,5.569,5.569,4.7315,4.8571,4.8571,24933200
1993-05-01,4.899,5.1084,4.7315,4.899,4.899,13199600
1993-06-01,4.9828,6.5948,4.8153,5.6946,5.6946,51965200
1993-07-01,5.6946,5.8202,5.2759,5.3177,5.3177,13135600
1993-08-01,5.3177,6.3645,5.3177,6.3645,6.3645,22382800
1993-09-01,6.3645,6.4273,5.883,6.3436,6.3436,25847200
1993-10-01,6.3017,7.0764,5.8621,5.9458,5.9458,48725800
1993-11-01,5.9877,6.4483,5.7365,6.4064,6.4064,41325400
1993-12-01,6.4483,7.1601,6.3227,6.4483,6.4483,64133000
1994-01-01,6.4064,6.4901,5.6527,5.9458,5.9458,62653600
1994-02-01,5.8621,6.7414,5.6946,6.6995,6.6995,54060800
1994-03-01,6.6576,7.2438,5.8202,6.0714,6.0714,98705400
1994-04-01,5.9877,6.1133,4.6897,5.0665,5.0665,47641600
1994-05-01,5.1502,5.2759,4.3966,4.4384,4.4384,51507600
1994-06-01,4.4384,5.2759,4.3547,5.0037,5.0037,62757000
1994-07-01,4.9828,5.3177,4.6059,5.0246,5.0246,36721200
1994-08-01,5.0246,5.3596,4.7315,5.2549,5.2549,35838800
1994-09-01,5.1921,5.5271,4.7734,5.3805,5.3805,38216600
1994-10-01,5.3596,5.6108,4.9828,5.2759,5.2759,30936600
1994-11-01,5.2759,5.5271,4.7315,5.1502,5.1502,34190800
1994-12-01,5.1084,5.1502,4.1872,4.3128,4.3128,53485200
1995-01-01,4.3128,4.7734,4.0197,4.6059,4.6059,58513400
1995-02-01,4.6059,4.9828,4.3547,4.564,4.564,33413600
1995-03-01,4.5222,5.0665,4.0197,4.9409,4.9409,46205400
1995-04-01,4.899,5.1502,4.7734,4.899,4.899,20913600
1995-05-01,4.8571,4.9409,4.3966,4.7315,4.7315,35898200
1995-06-01,4.6897,5.569,4.6059,5.4434,5.4434,45461800
1995-07-01,5.4434,6.2808,5.4434,6.0086,6.0086,55933800
1995-08-01,6.0714,6.2389,5.6108,5.6527,5.6527,31059600
1995-09-01,5.6527,6.2389,5.4852,5.7365,5.7365,28591400
1995-10-01,5.7364,6.0714,5.4852,5.6946,5.6946,27939800
1995-11-01,5.6946,5.8202,5.2759,5.569,5.569,32686800
1995-12-01,5.569,5.8202,4.564,5.1084,5.1084,56413200
1996-01-01,5.1084,5.5271,4.899,5.234,5.234,41378400
1996-02-01,5.234,6.0714,5.1921,5.7783,5.7783,51109200
1996-03-01,5.7783,6.6576,5.7365,6.2808,6.2808,53006600
1996-04-01,6.3227,6.4064,5.7365,6.3645,6.3645,38968000
1996-05-01,6.3645,7.0764,6.0296,6.6995,6.6995,47821200
1996-06-01,6.6995,7.3276,6.532,7.2438,7.2438,72766000
1996-07-01,7.1601,7.2857,6.3436,6.867,6.867,62505800
1996-08-01,6.8251,7.2857,6.6576,6.6576,6.6576,37079200
1996-09-01,6.6576,7.4113,6.5739,6.867,6.867,51878000
1996-10-01,6.867,7.3695,6.3227,6.6576,6.6576,67183000
1996-11-01,6.6576,7.83,6.532,7.7882,7.7882,64427600
1996-12-01,7.83,8.7094,7.5369,8.4163,8.4163,82992000
1997-01-01,8.4581,9.3793,7.9557,8.9187,8.9187,105483600
1997-02-01,8.9187,9.1281,8.165,8.5837,8.5837,61314600
1997-03-01,8.5837,10.1749,8.5419,9.2537,9.2537,105479000
1997-04-01,9.2118,10.0074,8.8768,9.6724,9.6724,66642600
1997-05-01,9.6724,11.5985,9.1699,11.3054,11.3054,90723200
1997-06-01,11.3473,11.8288,10.5936,11.0123,11.0123,73246600
1997-07-01,11.0333,13.0222,10.3842,12.6872,12.6872,86260200
1997-08-01,12.7291,13.0222,11.3054,12.08,12.08,81442800
1997-09-01,12.08,13.3571,12.0591,12.6034,12.6034,61296800
1997-10-01,12.5616,13.8177,11.3473,12.8966,12.8966,77113600
1997-11-01,13.1059,15.053,12.9803,14.8436,14.8436,83953800
1997-12-01,14.8227,15.1367,13.3571,14.9483,14.9483,70241400
1998-01-01,14.9483,15.2832,14.069,14.5296,14.5296,63694000
1998-02-01,14.5714,17.0,14.5296,16.3719,16.3719,55733400
1998-03-01,16.4557,19.6798,16.0788,17.8793,17.8793,75608800
1998-04-01,17.9212,19.303,17.1256,18.7168,18.7168,63272200
1998-05-01,18.7377,19.7217,17.4606,19.3867,19.3867,54440400
1998-06-01,19.3239,21.4751,18.8424,21.1244,21.1244,76802000
1998-07-01,21.1244,22.0246,19.0098,19.0098,19.0098,62908200
1998-08-01,18.9889,20.0776,15.7438,15.7648,15.7648,99569400
1998-09-01,15.8276,19.0099,15.0739,15.8695,15.8695,157175200
1998-10-01,15.4507,19.7007,13.8177,19.0098,19.0098,116279000
1998-11-01,19.3867,21.7315,18.9261,21.0197,21.0197,66797400
1998-12-01,20.7685,25.5,19.2192,24.181,24.181,86047400
1999-01-01,24.2648,27.9076,23.197,27.7611,27.7611,67150600
