Date,Open,High,Low,Close,Adj Close,Volume
,CPRT,CPRT,CPRT,CPRT,,CPRT
1994-03-01,0.1406,0.1667,0.1354,0.1445,0.1445,286608000
1994-04-01,0.1432,0.1576,0.138,0.151,0.151,79977600
1994-05-01,0.1549,0.1667,0.1536,0.1641,0.1641,79440000
1994-06-01,0.1641,0.1771,0.1471,0.1576,0.1576,58224000
1994-07-01,0.1602,0.1602,0.1458,0.151,0.151,33312000
1994-08-01,0.1497,0.1641,0.1445,0.1615,0.1615,81513600
1994-09-01,0.1615,0.1641,0.151,0.1641,0.1641,53078400
1994-10-01,0.1641,0.194,0.1589,0.194,0.194,87772800
1994-11-01,0.194,0.194,0.1745,0.1784,0.1784,41740800
1994-12-01,0.1777,0.1836,0.1602,0.1836,0.1836,36124800
1995-01-01,0.1836,0.2083,0.1745,0.1927,0.1927,133209600
1995-02-01,0.194,0.2044,0.1875,0.1966,0.1966,71462400
1995-03-01,0.2005,0.2005,0.1927,0.1979,0.1979,18067200
1995-04-01,0.196,0.2148,0.1914,0.2122,0.2122,72345600
1995-05-01,0.2135,0.2344,0.1992,0.2188,0.2188,210048000
1995-06-01,0.2188,0.2461,0.2188,0.237,0.237,116860800
1995-07-01,0.2357,0.2448,0.2109,0.2142,0.2142,35731200
1995-08-01,0.2135,0.2474,0.2122,0.2292,0.2292,188803200
1995-09-01,0.2266,0.2487,0.2253,0.237,0.237,50064000
1995-10-01,0.2357,0.2474,0.2005,0.237,0.237,50208000
1995-11-01,0.2422,0.2487,0.2135,0.2487,0.2487,62553600
1995-12-01,0.2448,0.2812,0.2161,0.2734,0.2734,172128000
1996-01-01,0.2734,0.3138,0.2526,0.3099,0.3099,217152000
1996-02-01,0.3073,0.3151,0.2786,0.2917,0.2917,72825600
1996-03-01,0.2943,0.2995,0.2526,0.2578,0.2578,169622400
1996-04-01,0.2604,0.293,0.2422,0.2839,0.2839,103852800
1996-05-01,0.2812,0.2969,0.1589,0.1771,0.1771,648336000
1996-06-01,0.1771,0.1979,0.1484,0.1719,0.1719,400742400
1996-07-01,0.1745,0.1875,0.1276,0.1667,0.1667,103632000
1996-08-01,0.1667,0.1745,0.1497,0.1706,0.1706,81964800
1996-09-01,0.1667,0.2135,0.1667,0.2057,0.2057,107971200
1996-10-01,0.2057,0.2201,0.1797,0.1914,0.1914,119971200
1996-11-01,0.1927,0.1953,0.1771,0.1823,0.1823,69072000
1996-12-01,0.1797,0.1849,0.1068,0.1367,0.1367,407433600
1997-01-01,0.1354,0.1823,0.1276,0.1797,0.1797,139507200
1997-02-01,0.1823,0.1953,0.1615,0.1771,0.1771,207744000
1997-03-01,0.1784,0.181,0.1536,0.168,0.168,63974400
1997-04-01,0.1641,0.168,0.1328,0.1354,0.1354,56390400
1997-05-01,0.1341,0.168,0.1341,0.1615,0.1615,84729600
1997-06-01,0.1641,0.1764,0.1615,0.1719,0.1719,74822400
1997-07-01,0.1719,0.1979,0.168,0.1862,0.1862,173712000
1997-08-01,0.1862,0.1979,0.1771,0.1927,0.1927,54278400
1997-09-01,0.1888,0.1953,0.1745,0.1836,0.1836,158208000
1997-10-01,0.1836,0.1927,0.1628,0.181,0.181,117504000
1997-11-01,0.1719,0.1823,0.1589,0.1816,0.1816,72576000
1997-12-01,0.1823,0.1868,0.1608,0.1862,0.1862,65260800
1998-01-01,0.1823,0.1914,0.1784,0.1862,0.1862,91814400
1998-02-01,0.1849,0.194,0.1706,0.1882,0.1882,110380800
1998-03-01,0.1875,0.1888,0.1562,0.1745,0.1745,140044800
1998-04-01,0.1745,0.2135,0.1732,0.21,0.21,227654400
1998-05-01,0.2109,0.2188,0.1784,0.1868,0.1868,261820800
1998-06-01,0.1849,0.2552,0.1829,0.2409,0.2409,172752000
1998-07-01,0.2409,0.2526,0.2018,0.2227,0.2227,73036800
1998-08-01,0.2214,0.2617,0.1745,0.2018,0.2018,154848000
1998-09-01,0.2018,0.2448,0.1706,0.2318,0.2318,89049600
1998-10-01,0.2318,0.2448,0.1745,0.2292,0.2292,79094400
1998-11-01,0.2305,0.2604,0.2292,0.2409,0.2409,39398400
1998-12-01,0.2448,0.3385,0.2383,0.3372,0.3372,80304000
1999-01-01,0.3438,0.3438,0.2708,0.3229,0.3229,251702400
1999-02-01,0.3229,0.3984,0.3229,0.3646,0.3646,205723200
1999-03-01,0.3672,0.4349,0.3359,0.4323,0.4323,186638400
1999-04-01,0.4323,0.5182,0.375,0.3776,0.3776,156225600
1999-05-01,0.375,0.4375,0.3177,0.3802,0.3802,149520000
1999-06-01,0.3835,0.4792,0.3835,0.4427,0.4427,143323200
1999-07-01,0.4401,0.5729,0.4375,0.5,0.5,100526400
1999-08-01,0.5052,0.5312,0.4401,0.4557,0.4557,45235200
1999-09-01,0.4505,0.4792,0.3815,0.3841,0.3841,62169600
1999-10-01,0.3828,0.487,0.2891,0.4792,0.4792,216657600
1999-11-01,0.4883,0.5417,0.4131,0.5417,0.5417,91185600
1999-12-01,0.526,1.0781,0.5208,0.9062,0.9062,211435200
2000-01-01,0.8984,0.9154,0.6432,0.7083,0.7083,128964000
2000-02-01,0.7396,0.9896,0.7188,0.8763,0.8763,118192800
2000-03-01,0.8711,0.888,0.625,0.7292,0.7292,161628000
2000-04-01,0.7396,0.8125,0.6823,0.7188,0.7188,54249600
2000-05-01,0.7109,0.7917,0.6927,0.7396,0.7396,65568000
2000-06-01,0.7318,0.8333,0.6458,0.6667,0.6667,95380800
2000-07-01,0.6667,0.6823,0.5156,0.5521,0.5521,157440000
2000-08-01,0.5651,0.7161,0.5365,0.7057,0.7057,76802400
2000-09-01,0.7174,0.7188,0.5781,0.5781,0.5781,60204000
2000-10-01,0.569,0.638,0.5,0.6276,0.6276,83227200
2000-11-01,0.6224,0.7656,0.6022,0.7083,0.7083,68916000
2000-12-01,0.7161,0.9323,0.7083,0.8958,0.8958,145752000
2001-01-01,0.8535,0.8646,0.6771,0.7839,0.7839,123319200
2001-02-01,0.7812,0.875,0.7292,0.7891,0.7891,52260000
2001-03-01,0.7812,0.9141,0.7311,0.8537,0.8537,133855200
2001-04-01,0.8517,1.005,0.8125,0.9546,0.9546,151694400
2001-05-01,0.9621,1.0392,0.8938,1.0,1.0,182282400
2001-06-01,1.0287,1.2917,0.9292,1.2188,1.2188,515959200
2001-07-01,1.2292,1.2583,1.0796,1.1825,1.1825,188001600
2001-08-01,1.1854,1.2021,0.9292,1.0263,1.0263,190507200
2001-09-01,1.0354,1.1954,0.9071,1.1671,1.1671,218366400
2001-10-01,1.1788,1.4792,1.1575,1.2229,1.2229,458090400
2001-11-01,1.2396,1.5063,1.2108,1.4283,1.4283,412860000
2001-12-01,1.4417,1.6142,1.3592,1.5154,1.5154,276520800
2002-01-01,1.5229,1.5846,1.2954,1.4125,1.4125,430574400
2002-02-01,1.4156,1.5125,1.0506,1.0869,1.0869,276534400
2002-03-01,1.0812,1.1469,0.9625,1.1213,1.1213,429446400
2002-04-01,1.1125,1.2281,0.9137,0.9619,0.9619,325704000
2002-05-01,0.9675,1.1125,0.8956,1.0269,1.0269,318630400
2002-06-01,1.0244,1.0762,0.9775,1.0144,1.0144,174633600
2002-07-01,1.015,1.0331,0.7331,0.8313,0.8313,221168000
2002-08-01,0.8313,0.9075,0.7019,0.8794,0.8794,252627200
2002-09-01,0.8719,0.9306,0.5469,0.6781,0.6781,477096000
2002-10-01,0.6787,0.7181,0.61,0.6669,0.6669,260595200
2002-11-01,0.6781,0.8031,0.6363,0.7556,0.7556,150979200
2002-12-01,0.7556,0.7962,0.6913,0.74,0.74,148601600
2003-01-01,0.7444,0.7887,0.63,0.6425,0.6425,171027200
2003-02-01,0.65,0.6556,0.44,0.4881,0.4881,429777600
2003-03-01,0.4875,0.5063,0.4369,0.48,0.48,222916800
2003-04-01,0.4837,0.5431,0.4712,0.525,0.525,200067200
2003-05-01,0.5225,0.58,0.5106,0.5612,0.5612,159643200
2003-06-01,0.5569,0.6625,0.5569,0.5987,0.5987,207681600
2003-07-01,0.5938,0.625,0.56,0.5863,0.5863,153742400
2003-08-01,0.5813,0.6363,0.5188,0.6281,0.6281,163483200
2003-09-01,0.6313,0.6975,0.6219,0.6787,0.6787,144779200
2003-10-01,0.6812,0.8294,0.6662,0.7794,0.7794,198795200
2003-11-01,0.7837,0.81,0.7356,0.75,0.75,105073600
2003-12-01,0.7569,1.0612,0.715,1.0375,1.0375,283254400
2004-01-01,1.0412,1.1562,1.0137,1.0531,1.0531,182124800
2004-02-01,1.0644,1.2325,0.9287,1.2275,1.2275,167040000
2004-03-01,1.2313,1.3787,1.1788,1.3581,1.3581,248742400
2004-04-01,1.4062,1.41,1.1769,1.1844,1.1844,178382400
2004-05-01,1.1775,1.6494,1.065,1.5312,1.5312,307681600
2004-06-01,1.5519,1.6875,1.455,1.6688,1.6688,388312000
2004-07-01,1.75,1.7569,1.3188,1.3906,1.3906,242449600
2004-08-01,1.4,1.4625,1.255,1.3575,1.3575,184832000
2004-09-01,1.3625,1.4212,1.1063,1.1831,1.1831,326192000
2004-10-01,1.185,1.2175,1.1337,1.1612,1.1612,216841600
2004-11-01,1.15,1.45,1.15,1.35,1.35,178420800
2004-12-01,1.47,1.7081,1.46,1.645,1.645,212883200
2005-01-01,1.6875,1.6881,1.3756,1.4362,1.4362,118432000
2005-02-01,1.4294,1.5144,1.3887,1.4562,1.4562,101251200
2005-03-01,1.4656,1.6244,1.4375,1.4725,1.4725,145248000
2005-04-01,1.4694,1.5094,1.3125,1.355,1.355,102540800
2005-05-01,1.3531,1.6225,1.3531,1.5494,1.5494,137667200
2005-06-01,1.5594,1.6381,1.4837,1.4887,1.4887,160345600
