Date,Open,High,Low,Close,Adj Close,Volume
,CPT,CPT,CPT,CPT,,CPT
1993-07-01,4.3042,4.4698,4.2806,4.3279,4.3279,4535400
1993-08-01,4.3279,4.5644,4.1623,4.5407,4.5407,1391200
1993-09-01,4.5644,5.2029,4.5644,5.1793,5.1793,917400
1993-10-01,5.1793,5.2266,4.7299,4.8955,4.8955,1144600
1993-11-01,4.948,5.0436,4.4938,4.5894,4.5894,628200
1993-12-01,4.5894,4.8285,4.3265,4.8285,4.8285,735600
1994-01-01,4.9125,4.9125,4.5964,4.6937,4.6937,539000
1994-02-01,4.7423,5.253,4.6693,5.1557,5.1557,590300
1994-03-01,5.1557,5.1801,4.9369,4.9369,4.9369,252500
1994-04-01,4.9704,4.9704,4.6984,4.822,4.822,1995900
1994-05-01,4.8467,5.1929,4.7973,5.1682,5.1682,1344700
1994-06-01,5.1682,5.2918,4.7973,4.8467,4.8467,899700
1994-07-01,4.9306,5.1821,4.6035,4.6287,4.6287,699800
1994-08-01,4.6287,4.9306,4.5532,4.679,4.679,758500
1994-09-01,4.7042,4.8803,4.6035,4.7293,4.7293,492100
1994-10-01,4.8186,4.8186,4.306,4.3572,4.3572,853500
1994-11-01,4.3572,4.5366,4.1266,4.4854,4.4854,653100
1994-12-01,4.4598,5.1005,4.4598,5.1005,5.1005,702300
1995-01-01,5.1938,5.2199,4.8545,4.8806,4.8806,646000
1995-02-01,4.9067,5.0111,4.3325,4.4369,4.4369,1091900
1995-03-01,4.4369,4.5935,4.3847,4.463,4.463,601100
1995-04-01,4.5583,4.5583,4.425,4.4784,4.4784,430700
1995-05-01,4.4784,5.0115,4.3184,4.8782,4.8782,1569900
1995-06-01,4.8782,5.0381,4.6116,4.665,4.665,593500
1995-07-01,4.764,4.9546,4.5462,4.5734,4.5734,623600
1995-08-01,4.5462,4.7912,4.5462,4.764,4.764,660200
1995-09-01,4.7912,5.0635,4.7368,4.8184,4.8184,465200
1995-10-01,4.8907,4.9462,4.5016,4.6128,4.6128,972100
1995-11-01,4.6128,4.6128,4.4738,4.585,4.585,780800
1995-12-01,4.585,5.3353,4.585,5.2797,5.2797,806900
1996-01-01,5.3851,5.4985,5.215,5.4701,5.4701,709300
1996-02-01,5.4418,5.6118,5.3001,5.3568,5.3568,613300
1996-03-01,5.3568,5.6118,5.1584,5.2434,5.2434,403800
1996-04-01,5.3493,5.5227,5.0312,5.4938,5.4938,476400
1996-05-01,5.4938,5.4938,5.2914,5.3493,5.3493,402700
1996-06-01,5.3203,5.783,5.2336,5.4938,5.4938,824200
1996-07-01,5.6303,5.8071,5.365,5.7187,5.7187,716100
1996-08-01,5.7776,6.1019,5.7187,6.0135,6.0135,1084200
1996-09-01,6.0429,6.2493,5.984,6.0429,6.0429,692600
1996-10-01,6.1565,6.7571,6.1565,6.5469,6.5469,946300
1996-11-01,6.5469,6.7271,6.4568,6.637,6.637,1050900
1996-12-01,6.6671,7.0274,6.4568,6.8773,6.8773,2153900
1997-01-01,7.0244,7.0244,6.5357,6.5968,6.5968,1592300
1997-02-01,6.5968,6.8106,6.5663,6.6884,6.6884,1407300
1997-03-01,6.6884,6.8717,6.6274,6.6579,6.6579,930500
1997-04-01,6.7449,6.8692,6.5895,6.7759,6.7759,1258300
1997-05-01,6.7449,7.4287,6.7138,7.3043,7.3043,1873100
1997-06-01,7.3043,7.8638,7.2111,7.8638,7.8638,1648300
1997-07-01,7.9909,7.9909,7.2329,7.6435,7.6435,3380500
1997-08-01,7.6277,7.833,7.2645,7.454,7.454,1861300
1997-09-01,7.4855,7.833,7.4224,7.7382,7.7382,1849300
1997-10-01,7.8956,7.9919,7.5105,7.703,7.703,3054800
1997-11-01,7.7672,8.4573,7.7672,8.3931,8.3931,1755300
1997-12-01,8.4252,8.5215,7.4944,7.9598,7.9598,2395200
1998-01-01,7.9615,7.9778,7.7004,7.782,7.782,1969100
1998-02-01,7.782,7.9452,7.5047,7.5536,7.5536,1720200
1998-03-01,7.5699,7.7983,7.472,7.7331,7.7331,1796600
1998-04-01,7.8497,8.248,7.4182,7.7833,7.7833,2814000
1998-05-01,7.8165,8.1318,7.7004,8.1152,8.1152,2995100
1998-06-01,8.1153,8.248,7.6008,7.8995,7.8995,2058900
1998-07-01,8.0386,8.2244,7.6839,7.7853,7.7853,2518800
1998-08-01,7.7853,7.8528,6.7551,6.772,6.772,2537200
1998-09-01,6.8227,7.8359,6.7551,7.5488,7.5488,1593100
1998-10-01,7.6675,7.6675,6.7392,7.3925,7.3925,2446400
1998-11-01,7.4096,7.5988,6.9799,7.0658,7.0658,1608200
1998-12-01,7.0486,7.4268,6.9799,7.1518,7.1518,3589200
1999-01-01,7.1856,7.5361,6.9402,6.9752,6.9752,1895200
1999-02-01,7.0103,7.2907,6.7474,6.8701,6.8701,3081900
1999-03-01,6.835,7.0103,6.6948,6.9402,6.9402,2782600
1999-04-01,7.1261,7.8423,6.8754,7.7349,7.7349,2225100
1999-05-01,7.6812,7.9497,7.5916,7.8602,7.8602,1696200
1999-06-01,7.8065,8.093,7.6991,7.9497,7.9497,2536200
1999-07-01,8.0657,8.23,7.9015,8.2117,8.2117,1411200
1999-08-01,8.2117,8.2117,7.9928,8.1022,8.1022,1279600
1999-09-01,8.1022,8.1022,7.4453,7.8468,7.8468,1729000
1999-10-01,8.0046,8.0977,7.744,8.0604,8.0604,2740000
1999-11-01,8.0418,8.228,7.8184,7.9673,7.9673,1281100
1999-12-01,7.9674,8.2652,7.502,8.2652,8.2652,3579200
2000-01-01,8.2059,8.3199,7.75,7.864,7.864,1382600
