Date,Open,High,Low,Close,Adj Close,Volume
,CRWD,CRWD,CRWD,CRWD,,CRWD
2019-06-01,63.5,79.79,56.0,68.29,68.29,64846100
2019-07-01,69.1,96.19,61.721,89.07,89.07,63810700
2019-08-01,90.07,101.88,78.89,81.28,81.28,43819900
2019-09-01,80.85,87.77,51.61,58.31,58.31,70192200
2019-10-01,58.3,69.7,44.581,49.91,49.91,61400100
2019-11-01,49.94,60.0,44.8,58.0,58.0,35727100
2019-12-01,58.5,58.6,46.32,49.87,49.87,103276300
2020-01-01,50.03,64.04,48.79,61.09,61.09,147417900
2020-02-01,61.13,67.56,54.345,59.64,59.64,87428800
2020-03-01,60.2,60.97,31.95,55.68,55.68,130467000
2020-04-01,54.0,75.0,53.53,67.66,67.66,101310500
2020-05-01,66.28,88.0,65.8,87.81,87.81,84512400
2020-06-01,90.56,108.336,88.87,100.29,100.29,208024100
2020-07-01,100.0,118.58,97.06,113.2,113.2,117832800
2020-08-01,114.48,126.55,93.37,125.73,125.73,86049000
2020-09-01,134.44,153.1,115.25,137.32,137.32,168310000
2020-10-01,139.5,153.9,120.45,123.84,123.84,90515600
2020-11-01,124.55,155.0,118.1,153.28,153.28,70044000
2020-12-01,153.5,227.36,138.24,211.82,211.82,135716400
2021-01-01,209.96,238.54,193.86,215.8,215.8,77823200
2021-02-01,216.56,251.28,198.162,216.0,216.0,62969500
2021-03-01,220.819,231.16,168.67,182.51,182.51,114699300
2021-04-01,188.767,227.2,184.72,208.51,208.51,72162900
2021-05-01,209.0,225.925,177.287,222.15,222.15,67099900
2021-06-01,223.23,260.82,204.53,251.31,251.31,96538900
2021-07-01,251.0,272.63,239.71,253.61,253.61,56161700
2021-08-01,254.26,289.24,227.25,281.0,281.0,90602700
2021-09-01,273.22,285.45,238.57,245.78,245.78,75809300
2021-10-01,246.65,297.4,235.63,281.8,281.8,53436900
2021-11-01,275.541,298.48,216.49,217.14,217.14,81789700
2021-12-01,220.688,225.6,185.71,204.75,204.75,89359200
2022-01-01,205.0,205.575,150.02,180.64,180.64,106770000
2022-02-01,182.01,197.25,153.5,195.21,195.21,72139600
2022-03-01,201.33,232.35,155.36,227.08,227.08,144921700
2022-04-01,225.3,242.0,197.8,198.76,198.76,79713600
2022-05-01,198.5,207.83,130.0,159.99,159.99,117586400
2022-06-01,163.01,188.68,150.63,168.56,168.56,96495000
2022-07-01,168.24,194.85,167.47,183.6,183.6,62404300
2022-08-01,180.78,205.73,178.385,182.61,182.61,82647900
2022-09-01,178.45,195.29,157.06,164.81,164.81,68524100
2022-10-01,166.63,181.84,142.36,161.2,161.2,56984700
2022-11-01,165.0,168.48,108.89,117.65,117.65,124625800
2022-12-01,118.64,125.55,98.7,105.29,105.29,100571700
2023-01-01,107.5,109.01,92.25,105.9,105.9,110875200
2023-02-01,105.9,123.24,105.1,120.69,120.69,83314000
2023-03-01,120.23,138.33,118.15,137.26,137.26,135786800
2023-04-01,135.5,140.21,119.42,120.05,120.05,68157900
2023-05-01,118.56,161.795,115.67,160.13,160.13,87801600
2023-06-01,146.72,162.25,141.35,146.87,146.87,91607700
2023-07-01,147.18,163.41,139.37,161.66,161.66,66900000
2023-08-01,161.0,166.99,140.52,163.03,163.03,84998800
2023-09-01,163.12,172.64,157.59,167.38,167.38,60208700
2023-10-01,168.0,191.99,160.86,176.77,176.77,66158800
2023-11-01,178.12,238.48,174.81,236.99,236.99,75243500
2023-12-01,235.72,261.81,229.8,255.32,255.32,55352800
2024-01-01,251.47,307.55,238.61,292.5,292.5,71577700
2024-02-01,296.14,338.453,273.16,324.15,324.15,68120700
2024-03-01,319.25,365.0,289.8,320.59,320.59,103697600
2024-04-01,321.0,325.99,280.88,292.54,292.54,46197600
2024-05-01,290.44,358.84,288.55,313.67,313.67,63310400
2024-06-01,319.37,394.64,303.505,383.19,383.19,167064700
2024-07-01,385.28,398.327,226.22,231.96,231.96,250900800
2024-08-01,232.0,285.73,200.81,277.28,277.28,142680500
2024-09-01,275.78,302.158,242.25,280.47,280.47,87583700
2024-10-01,282.26,323.94,272.67,296.87,296.87,78637400
2024-11-01,296.79,377.42,295.08,345.97,345.97,76783800
2024-12-01,344.9,389.0,336.56,342.16,342.16,71464700
2025-01-01,346.52,411.3,335.55,398.07,398.07,65594800
2025-02-01,386.945,455.59,369.31,389.66,389.66,64405800
2025-03-01,399.0,404.6,303.79,352.58,352.58,114340800
2025-04-01,358.94,432.37,298.0,428.87,428.87,83638200
2025-05-01,431.51,474.23,404.63,460.29,460.29,66702558
