Date,Open,High,Low,Close,Adj Close,Volume
,CSCO,CSCO,CSCO,CSCO,,CSCO
1990-02-01,0.0,0.0543,0.0486,0.0532,0.0532,1373414400
1990-03-01,0.0,0.06,0.0509,0.0537,0.0537,624528000
1990-04-01,0.052,0.0554,0.0491,0.0543,0.0543,279244800
1990-05-01,0.0554,0.0589,0.0532,0.0566,0.0566,524188800
1990-06-01,0.0566,0.0646,0.056,0.0606,0.0606,793440000
1990-07-01,0.0606,0.0692,0.0543,0.0583,0.0583,618076800
1990-08-01,0.0583,0.0583,0.0503,0.0566,0.0566,844185600
1990-09-01,0.0566,0.0617,0.0497,0.0514,0.0514,1059264000
1990-10-01,0.0514,0.0732,0.0451,0.0674,0.0674,1833552000
1990-11-01,0.0663,0.0914,0.0657,0.0903,0.0903,2387836800
1990-12-01,0.0914,0.1034,0.0903,0.1026,0.1026,1528588800
1991-01-01,0.1023,0.136,0.0897,0.1337,0.1337,2360880000
1991-02-01,0.1337,0.1389,0.1206,0.128,0.128,3560745600
1991-03-01,0.1286,0.1389,0.1074,0.1114,0.1114,3855052800
1991-04-01,0.1097,0.1497,0.096,0.136,0.136,2835633600
1991-05-01,0.1326,0.1543,0.1269,0.1474,0.1474,1916942400
1991-06-01,0.1474,0.1657,0.1337,0.1394,0.1394,1364716800
1991-07-01,0.1429,0.1806,0.1406,0.1795,0.1795,1334073600
1991-08-01,0.1795,0.2126,0.176,0.2075,0.2075,2068747200
1991-09-01,0.2046,0.2092,0.1795,0.1875,0.1875,1410811200
1991-10-01,0.1897,0.2263,0.1703,0.2229,0.2229,2126188800
1991-11-01,0.2229,0.2526,0.2137,0.2263,0.2263,1539806400
1991-12-01,0.224,0.312,0.2217,0.3029,0.3029,1631577600
1992-01-01,0.2995,0.3543,0.2949,0.3435,0.3435,2406182400
1992-02-01,0.3452,0.3989,0.344,0.3726,0.3726,1983672000
1992-03-01,0.3726,0.3932,0.3532,0.3612,0.3612,1376488800
1992-04-01,0.3543,0.3841,0.3018,0.3338,0.3338,1538690400
1992-05-01,0.336,0.4183,0.3338,0.4183,0.4183,1582020000
1992-06-01,0.4138,0.4435,0.3909,0.4298,0.4298,1493503200
1992-07-01,0.4298,0.4915,0.4046,0.4881,0.4881,1371398400
1992-08-01,0.4869,0.4915,0.4046,0.4286,0.4286,1504612800
1992-09-01,0.4275,0.5144,0.4275,0.4835,0.4835,1446451200
1992-10-01,0.4846,0.5624,0.4389,0.5486,0.5486,1447120800
1992-11-01,0.5532,0.6995,0.5486,0.6835,0.6835,1970596800
1992-12-01,0.6801,0.7384,0.6287,0.719,0.719,1755698400
1993-01-01,0.7201,0.8664,0.6972,0.8093,0.8093,1898136000
1993-02-01,0.8161,0.8618,0.7041,0.8024,0.8024,2421964800
1993-03-01,0.8001,0.8824,0.7407,0.8184,0.8184,2025608400
1993-04-01,0.823,0.8504,0.7087,0.7544,0.7544,1195513200
1993-05-01,0.7498,1.0287,0.7315,0.9876,0.9876,1731826800
1993-06-01,0.9921,1.047,0.8961,1.0013,1.0013,1196928000
1993-07-01,0.9921,1.0424,0.8641,0.9487,0.9487,1234281600
1993-08-01,0.9464,1.0836,0.8641,0.8733,0.8733,2216275200
1993-09-01,0.8641,0.9921,0.7361,0.9144,0.9144,2873559600
1993-10-01,0.9098,0.9556,0.8138,0.9373,0.9373,1661670000
1993-11-01,0.9418,1.0653,0.8938,1.0287,1.0287,1763553600
1993-12-01,1.0333,1.2025,1.0287,1.1819,1.1819,1634274000
1994-01-01,1.1796,1.3259,1.1567,1.3259,1.3259,1359061200
1994-02-01,1.3259,1.3876,1.2802,1.3488,1.3488,1372345200
1994-03-01,1.3625,1.4905,1.1339,1.2527,1.2527,1845878400
1994-04-01,1.207,1.3168,1.0241,1.1087,1.1087,1519173000
1994-05-01,1.1224,1.2436,0.791,0.9053,0.9053,2831634000
1994-06-01,0.9098,0.9373,0.7452,0.855,0.855,1335670200
1994-07-01,0.8687,0.9098,0.6858,0.7681,0.7681,1951124400
1994-08-01,0.7864,0.9738,0.7452,0.9076,0.9076,1959174000
1994-09-01,0.8961,1.0104,0.8641,1.0013,1.0013,1389414600
1994-10-01,1.0013,1.1156,0.9327,1.1019,1.1019,1607736600
1994-11-01,1.0973,1.2665,1.0882,1.1796,1.1796,1722767400
1994-12-01,1.1704,1.3236,1.0836,1.2847,1.2847,1101767400
1995-01-01,1.2802,1.3716,1.1842,1.2207,1.2207,1131670800
1995-02-01,1.2299,1.3876,1.1933,1.2345,1.2345,1417438800
1995-03-01,1.2253,1.4585,1.2025,1.3945,1.3945,1613448000
1995-04-01,1.3853,1.5042,1.3488,1.4585,1.4585,1295299800
1995-05-01,1.4539,1.7602,1.4265,1.6002,1.6002,1614682800
1995-06-01,1.6094,1.9248,1.6002,1.8494,1.8494,1147854600
1995-07-01,1.8517,2.1489,1.7465,2.0391,2.0391,1387785600
1995-08-01,2.0483,2.4506,1.8745,2.4003,2.4003,2084468400
1995-09-01,2.3912,2.7021,2.3638,2.5238,2.5238,1438624800
1995-10-01,2.5238,2.9764,2.2312,2.8347,2.8347,2000775600
1995-11-01,2.8301,3.269,2.7615,3.077,3.077,2141733600
1995-12-01,3.1319,3.1364,2.5421,2.7295,2.7295,2181351600
1996-01-01,2.725,3.0816,2.3363,3.045,3.045,2665258200
1996-02-01,3.045,3.7308,3.0359,3.4748,3.4748,1771526700
1996-03-01,3.4382,3.6028,2.9627,3.3925,3.3925,1627307100
1996-04-01,3.4108,3.8405,3.2004,3.7948,3.7948,1454352300
1996-05-01,3.7948,4.2337,3.6577,4.0051,4.0051,1283464800
1996-06-01,4.0051,4.2154,3.6394,4.1423,4.1423,1023753600
1996-07-01,4.1514,4.3252,3.2736,3.7857,3.7857,1933807500
1996-08-01,3.8222,4.3435,3.804,3.8588,3.8588,1256923800
1996-09-01,3.804,4.7549,3.7308,4.5401,4.5401,1212792300
1996-10-01,4.5263,4.9013,4.1972,4.5263,4.5263,1503506700
1996-11-01,4.5721,5.011,4.3343,4.9653,4.9653,1215986400
1996-12-01,4.9744,5.0567,4.5355,4.6544,4.6544,1084011300
1997-01-01,4.6544,5.5413,4.5538,5.1024,5.1024,1548228600
1997-02-01,5.1664,5.2304,3.9411,4.0691,4.0691,2846935800
1997-03-01,4.0143,4.2154,3.3605,3.5205,3.5205,2910160800
1997-04-01,3.4016,4.1149,3.3102,3.7857,3.7857,2643107400
1997-05-01,3.804,5.1299,3.7674,4.9561,4.9561,2663511300
1997-06-01,5.0018,5.2487,4.5721,4.9104,4.9104,1649209500
1997-07-01,4.9378,5.9208,4.9378,5.8202,5.8202,1382307300
1997-08-01,5.8202,6.09,5.3402,5.5139,5.5139,1410939000
1997-09-01,5.5596,5.7791,5.0841,5.3447,5.3447,1320131700
1997-10-01,5.3767,6.2363,4.9835,6.0008,6.0008,1940232600
1997-11-01,6.0671,6.3506,5.5871,6.3094,6.3094,1254897000
1997-12-01,6.3826,6.6478,5.2304,6.1174,6.1174,2113333800
1998-01-01,6.2134,7.105,5.6511,6.9198,6.9198,1282155600
1998-02-01,7.1256,7.5165,6.8169,7.2284,7.2284,1077183600
1998-03-01,7.3382,7.6811,6.5838,7.5028,7.5028,1241974200
1998-04-01,7.537,8.2023,7.249,8.0377,8.0377,967026000
1998-05-01,8.0926,8.943,8.0308,8.2983,8.2983,901249800
1998-06-01,8.312,10.342,8.0034,10.102,10.102,1233312600
1998-07-01,10.2529,11.4667,9.9305,10.5066,10.5066,1270856400
1998-08-01,10.5478,11.549,8.943,8.9841,8.9841,1876048800
1998-09-01,9.2447,11.231,8.9841,10.174,10.174,1683170400
1998-10-01,9.8962,10.4929,6.7689,10.3694,10.3694,2174566400
1998-11-01,10.5032,13.2293,10.2769,12.4063,12.4063,1087001200
1998-12-01,12.2006,16.0891,12.1594,15.2764,15.2764,1214291600
1999-01-01,15.5542,18.4346,14.7929,18.3626,18.3626,1420421200
1999-02-01,18.6094,19.3398,15.081,16.0994,16.0994,1487170800
1999-03-01,16.0891,18.5169,15.4719,18.0334,18.0334,1134463200
1999-04-01,18.1877,19.7513,16.336,18.774,18.774,1125257600
1999-05-01,18.7226,20.1319,17.0767,17.9408,17.9408,1153496000
1999-06-01,17.9511,21.5413,17.3647,21.2121,21.2121,1066650600
1999-07-01,21.4178,22.7963,20.0805,20.4508,20.4508,728575600
1999-08-01,20.3068,23.1461,18.486,22.3231,22.3231,893489400
1999-09-01,22.4465,24.2159,21.6853,22.57,22.57,754829800
1999-10-01,22.3643,24.5246,21.4178,24.36,24.36,828612600
1999-11-01,24.0308,31.4375,23.0021,29.3595,29.3595,913060600
1999-12-01,29.7504,35.2849,29.3595,35.2643,35.2643,843159600
2000-01-01,36.1902,38.1036,32.0136,36.0461,36.0461,986312600
2000-02-01,36.1387,45.7572,36.0667,43.5146,43.5146,1246002200
2000-03-01,43.6792,53.9869,40.9223,50.9008,50.9008,1209113300
2000-04-01,50.6128,50.6951,36.2519,45.6441,45.6441,971808800
2000-05-01,46.0041,47.3209,32.9189,37.4864,37.4864,1306291900
2000-06-01,38.5665,45.7984,38.1036,41.8481,41.8481,773738600
2000-07-01,41.7247,45.9218,40.0787,43.0826,43.0826,736369500
2000-08-01,42.6299,46.0864,38.5151,45.1811,45.1811,943606900
2000-09-01,45.3457,45.8395,35.9639,36.3753,36.3753,1098540700
2000-10-01,37.7744,39.1323,29.7916,35.4701,35.4701,1359114200
2000-11-01,34.8117,37.939,29.7504,31.5198,31.5198,1156157100
2000-12-01,32.3839,36.7045,23.1461,25.1829,25.1829,1350238800
2001-01-01,25.1006,29.2978,21.0269,24.648,24.648,1320151500
2001-02-01,24.6892,25.4298,15.3073,15.5953,15.5953,1960297500
2001-03-01,15.3073,16.4183,9.8757,10.4106,10.4106,2139003200
2001-04-01,10.4929,12.8384,8.6824,11.1792,11.1792,2144703300
2001-05-01,11.2648,15.8866,10.8764,12.6803,12.6803,2077138100
2001-06-01,12.8976,14.4843,10.6262,11.9825,11.9825,1383830500
2001-07-01,12.3051,13.0029,10.5406,12.654,12.654,1204422200
2001-08-01,13.049,13.6613,10.3694,10.7513,10.7513,1259794500
2001-09-01,10.5999,10.9554,7.2685,8.019,8.019,1376553500
2001-10-01,7.9334,11.7389,7.3409,11.1397,11.1397,1993569500
2001-11-01,11.2912,13.6745,10.9949,13.4572,13.4572,1643496100
2001-12-01,13.1873,14.4316,11.8508,11.9232,11.9232,1218872300
2002-01-01,12.1405,14.379,11.8837,13.0359,13.0359,1387270300
2002-02-01,12.8713,13.1675,9.316,9.395,9.395,1624686200
2002-03-01,9.5465,11.8047,9.395,11.1463,11.1463,1227851800
2002-04-01,11.1068,11.5545,9.1383,9.6452,9.6452,1423798200
2002-05-01,9.5794,11.515,8.0783,10.3892,10.3892,1652350000
2002-06-01,10.4089,10.6723,8.1573,9.1844,9.1844,1344498300
2002-07-01,9.1119,9.9152,7.5384,8.684,8.684,1847651500
2002-08-01,8.5457,10.0666,7.3343,9.0988,9.0988,1707727900
2002-09-01,8.9539,9.1975,6.8405,6.8998,6.8998,1494614400
2002-10-01,7.0183,7.9729,5.346,7.3607,7.3607,2754836900
2002-11-01,7.2553,10.1917,7.1895,9.823,9.823,1890317200
2002-12-01,10.1061,10.1785,8.3811,8.6247,8.6247,1223015600
2003-01-01,8.6313,10.2904,8.6182,8.8025,8.8025,1469872400
