Date,Open,High,Low,Close,Adj Close,Volume
,CSGP,CSGP,CSGP,CSGP,,CSGP
1998-07-01,0.9,1.0875,0.9,1.075,1.075,17704000
1998-08-01,1.05,1.05,0.6625,0.6625,0.6625,6509000
1998-09-01,0.6625,0.8313,0.55,0.775,0.775,4659000
1998-10-01,0.775,0.85,0.6,0.8375,0.8375,2337000
1998-11-01,0.8375,1.0063,0.825,0.9,0.9,1742000
1998-12-01,0.9,1.5,0.825,1.2625,1.2625,6814000
1999-01-01,1.3375,2.625,1.2625,2.35,2.35,7484000
1999-02-01,2.35,2.4,1.9125,1.9813,1.9813,3512000
1999-03-01,1.9813,3.35,1.9688,2.925,2.925,11368000
1999-04-01,2.95,4.8625,2.85,3.9188,3.9188,11436000
1999-05-01,3.8375,4.0,3.4,3.625,3.625,45846000
1999-06-01,3.6,4.4125,3.5,4.35,4.35,10135000
1999-07-01,4.325,4.8,3.7625,3.825,3.825,8096000
1999-08-01,3.825,3.825,2.3438,2.8688,2.8688,19527000
1999-09-01,2.9,3.1875,2.2188,2.3875,2.3875,16443000
1999-10-01,2.35,2.5,1.4312,2.4625,2.4625,24066000
1999-11-01,2.4125,2.4875,2.2125,2.3,2.3,12035000
1999-12-01,2.3063,3.5875,1.975,3.5875,3.5875,22152000
2000-01-01,3.5406,4.025,3.0375,3.225,3.225,15177000
2000-02-01,3.225,3.725,3.075,3.6375,3.6375,16658000
2000-03-01,3.575,5.3688,3.4813,3.6875,3.6875,31298000
2000-04-01,3.775,3.9562,2.2375,2.3984,2.3984,16650000
2000-05-01,2.3937,2.4562,2.0375,2.0938,2.0938,10159000
2000-06-01,2.0875,2.9,2.075,2.5062,2.5062,12910000
2000-07-01,2.5125,3.8,2.45,3.6688,3.6688,13793000
2000-08-01,3.675,3.675,2.55,2.7625,2.7625,11659000
2000-09-01,2.7188,4.075,2.5625,3.7,3.7,20918000
2000-10-01,3.6688,3.6688,2.9,3.125,3.125,15679000
2000-11-01,3.0563,3.3,2.2,2.2313,2.2313,12506000
2000-12-01,2.25,2.65,1.8266,2.3625,2.3625,11441000
2001-01-01,2.3438,3.075,1.975,2.8312,2.8312,10425000
2001-02-01,2.8625,2.9375,1.6375,1.7875,1.7875,10015000
