Date,Open,High,Low,Close,Adj Close,Volume
,CSX,CSX,CSX,CSX,,CSX
1985-01-01,0.2636,0.3039,0.2484,0.3025,0.3025,430124400
1985-02-01,0.3025,0.3039,0.2775,0.2831,0.2831,286714800
1985-03-01,0.2873,0.2999,0.2551,0.2607,0.2607,331092000
1985-04-01,0.2607,0.2747,0.2565,0.2635,0.2635,289321200
1985-05-01,0.2663,0.3013,0.2607,0.3013,0.3013,308890800
1985-06-01,0.2892,0.2978,0.2751,0.2963,0.2963,252644400
1985-07-01,0.2992,0.3275,0.2949,0.3176,0.3176,412412400
1985-08-01,0.3162,0.3247,0.2921,0.3006,0.3006,265165200
1985-09-01,0.3039,0.3082,0.2695,0.2767,0.2767,244803600
1985-10-01,0.2738,0.3039,0.2724,0.2953,0.2953,291466800
1985-11-01,0.2967,0.3297,0.2953,0.3211,0.3211,339238800
1985-12-01,0.3244,0.3693,0.3215,0.3505,0.3505,368110800
1986-01-01,0.352,0.3997,0.3447,0.3896,0.3896,419220000
1986-02-01,0.3896,0.4215,0.3882,0.4171,0.4171,320151600
1986-03-01,0.4249,0.4366,0.403,0.4322,0.4322,200408400
1986-04-01,0.4351,0.438,0.3709,0.3913,0.3913,357868800
1986-05-01,0.3942,0.3986,0.3548,0.3957,0.3957,252504000
1986-06-01,0.4009,0.4009,0.3729,0.3861,0.3861,169855200
1986-07-01,0.3832,0.3846,0.3021,0.3183,0.3183,402044400
1986-08-01,0.3183,0.3684,0.311,0.3611,0.3611,297392400
1986-09-01,0.3601,0.3765,0.3229,0.3274,0.3274,300546000
1986-10-01,0.3288,0.3571,0.3259,0.3467,0.3467,230137200
1986-11-01,0.3437,0.3541,0.3259,0.3467,0.3467,197208000
1986-12-01,0.3504,0.385,0.3369,0.3504,0.3504,321249600
1987-01-01,0.3504,0.409,0.3504,0.3925,0.3925,356554800
1987-02-01,0.394,0.4211,0.3925,0.3955,0.3955,225144000
1987-03-01,0.3989,0.4322,0.3625,0.3852,0.3852,251874000
1987-04-01,0.3822,0.4125,0.3579,0.3776,0.3776,345895200
1987-05-01,0.3761,0.4216,0.37,0.3989,0.3989,300830400
1987-06-01,0.4039,0.4452,0.3993,0.4269,0.4269,327859200
1987-07-01,0.4299,0.4713,0.4116,0.4636,0.4636,338443200
1987-08-01,0.459,0.511,0.4452,0.482,0.482,373021200
1987-09-01,0.4839,0.4917,0.4531,0.4809,0.4809,260722800
1987-10-01,0.4886,0.5055,0.2728,0.3298,0.3298,471582000
1987-11-01,0.3298,0.3422,0.2867,0.3067,0.3067,311191200
1987-12-01,0.3104,0.379,0.2885,0.3634,0.3634,278064000
1988-01-01,0.365,0.3977,0.3525,0.3806,0.3806,267976800
1988-02-01,0.3821,0.3837,0.3556,0.3696,0.3696,276271200
1988-03-01,0.3751,0.4097,0.3593,0.3814,0.3814,335552400
1988-04-01,0.3814,0.4003,0.342,0.3483,0.3483,219819600
1988-05-01,0.3483,0.3546,0.3073,0.3357,0.3357,306241200
1988-06-01,0.3445,0.378,0.3318,0.3429,0.3429,407052000
1988-07-01,0.3403,0.3691,0.326,0.3419,0.3419,301561200
1988-08-01,0.3388,0.3435,0.3116,0.3276,0.3276,360165600
1988-09-01,0.3316,0.4011,0.33,0.3947,0.3947,563756400
1988-10-01,0.3947,0.4173,0.3801,0.3898,0.3898,432907200
1988-11-01,0.3898,0.406,0.3785,0.393,0.393,369712800
1988-12-01,0.3971,0.42,0.3938,0.4151,0.4151,256161600
1989-01-01,0.4134,0.4396,0.4052,0.4314,0.4314,208047600
1989-02-01,0.4314,0.4379,0.42,0.4265,0.4265,132962400
1989-03-01,0.4272,0.4338,0.3943,0.3959,0.3959,171464400
1989-04-01,0.3959,0.4371,0.3926,0.4322,0.4322,161755200
1989-05-01,0.4305,0.4437,0.4289,0.4355,0.4355,167702400
1989-06-01,0.4396,0.4679,0.4246,0.4296,0.4296,221918400
1989-07-01,0.4296,0.4629,0.4263,0.4629,0.4629,109828800
1989-08-01,0.4663,0.5145,0.4513,0.5012,0.5012,238539600
1989-09-01,0.504,0.5107,0.4553,0.4654,0.4654,156679200
1989-10-01,0.4687,0.504,0.4166,0.457,0.457,179913600
1989-11-01,0.4553,0.4586,0.4334,0.4486,0.4486,111103200
1989-12-01,0.455,0.4958,0.455,0.4873,0.4873,104770800
1990-01-01,0.489,0.5179,0.4245,0.4533,0.4533,157338000
1990-02-01,0.4533,0.4805,0.4347,0.4788,0.4788,103604400
1990-03-01,0.482,0.4923,0.4529,0.4649,0.4649,125776800
1990-04-01,0.4614,0.4734,0.4306,0.4443,0.4443,107967600
1990-05-01,0.446,0.4666,0.4426,0.4614,0.4614,122691600
1990-06-01,0.4699,0.4994,0.4647,0.4716,0.4716,118990800
1990-07-01,0.4716,0.5115,0.4664,0.4768,0.4768,125514000
1990-08-01,0.4768,0.4803,0.3936,0.4162,0.4162,176878800
1990-09-01,0.4175,0.4297,0.3648,0.3754,0.3754,83163600
1990-10-01,0.3806,0.4157,0.3666,0.3754,0.3754,141404400
1990-11-01,0.3789,0.4315,0.3718,0.4175,0.4175,126655200
1990-12-01,0.4207,0.4527,0.4189,0.4509,0.4509,120258000
1991-01-01,0.4527,0.5112,0.4225,0.5059,0.5059,154407600
1991-02-01,0.4988,0.5538,0.4988,0.5379,0.5379,187909200
1991-03-01,0.5359,0.5484,0.5018,0.5287,0.5287,119674800
1991-04-01,0.5305,0.595,0.5233,0.5735,0.5735,202240800
1991-05-01,0.5771,0.6739,0.5753,0.6703,0.6703,266306400
1991-06-01,0.6759,0.6922,0.6452,0.6561,0.6561,164062800
1991-07-01,0.6597,0.7121,0.6398,0.6868,0.6868,224280000
1991-08-01,0.6868,0.7519,0.647,0.7519,0.7519,192243600
1991-09-01,0.7537,0.7664,0.7045,0.7664,0.7664,116582400
1991-10-01,0.7628,0.8119,0.7428,0.8047,0.8047,179874000
1991-11-01,0.8047,0.8265,0.7027,0.7082,0.7082,181407600
1991-12-01,0.7041,0.8508,0.7004,0.8489,0.8489,167580000
1992-01-01,0.8453,0.8874,0.8049,0.8361,0.8361,229154400
1992-02-01,0.8361,0.8984,0.8141,0.8746,0.8746,163332000
1992-03-01,0.8804,0.9155,0.8158,0.8638,0.8638,141703200
1992-04-01,0.862,0.9339,0.8195,0.9266,0.9266,158040000
1992-05-01,0.9303,0.9893,0.9099,0.9838,0.9838,143992800
1992-06-01,0.984,1.0026,0.8801,0.9413,0.9413,170650800
1992-07-01,0.9506,1.0063,0.8875,1.0007,1.0007,211986000
1992-08-01,0.997,1.0063,0.8689,0.8763,0.8763,217468800
1992-09-01,0.8816,0.9227,0.8461,0.8816,0.8816,215910000
1992-10-01,0.8853,1.0048,0.8143,0.9787,0.9787,202204800
1992-11-01,0.9806,1.0347,0.9563,1.0273,1.0273,145821600
1992-12-01,1.037,1.1065,0.9976,1.0333,1.0333,138754800
1993-01-01,1.037,1.1366,1.0239,1.1084,1.1084,187423200
1993-02-01,1.1235,1.1986,1.0446,1.0539,1.0539,200527200
1993-03-01,1.0595,1.1331,1.0142,1.0198,1.0198,304650000
1993-04-01,1.0255,1.1804,1.0255,1.0897,1.0897,271321200
1993-05-01,1.0916,1.1256,1.0425,1.0727,1.0727,164872800
1993-06-01,1.0824,1.1128,1.0083,1.0862,1.0862,229593600
1993-07-01,1.1166,1.1602,1.0311,1.1545,1.1545,174132000
1993-08-01,1.1545,1.2077,1.1356,1.2077,1.2077,129391200
1993-09-01,1.1985,1.2252,1.1413,1.1852,1.1852,137671200
1993-10-01,1.1794,1.2481,1.1432,1.2367,1.2367,142776000
1993-11-01,1.2329,1.2939,1.2252,1.2672,1.2672,160164000
1993-12-01,1.2836,1.3527,1.2433,1.2568,1.2568,132526800
1994-01-01,1.2529,1.4122,1.2261,1.4084,1.4084,190746000
1994-02-01,1.4064,1.4179,1.3316,1.3508,1.3508,140864400
1994-03-01,1.3594,1.3941,1.2437,1.2649,1.2649,173235600
1994-04-01,1.2418,1.2842,1.1589,1.2013,1.2013,131040000
1994-05-01,1.1975,1.1975,1.0953,1.1801,1.1801,179420400
1994-06-01,1.1872,1.2532,1.1562,1.1717,1.1717,149025600
1994-07-01,1.1717,1.2047,1.1329,1.2047,1.2047,110898000
1994-08-01,1.2008,1.228,1.1252,1.1989,1.1989,150487200
1994-09-01,1.2021,1.206,1.0304,1.0694,1.0694,314272800
1994-10-01,1.0772,1.1631,1.0245,1.1319,1.1319,277520400
1994-11-01,1.128,1.1319,1.0148,1.085,1.085,164667600
1994-12-01,1.0882,1.1078,0.992,1.0941,1.0941,148496400
1995-01-01,1.0902,1.1982,1.0902,1.1255,1.1255,211312800
1995-02-01,1.1334,1.2218,1.098,1.2218,1.2218,199177200
1995-03-01,1.2209,1.2604,1.1438,1.2446,1.2446,194029200
1995-04-01,1.2446,1.296,1.2347,1.2604,1.2604,170384400
1995-05-01,1.2604,1.2723,1.1478,1.2051,1.2051,231411600
1995-06-01,1.218,1.218,1.1445,1.1942,1.1942,237063600
1995-07-01,1.2061,1.3869,1.1902,1.3333,1.3333,204526800
1995-08-01,1.3293,1.3631,1.2836,1.3114,1.3114,96685200
1995-09-01,1.3205,1.4263,1.3185,1.3444,1.3444,132559200
1995-10-01,1.3544,1.3604,1.2485,1.3384,1.3384,218044800
1995-11-01,1.3384,1.4263,1.3085,1.4004,1.4004,119379600
