Date,Open,High,Low,Close,Adj Close,Volume
,CTAS,CTAS,CTAS,CTAS,,CTAS
1983-08-01,0.202,0.23,0.202,0.2256,0.2256,40276800
1983-09-01,0.2256,0.2344,0.2212,0.233,0.233,17150400
1983-10-01,0.2359,0.2713,0.2344,0.2403,0.2403,27576000
1983-11-01,0.2403,0.2787,0.2388,0.2742,0.2742,19216800
1983-12-01,0.2757,0.2787,0.2521,0.2521,0.2521,5090400
1984-01-01,0.2521,0.2772,0.2521,0.2713,0.2713,13860000
1984-02-01,0.2713,0.2742,0.2344,0.2344,0.2344,6069600
1984-03-01,0.2344,0.2551,0.233,0.2403,0.2403,8308800
1984-04-01,0.2403,0.2506,0.2388,0.2477,0.2477,2808000
1984-05-01,0.2506,0.2728,0.2506,0.2595,0.2595,8661600
1984-06-01,0.258,0.2624,0.2447,0.2595,0.2595,17733600
1984-07-01,0.2595,0.2624,0.2536,0.2624,0.2624,6595200
1984-08-01,0.2624,0.2919,0.2595,0.286,0.286,30146400
1984-09-01,0.286,0.3008,0.286,0.2978,0.2978,2721600
1984-10-01,0.2978,0.3111,0.2978,0.3052,0.3052,21751200
1984-11-01,0.3052,0.3185,0.3037,0.3155,0.3155,5061600
1984-12-01,0.317,0.317,0.3052,0.3081,0.3081,6645600
1985-01-01,0.3081,0.3244,0.3008,0.3244,0.3244,7898400
1985-02-01,0.3244,0.3656,0.3199,0.3597,0.3597,8971200
1985-03-01,0.3627,0.3804,0.3627,0.3715,0.3715,5875200
1985-04-01,0.3715,0.3922,0.3686,0.3833,0.3833,12585600
1985-05-01,0.3833,0.4069,0.3833,0.401,0.401,10872000
1985-06-01,0.401,0.4541,0.401,0.4453,0.4453,15472800
1985-07-01,0.4453,0.5278,0.4453,0.4836,0.4836,25905600
1985-08-01,0.4836,0.4895,0.4747,0.4747,0.4747,8244000
1985-09-01,0.4747,0.4806,0.4246,0.4394,0.4394,17683200
1985-10-01,0.4335,0.4423,0.4246,0.4276,0.4276,7495200
1985-11-01,0.4305,0.4747,0.4305,0.4747,0.4747,17143200
1985-12-01,0.4747,0.5131,0.4659,0.5013,0.5013,13881600
1986-01-01,0.5013,0.5455,0.5013,0.5367,0.5367,7682400
1986-02-01,0.5367,0.5897,0.5367,0.5897,0.5897,16675200
1986-03-01,0.5897,0.6133,0.5839,0.5927,0.5927,15184800
1986-04-01,0.5927,0.5927,0.5396,0.5809,0.5809,17560800
1986-05-01,0.5809,0.634,0.575,0.634,0.634,5061600
1986-06-01,0.634,0.7047,0.6281,0.693,0.693,9201600
1986-07-01,0.693,0.6989,0.6133,0.6192,0.6192,11858400
1986-08-01,0.6192,0.634,0.6104,0.6133,0.6133,2484000
1986-09-01,0.6133,0.6222,0.5101,0.5514,0.5514,12182400
1986-10-01,0.5544,0.578,0.5514,0.5721,0.5721,38714400
1986-11-01,0.5691,0.575,0.5514,0.5544,0.5544,6660000
1986-12-01,0.5558,0.5809,0.5544,0.5721,0.5721,6804000
1987-01-01,0.5721,0.6649,0.5721,0.6576,0.6576,27014400
1987-02-01,0.6576,0.7726,0.6576,0.749,0.749,9043200
1987-03-01,0.7519,0.8109,0.749,0.7667,0.7667,13053600
1987-04-01,0.7677,0.7914,0.7087,0.7323,0.7323,9954000
1987-05-01,0.7323,0.7796,0.7087,0.7323,0.7323,22809600
1987-06-01,0.7323,0.8032,0.7146,0.7973,0.7973,19897200
1987-07-01,0.7973,0.9213,0.7855,0.8563,0.8563,9475200
1987-08-01,0.8504,0.9567,0.8386,0.9036,0.9036,7588800
1987-09-01,0.8977,0.8977,0.7914,0.8445,0.8445,13276800
1987-10-01,0.8445,0.8563,0.5433,0.6437,0.6437,19846800
1987-11-01,0.6437,0.6614,0.5374,0.5374,0.5374,16012800
1987-12-01,0.5433,0.6614,0.5433,0.6142,0.6142,14842800
1988-01-01,0.6142,0.6733,0.5788,0.6467,0.6467,17445600
1988-02-01,0.6555,0.7796,0.6555,0.7796,0.7796,7182000
1988-03-01,0.7796,0.7914,0.7323,0.7914,0.7914,60066000
1988-04-01,0.7914,0.815,0.7618,0.7914,0.7914,5954400
1988-05-01,0.7914,0.8209,0.7264,0.7441,0.7441,10044000
1988-06-01,0.7441,0.8032,0.7323,0.7884,0.7884,10656000
1988-07-01,0.7914,0.8327,0.7914,0.8268,0.8268,8888400
1988-08-01,0.8268,0.8268,0.7205,0.75,0.75,18165600
1988-09-01,0.7323,0.8209,0.7323,0.8091,0.8091,6843600
1988-10-01,0.7973,0.8268,0.7914,0.8209,0.8209,17348400
1988-11-01,0.8209,0.8209,0.7559,0.7796,0.7796,9795600
1988-12-01,0.7855,0.7973,0.7618,0.7914,0.7914,10058400
1989-01-01,0.7677,0.815,0.7559,0.815,0.815,16898400
1989-02-01,0.815,0.8445,0.7796,0.7796,0.7796,15433200
1989-03-01,0.7796,0.8032,0.7677,0.7796,0.7796,21448800
1989-04-01,0.7836,0.8726,0.7836,0.8726,0.8726,22626000
1989-05-01,0.8726,0.9023,0.8429,0.8963,0.8963,12243600
1989-06-01,0.8963,0.9082,0.8429,0.8726,0.8726,23126400
1989-07-01,0.8726,0.9498,0.8607,0.9438,0.9438,10094400
1989-08-01,0.9438,0.9438,0.8785,0.9349,0.9349,15213600
1989-09-01,0.9349,1.0091,0.9201,1.0091,1.0091,7480800
1989-10-01,1.0091,1.0685,0.9854,1.0447,1.0447,13885200
1989-11-01,1.0151,1.0447,0.9973,1.0447,1.0447,4204800
1989-12-01,1.0447,1.0626,1.021,1.0626,1.0626,6102000
1990-01-01,1.0626,1.0685,0.9735,0.9973,0.9973,11804400
1990-02-01,0.9973,1.0566,0.9795,1.0447,1.0447,40788000
1990-03-01,1.0447,1.0685,1.0091,1.0269,1.0269,10371600
1990-04-01,1.0447,1.0447,0.9498,1.0032,1.0032,17236800
1990-05-01,1.0269,1.116,1.0032,1.0922,1.0922,13125600
1990-06-01,1.0922,1.1753,1.0922,1.1635,1.1635,7844400
1990-07-01,1.1546,1.1635,1.0685,1.0804,1.0804,9853200
1990-08-01,1.0566,1.0685,0.9142,0.9735,0.9735,15757200
1990-09-01,0.9616,0.9735,0.9201,0.9498,0.9498,12520800
1990-10-01,0.9498,1.0091,0.9379,0.9379,0.9379,12229200
1990-11-01,0.9438,1.0922,0.9379,1.0833,1.0833,18550800
1990-12-01,1.0863,1.2525,1.0685,1.2228,1.2228,14130000
1991-01-01,1.1872,1.2258,1.0982,1.2228,1.2228,14947200
1991-02-01,1.2228,1.389,1.1991,1.3772,1.3772,13924800
1991-03-01,1.3772,1.5434,1.3534,1.5256,1.5256,8917200
1991-04-01,1.5434,1.7452,1.5003,1.5137,1.5137,17829600
1991-05-01,1.536,1.6918,1.4781,1.6918,1.6918,14654400
1991-06-01,1.6918,1.8164,1.487,1.5671,1.5671,7754400
1991-07-01,1.5849,1.7808,1.5137,1.6473,1.6473,11493600
1991-08-01,1.6562,1.8788,1.5671,1.8431,1.8431,16956000
1991-09-01,1.7986,1.8431,1.7452,1.7452,1.7452,10944000
1991-10-01,1.7808,1.7808,1.5137,1.6116,1.6116,68217600
1991-11-01,1.5849,1.6562,1.5315,1.5671,1.5671,28656000
1991-12-01,1.5849,1.7808,1.5404,1.7808,1.7808,32080800
1992-01-01,1.7808,2.1014,1.7452,2.0747,2.0747,29342400
1992-02-01,2.0479,2.2884,1.9945,2.1548,2.1548,19855200
1992-03-01,2.1904,2.1904,1.9589,2.0123,2.0123,18624000
1992-04-01,2.0123,2.1726,1.8521,1.8877,1.8877,15628800
1992-05-01,1.8877,2.1726,1.8521,2.0301,2.0301,10364400
1992-06-01,2.0836,2.1548,1.6918,1.8877,1.8877,16863600
1992-07-01,1.9055,2.0123,1.7274,1.9233,1.9233,15672000
1992-08-01,1.9233,1.9233,1.7096,1.7808,1.7808,7008000
1992-09-01,1.7986,1.9678,1.7808,1.9233,1.9233,8359200
1992-10-01,1.9233,1.9233,1.7452,1.8699,1.8699,16352400
1992-11-01,1.8699,2.0301,1.8342,1.9945,1.9945,22281600
1992-12-01,1.9945,1.9945,1.8164,1.9233,1.9233,33132000
1993-01-01,1.9233,2.1548,1.9233,2.1014,2.1014,20905200
1993-02-01,2.1192,2.1192,1.9589,1.9767,1.9767,13669200
1993-03-01,2.0123,2.2082,1.9767,2.1726,2.1726,26720400
1993-04-01,2.1726,2.2082,1.7986,1.8788,1.8788,30966000
1993-05-01,1.861,1.9945,1.8164,1.9589,1.9589,23366400
1993-06-01,1.9589,2.0658,1.763,1.9055,1.9055,24604800
1993-07-01,1.9055,2.0301,1.7986,1.8342,1.8342,23482800
1993-08-01,1.8253,2.0836,1.8164,2.0836,2.0836,31986000
1993-09-01,2.0658,2.0836,1.7808,1.9589,1.9589,31706400
1993-10-01,1.9945,2.1192,1.9144,2.0836,2.0836,22507200
1993-11-01,2.0836,2.2438,2.0123,2.0479,2.0479,29726400
1993-12-01,2.0658,2.4219,2.0301,2.4219,2.4219,24658800
1994-01-01,2.3863,2.4575,2.1904,2.413,2.413,23814000
1994-02-01,2.3863,2.4219,2.2082,2.2616,2.2616,18115200
1994-03-01,2.2616,2.2794,2.1192,2.2082,2.2082,29122800
1994-04-01,2.2082,2.3418,2.1192,2.1904,2.1904,19210800
1994-05-01,2.1904,2.2973,2.1904,2.2216,2.2216,15133200
1994-06-01,2.1904,2.3685,2.1192,2.3329,2.3329,22819200
1994-07-01,2.3329,2.3685,2.1904,2.226,2.226,14635200
1994-08-01,2.226,2.2794,2.1726,2.2616,2.2616,25828800
1994-09-01,2.2794,2.4575,2.2616,2.4575,2.4575,19449600
1994-10-01,2.4219,2.5822,2.3685,2.5288,2.5288,23330400
1994-11-01,2.5644,2.5644,2.4041,2.4575,2.4575,18454800
1994-12-01,2.511,2.5822,2.3863,2.5288,2.5288,21478800
1995-01-01,2.511,2.7603,2.4397,2.4575,2.4575,31059600
1995-02-01,2.4575,2.7068,2.4575,2.7068,2.7068,20989200
1995-03-01,2.689,2.8671,2.6356,2.6712,2.6712,25117200
1995-04-01,2.7247,2.8493,2.6712,2.7425,2.7425,14367600
1995-05-01,2.7247,2.7781,2.4041,2.4575,2.4575,41809200
