Date,Open,High,Low,Close,Adj Close,Volume
,CTVA,CTVA,CTVA,CTVA,,CTVA
2019-05-01,27.5648,29.6495,24.989,24.989,24.989,1833100
2019-06-01,24.5905,28.1022,22.5614,27.398,27.398,226225300
2019-07-01,27.4072,28.4913,24.0531,27.3331,27.3331,95249600
2019-08-01,27.4571,30.51,25.9959,27.2896,27.2896,107629300
2019-09-01,26.9825,28.2483,25.4188,26.061,26.061,85351900
2019-10-01,26.0889,26.4147,23.4689,24.5532,24.5532,97626100
2019-11-01,24.367,25.3536,23.0454,24.2181,24.2181,121866300
2019-12-01,24.3498,27.68,22.5443,27.6519,27.6519,165029500
2020-01-01,27.8857,27.8857,25.2291,27.0532,27.0532,121526900
2020-02-01,27.1842,30.0092,24.1907,25.4442,25.4442,89775900
2020-03-01,25.5097,27.3713,19.0645,21.9831,21.9831,146898200
2020-04-01,21.8537,26.3842,20.5067,24.6171,24.6171,92750300
2020-05-01,24.2787,25.8202,21.0359,25.6698,25.6698,89422700
2020-06-01,25.6155,29.9541,24.1363,25.3225,25.3225,105559900
2020-07-01,25.4737,27.4115,24.0465,26.9956,26.9956,80167800
2020-08-01,27.2035,28.1865,23.4699,26.9861,26.9861,116067300
2020-09-01,27.1483,28.6967,25.8185,27.3668,27.3668,91357100
2020-10-01,27.4333,32.8098,26.8729,31.3279,31.3279,92663800
2020-11-01,31.6129,37.0559,30.5015,36.4004,36.4004,72058800
2020-12-01,36.8923,38.3509,35.8532,36.9114,36.9114,74613400
2021-01-01,37.0544,42.8599,34.8332,37.9981,37.9981,74367500
2021-02-01,38.2651,44.9476,37.9982,43.0411,43.0411,63007700
2021-03-01,43.8053,46.3484,41.0137,44.5701,44.5701,79319600
2021-04-01,44.8761,47.6199,44.0156,46.616,46.616,53585300
2021-05-01,47.0654,47.7824,42.1514,43.4994,43.4994,77646100
2021-06-01,44.1043,44.4523,40.7581,42.5223,42.5223,69882900
2021-07-01,42.7045,43.0496,38.9268,41.017,41.017,56524500
2021-08-01,41.2279,44.4207,39.7035,42.158,42.158,77416900
2021-09-01,42.6625,43.7348,39.1618,40.4697,40.4697,58010100
2021-10-01,40.7294,42.826,39.7869,41.4988,41.4988,48603700
2021-11-01,41.518,47.5096,40.5274,43.278,43.278,57643600
2021-12-01,44.1573,46.9352,42.3343,45.6041,45.6041,56939000
2022-01-01,45.7199,47.6587,42.1896,46.3758,46.3758,49374000
2022-02-01,46.2504,50.5234,45.6813,50.1858,50.1858,73176700
2022-03-01,50.4087,57.8462,47.9328,55.5927,55.5927,115334100
2022-04-01,56.0086,60.003,53.9486,55.7958,55.7958,71618900
2022-05-01,55.8732,61.9277,50.548,60.564,60.564,118277600
2022-06-01,61.1008,61.3529,49.2171,52.4995,52.4995,99682100
2022-07-01,51.9953,56.2814,48.5141,55.8062,55.8062,50349300
2022-08-01,55.2729,61.8339,53.0232,59.5686,59.5686,63126500
2022-09-01,59.0858,62.5077,54.8182,55.557,55.557,72524000
2022-10-01,56.8499,64.8311,56.2812,63.5187,63.5187,67125800
2022-11-01,64.1895,66.5226,61.9828,65.288,65.288,72067500
2022-12-01,65.6195,65.8144,56.4708,57.2697,57.2697,56815500
2023-01-01,57.221,62.8135,56.802,62.794,62.794,56349700
2023-02-01,62.3653,63.5345,58.0491,60.6895,60.6895,80986600
2023-03-01,60.6899,62.5456,54.5077,58.9026,58.9026,84560500
2023-04-01,59.1566,61.8864,57.7111,59.6937,59.6937,42004800
2023-05-01,59.7621,60.4262,51.7339,52.2418,52.2418,60797300
2023-06-01,52.3407,57.5948,51.6698,56.116,56.116,79451300
2023-07-01,56.498,57.1051,52.0224,55.264,55.264,71375400
2023-08-01,54.9898,56.3021,47.6741,49.4663,49.4663,92670400
2023-09-01,50.1026,52.4603,47.9806,50.2598,50.2598,98212100
2023-10-01,50.0436,51.0162,46.3793,47.2929,47.2929,70521000
2023-11-01,47.2929,49.7587,42.4595,44.4046,44.4046,80271600
2023-12-01,44.7191,47.6471,43.2698,47.2429,47.2429,101765900
2024-01-01,47.1542,48.1499,43.3881,44.8374,44.8374,74186200
2024-02-01,55.6918,56.9439,50.585,52.7638,52.7638,88734000
2024-03-01,52.8894,57.5267,52.7509,57.0224,57.0224,71858300
2024-04-01,56.9235,57.5069,52.5927,53.5222,53.5222,56694400
2024-05-01,53.7792,58.1002,53.0476,55.3118,55.3118,82157700
2024-06-01,55.1339,55.3811,49.4484,53.3343,53.3343,71118800
2024-07-01,53.4586,56.0864,49.9383,55.6302,55.6302,52235100
2024-08-01,53.5081,57.0879,49.8788,56.8202,56.8202,64351900
2024-09-01,55.9773,58.5803,53.4784,58.2977,58.2977,64178800
2024-10-01,57.775,62.0417,55.3482,60.5896,60.5896,59703400
2024-11-01,60.4802,63.8518,54.8807,61.9025,61.9025,78926700
2024-12-01,61.9124,62.1511,55.8455,56.6511,56.6511,68290800
2025-01-01,56.7065,66.0612,55.5297,65.0938,65.0938,61120900
2025-02-01,64.1464,65.7221,60.7556,62.81,62.81,76505300
2025-03-01,62.8848,63.3286,57.9332,62.7601,62.7601,73978100
2025-04-01,63.08,64.03,53.4,61.99,61.99,80432100
2025-05-01,61.47,70.71,61.21,69.785,69.785,65650947
