Date,Open,High,Low,Close,Adj Close,Volume
,C,C,C,C,,C
1985-01-01,8.7834,9.6488,8.4373,8.8051,8.8051,8156146
1985-02-01,8.7834,9.281,8.6969,8.87,8.87,4268193
1985-03-01,8.9132,9.1945,8.5238,9.1728,9.1728,2967470
1985-04-01,9.2161,9.3243,8.9781,9.1945,9.1945,2893012
1985-05-01,9.1945,9.9517,9.0214,9.93,9.93,3261928
1985-06-01,9.8868,10.2978,9.7137,10.2978,10.2978,2595904
1985-07-01,10.3411,10.406,9.8002,9.9517,9.9517,2315904
1985-08-01,9.9949,10.3411,9.757,10.168,10.168,3516868
1985-09-01,10.1247,10.3194,9.1945,9.2377,9.2377,3132530
1985-10-01,9.2594,9.8219,8.7834,9.6921,9.6921,5455181
1985-11-01,9.7353,11.4877,9.7353,11.0766,11.0766,8880002
1985-12-01,11.055,11.0983,10.168,10.3843,10.3843,7450361
1986-01-01,10.3843,11.5959,10.3194,11.4011,11.4011,6643375
1986-02-01,11.4011,13.6295,11.3795,13.3266,13.3266,7835662
1986-03-01,13.3266,13.8025,12.9804,13.1535,13.1535,4515663
1986-04-01,13.1535,13.1535,12.0502,12.1151,12.1151,4880481
1986-05-01,12.0718,13.0021,11.8771,12.6992,12.6992,5283615
1986-06-01,12.6992,13.5429,12.18,13.1535,13.1535,4693737
1986-07-01,13.1535,14.7112,12.8074,13.9323,13.9323,7965781
1986-08-01,13.9323,15.901,13.8025,15.2736,15.2736,5962167
1986-09-01,15.2736,15.4467,13.0237,14.127,14.127,6382892
1986-10-01,14.1703,15.5549,14.0621,15.1655,15.1655,5040964
1986-11-01,15.3602,15.49,14.2352,14.6895,14.6895,5975182
1986-12-01,14.6895,15.5332,14.4515,14.5597,14.5597,5253492
1987-01-01,14.6463,17.3072,14.6463,16.4419,16.4419,10305060
1987-02-01,16.4419,18.5188,16.3986,17.8265,17.8265,6041929
1987-03-01,17.8697,18.1726,15.9659,16.7448,16.7448,9663735
1987-04-01,16.5284,17.437,13.9756,14.9275,14.9275,8557106
1987-05-01,15.1822,15.3131,12.4773,13.9606,13.9606,7733494
1987-06-01,14.1352,15.6185,13.917,14.5278,14.5278,7086145
1987-07-01,14.4405,16.142,13.6116,15.9675,15.9675,8034698
1987-08-01,15.8595,17.5336,15.419,16.3882,16.3882,10038193
1987-09-01,16.3882,16.5644,15.1546,15.8595,15.8595,7271686
1987-10-01,15.6833,17.049,9.0752,10.1765,10.1765,12848674
1987-11-01,10.173,10.3951,8.8847,9.0624,9.0624,6352290
1987-12-01,9.1512,9.4178,7.7297,8.5737,8.5737,9165059
1988-01-01,8.5293,9.9508,8.5293,9.9508,9.9508,5769639
1988-02-01,10.3897,11.2931,9.8024,11.2479,11.2479,5166144
1988-03-01,11.1576,11.6545,10.6155,10.751,10.751,5831929
1988-04-01,10.5703,10.6155,8.7634,8.9441,8.9441,6666387
1988-05-01,9.1576,9.295,8.4708,8.9287,8.9287,3419036
1988-06-01,8.8829,10.1192,8.7455,9.9818,9.9818,12532773
1988-07-01,9.8444,10.2107,8.9745,9.0202,9.0202,3439879
1988-08-01,9.2476,11.1993,9.2011,10.7811,10.7811,17476506
1988-09-01,10.6417,10.874,10.2699,10.7811,10.7811,7668434
1988-10-01,10.5952,10.874,10.2699,10.7811,10.7811,5410603
1988-11-01,10.8376,11.0261,9.9423,10.7905,10.7905,4366384
1988-12-01,10.7905,10.7905,8.0104,8.1989,8.1989,6080603
1989-01-01,8.1518,8.9999,7.9162,8.8586,8.8586,9437469
1989-02-01,8.9319,9.3572,8.2703,8.3175,8.3175,11248675
1989-03-01,8.412,8.6483,7.9395,8.1757,8.1757,11709759
1989-04-01,8.2703,8.3648,7.7977,7.8922,7.8922,9479757
1989-05-01,7.8922,8.6483,7.6559,8.5066,8.5066,8674820
1989-06-01,8.4874,9.1987,8.2503,8.44,8.44,9038916
1989-07-01,8.44,10.5737,8.3926,10.2418,10.2418,11210964
1989-08-01,10.4315,10.9056,9.9573,10.3366,10.3366,10069758
1989-09-01,10.2684,10.9815,9.9832,10.6012,10.6012,7522531
1989-10-01,10.5537,11.4094,9.8406,10.934,10.934,8462892
1989-11-01,10.8697,11.2034,10.3929,11.108,11.108,6776867
1989-12-01,11.108,11.3464,10.0592,10.8697,10.8697,6474098
1990-01-01,10.8697,11.4894,9.4395,9.9639,9.9639,9542050
1990-02-01,9.8988,10.4249,9.6597,10.2814,10.2814,6236750
1990-03-01,10.1858,11.0465,9.9945,10.5205,10.5205,7210241
1990-04-01,10.4249,11.8595,10.2336,10.9987,10.9987,6361807
1990-05-01,10.8552,12.7681,10.8552,12.4811,12.4811,8815181
1990-06-01,12.5639,13.475,12.1323,13.0914,13.0914,8456146
1990-07-01,13.1394,14.4821,11.7967,12.3721,12.3721,11013254
1990-08-01,12.3632,12.5557,9.9098,10.7276,10.7276,9718313
1990-09-01,10.6314,10.9201,7.5526,7.8894,7.8894,11906505
1990-10-01,8.0818,8.4185,6.4943,6.9754,6.9754,10363975
1990-11-01,7.0614,8.8993,6.9647,8.7542,8.7542,5480963
1990-12-01,8.7542,10.2535,8.5124,8.8509,8.8509,5922532
1991-01-01,8.9477,10.2535,8.464,10.2052,10.2052,6196870
1991-02-01,10.345,12.2391,10.2964,11.9477,11.9477,7487225
1991-03-01,11.8506,13.1134,11.2678,11.8506,11.8506,9110120
1991-04-01,11.7535,12.8705,11.3649,11.4135,11.4135,10319277
1991-05-01,11.6471,12.3293,10.9161,12.3293,12.3293,7572651
